officer,korumburra,junction_village,hampton_park,bacchus_marsh,ivanhoe_east,collingwood,chelsea,notting_hill,warracknabeal,surrey_hills,newtown,bright,benambra,melbourne,box_hill_south,sunshine,malvern_east,keilor_north,tarneit,caulfield,beaumaris,clyde,mildura,port_albert,beveridge,hallam,langwarrin,ocean_grove,grovedale,kew,golden_point,bonnie_brook,port_melbourne,coronet_bay,cobram,hawthorn,south_yarra,cheltenham,mentone,mernda,highton,greenvale,rowville,donvale,carnegie,templestowe,patterson_lakes,elliminyt,moonee_ponds,rye,little_river,balwyn_north,lascelles,axedale,melton,dingley_village,shepparton,curlewis,trentham,epping,frankston,drouin,cooma,weering,footscray,north_melbourne,hamilton,sunbury,mooroopna,clyde_north,campbellfield,west_footscray,point_cook,point_lonsdale,kensington,mount_eliza,clifton_springs,hampton,yarraville,yackandandah,wy_yung,williamstown,springvale,heyfield,east_bairnsdale,pioneer_bay,southbank,mont_albert_north,brookfield,golden_square,wollert,altona_meadows,eynesbury,glenroy,thomastown,hoppers_crossing,nyora,weir_views,st_albans,melton_south,prahran,grantville,strathtulloh,jan_juc,whittlesea,altona,hastings,killara,berwick,noble_park,box_hill_north,bundoora,belmont,pakenham,kalkallo,bentleigh,nhill,south_melbourne,carrum,greensborough,doncaster,bentleigh_east,morwell,doveton,melton_west,brunswick,herne_hill,essendon_north,truganina,dandenong,traralgon,manifold_heights,tullamarine,flora_hill,lucas,frankston_north,oakleigh_south,deanside,armstrong_creek,cetona,rosebud,coburg_north,airport_west,surf_beach,dandenong_north,junortoun,mitcham,loch_sport,croydon,gladstone_park,winslow,briar_hill,blackburn,bell_park,bulleen,nyah,murrumbeena,doreen,courtenay,travancore,long_gully,flemington,norlane,wensleydale,alphington,coburg,fraser_rise,wattle_glen,preston,geelong,redan,leongatha,darley,bayswater,hawthorn_east,wonthaggi,wandin_north,ferntree_gully,elsternwick,highett,keilor_downs,edenhope,nathalia,berringa,narre_warren_south,mooroolbark,balaclava,blairgowrie,carrum_downs,eaglemont,gisborne,st_kilda,wangaratta,glen_waverley,romsey,ivanhoe,fulham,mccrae,ballarat_north,alexandra,saint_kilda_west,brunswick_west,keilor,moorabbin,newlands_arm,baxter,braybrook,botanic_ridge,elwood,essendon,bittern,cremorne,werribee,miners_rest,bell_post_hill,codrington,plenty,oakleigh,montrose,wyndham_vale,reservoir,portland,parkville,brooklyn,westmeadows,corio,doncaster_east,heidelberg,caulfield_south,colac,fitzroy_north,rockbank,mambourin,ascot_vale,yea,pascoe_vale,watsonia,warragul,steiglitz,carl_junction,wonga_park,meeniyan,craigieburn,jacana,plumpton,imatra,swan_hill,eltham,strathfieldsaye,nunawading,somerville,beaconsfield_upper,noble_park_north,sunshine_north,beaconsfield,swan_reach,mount_waverley,south_morang,seaford,taylors_lakes,baranduda,deer_park,maribyrnong,camberwell,box_hill,thornhill_park,wendouree,ballarat_central,hepburn,cranbourne_east,epsom,lara,lyndhurst,holyhead,mansfield,heathmont,northcote,burwood,capel_sound,dromana,st_kilda_east,blackburn_south,mickleham,diggers_rest,harcourt,caulfield_north,meadow_heights,mckenzie_hill,mornington,sandhurst,newport,broadmeadows,oakleigh_east,harkness,menzies_creek,cranbourne_west,black_rock,buninyong,moe,alfredton,cranbourne_south,heidelberg_heights,rosanna,mulgrave,castlemaine,mill_park,fyansford,taylors_hill,newborough,cranbourne_north,ringwood,glen_iris,seddon,guys_hill,delacombe,brown_hill,cranbourne,riddells_creek,sale,kilmore,cleveland,bagshot,docklands,kingsville,lake_tyers_beach,chanute,charlemont,minyip,bonbeach,forest_hill,smythes_creek,watsonia_north,hillside,gaffneys_creek,casterton,lake_bunga,pearcedale,avenel,sebastopol,ranni,lakes_entrance,cowes,ballarat_east,eumemmerring,officer_south,west_wodonga,rushworth,cape_paterson,whittington,cobungra,samaria,orbost,traralgon_east,strzelecki,perry_bridge,maidstone,altona_north,saint_leonards,cann_river,boronia,clayton,revelstoke,donnybrook,cobblebank,numurkah,jeparit,mount_evelyn,derrinallum,lismore,albert_park,wallan,cairns,yendon,apollo_bay,parkdale,archies_creek,ventnor,kilcunda,yarra_junction,myrtleford,kangaroo_flat,seymour,taloumbi,golden_beach,smiths_beach,drumborg,ringwood_north,safety_beach,keysborough,clayton_south,benalla,wodonga,ironbark,kerang,yarrawonga,inverloch,daylesford,skye,lang_lang,cape_woolamai,mount_duneed,woodstock,churchill,soldiers_hill,wantirna_south,heathcote,tatura,molesworth,droxford,waldara,picola,crib_point,ringwood_east,castlecrag,redbank,metung,warrnambool,horsham,brunswick_east,pascoe_vale_south,bannockburn,dalyston,wurruk,lower_plenty,canadian,sunshine_west,echuca,nicholson,fayetteville,bairnsdale,nungurner,carrington,euroa,lurg,kyneton,strathmerton,inverleigh,molyullah
541200,396300,268000.0,270000,574000.0,2150000.0,535000,510000.0,340000,90000,630000.0,1099500.0,1395000,315000,420000.0,380000,700000.0,555000.0,6500000.0,596070,1050000.0,1550000.0,620150,220000.0,340000,517890,655000.0,720000.0,7887500.0,837000.0,1955000,507500.0,560970,1335000.0,307500.0,263500,430000.0,63500000,1150000.0,560000,367500.0,894000.0,650000,924000.0,565000.0,375000.0,11500001250000,575000.0,450000,362500.0,1417500.0,1199000,2750000.0,13000,375000.0,559000,1050000.0,1950000,435.0,1050000.0,670000,300000330000,710000.0,304500.0,670000.0,765000.0,387500.0,379000,685000700000,275000,835900,705000.0,248000.0,770000.0,595000,1200000.0,820000.0,410000.0,915000.0,755000.0,599000,599000,1900000.0,600000.0,475000,249000,250000275000,611000,684635,518685,712500.0,573707,685000750000,529250,520000,345000.0,580000,553100,580000,715000.0,492000,305000.0,619588,404900,1610000.0,469950,1725000.0,600000.0,595000,906200,280000.0,545000.0,600000.0,1315000.0,575000.0,475000.0,1850000.0,210000,670000,485000.0,750000825000,143.0,1240000.0,260000,630000.0,450000480000,1112,289000.0,362500.0,562897,475000.0,465000,989000.0,545.0,502500.0,705000.0,550000.0,715000.0,600940,564136,631799,730000.0,1150000.0,615000.0,690000740000,675000.0,924600,905000.0,129000,468000,735000.0,695000,1050000.0,1500000.0,639000.0,6.0,230000,1785000.0,600000.0,570100,270000.0,397000.0,390000,418500.0,900000,720000.0,620000680000,581600,510000.0,430000.0,850000.0,410000.0,250000,1150000.0,815000.0,1350000.0,749000,930000.0,625000.0,2100000.0,1225000.0,925000.0,240000,242500.0,407500.0,735000.0,815000.0,500000.0,1300000.0,622500.0,870000.0,1250000.0,575000.0,295000,920000.0,850000.0,207000.0,1200000,9500001000000,682500.0,449000,409000,395000434000,785000.0,1370000.0,465000,682500.0,579000,836390,330750,1575000.0,765000.0,517000,444534,507500.0,575000.0,419900,3350000.0,1620000.0,710000.0,342000,720000.0,270000,575000.0,525000.0,905000.0,450000.0,1450000.0,960000.0,2350000.0,450000,612500.0,611500,700000730000,500000.0,660000.0,475.5,700000.0,599000.0,767415,625000,892500.0,540000,630000.0,645000,352755,484541,160000,1155000.0,665000.0,1015000.0,500000.0,1260000.0,619500.0,784000.0,1050000.0,403676,775000.0,572500.0,817500.0,500000.0,497000,615000.0,575000.0,472500.0,1350000.0,482210,330000.0,772500.0,650000.0,600.0,665000.0,710000,1005000.0,550000,350000,13.5,18000001900000,350000.0,834500.0,945000.0,585000.0,1230000.0,594320,510120,450000,1890000.0,480000.0,710000.0,834750.0,735000.0,790000.0,380.0,285000,504000.0,997500.0,630000.0,1710000.0,485000.0,450000,367500.0,472450,875000.0,890000.0,945000.0,526079,650000.0,800000.0,945000.0,310000,715000.0,975000.0,775000.0,915000.0,1340000.0,613805,413500,745000.0,570000610000,560000,590000630000,403000,394173,840000.0,1500000.0,485000,525000.0,443043,37000,900000.0,1050000.0,245000,1050000.0,675000.0,230000,245000,597500,890000.0,720984,514851,602581,469000,650000.0,409000.0,540000,510779,480000,340000,585000,440000.0,210000,275000,95000,654990,870000,1200000,10000001100000,675000.0,589000,180000,655.0,502900,564220,590000,545000.0,450828,99500,915000.0,250000.0,360000385000,508739,259000,666888,292500.0,600000,1075000.0,265000,2200000,480000510000,872500.0,620000,335000.0,392065,658668,135000,2500000,325000,13.5,1450000.0,1200000,506500,282500.0,319500,720000.0,178000,695000,1650000,540000.0,600000.0,337000,568000,645000,529200,288000,800000.0,892500.0,817500.0,345000.0,487138,507943,850000,40000,585000.0,900000990000,546500,110000,399000,3500000,389000,420000,605000.0,489000.0,209000,415000,1257500.0,355000.0,710000.0,1295000,870000,975000.0,466490,437000,623967,295000,995000,622500.0,599000,1470000.0,935000
828890,,806790,533000,624000.0,,,650000.0,,,2100000.0,350000,1395000,315000,497000,,300000,1365000.0,,598370,577500.0,,667950,335000.0,,585036,,1725000.0,,,3985000,,570270,1450000.0,,255000,655000.0,805000,1005000.0,660000.0,1130000.0,580000.0,535.0,1150000.0,,375000.0,11500001250000,1520000.0,,1005000.0,1325000.0,,,,,,900000.0,260000.0,1050000.0,,,880000.0,225000,,670000.0,530400,,249000,1360000.0,,775318,,1250000.0,745000.0,1150000.0,725000.0,840000.0,617500.0,1890000.0,415000.0,,,1500000.0,765000.0,,125000,,447000,1025000.0,577500.0,470000.0,522497,,,690000740000,265000.0,567500.0,481905,331000,525000.0,497000,562500.0,593347,469900,1350000.0,,1065000.0,435000.0,,814700,500000550000,1550000,510000.0,595000.0,550000.0,577800,840000.0,,546000,,720000.0,385000.0,,245000,769000.0,469000.0,,290000.0,,602941,1500000.0,599000,,395000.0,,672500.0,514500.0,,406971,583723,,596500,945000.0,,,550000.0,716100,800000.0,138000,525000.0,,,,900000.0,,129.5,,,750000.0,,,,1300000.0,455000.0,,,650000.0,506160,,493500.0,,,250000,510000.0,,,645,,682500.0,520000.0,1225000.0,,110000,,,715000.0,722500.0,477500.0,,560000.0,,,795000.0,470000.0,860000940000,932218,1640000.0,,935000.0,,,,500000.0,,420000.0,,,,856390,485000.0,2150000.0,,,245000.0,,297500.0,419900,,,,314000,1032500.0,410000,945000.0,,540000.0,417500.0,16.5,1350000.0,440000.0,370000,567000.0,589100,508888,1020000.0,,825.0,,749391,,66.0,,,,615000.0,251125,,,596358,,1150000.0,1500000.0,,,575000,550950,,,680000.0,577500.0,,,,,,660000.0,478610,,,860000.0,492450,,597742,840000.0,,,,,610000,892500.0,528950,,945000.0,573420,516532,,480000.0,504000.0,,624500.0,,1350000.0,525000.0,1340000.0,,,615000.0,,,680000,537500.0,554900,,985000,,496492,710000.0,,820000.0,794999,754000.0,,,,,493500.0,417500,840000.0,,,410000430000,,,950000,,,,471439,,,,,,,227000,,,,,414770,,,714500.0,,,518700,,,869000,,,,,529500,,,,675000.0,566100,,,576900,530920,420000.0,,422568,,,,,412910,628100,,292500.0,750000795000,,,,,,,,,,110000,,,,,1400000.0,356500,225000,435000,1250000,,509000,1750000,660000.0,,,,587450,,684255,,,,,,,,,,,,,,,,,,,,400000,,,525000.0,,,,466490,,556974,,,,,,
661635,,828501,630000680000,624000.0,,,635000.0,,,,,,,940000.0,,639000,,,521270,,,822500.0,220000.0,,1250000,,695000.0,,,699950,,556170,,,,587500.0,670000,,,910000.0,,615000.0,945000.0,,1312500.0,13.5,,,,795000.0,,,,,,,309000,780000825000,,,1102500.0,529661,,,867000,,299000,330000350000,,674900,,800000880000,760000.0,978230,525000.0,1285000.0,809000.0,,725000.0,,,1625000.0,,,,,553000,,605000.0,412500.0,680000720000,,,680.0,,417000.0,435466,479860,525000.0,430000.0,675000.0,593347,598785,,,,525000.0,,630000.0,,735000.0,840000.0,595000.0,550000.0,573600,1750000.0,,420000.0,,765000.0,550000600000,,195000,450000.0,440000.0,,,,,605000.0,525000,,375000.0,,,,,661100,507561,,,,,,670000.0,,800000.0,,130.0,,,,920000.0,,,,,960000.0,,,,430000.0,510000.0,,,840000.0,512891,,945000.0,,,560000,,,,,,710000.0,,755000.0,,239000,,,900000.0,,,,,,,460000.0,460000,,,855000.0,,,,,,400440,,,,,,901300,,1750000.0,,,500000.0,,,,,,,314000,605000.0,,,,,581000,380000.0,,1575000.0,,,,434888,525000.0,,,,671783,,,,,,,307100,,,570795,,1350000.0,725000.0,,,575000,397500.0,,,,,,,,,,712500.0,579751,,,,640500,,543365,679500.0,,,,,,720000.0,,,,675848,536643,,575000.0,500000,,895000,,915000.0,335000.0,,,,720000.0,,,,575000.0,,,,,463408,547650,,,,,,,,,520100.0,,550000595000,,,,,,390000.0,,,,434627,,,,,,,,,,,,414770,,,,,,521400,,,,,,,,535990,,,,,527200,,,383400,,590900,,421268,,,,,463843,556100,,,,,,,,,,,,,,,,,,,,850000,,,,1050000,,,,,,637280,,,,,,,,,,,,,,,,,,,,,,400000,,,,,,,,,,,,,,,
664770,,828501,610000.0,345000.0,,,840000.0,,,,,,,492500.0,,,,,597070,,,595196,,,489466,,822500.0,,,1550000.0,,566070,,,,375000.0,459999,,,,,1400000.0,575000.0,,1995000.0,1475.0,,,,18000001980000,,,,,,,,,,,26.0,257000.0,,,386600,,,513900,,669297,,,597500.0,1010000,420000.0,1285000.0,,,1050000.0,,,520000.0,,,,,598000,,430860,,352950,,,617500.0,,,,429316,,395000425000,,692500.0,,,,,615000.0,,825000.0,,,840000.0,425000.0,720000.0,,1125000.0,,718000,,365000.0,130.0,,165000,663000.0,590000610000,,,,,270000290000,355143,,275000.0,,,,,708100,605000.0,,,,,,,,,,425000.0,,,,,,,,,725000.0,,,,,,,,570000.0,533145,,1032500.0,,,,,,,,,540000.0,,,,89000,,,555000,,,,,,,640000.0,1375000,,,,,,,,,850000,,,,,,,,447357,,,461874,,,,,,,536626,945000.0,,,,,544000.0,,,1575000.0,,,,524888,,,,,497350,,,,,,,246510,,,505596,,,1200000.0,,,,,,,,,,,,,,444025,,,,,514500,,501212,,,,,,,,,,,439900,545759,,452500.0,,,,,915000.0,,,,,590000.0,,,,,,,,,463262,,,,,,,,,,,,605000.0,,,,,,,,,,417135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622500.0,,,839900,,516600,,428268,,,,,496894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564600,,,,,,,,,,,,,,,,,,,,,,425000,,,,,,,,,,,,,,,
811086,,798900,,,,,,,,,,,,430000.0,,,,,750000.0,,,645000.0,,,525000.0,,1350000.0,,,,,559370,,,,,440000,,,,,736695,,,,1050000.0,,,,750000825000,,,,,,,,,,,755000.0,1900000.0,,,650000,,,590000.0,,683000,,,625000.0,2700000,,1300000.0,,,840000.0,,,750000,,,,,712000,,395210,,329950,,,,,,,575500,,365000.0,,460,,,,,,,950359,,,,,730000.0,,,,679500,,,680110,,239000,,,,,,,345000.0,571500,,,,,,,577000,435928,,,,,,,,,,815000.0,,,,,,,,,772500.0,,,,,,,,1150000.0,623869,,480000.0,,,,,,,,,765000.0,,,,,,,930000.0,,,,,,,595000.0,,,,,,,,,,,,,,,,,,710000.0,,,456006,,,,,,,606836,,,,,,,,,1050000.0,,,,624849,,,,,275000,,,,,,,343000,,,,,,,,,,,,,,,,,,,,99000,,,,,589000.0,,574000,,,,,,,,,,,439900,640243,,,,,,,,,,,,,,,,,,,,,525000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979900,,563800,,,,,,,477102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,,,,,,,,,,,,,,,
654945,,610593,,,,,,,,,,,,485368,,,,,750000.0,,,662500,,,770000.0,,652500.0,,,,,568370,,,,,450000.0,,,,,,,,,,,,,9900001090000,,,,,,,,,,,,619500,,,556000,,,577500,,808168,,,675000.0,,,14.5,,,615000.0,,,800000830000,,,,,3541500,,592500,,605000.0,,,,,,,430000,,383550,,,,,,,,,848287,,,,,525000.0,,,,655000,,,,,230000,,,,,,,,622950,,,,,,,488300,360938,,,,,,,,,,,,,,,,,,,,,,,,,,,,500880,,,,,,,,,,,572500.0,,,,,,,1365000.0,,,,,,,,,,,,,,,,,,,,,,,,,397000.0,,,445992,,,,,,,585888,,,,,,,,,,,,,559891,,,,,580000,,,,,,,453710,,,,,,,,,,,,,,,,,,,,,,,,,810000.0,,,,,,,,,,,,,439900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,,,,,,,,,,,,,,,
629567,,,,,,,,,,,,,,440000.0,,,,,435000,,,728500,,,543100,,1865000.0,,,,,436221,,,,,3700000,,,,,,,,,,,,,,,,,,,,,,,,,569000.0,,,670000730000,,,425400,,810000.0,,,475000.0,,,,,,,,,1800000.0,,,,,1892000,,439000.0,,606300.0,,,,,,,619000.0,,400000.0,,,,,,,,,755000.0,,,,,420000.0,,,,634500,,,,,,,,,,,,,471950,,,,,,,564243,890000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,571899,,,,,,,,,,,829500.0,,,,,,,819000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,548860,,,,,,,585888,,,,,,,,,,,,,515000,,,,,533500,,,,,,,476000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,,,,,,,,,,,,,,,
635000695000,,,,,,,,,,,,,,682000,,,,,549000,,,670500,,,442320,,755000.0,,,,,545160,,,,,570000,,,,,,,,,,,,,,,,,,,,,,,,,470000,,,375000.0,,,595000.0,,855147,,,575000.0,,,,,,,,,,,,,,620000680000,,,,573150.0,,,,,,,,,,,,,,,,,,735000.0,,,,,453000,,,,1080000,,,,,,,,,,,,,556800,,,,,,,594000,595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,604480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611877,,,,,,,469.0,,,,,,,,,,,,,540888,,,,,,,,,,,,335000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,,,,,,,,,,,,,,,
808190,,,,,,,,,,,,,,2310000.0,,,,,737913,,,627500,,,504600,,,,,,,,,,,,780000,,,,,,,,,,,,,,,,,,,,,,,,,,,,343200,,,522900,,678390,,,670000.0,,,,,,,,,,,,,,447000,,,,658800.0,,,,,,,,,,,,,,,,,,,,,,,504,,,,655000,,,,,,,,,,,,,1299000,,,,,,,409006,391488,,,,,,,,,,,,,,,,,,,,,,,,,,,,568730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442316,,,,,,,605000615000,,,,,,,,,,,,,540888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,,,,,,,,,,,,,,,
778700,,,,,,,,,,,,,,735000.0,,,,,714126,,,708500,,,529600.0,,,,,,,,,,,,655000,,,,,,,,,,,,,,,,,,,,,,,,,,,,336700,,,525000.0,,785000.0,,,670000.0,,,,,,,,,,,,,,850000.0,,,,738200,,,,,,,,,,,,,,,,,,,,,,,574900,,,,504500,,,,,,,,,,,,,375000,,,,,,,584885,569223,,,,,,,,,,,,,,,,,,,,,,,,,,,,568730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510860,,,,,,,302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
