maffra,corio,mount_waverley,werribee,maddingley,rowville,preston,bentleigh_east,melton,south_melbourne,coragulac,mildura,st_kilda_east,elsternwick,axedale,reservoir,brighton,coburg_north,murrumbeena,strathdale,plenty,kangaroo_flat,california_gully,warrandyte,st_kilda,carlton,aspendale,kealba,sunbury,safety_beach,benalla,goughs_bay,tarneit,williamstown,truganina,beaumaris,brunswick,mickleham,yallourn_north,ormond,cranbourne,beveridge,richmond,ringwood,stawell,docklands,tylden,mornington,leopold,eltham_north,cora_lynn,newborough,somerville,lethbridge,bell_post_hill,traralgon,rochester,south_yarra,penshurst,nicholson,bonnie_brook,shepparton,golden_beach,gisborne,melbourne,devenish,montrose,inverloch,greenvale,yarra_glen,box_hill,mill_park,maidstone,maribyrnong,kialla,fraser_rise,craigieburn,prahran,southbank,epping,rockbank,frankston_south,waterford_park,northcote,point_cook,travancore,caulfield_north,korumburra,ocean_grove,ascot_vale,thornbury,bairnsdale,belmont,campbells_creek,newcomb,drouin,wyndham_vale,keysborough,cranbourne_east,collingwood,hastings,dandenong_north,taylors_hill,venus_bay,south_morang,wollert,balaclava,golden_square,albion,apollo_bay,merbein,anglesea,bridgewater_on_loddon,lake_gardens,kilsyth,langwarrin,dromana,carnegie,wheelers_hill,glenroy,berwick,bendigo,melton_south,yarraville,casterton,paradise_beach,cranbourne_north,east_melbourne,endeavour_hills,seaspray,croydon,eltham,flora_hill,cardinia,wongarra,carrum_downs,pascoe_vale,kew,smiths_beach,waurn_ponds,darley,alfredton,underbool,fitzroy_north,blackburn,kingsville,frankston,valrico,diamond_creek,carlton_north,grovedale,mount_duneed,box_hill_north,white_hills,kurunjang,footscray,sale,diggers_rest,highton,melton_west,mordialloc,niddrie,rosebud,templestowe_lower,bundoora,yarram,raywood,clayton_south,geelong_west,sunshine_north,mont_albert_north,euroa,chirnside_park,noble_park,port_melbourne,doncaster_east,keilor,narre_warren,neosho,numurkah,portland,hawthorn,portarlington,essendon,lyndhurst,mansfield,bonbeach,cheltenham,west_melbourne,surrey_hills,forest_hill,pascoe_vale_south,chadstone,dimboola,oakleigh_south,kennington,viewbank,rosedale,williams_landing,bayswater,bacchus_marsh,coffeyville,west_footscray,burwood,alphington,essendon_north,halls_gap,templestowe,clyde_north,mambourin,blackburn_south,hawthorn_east,greensborough,dandenong,hoppers_crossing,sebastopol,herne_hill,mount_martha,morwell,doncaster,mount_helen,whanregarwen,the_honeysuckles,golden_point,terang,armstrong_creek,lara,horsham,tatura,bentleigh,trentham,tolmie,port_welshpool,heathmont,boronia,broadmeadows,belgrave,braybrook,briagolong,flowerdale,mia_mia,echuca,kings_park,colac,hampton_park,eumemmerring,newport,steiglitz,tullamarine,boolarra,highett,mount_eliza,toorak,kyneton,chanute,wallan,brighton_east,moe,caroline_springs,torquay,kalkallo,sunshine_west,kyabram,mirboo_north,wangaratta,canadian,albanvale,narre_warren_south,leongatha,myrtleford,ballarat_north,wodonga,omeo,scoresby,brookfield,weir_views,malvern,delacombe,mernda,koondrook,warrnambool,moorngag,parkdale,cranbourne_west,keilor_east,whittlesea,hoddles_creek,rokeby,dingley_village,doreen,ardeer,fawkner,hughesdale,brunswick_west,coburg,hadfield,strathmore,marysville,macleod,canterbury,lower_plenty,clyde,macedon,donvale,blackburn_north,waterways,nulla_vale,tootgarook,kallista,mont_albert,chewton,clifton_springs,werona,violet_town,hampton,glen_iris,rainbow,yarrawonga,box_hill_south,botanic_ridge,malvern_east,eaglehawk,camberwell,wichita,skye,west_wodonga,norlane,ringwood_north,balnarring,eynesbury,raglan,deanside,thornhill_park,ballarat_east,east_bairnsdale,tonghi_creek,mentone,croydon_north,doveton,heidelberg_heights,ivanhoe,junortoun,pakenham,grantville,macarthur,westmeadows
410000.0,465000.0,1430000.0,680000.0,594000.0,580000.0,1575000.0,1150000.0,304500.0,925000.0,507500.0,319000.0,515000.0,420000.0,560000.0,615000.0,1790000.0,1050000.0,1525000.0,385000.0,1365000.0,630000.0,167500.0,114.0,1100000.0,550000.0,1125000.0,334000.0,710653.0,1975000.0,412500.0,435000.0,624000.0,1300000.0,513173.0,1075000.0,765000.0,579840.0,295000.0,1950000.0,595000.0,524547.0,720000.0,372500.0,199000.0,410000.0,997500.0,800000.0,590000.0,1575000.0,497500.0,380000.0,705000.0,916685.0,660000.0,259000.0,165000.0,630000.0,325000.0,740000.0,556000.0,355000.0,100000.0,787082.0,590000.0,339000.0,900000.0,1200000.0,584240.0,600000.0,3045000.0,444000.0,720000.0,500000.0,710000.0,596056.0,560000.0,1150000.0,605000.0,577500.0,594000.0,945000.0,445000.0,460000.0,676900.0,392500.0,1470000.0,249500.0,1015000.0,420000.0,1287500.0,275000.0,585000.0,525000.0,574000.0,640000.0,549580.0,1025000.0,553066.0,997500.0,462000.0,545000.0,815000.0,549000.0,525000.0,605927.0,985000.0,569000.0,270000.0,480000.0,920000.0,915000.0,325000.0,895000.0,3350000.0,865000.0,725000.0,690000.0,1050000.0,735000.0,698011.0,472500.0,420000.0,920000.0,190000.0,125000.0,585900.0,840000.0,755000.0,399000.0,670000.0,1800000.0,915000.0,795000.0,285000.0,719500.0,875000.0,1340000.0,769000.0,805000.0,459000.0,645000.0,89950.0,345000.0,1550000.0,402500.0,735000.0,618529.0,875000.0,378000.0,619000.0,712500.0,1050000.0,480000.0,419000.0,312000.0,265000.0,392000.0,819500.0,550000.0,525000.0,702500.0,745000.0,478600.0,1100000.0,290000.0,477990.0,335000.0,840000.0,825000.0,1470000.0,285000.0,1150000.0,590000.0,700000.0,16.5,910000.0,705000.0,240000.0,380000.0,725000.0,2450000.0,3850000.0,440000.0,1050000.0,282500.0,780000.0,1330000.0,1785000.0,1250000.0,1050000.0,940000.0,1100000.0,99000.0,409500.0,305000.0,790000.0,320000.0,740000.0,824950.0,281500.0,4100000.0,715000.0,838500.0,900000.0,1300000.0,270000.0,644521.0,527900.0,680743.0,565000.0,545000.0,585000.0,325000.0,575000.0,375000.0,920000.0,1029000.0,295000.0,570000.0,507500.0,950000.0,625000.0,435000.0,220000.0,538689.0,514430.0,299000.0,407500.0,770000.0,865000.0,875000.0,480000.0,975000.0,714000.0,410000.0,997500.0,735000.0,560000.0,430000.0,350000.0,500000.0,625000.0,400000.0,585000.0,510000.0,345000.0,813848.0,625000.0,429000.0,1275000.0,2400000.0,3750000.0,725000.0,1275000.0,960898.0,1645000.0,495000.0,675000.0,1690000.0,699420.0,635000.0,2000000.0,895000.0,415000.0,355000.0,550000.0,1430000.0,499000.0,569000.0,525000.0,279000.0,500000.0,675000.0,550000.0,593000.0,465000.0,477485.0,560000.0,800000.0,504000.0,980000.0,1565000.0,510000.0,1127500.0,849950.0,690000.0,1349000.0,900000.0,690000.0,665000.0,850000.0,648000.0,306000.0,1675000.0,420000.0,840000.0,675000.0,795000.0,3150000.0,1215000.0,879191.0,995000.0,1470000.0,1175000.0,1250000.0,3000000.0,1312500.0,535000.0,735000.0,695000.0,557500.0,600000.0,350000.0,1554000.0,490000.0,69000.0,649000.0,1600000.0,856002.0,700000.0,575000.0,3450000.0,330000.0,827500.0,409000.0,489000.0,1350000.0,742500.0,523950.0,295000.0,766215.0,453724.0,254000.0,127500.0,275000.0,450000.0,595000.0,605000.0,525000.0,690000.0,722000.0,540000.0,575000.0,180000.0,624000.0
,505000.0,1100000.0,430500.0,,600000.0,472500.0,1350000.0,,650000.0,,574000.0,845000.0,,,669000.0,2080000.0,620000.0,1155000.0,,,460000.0,,1499000.0,605000.0,690000.0,1147500.0,334000.0,554323.0,840000.0,447268.0,,575000.0,960000.0,558699.0,1450000.0,530000.0,,,545000.0,450000.0,508148.0,595000.0,,,587500.0,,934500.0,,,,510000.0,,916685.0,630000.0,649000.0,165000.0,630000.0,,,639870.0,,220000.0,,735000.0,,,1200000.0,678900.0,,407500.0,,,,,712094.0,564000.0,585000.0,,698924.0,534710.0,945000.0,,,917900.0,2400000.0,1005000.0,559380.0,1622500.0,,900000.0,365000.0,1025000.0,1000000.0,,1100000.0,505480.0,1185000.0,545336.0,,420000.0,710000.0,,,,537500.0,,605000.0,,945000.0,,,325000.0,895000.0,3350000.0,865000.0,725000.0,690000.0,,525000.0,417000.0,950000.0,215000.0,,35000.0,,660000.0,,710000.0,,660000.0,,,,,555000.0,1140000.0,690000.0,,,754000.0,,,,,285000.0,663966.0,,,,454000.0,1185000.0,1150000.0,,530000.0,,,,,504000.0,810000.0,1045000.0,610900.0,,1130000.0,,,554000.0,,,,,,255000.0,1950000.0,140.0,,790000.0,,,,2375000.0,1194000.0,545000.0,575000.0,,,1000000.0,710000.0,1220000.0,,1035000.0,409500.0,189000.0,,,,,,,660000.0,,,,,,,1100000.0,636412.0,556476.0,505000.0,,1535000.0,619500.0,,,,,289000.0,110.0,,,,,,430557.0,394665.0,,,,,,190000.0,727500.0,,,349000.0,,,430000.0,,,,,498750.0,470000.0,630254.0,,350000.0,,,,,,,,1575000.0,,,,,,,,820000.0,,,735000.0,,,,,1500000.0,619000.0,,,,,,,,,,,765000.0,,,,720000.0,825000.0,,490000.0,,,885000.0,,960000.0,531350.0,,,,538812.0,,,,,,,,,,637500.0,,,,,,198000.0,,,650000.0,,1420000.0,,,,,,,,,,495369.0,820000.0,127500.0,,,,,,,,,,,
,445000.0,2750000.0,414000.0,,887500.0,460000.0,1720000.0,,650000.0,,208950.0,3150000.0,,,825000.0,477500.0,,2100000.0,,,419950.0,,,520000.0,,,,773212.0,,426637.0,,10000.0,,500000.0,,1400000.0,,,1125000.0,,592500.0,,,,395000.0,,597500.0,,,,417500.0,,,,,549000.0,375000.0,,,329500.0,,,,345000.0,,,1150000.0,645400.0,,1405000.0,,,,,673659.0,,,,755114.0,,,,,798900.0,,700000.0,559380.0,,,360000390000.0,340000.0,605000.0,,,1100000.0,282500.0,785000.0,534407.0,,950000.0,,,,,624528.0,,502500.0,,,,,,,750000.0,1200000.0,765000.0,1950000.0,,,599280.0,375000.0,550000.0,,,,,,,,693000.0,,,,,,890000.0,1160000.0,,,434000.0,,,,,294000.0,545000.0,,,,449000.0,,,,,,,,,624000.0,,,795000.0,,,,,,,,,,,619500.0,625000.0,1425000.0,,725000.0,,,,565000.0,695000.0,1750000.0,,,,,,810000.0,,985000.0,,,,,,,,,,,,,,,,,622397.0,,400000.0,,,370000.0,,,,,,556500.0,,,,,,420888.0,,,,,,,,,,,,,,,,,,,,470000.0,,,650000.0,,,,,,,,925000.0,,,,,,,,,,,609000.0,,,,,,,,,,,,,,,,,1150000.0,,,,,405000.0,,,,,1110000.0,,,,,,,575000.0,,,,,,,,,,,,,,,,218000.0,,,6150000.0,,,,,,,,,,,,,,120000.0,,,,,,,,,,,
,445000.0,376950.0,440309.0,,1365000.0,420000.0,1540000.0,,510000.0,,,,,,,,,735000.0,,,419950.0,,,525000.0,,,,482000.0,,407921.0,,609258.0,,,,785000.0,,,,,497000.0,,,,510000.0,,805000.0,,,,,,,,,,,,,362000.0,,,,498000.0,,,,698000.0,,,,,,,579414.0,,,,,,,,,695000.0,,,,,,,,,,,429950.0,298000.0,615000.0,319000.0,,,,,,,,,,,,,,,,790000.0,510000.0,,690000.0,,,,,449000.0,,,,,,,,,,,,,,,750000.0,,,,,,,,,640000.0,,,,,,,,,,,,,564000.0,,,769000.0,,,,,,,,,,,,,11.5,,695000.0,,,,320000.0,,1975000.0,,,,,,780000.0,,,,,,,,,,,,,,,,,,,584167.0,,555000.0,,,,,,,,,,,,,,,544485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,405000.0,,840000.0,2400000.0,,,550000.0,,,,,,,,,,,,,,,359000.0,,,,774000.0,,,,500000.0,,,,475000.0,,,,,511244.0,,,,540000.0,,,,,,,,,,,,,,,359000.0,,,,483000.0,,,,,,,,,,,579414.0,,,,,,,,,910000.0,,,,,,,,,,,439950.0,444888.0,,605000.0,,,,,,,,,,,,,,,,,1995000.0,,1300000.0,,,,,,,,,,,,,,,,,,,,805000.0,,,,,,,,,825000.0,,,,,,,,,,,,,394000.0,,,,,,,,,,,,,,,,1500000.0,,,,,,395000.0,,1925000.0,,,,,,1410000.0,,,,,,,,,,,,,,,,,,,746355.0,,525000.0,,,,,,,,,,,,,,,421455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,551091.0,,892500.0,,,,830000.0,,,,,,,,,,,,,,,379450.0,,,,575735.0,,,,589522.0,,,,695000.0,,,,,511363.0,,,,920000.0,,,,,,,,,,,,,,,358000.0,,,,645000.0,,,,,,,,,,,450900.0,,,,,,,,,10800001130000.0,,,,,,,,,,,424950.0,450000.0,,609000.0,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,1450000.0,,,,,,,,,430000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,595895.0,,465000.0,,,,,,,,,,,,,,,405888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,675000.0,,820000.0,,,,855000.0,,,,,,,,,,,,,,,,,,,725000.0,,,,494085.0,,,,490000.0,,,,,419826.0,,,,,,,,,,,,,,,,,,,283000.0,,,,775000.0,,,,,,,,,,,355900.0,,,,,,,,,675000.0,,,,,,,,,,,359950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480315.0,,400000.0,,,,,,,,,,,,,,,614000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,428226.0,,745000.0,,,,539000.0,,,,,,,,,,,,,,,,,,,,,,,558982.0,,,,1050000.0,,,,,419826.0,,,,,,,,,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,460900.0,,,,,,,,,740000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433665.0,,,,519500.0,,,,,419826.0,,,,,,,,,,,,,,,,,,,,,,,1050000.0,,,,,,,,,,,357900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530000.0,,,,,,,,,513363.0,,,,,,,,,,,,,,,,,,,,,,,310000.0,,,,,,,,,,,409900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
