melbourne,thornhill_park,point_cook,wallan,sunbury,truganina,braybrook,tarneit,south_melbourne,dromana,south_yarra,sebastopol,kensington,whittlesea,wyndham_vale,launching_place,beaumaris,caulfield_north,tamworth,teesdale,yea,melton_south,footscray,bonshaw,brighton_east,lynbrook,alexandra,kalimna,palmdale,deanside,caulonia,werribee,diggers_rest,weir_views,torquay,south_geelong,yarck,wollert,malvern_east,rockbank,cranbourne_north,frankston_north,blind_bight,bulleen,burwood,glen_huntly,safety_beach,greenvale,junction_village,colbrook,lower_plenty,taggerty,caroline_springs,flemington,colac,leopold,elwood,nunawading,armstrong_creek,clyde_north,lara,mambourin,mill_park,girgarre,mount_egerton,balnarring,carrum_downs,mildura,officer,cranbourne,hughesdale,mount_eliza,kew,kalkallo,sale,beveridge,grantville,heathcote,bonnie_brook,clayton_south,smythes_creek,fraser_rise,morwell,ripplebrook,broomfield,eagle_point,forrest,officer_south,eumemmerring,berwick,mentone,montmorency,kaniva,inverleigh,carlton,southbank,hastings,drouin,invermay,prahran,caulfield_south,wantirna,hoppers_crossing,bonbeach,ventnor,paynesville,noble_park,bittern,warragul,koo_wee_rup,hillside,hurstbridge,rosebud,kilsyth,frankston,merrigum,newtown,kyneton,box_hill_south,newlands_arm,cowes,chanute,huntly,casterton,junortoun,bangholme,melton,benalla,collingwood,sunshine_west,rye,donvale,docklands,strathtulloh,plumpton,charlemont,marysville,bailieston,epping,upwey,coburg_north,cheltenham,springvale,ballarat_north,williamstown_north,east_melbourne,echuca,dandenong,brookfield,redan,terang,box_hill,travancore,mount_duneed,ocean_grove,manor_lakes,nerrina,nar_nar_goon_north,narre_warren_south,corio,dandenong_north,golden_square,churchill,yarrawonga,coquitlam,shepparton,red_cliffs,edithvale,baranduda,hampton,narre_warren,portland,digby,norlane,parkdale,meredith,angul,maidstone,ballarat_central,rutherglen,keilor,hamilton,keilor_downs,brunswick,cranbourne_south,east_bairnsdale,niddrie,rainbow,trentham,gowanbrae,glen_iris,north_wonthaggi,gisborne,carisbrook,ivanhoe,pakenham,drysdale,lilydale,craigieburn,templestowe_lower,maribyrnong,lysterfield,alphington,seaford,parkville,nungurner,leongatha,essendon_fields,keysborough,wyuna_east,brunswick_west,mont_albert_north,highton,kyabram,south_morang,springbank,eastwood,wangaratta,kangaroo_flat,watsonia,jackass_flat,euroa,queenscliff,attwood,wallington,glenmaggie,mernda,clifton_springs,drung,heyfield,wandong,abbotsford,traralgon,pyalong,kilmore,flowerdale,winchelsea,avenel,greta_west,crib_point,clyde,warrnambool,mickleham,rowville,raymond_island,lalor,clayton,dales_creek,rosedale,bacchus_marsh,omeo,portarlington,golden_beach,quambatook,lockwood_south,oak_park,delacombe,donnybrook,wimbledon_heights,glen_waverley,mornington,laverton,hampton_park,castlemaine,saint_arnaud
348000.0,571900.0,925000.0,20000.0,10000.0,10000.0,825000.0,10000.0,1950000.0,309500.0,925000.0,490000.0,1187500.0,675000.0,459900.0,680000.0,2230000.0,3350000.0,493000.0,405000.0,640000.0,450000.0,900000.0,435680.0,2325000.0,692000.0,459000.0,459000.0,180000.0,600475.0,513210.0,375000.0,450360.0,415910.0,451860.0,470414.0,495000.0,529900.0,482820.0,457200.0,690000.0,514500.0,617500.0,1500000.0,340000.0,285000.0,630000.0,225000.0,598000.0,717500.0,1050000.0,1425000.0,1150000.0,289000.0,185000.0,639000.0,11500000.0,625000.0,477639.0,804030.0,529536.0,523754.0,409655.0,600000.0,250000.0,1349000.0,636050.0,240000.0,889900.0,815000.0,420000.0,2045000.0,1650000.0,519900.0,439000.0,494821.0,485000.0,375000.0,599730.0,366000.0,446173.0,745039.0,255000.0,2495000.0,900000.0,399000.0,1190000.0,920000.0,519500.0,505000.0,617500.0,625000.0,48000.0,1248105.0,350000.0,700000.0,525000.0,537000.0,559300.0,775000.0,1300000.0,819000.0,460000.0,362500.0,1815000.0,440000.0,625000.0,482500.0,505000.0,397500.0,589775.0,890000.0,1025000.0,720000.0,625000.0,419000.0,669000.0,471908.0,1250000.0,479000.0,736600.0,559000.0,441716.0,230000.0,636916.0,2500000.0,300000.0,156000.0,760000.0,815000.0,1050000.0,969530.0,459000.0,588667.0,653467.0,712085.0,295000.0,295000.0,545000.0,997500.0,700000.0,1075000.0,740000.0,750000.0,1100000.0,525000.0,235000.0,600000.0,540000.0,297500.0,299500.0,2900000.0,2550000.0,569900.0,555000.0,543000.0,355000.0,1450000.0,725000.0,628341.0,592500.0,360000.0,289000.0,674500.0,207500.0,465000.0,167500.0,1360000.0,469822.0,1670000.0,775000.0,155000.0,199000.0,395000.0,790000.0,429000.0,836104.0,395000.0,845000.0,280000.0,1600000.0,595000.0,504200.0,945000.0,479000.0,120000.0,1300000.0,149000.0,925000.0,622500.0,679500.0,319000.0,2500000.0,140000.0,1425000.0,717500.0,470000.0,460000.0,770000.0,1029000.0,775000.0,622500.0,785000.0,795000.0,745000.0,440000.0,669000.0,825000.0,829500.0,340000.0,630000.0,1155000.0,412500.0,324000.0,825000.0,65000000.0,649500.0,385000.0,435000.0,795000.0,435000.0,379000.0,1375000.0,900000.0,802500.0,625000.0,504000.0,555000.0,4320000.0,329000.0,1045000.0,960000.0,509000.0,970000.0,675000.0,795000.0,648585.0,571201.0,456167.0,725000.0,442017.0,310000.0,345000.0,563325.0,975000.0,815000.0,483900.0,799000.0,620000.0,528000.0,339000.0,1400000.0,140000.0,432500.0,376000.0,710000.0,537157.0,576011.0,704500.0,1590000.0,700000.0,600000.0,613800.0,635000.0,307500.0
1556000.0,599800.0,646485.0,502900.0,590000.0,597980.0,,697074.0,2100000.0,1525000.0,770000.0,,,475000.0,500000.0,,,1150000.0,,405000.0,,414260.0,625000.0,517379.0,1650000.0,,,98000.0,,622224.0,,453810.0,,251000.0,,,,355000.0,598720.0,559000.0,375000.0,545000.0,735000.0,,,,1750000.0,692792.0,660050.0,,,,,370000.0,,704000.0,1460000.0,,426277.0,943329.0,484792.0,526999.0,394088.0,,,,,397500.0,620.0,,,767570.0,1050000.0,451100.0,,519444.0,,,558591.0,506500.0,543500.0,616383.0,289000.0,,,428600.0,,,,668000.0,,,,1205733.0,,624000.0,,280000.0,616600.0,,,934500.0,537500.0,,,420000.0,460000.0,,455000.0,,560342.0,,,,1039500.0,480600.0,,610000.0,,,899000.0,360000.0,625000.0,230000.0,,,489000.0,126000.0,,525000.0,,,510000.0,543000.0,539555.0,47799000.0,,,997500.0,,,,,,,,592766.0,460000.0,512658.0,,450000.0,,,,910000.0,,,,,516200.0,,360000.0,359000.0,,,,,,496197.0,,870000.0,415000.0,,515000.0,,,,,,,,,,1450000.0,618300.0,127500.0,,,,,352500.0,,,,,535000.0,,,,1350000.0,530000.0,,,825000.0,,,,,,,,,761513.0,,,,,,,,,,,,,,,659000.0,,165000.0,,,,,,,,,,,493450.0,,320000.0,,765000.0,,989900.0,,,,,,280000.0,,,,530578.0,665.0,,,,,,,
996000.0,482900.0,350000.0,490400.0,482623.0,568468.0,,610574.0,1080000.0,,805000.0,,,,568543.0,,,,,405000.0,,,570000.0,,,,,,,716595.0,,812500.0,,251000.0,,,,399000.0,615000.0,469097.0,,,,,,,,791424.0,837900.0,,,,,,,523500.0,1490000.0,,602887.0,675000.0,591975.0,585000.0,,,,,,397500.0,841900.0,,,,,527300.0,,479900.0,,,596112.0,554000.0,613800.0,559040.0,,,,,,,,745000.0,,,,,,770000.0,,320000.0,,,,,,,,,535500.0,,665000.0,,345000.0,,,,,,,550000.0,,,,,,,,,490.0,152000.0,,,,,510000.0,564500.0,663355.0,443285.0,,,,,,,,,,,,545000.0,,,,,,,,,,,,,,,410000.0,,,,,,,,,,,,,,,,,,,,,,488000.0,127500.0,,,,,,,,,,749000.0,,,,,407500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490000.0,,449000.0,,,,,,,,,,,,,,621727.0,,,,,,,,
940000.0,,624000.0,470400.0,695000.0,499611.0,,639574.0,480000.0,,,,,,331000.0,,,,,405000.0,,,343200.0,,,,,,,661860.0,,608289.0,,580000.0,,,,272000.0,,467067.0,,,,,,,,721700.0,,,,,,,,,450000.0,,550000.0,523200.0,528468.0,742500.0,,,,,,377500.0,795900.0,,,,,,,272000.0,,,560276.0,356500.0,235000.0,702548.0,,,,,,,,684000.0,,,,,,570000.0,,1470000.0,,,,,,,,,409500.0,,414500.0,,345000.0,,,,,,,,,,,,,,,,549000.0,,,,,,540000.0,440000.0,,46699000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,389000.0,,,,,,,,,,,,,,,,,,,,,,478600.0,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820017.0,,492511.0,,,,,,,,,,,,,,,,,,,,,,
595000.0,,772750.0,492900.0,598100.0,545900.0,,630574.0,,,,,,,370000.0,,,,,395000.0,,,336700.0,,,,,,,560000.0,,612223.0,,,,,,584679.0,,,,,,,,,,750000.0,,,,,,,,,,,624000.0,465100.0,,365000.0,,,,,,,768497.0,,,,,,,,,,439920.0,651000.0,225000.0,619161.0,,,,,,,,608000.0,,,,,,345000.0,,1300000.0,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,920000.0,600000.0,,47799000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,375000.0,,,,,,,,,,,,,,,,,,,,,,758632.0,,,,,,,,,,,543000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512929.0,,,,,,,,,,,,,,,,,,,,,,,,
515000.0,,748750.0,475400.0,629800.0,504100.0,,670574.0,,,,,,,495000.0,,,,,,,,337900.0,,,,,,,668644.0,,551523.0,,,,,,303000.0,,,,,,,,,,,,,,,,,,,,,502143.0,679587.0,,565521.0,,,,,,,653380.0,,,,,,,,,,501810.0,,565803.0,347500.0,,,,,,,,1050131.0,,,,,,611000.0,,,,,,,,,,,630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,810000.0,650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513946.0,,,,,,,,,,,525200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499751.0,,,,,,,,,,,,,,,,,,,,,,,,
844000.0,,,472000.0,643848.0,575610.0,,639074.0,,,,,,,593888.0,,,,,,,,429000.0,,,,,,,,,460234.0,,,,,,335000.0,,,,,,,,,,,,,,,,,,,,,433007.0,858966.0,,530000.0,,,,,,,485800.0,,,,,,,,,,,,,347500.0,,,,,,,,1050131.0,,,,,,447000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680000.0,670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632900.0,,,,,,,,,,,668113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,
520000.0,,,491700.0,693367.0,561490.0,,590804.0,,,,,,,43700000.0,,,,,,,,663500.0,,,,,,,,,465616.0,,,,,,369000.0,,,,,,,,,,,,,,,,,,,,,462639.0,789600.0,,,,,,,,,646897.0,,,,,,,,,,,,,310000.0,,,,,,,,,,,,,,553000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508900.0,,,,,,,,,,,540038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482395.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,478300.0,666300.0,574494.0,,545300.0,,,,,,,430000.0,,,,,,,,660000.0,,,,,,,,,569000.0,,,,,,272000.0,,,,,,,,,,,,,,,,,,,,,505652.0,,,,,,,,,,890000.0,,,,,,,,,,,,,310000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484946.0,,,,,,,,,,,539365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,514900.0,510000.0,559800.0,,463108.0,,,,,,,42500000.0,,,,,,,,349300.0,,,,,,,,,567376.0,,,,,,549955.0,,,,,,,,,,,,,,,,,,,,,510944.0,,,,,,,,,,775000.0,,,,,,,,,,,,,554800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
