chewton,tarneit,maryborough,ringwood_north,werribee,mount_waverley,costerfield,eaglemont,burwood,blairgowrie,fraser_rise,woodend,coburg,hillside,mickleham,deanside,cohuna,cannons_creek,craigieburn,clyde,anglesea,melbourne,berwick,officer,clyde_north,clayton,endeavour_hills,armstrong_creek,redan,west_footscray,montmorency,parkdale,murrumbeena,heidelberg,charlemont,springvale,wyndham_vale,albert_park,ferntree_gully,romsey,point_cook,cobblebank,mambourin,wollert,plumpton,glenroy,ringwood,morwell,traralgon,pakenham,newborough,balnarring,huntly,saint_kilda_west,numurkah,eltham_north,lismore,abbotsford,warragul,camberwell,wendouree,heathmont,sale,norlane,flora_hill,frankston,hoppers_crossing,st_kilda,north_melbourne,noble_park_north,seabrook,south_yarra,torquay,greensborough,middle_park,buckrabanyule,weir_views,doncaster,saint_leonards,bentleigh_east,keilor_east,golden_square,clifton_springs,watsonia,altona_meadows,droxford,brunswick,box_hill_south,sydenham,tootgarook,alfredton,chirnside_park,mill_park,hampton_east,daylesford,truganina,richmond,mount_eliza,golden_beach,lucknow,donnybrook,brown_hill,essendon,carrum_downs,doncaster_east,cressy,cranbourne_west,kialla,northcote,dandenong,merrijig,bailieston,eynesbury,bentleigh,cabarita,bundoora,grahamvale,east_melbourne,beveridge,maffra,croydon,tynong,allansford,sandringham,moonee_ponds,mount_pleasant,diggers_rest,glenrowan,thornhill_park,boronia,briar_hill,wangaratta_south,melton_west,warracknabeal,eltham,hawthorn,burnley,corio,lakes_entrance,braybrook,hampton,williamstown,malvern_east,carnegie,alphington,preston,rockbank,sunbury,doveton,codrington,maribyrnong,glen_huntly,hamilton,templestowe_lower,seaford,balwyn_north,brunswick_west,cranbourne,epping,altona_north,waurn_ponds,ormond,pascoe_vale,kilmore,swan_hill,koroit,ascot_vale,gisborne,melton_south,cowes,yarram,ivanhoe,st_kilda_east,strathdale,mildura,moe,wantirna,ballarat_north,trafalgar,inverloch,ocean_grove,lethbridge,cranbourne_east,saint_albans_park,alexandra,edithvale,elsternwick,bet_bet,newport,kennington,kilsyth,kalkallo,thornbury,nunawading,red_cliffs,wallan,highett,bonbeach,ringwood_east,balwyn,maindample,frankston_north,smythes_creek,rowville,docklands,langwarrin,benalla,fitzroy_north,warrnambool,lucas,mount_cottrell,footscray,yarraville,delacombe,williams_landing,allambee_south,lara,narre_warren_south,kurunjang,woodstock,san_remo,surrey_hills,mount_helen,mornington,crib_point,leongatha,wodonga,doreen,sunshine_north,cockatoo,north_wonthaggi,mentone,south_melbourne,fairfield,ararat,bears_lagoon,strathtulloh,devon_north,southbank,dandenong_north,ventnor,clifton_hill,hampton_park,paynesville,blackburn_south,kew,nakatsu,sunshine_west,narre_warren,mount_bruno,donvale,marengo,maidstone,upwey,noble_park,croydon_hills,broadmeadows,ascot,cranbourne_south,meadow_heights,collingwood,newlands_arm,oakleigh,manor_lakes,spring_gully,st_albans,chelsea_heights,botanic_ridge,carlton_north,frankston_south,dennington,oxley,grovedale,mount_evelyn,queenscliff,belgrave_heights,wonthaggi,keysborough,kithbrook,niddrie,keilor_park,amherst,merbein,camperdown,baranduda,wangaratta,beaconsfield,great_western,cranbourne_north,gembrook,mooroolbark,aspendale,heyfield,heidelberg_west,mordialloc,coburg_north,tullamarine,avondale_heights,elwood,black_rock,kensington,drouin,bright,mccrae,soldiers_hill,ardeer,horsham,werribee_south,whittlesea,buninyong,bayswater_north,lynbrook,harmers_haven,lalor,newcomb,springvale_south,maddingley,ballan,yarrawonga,cape_town,eppalock,toongabbie,swan_reach,rockford,cheltenham,pipers_creek,kaniva,box_hill,reservoir,portland_north,rochester,surf_beach,prahran,diamond_creek,mount_duneed,lockwood_south,burwood_east,brookfield,dromana,mount_martha,dunolly,highton,north_bendigo,south_kingsville,lilydale,templestowe,delahey,caulfield,lake_gardens,sebastopol,home_valley,ballarat_central,canadian,ross_creek,melton,leneva,east_warburton,shepparton,rosanna,kilsyth_south,golden_point,snake_valley,bayswater,princes_hill,brunswick_east,fitzroy,bulleen,mulgrave,hallam,heathcote,joondalup,rye,aberfeldie,keilor_downs,leopold,coronet_bay,west_wodonga,east_bendigo,roxburgh_park,nyora,tyntynder,greenvale,ballarat_east,clunes,beaufort,wandana_heights,mount_clear,mitchell_park,jackass_flat,nyah,cremorne,blackburn,kyneton,nhill,bulla,korumburra,flemington,montrose,capel_sound,merton,axedale,mooroopna,belmont,essendon_north,cape_woolamai,south_morang,coolaroo,devon_meadows,mansfield,kingsville,warrandyte_south,armadale,the_basin,parkville,caulfield_north,lower_plenty,glen_iris,laanecoorie,windsor,metung,tatura,lyndhurst,toorak,spotswood,viewbank,katandra_west,vermont,yinnar_south,warburton,rosebud,wandin_north,indented_head,pascoe_vale_south,mernda,altona,patterson_lakes,mckinnon,lancefield,geelong,oak_park,stanley,colac,goornong,upper_ryans_creek,trentham,mount_macedon,taylors_lakes,eastwood,sunshine,fawkner,airport_west,strathfieldsaye,blackburn_north,caulfield_south,hadfield,shelbourne,cobram
185000.0,293000.0,350000.0,1100000.0,427680.0,1575000.0,485000.0,2045000.0,563300.0,1100000.0,508800.0,1669500.0,1007500.0,345000.0,323000.0,661782.0,290000.0,700000.0,675000.0,749805.0,1685000.0,785000.0,716200.0,674700.0,663200.0,989900.0,670000.0,910000.0,762500.0,1725000.0,875000.0,1425000.0,2625000.0,1750000.0,655000.0,265000.0,516412.0,840000.0,675000.0,782500.0,900347.0,535844.0,425343.0,649989.0,570000.0,720000.0,1155000.0,295000.0,688000.0,522.0,349000.0,1350000.0,450000.0,140.0,310000.0,536857.0,225000.0,575000.0,395000.0,440000.0,309000.0,1005000.0,449500.0,525000.0,270000.0,1385000.0,460000.0,910000.0,375000.0,665000.0,745000.0,350000.0,922500.0,1000000.0,180.0,450000.0,370000.0,570000620000.0,410000.0,1200000.0,615000.0,415000.0,789000.0,875000.0,525000.0,607546.0,1350000.0,1785000.0,430000.0,922500.0,415000.0,1100000.0,420000.0,1500000.0,720000.0,479500.0,840000.0,945000.0,730000.0,650000.0,547725.0,400000.0,870000.0,717500.0,1625000.0,140000.0,619000.0,505000.0,1550000.0,605000.0,380000.0,385000.0,736340.0,695000.0,682500.0,875000.0,720000.0,270000.0,496370.0,405000.0,780000.0,720000.0,512000.0,1680000.0,420000.0,405000.0,502169.0,325000.0,694000.0,1150000.0,735000.0,1270000.0,554000.0,39900.0,1400000.0,108.0,170.0,525000.0,380000.0,700000.0,2450000.0,1525000.0,501438.0,399000.0,1425000.0,685000.0,719000.0,770000.0,472500.0,559000.0,590000.0,460000.0,569000.0,997500.0,945000.0,945000.0,445000.0,545000.0,897500.0,1035000.0,710000.0,450000.0,315000.0,531715.0,595000.0,455000.0,770000.0,429000.0,670000.0,468000.0,460000.0,2050000.0,462500.0,537500.0,283500.0,250000.0,1205000.0,335000.0,480000.0,925000.0,1200000.0,600000.0,607500.0,725000.0,575000.0,600000.0,765000.0,240000.0,755000.0,450000.0,1030000.0,660786.0,1100000.0,675000.0,340000.0,565000.0,1600000.0,980000.0,800000.0,840000.0,430000.0,546000.0,295000.0,755000.0,487500.0,850000.0,305000.0,1350000.0,259990.0,795000.0,665000.0,670000.0,382500.0,537500.0,815000.0,249000.0,690400.0,1347500.0,834000.0,764300.0,999000.0,659000.0,220000.0,1010000.0,775000.0,280000.0,369000.0,665000.0,767500.0,630000.0,670000.0,767500.0,875000.0,337500.0,197500.0,375000.0,555825.0,420000.0,487500.0,672000.0,895000.0,970000.0,674500.0,469000.0,920000.0,3300000.0,650000.0,600000.0,680000.0,400000.0,1295000.0,795000.0,388000.0,877500.0,670000.0,120.0,535.0,500000.0,522700.0,630000.0,622500.0,479000.0,555000.0,521132.0,507500.0,572500.0,985000.0,862500.0,630000.0,489500.0,550000.0,809000.0,594000.0,1075000.0,1700000.0,910000.0,340000.0,840000.0,750000.0,412500.0,855000.0,150000.0,280000.0,275000.0,505864.0,497000.0,497500.0,469000.0,555000.0,1150000.0,595000.0,1300000.0,215000.0,600000.0,610000.0,580000.0,630000.0,800000.0,650000.0,1300000.0,997500.0,810000.0,1850000.0,615000.0,435000.0,700000.0,249500.0,1200000.0,720000.0,725000.0,450000.0,785000.0,690000.0,614900.0,239000.0,675000.0,225000.0,1199000.0,529000.0,535888.0,756300.0,700000.0,495000.0,175000.0,800000.0,1800000.0,155000.0,95500.0,820000.0,170000.0,445000.0,519000.0,617500.0,925000.0,740000.0,482500.0,819000.0,514500.0,665000.0,2400000.0,1500000.0,825000.0,410000.0,705000.0,925000.0,2300000.0,560000.0,395000.0,745000.0,465000.0,787500.0,1500000.0,359000.0,1449000.0,384000.0,619000.0,350000.0,545000.0,890000.0,945000.0,385000.0,80000.0,675000.0,1540000.0,630000.0,1350000.0,1500000.0,885000.0,635000.0,435000.0,469900.0,910000.0,2425000.0,565000.0,649000.0,515.0,395000.0,705000.0,560000.0,446.0,1740000.0,445000.0,620000.0,410000.0,450000.0,840000.0,400000.0,1350000.0,710000.0,279000.0,997500.0,1102500.0,585000.0,160000.0,1260000.0,465950.0,1015000.0,750000.0,715000.0,795000.0,365000.0,516880.0,715000.0,385000.0,699000.0,494900.0,395000.0,1345000.0,2025000.0,1100000.0,120.0,600000.0,1150000.0,1475000.0,690000.0,1250000.0,735000.0,265000.0,775000.0,550000.0,730000.0,775000.0,625000.0,920000.0,120.0,342500.0,997500.0,770000.0,720000.0,820000.0,785000.0,720000.0,1430000.0,380000.0,685000.0,840000.0,1200000.0,827000.0,565000.0,620000.0,760000.0,750000.0,150000.0,585000.0,710000.0,1600000.0,825000.0,599000.0,795000.0,675000.0,815000.0,820000.0,1207500.0,1150000.0,860.0,520000.0,398000.0
,500895.0,420000.0,1450000.0,544238.0,494446.0,,,1350000.0,,479165.0,,535000.0,323000.0,565000.0,589443.0,,,495000.0,642500.0,,832500.0,757061.0,482596.0,760000.0,979900.0,,665000.0,335000.0,1450000.0,815000.0,892500.0,970000.0,,510285.0,945000.0,532304.0,480000.0,780000.0,915000.0,770200.0,,545045.0,634000.0,470900.0,905000.0,817500.0,298000.0,398000.0,495.0,299000.0,,622500.0,,370000.0,587907.0,,390000.0,625000.0,1800000.0,490000.0,720000.0,299950.0,,255000.0,565000.0,545000.0,420000.0,1050000.0,,,390000.0,1150000.0,885000.0,,,,16500001750000.0,720000.0,1430000.0,595000.0,612500.0,650000.0,1300000.0,675000.0,,1350000.0,,525000.0,,269000.0,910000.0,,800000.0,,598500.0,130.0,1150000.0,,,679200.0,420000.0,600000.0,597500.0,12.5,385000.0,499950.0,590000.0,1550000.0,472500.0,,250000.0,681000.0,575000.0,,441000.0,,795000.0,520229.0,,625000.0,,,2400000.0,465000.0,,555000.0,,608000618000.0,755000.0,735000.0,,309000.0,,1600000.0,395000.0,,450000.0,649000.0,514286.0,2450000.0,1090000.0,610000.0,1900000.0,2200000.0,520000.0,357000.0,801515.0,575000.0,,275000.0,,289000.0,11.5,787500.0,,412500.0,555000.0,,660000.0,,499950.0,832500.0,488104.0,350000.0,,,681146.0,659000.0,789000.0,,1187500.0,710000.0,,422500.0,325000.0,,,,939000.0,1550000.0,,622700.0,,,865000.0,805000.0,,,,755000.0,,425000.0,625000.0,150000.0,510000.0,890000.0,,945000.0,,,,1324000.0,1100000.0,,,192500.0,2575000.0,,,420000.0,1090000.0,1300000.0,625000.0,,,450010.0,655000.0,527367.0,,,2100000.0,,774600.0,,,686042.0,490000.0,,,,295000.0,1050000.0,405000.0,180000.0,,,,588000.0,,,2600000.0,,480000.0,,795000.0,1400000.0,,680000.0,,144.0,,,,575000.0,,480.0,,456000.0,,219000.0,,,448445.0,372500.0,825.0,,,715000.0,,,,,,,,517500.0,724500.0,,,775000.0,,,,447837.0,474000.0,,,430000.0,,765000.0,590000.0,,525000.0,925000.0,,,,642500.0,,1015000.0,522000.0,,,,,119000.0,,,819000.0,,,,549900.0,,825000.0,,262500.0,,453888.0,,,,,525000.0,,,,725000.0,,,,1150000.0,,,,1250000.0,282000.0,90.0,2025000.0,,720000.0,,515000.0,,,,538.0,,475000.0,,997500.0,700000.0,,,,,394000.0,880000.0,,,,,,905000.0,700000.0,,,,,,,2600000.0,,,494.0,,,,420.0,,,490000.0,,,,,,,,,,,,,465950.0,,,,450000.0,,487348.0,,,,617500.0,,,,,,2625000.0,785000.0,,,,420000.0,,,,,840000.0,,,,,,,,640000.0,,,2100000.0,,,,,,565000.0,,,,,,,,820000.0,,,,,,,,,,
,536685.0,330000.0,1440000.0,559313.0,1100000.0,,,,,577591.0,,505000.0,,570000.0,666311.0,,,784010.0,609.0,,767500.0,1340000.0,556179.0,556695.0,749990.0,,615000.0,,,,1925000.0,710000.0,,517885.0,,566712.0,,945000.0,875000.0,810272.0,,640000.0,549813.0,511900.0,699900.0,550000.0,285000.0,398000.0,567000.0,,,545000.0,,,,,378000.0,699000.0,495000.0,605000.0,,315000.0,,632500.0,459811.0,600000.0,460000.0,,,,602500.0,1375000.0,560000.0,,,,1675000.0,,1400000.0,1310000.0,,804000.0,,700000.0,,1150000.0,,925000.0,,255000.0,950000.0,,1250000.0,,439000.0,980000.0,,,,611208.0,450000.0,,682500.0,13.5,,,,815000.0,619500.0,,,528687.0,570000.0,,880000.0,,525000.0,528158.0,,832500.0,,,1750000.0,1575000.0,,,,471000481000.0,619500.0,,,480000.0,,950000.0,,,609341.0,,,,1350000.0,565000.0,585000.0,2875000.0,377500.0,716400.0,705120.0,585000.0,,,,,1535000.0,715000.0,,925000.0,1300000.0,,925000.0,,1100000.0,120.0,481713.0,289000.0,,,699000.0,514000.0,1019500.0,,,512500.0,,235000.0,225000.0,,,,,575000.0,,655000.0,,,1200000.0,,,,,567000.0,,,,255000.0,,850000.0,,,,,,785000.0,,,,,1650000.0,,,,311000.0,645000.0,,,,555062.0,,,,,,,540000.0,,,,625000.0,,,,,775000.0,559000.0,,,,,655000.0,,,,,,,1650000.0,,,620000.0,,,,,,420000.0,,600.0,,455000.0,,,,,506900.0,,575000.0,,,,,,,,,,,,885000.0,,,,,,,412837.0,509000.0,,,550000.0,,,,,,,,,,690000.0,,,510000.0,,,,,,,,285000.0,,,,,,910000.0,,,,,,,,,759000.0,,,,802500.0,,,,388500.0,,,,,,,,,,,,,,,,,495000.0,,,,,,,,,920000.0,,,,,,,795000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465950.0,,,,,,443806.0,,,,819950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,589691.0,315000.0,1027500.0,450300.0,997500.0,,,,,637609.0,,840000.0,,460000.0,620391.0,,,784010.0,594.0,,783750.0,575000.0,447596.0,779082.0,819900.0,,,,,,,,,668900.0,,519600.0,,797500.0,,760400.0,,,710000.0,514900.0,550.0,555000.0,,435000.0,577500.0,,,,,,,,,775000.0,1690000.0,595000.0,,395000.0,,,453081.0,565000.0,307500.0,,,,335000.0,855000.0,,,,,1200000.0,,1435000.0,1250000.0,,,,725000.0,,1330000.0,,615000.0,,750000.0,,,,,619455.0,840000.0,,,,556756.0,455000.0,,,11.5,,,,325000.0,,,,,1275000.0,,815000.0,,,455799.0,,560000.0,,,,1750000.0,,,,421460.0,714000.0,,,,,1100000.0,,,600341.0,,,,,1350000.0,,2200000.0,1262500.0,537500.0,782462.0,472500.0,,,,,130.0,650000.0,,420000.0,379950.0,,925000.0,,1470000.0,1800000.0,503683.0,299000.0,,,317000.0,590000.0,,,,565000.0,,147000.0,225000.0,,,,,,,455000.0,,,,,,,,735000.0,,,,,,615000.0,,,,,,550000.0,,,,,,,,,522000.0,1200000.0,,,,538796.0,,,,,,,,,,,505000.0,,,,,,395000.0,,,,,840000.0,,,,,,,,,,680000.0,,,,,,,,445.0,,675000.0,,,,,,,,,,,,,,,,,,,630000.0,,,,,,,,599000.0,,,865.0,,,,,,,,,,,,,774000.0,,,,,,,,,,,,,,,,,,,,,,,615000.0,,,,,,,,350000.0,,,,,,,,,,,,,,,,,445000.0,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,588376.0,,,411900.0,84.0,,,,,515894.0,,1750000.0,,575703.0,562100.0,,,,749000.0,,473200.0,913500.0,601.0,652794.0,839900.0,,,,,,,,,547900.0,,527900.0,,764500.0,,545000.0,,,635786.0,643011.0,529950.0,890000.0,,529000.0,755000.0,,,,,,,,,662500.0,665000.0,445000.0,,320000.0,,,458434.0,,,,,,440000.0,840000.0,,,,,1500000.0,,1200000.0,695000.0,,,,720000.0,,500000.0,,,,1050000.0,,,,,469000.0,2100000.0,,,,538206.0,536.0,,,1100000.0,,,,,,,,,1650000.0,,650000.0,,,548723.0,,490000.0,,,,920000.0,,,,,,,,,,,,,619341.0,,,,,,,480000.0,693000.0,,,454000.0,,,,,11.5,,,997500.0,,,720000.0,,,815000.0,,249000.0,,,,455000.0,,,,,,493500.0,,,,,,,,,,,,,,,,640000.0,,,,,,1470000.0,,,,,,,,,,,,,,,1250000.0,,,,,,,,,,,,,,,,,,,,,,992500.0,,,,,575000.0,,,,,,,,,,652500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,648000.0,,,427680.0,,,,,,595932.0,,815000.0,,,523779.0,,,,630000.0,,471600.0,520456.0,588.0,996900.0,403900.0,,,,,,,,,589900.0,,456000.0,,,,507500.0,,,850786.0,666319.0,625000.0,1207500.0,,339000.0,605000.0,,,,,,,,,740000.0,,512500.0,,,,,735000.0,,,,,,345000.0,920000.0,,,,,1500000.0,,,,,,,,,390000.0,,,,,,,,,469000.0,335000.0,,,,576700.0,590000.0,,,11500001250000.0,,,,,,,,,,,,,,511727.0,,712500.0,,,,,,,,,,,,,,,,,619341.0,,,,,,,,700000.0,,,460000.0,,,,,91.5,,,1350000.0,,,,,,805000.0,,,,,,,,,,,,208500.0,,,,,,,,,,,,,,,,840000.0,,,,,,870000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302500.0,,,,,700000.0,,,,,,,,,,710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,759700.0,,,527800.0,,,,,,750000.0,,1200000.0,,,618497.0,,,,640000.0,,777500.0,602192.0,585.0,523000.0,483900.0,,,,,,,,,611000.0,,854100.0,,,,997500.0,,,806600.0,601683.0,389000.0,,,398000.0,905000.0,,,,,,,,,855000.0,,275000.0,,,,,262500.0,,,,,,,912500.0,,,,,120.0,,,,,,,,,,,,,,,,,,643806.0,1300000.0,,,,483900.0,,,,1340000.0,,,,,,,,,,,,,,492427.0,,649950.0,,,,,,,,,,,,,,,,,619341.0,,,,,,,,1575000.0,,,,,,,,,,,1015000.0,,,,,,,,,,,,,,,,,,511466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,759700.0,,,360000.0,,,,,,706737.0,,,,,513627.0,,,,507500.0,,755000.0,822900.0,521.0,548300.0,383400.0,,,,,,,,,552272.0,,583915.0,,,,755000.0,,,595000.0,655900565900.0,,,,319000.0,498300.0,,,,,,,,,399000.0,,,,,,,745500.0,,,,,,,,,,,,730000.0,,,,,,,,,,,,,,,,,,,1250000.0,,,,557900.0,,,,,,,,,,,,,,,,,,505989.0,,,,,,,,,,,,,,,,,,,619341.0,,,,,,,,1550000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,780400.0,,,660000.0,,,,,,665749.0,,,,,831900.0,,,,,,635000.0,700000.0,502.0,570.0,576900.0,,,,,,,,,,,590000.0,,,,720000.0,,,649989.0,,,,,,420000.0,,,,,,,,,,,,,,,,790000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000.0,,,,538033.0,,,,,,,,,,,,,,,,,,476112.0,,,,,,,,,,,,,,,,,,,590341.0,,,,,,,,1050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,593900.0,,,550000.0,,,,,,665449.0,,,,,475000.0,,,,,,1030500.0,1015000.0,596.0,451250.0,849950.0,,,,,,,,,,,338000.0,,,,575000.0,,,,,,,,,525000.0,,,,,,,,,,,,,,,,605000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461162.0,,,,,,,,,,,,,,,,,,516480.0,,,,,,,,,,,,,,,,,,,601341.0,,,,,,,,672500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
