lara,footscray,melbourne,tarneit,mornington,sebastopol,san_francisco,mount_waverley,cheltenham,kyneton,glen_iris,box_hill,wyndham_vale,strathtulloh,truganina,saint_arnaud,belmont,hamlyn_heights,highton,elwood,benalla,oakleigh_south,docklands,lyndhurst,clyde_north,greenvale,point_cook,southbank,dayton,weir_views,clyde,dhurringile,armadale,greensborough,berwick,plumpton,melton_west,alphington,maldon,warrnambool,portland,ocean_grove,melton,traralgon,warranwood,st_kilda,keysborough,bulleen,tinamba,huntly,devils_river,preston,mickleham,sale,frankston_south,golden_square,clayton_south,bena,castlemaine,tamworth,cranbourne_north,bayswater_north,braybrook,botanic_ridge,chelsea_heights,bentleigh,pakenham,mernda,rockbank,moonee_ponds,emerald,wendouree,toorloo_arm,cranbourne_south,eltham,armstrong_creek,lindenow,doncaster,officer,fraser_rise,caulfield_south,wangaratta,templestowe_lower,malvern_east,kalkallo,beveridge,hillside,werribee,woodstock,craigieburn,brookfield,melton_south,sunshine_west,whittlesea,parkdale,bentleigh_east,mount_duneed,mount_clear,newborough,charlemont,dales_creek,caulfield,brighton,kennington,drouin,glen_waverley,birregurra,dingley_village,jackass_flat,heathmont,ballarat_central,maribyrnong,meeniyan,lovely_banks,kilmore,albert_park,crossover,wodonga,curlewis,newport,alfredton,ballarat_east,camberwell,darnum,templestowe,morwell,doncaster_east,moe,ascot_vale,hampton_park,loch_sport,bendigo,swan_hill,north_melbourne,avoca,sunbury,durham,saint_andrews,parkville,beaumaris,pascoe_vale,taylors_hill,flora_hill,epsom,knoxfield,soldiers_hill,west_wodonga,croydon,cape_woolamai,macleod,ivanhoe,woodside,ringwood_east,maiden_gully,wollert,noble_park_north,beechworth,independence,grovedale,gisborne,mount_martha,gladstone_park,liège,wy_yung,korumburra,eaglehawk,surrey_hills_south,kilsyth,foster_north,goughs_bay,hampton_east,highett,west_footscray,ballan,rosebud,nar_nar_goon,carrum_downs,cranbourne_east,portarlington,upper_plenty,golden_beach,brunswick_east,waurn_ponds,blackburn_south,briar_hill,doreen,thornhill_park,murrumbeena,saint_leonards,murrindal,whittington,elsternwick,nunawading,st_kilda_east,kurunjang,lalor,mambourin,donvale,deanside,corio,euroa,balnarring,avondale_heights,taylors_lakes,noble_park,warragul,mansfield,giza,mirboo_north,brunswick,south_melbourne,silverleaves,bacchus_marsh,white_hills,yarra_junction,traralgon_east,teesdale,bonnie_brook,lang_lang,terang,revelstoke,glenrowan,lucas,lamongan,surrey_hills,diggers_rest,suffern,pascoe_vale_south,bonshaw,cowes,mount_eliza,venus_bay,tylden,cobblebank,fingal,nyora,kew,tulloona,fitzroy_north,narre_warren_south,hawthorn_east,goornong,joplin,narre_warren,campbells_creek,axedale,ferntree_gully,junortoun,delacombe,mont_albert_north,chelsea,altona_meadows,cranbourne_west,grantville,leopold,horsham,yendon,wallan,maryborough,hawthorn,northcote,saint_kilda_west,chiltern,coburg,dartmoor,williams_landing,heidelberg_heights,inverloch,riddells_creek,donald,sandhurst,scoresby,frankston,crib_point,hastings,donnybrook,marong,st_albans,heidelberg,glenroy,rowville,nathalia,north_geelong,canadian,lake_wendouree,boronia,seymour,hepburn,rye,hazelwood_north,yarram,dereel,whitefish,healesville,mordialloc,heathcote,cobram,kansas_city,ventnor,hampton,hamilton,tootgarook,langwarrin,lakes_entrance,newcomb,mildura,williamstown_north,tatura,miepoll,eppalock,oakleigh_east,newtown,creswick,norlane,bridgewater_on_loddon,windermere,wyuna,lysterfield,clifton_springs,hoppers_crossing,hurstbridge,prahran,kinglake,beaconsfield,maidstone,cardross,avenel,epping,the_plains,churchill,south_yarra,bayswater,quarry_hill,maddingley,airport_west,collingwood,south_morang,lockwood_south,sunshine_north,montmorency,black_rock,brown_hill,lynbrook,roxburgh_park,toorak,research,springvale,balwyn,noorat,croydon_hills,bairnsdale,bell_park,koo_wee_rup,wonthaggi,sunshine,ringwood_north,coburg_north,kangaroo_flat,lydney,wonga_park,seaholme,trafalgar,yarraville,clayton,cabarita,haddon,tawonga_south,point_lonsdale,mentone,niddrie,wimbledon_heights,long_gully,essendon,johanna,wandin_north,costerfield,eaglemont,burwood,blairgowrie,woodend,cohuna,cannons_creek,anglesea,williamstown,lucknow,endeavour_hills,redan,romsey,ringwood,numurkah,eltham_north,lismore,abbotsford,seabrook,torquay,middle_park,buckrabanyule,keilor_east,watsonia,droxford,box_hill_south,sydenham,chirnside_park,mill_park,daylesford,richmond
567485.0,380000.0,1556000.0,795686.0,706942.0,1100000.0,572700.0,13.5,1500000.0,349000.0,320000.0,614000.0,536000.0,560000.0,605000.0,307500.0,400000.0,450000.0,400000.0,2150000.0,1100000.0,1200000.0,3450000.0,885000.0,750000.0,710000.0,930000.0,360000.0,850000.0,528304.0,739462.0,607500.0,824500.0,1050000.0,910000.0,430010.0,649000.0,975300.0,995000.0,579900.0,285000.0,389000.0,525000.0,499000.0,790000.0,304500.0,695000.0,190.0,450000.0,460000.0,590254.0,725000.0,571500.0,368000.0,892500.0,512500.0,3045000.0,1050000.0,425000.0,625000.0,661500.0,675000.0,615000.0,1290000.0,912500.0,1287500.0,514500.0,500000.0,387500.0,1500000.0,1496000.0,445000.0,1299000.0,805491.0,997500.0,705573.0,595000.0,1029000.0,517693.0,614835.0,592900.0,365000.0,1350000.0,546250.0,553766.0,680000.0,561748.0,538950.0,671975.0,799156.0,529331.0,613995.0,805000.0,649500.0,634000.0,1262500.0,374900.0,410000.0,228000.0,685000.0,308000.0,2200000.0,1750000.0,285000.0,329000.0,638237.0,945000.0,970000.0,475000.0,775000.0,1375000.0,459000.0,1695000.0,695000.0,441000.0,1250000.0,860000.0,189000.0,1225000.0,1350000.0,535000.0,570000.0,2625000.0,750000.0,2600000.0,388000.0,13.5,262500.0,430000.0,515000.0,149000.0,720000.0,449000.0,555000.0,415000.0,374000.0,15.5,970000.0,855000.0,1550000.0,1350000.0,680000.0,500000.0,815000.0,774500.0,1024999.5,930000.0,865406.0,530000.0,123000.0,1875000.0,850000.0,470000.0,735000.0,573500.0,550000.0,435000.0,760000.0,550000.0,560805.0,257500.0,660000.0,680000.0,350000.0,850000.0,485000.0,621000.0,641000.0,625000.0,497500.0,1500000.0,945000.0,460000.0,440000.0,385000.0,2100000.0,614500.0,615000.0,1150000.0,875000.0,110000.0,787500.0,674000.0,1150000.0,945000.0,510000.0,491000501000.0,1675000.0,615281.0,409960.0,249000.0,420000.0,1155000.0,625000.0,480000.0,630000.0,414888.0,1040000.0,300000.0,420000.0,190000.0,1350000.0,860000.0,740000.0,350000.0,651780.0,787500.0,501512.0,450000.0,995000.0,1680000.0,670000.0,507100.0,375000.0,650000.0,1350000.0,435000.0,514140.0,782500.0,230000.0,561200.0,615000.0,521000.0,525000.0,2835000.0,477816.0,448289.0,425000.0,530000.0,1031450.0,2992500.0,849000.0,1100000.0,280000.0,432500.0,524600.0,705650.0,627444.0,2100000.0,939000.0,958195.0,466952.0,1625000.0,620000.0,555818.0,674515.0,370000.0,636909.0,527900.0,1650000.0,715000.0,525000.0,729000.0,349000.0,780000.0,420000.0,660000.0,521100.0,330000.0,880000.0,1210000.0,615000.0,145000.0,472500.0,95000.0,715000.0,937500.0,1200000.0,1150000.0,171500.0,997500.0,840000.0,619500.0,545000.0,667500.0,315000.0,600000.0,622500.0,955000.0,1096.0,1050000.0,425000.0,545000.0,780000.0,1012500.0,395000.0,559000.0,849000.0,1140000.0,1150000.0,2100000.0,599000.0,240000.0,870000.0,1150000.0,825000.0,395000.0,1050000.0,1800000.0,1750000.0,475000.0,785000.0,955000.0,289000.0,585000.0,785000.0,1110000.0,1100000.0,350000.0,578000.0,975000.0,190000.0,505000.0,472500.0,405000.0,423560.0,820000.0,650000.0,750000.0,619900.0,695000.0,410000.0,670000.0,668000.0,1150000.0,345450.0,691000.0,725000.0,4000000.0,205000.0,1550000.0,787500.0,615000.0,454000.0,755000.0,1450000.0,525800.0,455000.0,645000.0,670000.0,1100000.0,395000.0,945000.0,660000.0,375000.0,1150000.0,1100000.0,1825000.0,239000.0,1200000.0,345000.0,315000.0,590000.0,829000.0,755000.0,990000.0,725000.0,390000.0,520805.0,2100000.0,1100000.0,318000.0,670000.0,800000.0,264250.0,1250000.0,849000.0,1550000.0,785000.0,1150000.0,775000.0,410000.0,1537500.0,555300.0,857500.0,485000.0,2045000.0,563300.0,1100000.0,1669500.0,290000.0,700000.0,1685000.0,2235000.0,379000.0,670000.0,762500.0,782500.0,1155000.0,310000.0,536857.0,225000.0,575000.0,745000.0,922500.0,180.0,450000.0,615000.0,875000.0,607546.0,1785000.0,430000.0,1100000.0,420000.0,720000.0,840000.0
617000.0,447238.0,996000.0,763770.0,741159.0,292500.0,569600.0,1200000.0,445000.0,429000.0,,401500.0,500000.0,506700.0,565554.0,,450000.0,400000.0,790000.0,2100000.0,379000.0,,810000.0,825000.0,661500.0,570000.0,685093.0,588000.0,,442816.0,873504.0,,,795000.0,655000.0,604900614900.0,,702375.0,,350000.0,265000.0,1100000.0,,649000.0,,365000.0,809500.0,1100000.0,,386431.0,,693000.0,677485.0,462000.0,1039500.0,410000.0,1080000.0,,662500.0,,509500.0,,,814400.0,925000.0,,945000.0,,434500.0,717478.0,,460000.0,,,1400000.0,644000.0,395000.0,690.0,795000.0,728894.0,560290.0,535000.0,202.0,598720.0,659796.0,428730.0,644289.0,632000.0,,540000.0,,595760.0,,2900000.0,1425000.0,1200000.0,374900.0,400000.0,283000.0,591985.0,,,4882500.0,,455000.0,1680000.0,,860000.0,,1005000.0,555000.0,545000.0,1695000.0,,,840000.0,,449000.0,620000.0,,629900.0,,825000.0,445000.0,133.0,145000.0,,348500.0,1100000.0,605000.0,259000.0,,,405000.0,,578800.0,,,,865000.0,917.5,680000.0,350000.0,,954500.0,,,902500.0,,1005000.0,,850000.0,,,833125.0,630000.0,,,500000.0,840000.0,1450000.0,655000.0,,,,,,,,,,395000.0,1725000.0,,860000.0,,485000.0,484453.0,855000.0,,730000.0,565000.0,887500.0,,,691205.0,569900.0,2625000.0,410000.0,,,519780.0,855000.0,630000.0,,,574990.0,483879.0,300000.0,488000.0,450000.0,1350000.0,,,34000000.0,740000.0,570000.0,,,1155000.0,645000.0,,,430000.0,,,,680870.0,,,,745000.0,740000.0,,,494457.0,447082.0,,530000.0,,2992500.0,349000.0,,535844.0,,642700.0,1400000.0,,,527900.0,,,,517000.0,,,675000.0,,,,1240000.0,525000.0,715000.0,349000.0,,,,960000.0,330000.0,1020000.0,1650000.0,140.0,,995000.0,85000.0,,635000.0,,,,,,630000.0,575000.0,,559750.0,,380000.0,1750000.0,720000.0,,,,,,714000.0,,765000.0,,,,,,1050000.0,1250000.0,740000.0,318000.0,,1800000.0,,,922500.0,777500.0,,,199500.0,,,,,,825000.0,270000.0,450000.0,,409610.0,,,695000.0,545000.0,,,,648000.0,,,,385000.0,,159000.0,350000.0,,,,,,,,611000.0,875000.0,,400000.0,,,,,265000.0,,,,,,,,,1100000.0,,505000.0,521305.0,,,,,800000.0,,,,1390000.0,,,,,870000.0,,,,,,,,,,,,650000.0,,335000.0,915000.0,,,587907.0,,,,,,,,,,,,,,,130.0
504885.0,403824.0,615000.0,649036.0,150000.0,530000.0,508400.0,1575000.0,,385000.0,,,517000.0,,553000.0,,669000.0,765000.0,450000.0,710000.0,262500.0,,1139000.0,615000.0,616943.0,505000.0,602500.0,1050000.0,,370000.0,614410.0,,,825000.0,556200.0,895000.0,,,,250000.0,330000.0,480000.0,,334000.0,,620000.0,777000.0,,,450000.0,,,320.0,449500.0,476866.0,599347.0,,,1850000.0,,615900.0,,,,,,550475.0,,577506.0,,,660000.0,,,675000.0,708381.0,,570000620000.0,516855.0,511240.0,637100.0,402500.0,,535041.0,605000.0,482686.0,605000.0,631000.0,,680000.0,,471888.0,,535000.0,,,374900.0,,403536.0,673885.0,,,4250000.0,,409000.0,710000.0,,,,,385000.0,507500.0,,,,,,600000.0,,,415000.0,,440000.0,,4800000.0,165000.0,,,,665000.0,,,,375000.0,,677153.0,,,,,,1050000.0,605000.0,,,,,552000.0,,,,,,,513400.0,665000.0,,,,,,,,,,,,,,,,1005000.0,,,1042500.0,,587500.0,574000.0,,,,,,,,510000.0,616000.0,,,,,496781.0,,,,,428696.0,428403.0,457480.0,529500.0,195000.0,,,,,395000.0,945000.0,,,1050000.0,504000.0,,,,,,,535150.0,,,,651145.0,580000.0,,,783365.0,,,530000.0,,5775000.0,,,,,518300.0,,,,,,,,430000.0,,,780000.0,,,,,,,,,,,467000.0,350000.0,830000.0,,,,1007500.0,,,,,,,,,1385000.0,,,536100.0,,575000.0,,,,,,,,819000.0,,,,,,,,,,,315000.0,,,,,,1640000.0,,,,,,,,,,,525000.0,,,,,789000.0,460000.0,,,,,,,,720000.0,,449000.0,,,,,,,,,624000.0,,,,,,,,,,,,,,,,,,,,530685.0,,,,,989900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560385.0,305000.0,578000.0,758614.0,1500000.0,,,494446.0,,385000.0,,,510000.0,,655891.0,,600000.0,,405000.0,1550000.0,297115.0,,780000.0,,675576.0,650869.0,690000.0,1677000.0,,,546674.0,,,650000.0,549700.0,590240.0,,,,275000.0,449000.0,874000.0,,495050.0,,502500.0,,,,,,,537500.0,,1775000.0,415000.0,,,,,523500.0,,,,,,576875.0,,416667.0,,,309000.0,,,,645821.0,,,697500.0,426000.0,657001.0,349500.0,,544843.0,665000.0,581999.0,1035000.0,650000.0,,655000.0,,640000.0,,,,,570800.0,,349000.0,640085.0,,,,,,705000.0,,,,,,525000.0,,,,,,,,,,,,,,560000.0,,,,675000.0,,,,,,583500.0,,,,,,624000.0,270000.0,,,,,,,,,,,,472500.0,,,,,,,,,,,,,,,,,,,,,,,360000.0,,,,,,,,573000.0,612000.0,,,,,,,,,,533116.0,937200.0,535000.0,477700.0,600000.0,,,,,,,,,735000.0,475000.0,,,,,,,572481.0,,,,285000.0,,,,464933.0,,,530000.0,,945000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535000.0,,,,,,,,,,,,551651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,838500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560000.0,665000.0,942000.0,615840.0,1102500.0,,,1100000.0,,365000.0,,,571300.0,,350000.0,,,,,,,,,,575000.0,660374.0,599900.0,3541500.0,,,580000.0,,,1000000.0,495000.0,582500.0,,,,280000.0,,850000.0,,395000.0,,910000.0,,,,,,,559643.0,,150.0,,,,,,,,,,,,536875.0,,425000.0,,,,,,,628081.0,,,529300.0,520440530440.0,610900.0,575000.0,,643000.0,,565455.0,345000.0,200000.0,,,,,,,,,590185.0,,,555585.0,,,,,,,,,,,,,,,,,,,,,,,,,,275000.0,,,,,,,,,,509800.0,,,,,,,255000.0,,,,,,,,,,,,399000.0,,,,,,,,,,,,,,,,,,,,,,,624750.0,,,,,,,,687393.0,611000.0,,,,,,,,,,495000.0,920000.0,515000.0,,,,,,,,,,,1350000.0,418000.0,,,,,,,568591.0,,,,,,,,455629.0,,,530000.0,,1150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505000.0,,,,,,,,,,,,547725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,664000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,369000.0,1180000.0,628845.0,,,,,,365000.0,,,459000.0,,538604.0,,,,,,,,,,335000.0,,617500.0,1835000.0,,,580000.0,,,,495000.0,695528.0,,,,275000.0,,810000.0,,688000.0,,420000.0,,,,,,,677000.0,,11.5,,,,,,,,,,,,555775.0,,543600.0,,,,,,,547685.0,,,574239.0,503010.0,695641.0,,,563000.0,,520989.0,323000.0,613661.0,,,,,,,,,495400.0,,,510880.0,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,,,,,,,,,,499900.0,,,,,,,,,,,,,,,,,,,654350.0,,,,,,,,,,,,,,,,,,,,,,,460000.0,,,,,,,,687793.0,410730.0,,,,,,,,,,425343.0,,664661.0,,,,,,,,,,,,680000.0,,,,,,,539750.0,,,,,,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,510000.0,1201000.0,609639.0,,,,,,359000.0,,,497860.0,,608291.0,,,,,,,,,,495000.0,,900347.0,,,,560000.0,,,,485000.0,601570.0,,,,250000.0,,,,398000.0,,,,,,,,,591000.0,,913500.0,,,,,,,,,,,,399000.0,,426167.0,,,,,,,574000.0,,,460000.0,614510.0,,,,545727.0,,499501.0,,577661.0,,,,,,,,,697785.0,,,500376.0,,,,,,,,,,,,,,,,,,,,,,,,,,279000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599841.0,399990.0,,,,,,,,,,,,637922.0,,,,,,,,,,,,675000.0,,,,,,,626618.0,,,,,,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,545000.0,395000.0,666604.0,,,,,,379000.0,,,476500.0,,596932.0,,,,,,,,,,495000.0,,770200.0,,,,560000.0,,,,764868.0,593745.0,,,,275000.0,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,952900.0,,435279.0,,,,,,,540000.0,,,474500.0,596299.0,,,,547065.0,,504838.0,,420000.0,,,,,,,,,605485.0,,,542842.0,,,,,,,,,,,,,,,,,,,,,,,,,,295000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602590.0,,,,,,,,,,,,,547000.0,,,,,,,,,,,,650000.0,,,,,,,547347.0,,,,,,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,495000.0,219000.0,616014.0,,,,,,389000.0,,,482000.0,,591238.0,,,,,,,,,,495000.0,,810272.0,,,,545000.0,,,,953400.0,583150.0,,,,275000.0,,,,,,,,,,,,,523340.0,,,,,,,,,,,,,,931900.0,,598922.0,,,,,,,670000.0,,,665000.0,579040.0,,,,564990.0,,,,706661.0,,,,,,,,,576985.0,,,633842.0,,,,,,,,,,,,,,,,,,,,,,,,,,295000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539856.0,,,,,,,,,,,,,447990.0,,,,,,,,,,,,1080000.0,,,,,,,,,,,,,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,457000.0,595000.0,749317.0,,,,,,349000.0,,,515888.0,,523643.0,,,,,,,,,,764500.0,,760400.0,,,,495000.0,,,,561000.0,570000.0,,,,250000.0,,,,,,,,,,,,,323000.0,,,,,,,,,,,,,,460000.0,,,,,,,,,910000.0,,,575000.0,529207.0,,,,,,,,805661.0,,,,,,,,,,,,523500.0,,,,,,,,,,,,,,,,,,,,,,,,,,298000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632930.0,,,,,,,,,,,,,587000.0,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
