melbourne,werribee,plumpton,berwick,officer,corio,sunbury,thalassery,caroline_springs,abbotsford,docklands,thornhill_park,marlo,harkness,rockbank,wyndham_vale,officer_south,shepparton,anglesea,brighton_east,highett,box_hill_north,highton,dinner_plain,hastings,drouin,horsham,edenhope,rupanyup,mooroolbark,myrtleford,mcloughlins_beach,geelong_west,torquay,mount_eliza,warragul,st_albans,gisborne,kingsville,lovely_banks,lake_tyers_beach,alfredton,wallan,south_yarra,emerald,canadian,blind_bight,bell_post_hill,venus_bay,deanside,korumburra,carrum_downs,baranduda,ormond,mambourin,wollert,sebastopol,bonbeach,armstrong_creek,slaty_creek,dandenong,inverloch,serpentine,kalkallo,kingsbury,niddrie,mornington,jan_juc,bentleigh_east,ballarat_central,fitzroy_north,invermay_park,creswick,cobains,stratford,cranbourne_east,sunshine,creswick_north,yarrawonga,quarry_hill,ocean_grove,melton_west,clyde_north,eynesbury,glomar_beach,nar_nar_goon_north,kennington,traralgon,cranbourne_west,rowville,churchill,jindivick,portland,st_kilda,kilmore,whittlesea,junction_village,charlemont,tarneit,norlane,port_welshpool,long_gully,manor_lakes,rosebud,pakenham,wonthaggi,kangaroo_flat,blairgowrie,heyfield,loch_sport,doncaster,numurkah,cheltenham,burwood_east,point_cook,hamlyn_heights,camberwell,melton,chanute,bundoora,yea,paynesville,blackburn,longford,heidelberg,weir_views,kyneton,hampton_park,wheelers_hill,malvern_east,bayswater,beechworth,portland_west,maryborough,east_bendigo,tarwin_lower,curlewis,mildura,poowong_north,west_wodonga,kurunjang,eastwood,murrindal,frankston_south,mount_martha,benalla,merrijig,lara,aireys_inlet,newcomb,cranbourne,bonnie_brook,halls_gap,belmont,bell_park,lancefield,fraser_rise,coffeyville,birchip,leopold,leongatha,casterton,charlotte,donnybrook,newborough,footscray,truganina,woodstock,altona,eaglehawk,echuca,mount_duneed,delacombe,beveridge,bannockburn,nyora,clyde,mooroopna,frankston,diggers_rest,portarlington,clunes,botanic_ridge,cranbourne_south,mount_camel,islamabad,clayton_south,rainbow,port_albert,cranbourne_north,endeavour_hills,metung,kadnook,karachi,junortoun,cape_woolamai,murrayville,spring_gully,strathtulloh,melton_south,colac,huntly,hotham_heights,red_cliffs,alexandra,darley,trafalgar,brookfield,whorouly,mount_waverley,southbank,new_gisborne,craigieburn,hawthorn,wodonga,lake_bunga,johnsonville,morwell,altona_meadows,inglewood,doreen,euroa,epsom,brunswick_east,gisborne_south,capel_sound,keilor_downs,dingley_village,parkville,south_melbourne,croydon,sawmill_settlement,seymour,guildford,preston,bacchus_marsh,castlemaine,templestowe,rye,nicholson,nhill,glenaladale,ironbark,mansfield,maddingley,golden_beach,langsborough,kyabram,moe,portland_north,lakes_entrance,sassafras,mount_cottrell,nerrina,woodend,california_gully,mordialloc,warburton,wangaratta,boronia,woorndoo,golden_square,bayswater_north,teesdale,yarram,whittington,avonsleigh,coronet_bay,hillside,hamilton,waurn_ponds,chicago,keilor_park,noradjuha,badger_creek,wantirna_south,point_lonsdale,ivanhoe,ballarat_east,longerenong,moolap,maiden_gully,saint_leonards,forest_hill,liège,clifton_springs,marengo,cobram,mickleham,broadford,keysborough,strathbogie,coburg,caulfield_south,broadmeadows,eltham_north,nungurner,mulgrave,knoxfield,cann_river,cheshunt,carlton,moonee_ponds,newington,cowes,brunswick,byrock,nagambie,omeo,doncaster_east,oxley,maffra,pascoe_vale,grovedale,jackass_flat,majorca,ferntree_gully,skipton,west_footscray,heathcote,ballan,kensington,san_remo,yelta,reservoir,waaia,landsborough,smythes_creek,doveton,ashwood,springvale,north_warrandyte,wantirna,tecoma,baddaginnie,pascoe_vale_south,glen_waverley,box_hill,diamond_creek,fairy_dell,west_bendigo,balwyn_north,longwarry,welshpool,cockatoo,east_melbourne,port_franklin,hughesdale,macedon,east_geelong,donald,seaholme,traralgon_south,dromana,ascot_vale,robinvale,drysdale,natimuk,kyvalley,elmore,ballarat_north,macarthur,eildon,romsey,avenel,maribyrnong,irymple,strathfieldsaye,port_melbourne,flynn,mount_beauty,hampton,greta_west,noble_park,swan_hill,caulfield_north,foster,sale,belgrave_heights,barrie,beaconsfield,lyndhurst,indigo_valley,brighton,wendouree,cabarita,flora_hill,mernda,winchelsea,little_river,saint_albans_park,invermay,waterways,saint_arnaud,north_bendigo,williamstown_north,hoppers_crossing,moolort,alma,eaglemont,collingwood,heidelberg_heights,carrajung,rawson,bendigo,newtown,rippleside,warrnambool,vermont,barwon_heads,murtoa,essendon_north,hansonville,mountain_view,lucas
719800.0,574185.0,552255.0,664348.0,660143.0,552100.0,654850.0,599859.0,845000.0,455000.0,458000.0,518990.0,240000.0,384910.0,739000.0,3650000380000.0,522900.0,415000.0,1050000.0,4100000.0,987500.0,465000.0,920000.0,495000.0,720000.0,390000.0,349000.0,579000.0,220000.0,735000.0,540000.0,365000.0,1075000.0,1425000.0,1450000.0,580000.0,625000.0,565000.0,315000.0,815000.0,520000.0,440000.0,422500.0,2065000.0,525000.0,700000.0,755000.0,605000.0,553000.0,639040.0,850000.0,760000.0,475000.0,2000000.0,10.0,10.0,390000.0,590000.0,665000.0,130000.0,829500.0,600000.0,202500.0,699520.0,1250000.0,825000.0,470000.0,985000.0,1437500.0,350000.0,1375000.0,664000.0,1100000.0,850000.0,1050084.0,717500.0,395000.0,1200000.0,350000.0,1425000.0,620000.0,604000.0,713000.0,764000.0,799000.0,1890000.0,300000.0,495000.0,575000.0,985000.0,325000.0,1050000.0,360000.0,525000.0,635000.0,790000.0,628500.0,433057.0,560254.0,469000.0,530000.0,450000.0,576165.0,687500.0,517500.0,420000.0,950000.0,1300000.0,450000.0,160000.0,1150000.0,230000.0,565000.0,1300000.0,585000.0,450000.0,994430.0,409500.0,920000.0,625000.0,330000.0,460000.0,1575000.0,675000.0,725000.0,315000.0,900000.0,639950.0,1395000.0,335000.0,750000.0,680000.0,1325000.0,425000.0,575000.0,925000.0,622500.0,425000.0,815000.0,469000.0,1070000.0,159500.0,593623.0,808500.0,752973.0,142000.0,440000.0,655000.0,1650000.0,445000.0,545000.0,569581.0,1359000.0,615000.0,570000.0,885000.0,706700716700.0,777500.0,130000.0,600000.0,450000.0,110000.0,295000.0,429900.0,350000.0,960000.0,556985.0,690343.0,725000.0,385000.0,307500.0,674685.0,528800.0,479255.0,289000.0,252000.0,420000.0,297500.0,785000.0,409900.0,1220000.0,450000475000.0,835390.0,776890.0,635000.0,605500.0,754000.0,185000.0,299000.0,605000.0,593200.0,510000.0,550000.0,532140.0,652316.0,645000.0,105000.0,280000.0,656100.0,513265.0,480000.0,552732.0,850000.0,586952.0,310000.0,286381.0,510500.0,480000.0,650000.0,1300000.0,539000.0,1205000.0,549071.0,6385000.0,289000.0,418000.0,250000.0,665000.0,625000.0,240000.0,607000.0,320000.0,700000.0,2300000.0,1200000.0,600000.0,765000.0,640000.0,340000.0,645000.0,767500.0,675000.0,360000.0,765000.0,450000.0,554000.0,595000.0,690.0,1240000.0,199950.0,249000.0,995000.0,700000.0,530000.0,315000.0,199000.0,1295000.0,185000.0,450000.0,449000.0,180000.0,820000.0,648000.0,800000.0,500000.0,500000.0,2600000.0,550000.0,455000.0,1350000.0,209900.0,517500.0,818000.0,585000.0,320000.0,445000.0,997500.0,470000.0,576750.0,320000.0,750000.0,325000.0,1350000.0,155000.0,1500000.0,455000.0,1850000.0,1179000.0,675000.0,250000.0,609000.0,737500.0,420000.0,1675000.0,867911.0,772500.0,2500000.0,215000.0,612812.0,1975000.0,1075000.0,190000.0,1150000.0,559300.0,569900.0,528908.0,645000.0,1015000.0,609000.0,135000.0,275000.0,1200000.0,802000.0,700000.0,905000.0,575000.0,673200.0,268000.0,215000.0,915000.0,285000.0,249000.0,750000.0,640000.0,574000.0,150000.0,700000.0,300000.0,832500.0,315000.0,538700.0,950000.0,740000.0,651000.0,1875000.0,159000.0,229500.0,220000.0,560000.0,1600000.0,760000.0,830900.0,575000.0,840000.0,462500.0,1550000.0,585000.0,1378504.0,680000.0,485000.0,690000.0,1389000.0,460000.0,175000.0,315000.0,306000.0,219000.0,560000.0,5250000.0,752500.0,60000.0,995000.0,650000.0,787500.0,815000.0,325000.0,460000.0,330000.0,440000.0,330000.0,2000000.0,257500.0,415000.0,967500.0,33110000.0,1750000.0,169000.0,660000.0,205.0,1100000.0,539000.0,1500000.0,739000.0,765000.0,389000.0,2310000.0,675000.0,419000.0,599300.0,1575000.0,663950.0,756100.0,753050.0,2150000.0,437500.0,264250.0,420000.0,439600.0,675000.0,559842.0,619039.0,2400000.0,1450000.0,175000.0,350000.0,1110000.0,575000.0,544700.0,675000.0,575000.0,590000.0,816000.0,220000.0,375000.0,950000.0,1320000.0,1600000.0,502500.0,439900.0,315000.0,589900.0,575000.0,765000.0,749000.0,510000.0
861400.0,630000.0,508000.0,550000.0,706336.0,529500.0,1337500.0,587362.0,,452500.0,1100000.0,470990.0,350000.0,575000.0,365500.0,559000.0,669900.0,297500.0,1472500.0,,2047500.0,1250000.0,1075000.0,200000.0,605000.0,785000.0,359000.0,,,,,,,970000.0,,750000.0,525000.0,650000.0,,404000.0,,655000.0,435000.0,291500.0,,,,774500.0,279000.0,417000.0,525000.0,595000.0,524000.0,,413932.0,694000.0,650000.0,1145000.0,830277.0,,787500.0,775000.0,,504854.0,,,2400000.0,,,490000.0,,,205000.0,,,503400.0,600000.0,,785000.0,,1300000.0,,728770.0,,,,575000.0,445000.0,,699000.0,315000.0,,485000.0,315000.0,255000.0,649500.0,551000.0,757462.0,528685.0,479000.0,,450000.0,,,545000.0,579000.0,565000.0,,549000.0,,1125000.0,432000.0,655000.0,875000.0,645000.0,548428.0,946400.0,,,300000.0,259609.0,515000.0,1200000.0,,635000.0,316000.0,640000.0,569950.0,,385000.0,945000.0,,,950000.0,,,650000.0,275000.0,,,419000.0,,519250.0,,2500000.0,110000.0,1150000.0,698850.0,,,,607600.0,,515000.0,444000.0,,623500.0,,,534000.0,450000.0,,,637191.0,441329.0,430000.0,603211.0,691143.0,,485000.0,618000.0,582825.0,612500.0,562300.0,,241000.0,646000.0,210000.0,2095000.0,536550.0,,300000330000.0,745000.0,542900.0,,582140.0,,,,665900.0,493700.0,495000.0,,,,,,245000.0,657100.0,545000.0,,775000.0,,,490000.0,272026.0,,517500.0,,332500.0,1336650.0,,643635.0,2100000.0,289000.0,,,349000.0,,,599500.0,,,,,,,880000.0,,504000.0,,,486163.0,,61250000.0,634000.0,,140.0,1772500.0,199950.0,,,,695000.0,1900000.0,,,49000.0,,,650000.0,,,,675000.0,,,,460761.0,976500.0,,700000.0,,,,,,,,380000.0,,,,,,,,1179100.0,370000.0,,619000.0,,450000.0,1250000.0,879999.0,,672500.0,449500.0,588287.0,,,,,554000.0,,610344.0,,775000.0,,,,755000.0,,,789000.0,,,,,,,,,,582000.0,,690000.0,,,270000.0,,,499000.0,,,,,,500000.0,,,,,,,,,1146504.0,,,,,,,,,,,,,,,,,,,,269000.0,,,,,563100.0,,,395000.0,,,,,,875000.0,,,,,,,,,603950.0,,,,,264250.0,,,,,519398.0,,,,,,,,,,,,,,,,,,,,,,,,
538200.0,400000.0,443000.0,1417500.0,542242.0,446200.0,547648.0,598650.0,,367500.0,1100000.0,566000.0,,534000.0,478431.0,469000.0,624000.0,305000.0,,,,,575000.0,200000.0,,440000.0,250000.0,,,,,,,1000000.0,,700000.0,,649815.0,,,,,610000.0,765000.0,,,,774500.0,570000.0,687733.0,510000.0,609000.0,,,485982.0,573500.0,489000.0,,493661.0,,782500.0,779000.0,,524950.0,,,550000.0,,,832500.0,,,205000.0,,,451600.0,600000.0,,465000.0,,805000.0,,616075.0,,,,,479500.0,,750000.0,319000.0,,382000.0,215000.0,285000.0,,545300.0,617300.0,341000.0,390000.0,,495000.0,,,545000.0,499000.0,472500.0,,,,,,825000.0,,,,1003900.0,,,,,638500.0,,,,319000.0,594000.0,620000.0,,,,,,310000.0,,,874000.0,230000.0,,,,,,,,146000.0,,650950.0,,,,494126.0,,,,,518816.0,,,589000.0,445000.0,,,515840.0,389000.0,585000.0,579390.0,499247.0,,,450000.0,629807.0,490098.0,549100.0,,527500.0,733000.0,270000.0,,,,,859054.0,,,,,,,590000.0,474500.0,770000.0,,,,,,,610705.0,591500.0,,,,,445000.0,345000.0,,,,,772800.0,,762900.0,,575000.0,,,385000.0,,,602500.0,,,,,,,426700.0,,475000.0,,,601213.0,,630000.0,,,,,199950.0,,,,,614000.0,,,,,,670000.0,,,,,,,,453967.0,,,485000.0,,,,,,,,385000.0,,,,,,,,1449000.0,400000.0,,,,,,,,,463900.0,489900.0,,,,,524900.0,,,,,,,,820000.0,,,375000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647600.0,717500.0,417000.0,675073.0,548291.0,543500.0,552050.0,,,52.0,1375000.0,470000.0,,368680.0,307500.0,638250.0,589900.0,402500.0,,,,,365000.0,815000.0,,380000.0,349000.0,,,,,,,912500.0,,545000.0,,1850000.0,,,,,310000.0,,,,,415000.0,,468890.0,449300.0,,,,424482.0,693734.0,479000.0,,634055.0,,672000.0,,,,,,925000.0,,,,,,,,,465750.0,997500.0,,440000.0,,500000.0,,560000.0,,,,,179000.0,,680000.0,,,189000.0,,585000.0,,385000.0,621542.0,562654.0,,,,,,545000.0,599000.0,420000.0,,,,,,,,,,803900.0,,,,,,,,,319000.0,645456.0,700000.0,,,,,,,,,584000.0,340950.0,,,,,,,,114000.0,,713850.0,,,,560696.0,,,,,558712.0,,,640000.0,395000.0,,,554696.0,,545000.0,827900.0,,,,,736873.0,542925.0,604244.0,,449800.0,643900.0,167000.0,,,,,704950.0,,,,,,,,,,,,,,,,575985.0,603690.0,,,,,,,,,,,1173900.0,,748900.0,,,,,430000.0,,,687800.0,,,,,,,,,515000.0,,,450000.0,,,,,,,795000.0,,,,,,,,,,,395000.0,,,,,,,,,,,485000.0,,,,,,,,629000.0,,,,,,,,,,,,,,,,,,457300.0,419900.0,,,,,527700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360000.0,466794.0,417000.0,552507.0,335000.0,566985.0,552050.0,,,,1300000.0,482000.0,,387990.0,365500.0,519512.0,750000.0,,,,,,539000.0,,,369950.0,,,,,,,,,,515000.0,,694965.0,,,,,310000.0,,,,,,,529750.0,,,,,511754.0,748624.0,,,632125.0,,496700.0,,,,,,695000.0,,,,,,,,,,,,517228.0,,985000.0,,560000.0,,,,,499000.0,,600000.0,,,,,650981.0,,745568.0,606643.0,603447.0,,,,,,545000.0,620000.0,455000.0,,,,,,,,,,,,,,,,,,,300000.0,,,,,,,,,,,,570000.0,,,,,,,,275000.0,,712850.0,,,,565000.0,,,,,525590.0,,,565000.0,500000.0,,,499850.0,,495000.0,1087900.0,,,,,495400.0,556131.0,599000.0,,462300.0,591900.0,345000.0,,,,,717950.0,,,,,,,,,,,,,,,,449999.0,585000.0,,,,,,,,,,,1011300.0,,798900.0,,,,,239000.0,,,502636.0,,,,,,,,,418000.0,,,,,,,,,,23092462500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407500.0,645059.0,417000.0,868508.0,653400.0,627923.0,607055.0,,,,459000.0,445565.0,,599999.0,620900.0,507479.0,,,,,,,,,,439950.0,,,,,,,,,,,,,,,,,575000.0,,,,,,,721351.0,,,,,453566.0,622249.0,,,565124.0,,,,,,,,,,,,,,,,,,,,608800.0,,499000.0,,575222.0,,,,,398000.0,,765000.0,,,,,582162.0,,609950.0,,539879.0,,,,,,545000.0,450000.0,,,,,,,,,,,,,,,,,,,,300000.0,,,,,,,,,,,,210000.0,,,,,,,,,,618750.0,,,,,,,,,462000.0,,,,,,,752500.0,,457000.0,569744.0,,,,,786000.0,640116.0,476891.0,,,525000.0,,,,,,749600.0,,,,,,,,,,,,,,,,570995.0,671250.0,,,,,,,,,,,919800.0,,,,,,,250000.0,,,461107.0,,,,,,,,,680000.0,,,,,,,,,,21062437500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785000.0,544047.0,417000.0,597500.0,486222.0,475000.0,389000.0,,,,540000.0,635547.0,,,568900.0,418224.0,,,,,,,,,,640000.0,,,,,,,,,,,,,,,,,599100.0,,,,,,,589360.0,,,,,516013.0,569750.0,,,562120.0,,,,,,,,,,,,,,,,,,,,606300.0,,860000.0,,586400.0,,,,,,,,,,,,495213.0,,651055.0,,592300.0,,,,,,545000.0,,,,,,,,,,,,,,,,,,,,,319000.0,,,,,,,,,,,,,,,,,,,,,,567523.0,,,,,,,,,581000.0,,,,,,,,,570000.0,656500.0,,,,,628205.0,567114.0,485096.0,,,,,,,,,751050.0,,,,,,,,,,,,,,,,450000.0,602471.0,,,,,,,,,,,1121400.0,,,,,,,895000.0,,,554186.0,,,,,,,,,675000.0,,,,,,,,,,18912427000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832500.0,482700.0,417000.0,896241.0,506100.0,510000.0,670500.0,,,,920000.0,455565.0,,,530900.0,494979.0,,,,,,,,,,387500.0,,,,,,,,,,,,,,,,,700000.0,,,,,,,644842.0,,,,,573705.0,647500.0,,,632045.0,,,,,,,,,,,,,,,,,,,,567300.0,,,,910190.0,,,,,,,,,,,,465000.0,,635740.0,,590100.0,,,,,,715000.0,,,,,,,,,,,,,,,,,,,,,320000.0,,,,,,,,,,,,,,,,,,,,,,581983.0,,,,,,,,,665000.0,,,,,,,,,999000.0,568000.0,,,,,605605.0,,499342.0,,,,,,,,,,,,,,,,,,,,,,,,,592000.0,,,,,,,,,,,,,,,,,,,,,,573000.0,,,,,,,,,650000.0,,,,,,,,,,17902419000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767500.0,598300.0,551555.0,595700.0,560100.0,492500.0,578800.0,,,,,440565.0,,,550750.0,632900.0,,,,,,,,,,522000.0,,,,,,,,,,,,,,,,,,,,,,,,652183.0,,,,,496096.0,623790.0,,,523115.0,,,,,,,,,,,,,,,,,,,,557000.0,,,,513970.0,,,,,,,,,,,,,,582000.0,,590100.0,,,,,,594300.0,,,,,,,,,,,,,,,,,,,,,353000.0,,,,,,,,,,,,,,,,,,,,,,509321.0,,,,,,,,,594100.0,,,,,,,,,550000.0,440500.0,,,,,663516.0,,667162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080000.0,,,,,,,,,,15632312950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783750.0,597300.0,,552000.0,714400.0,590923.0,637999.0,,,,,424600.0,,,522646.0,559990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590000.0,,,,,410000.0,522497.0,,,522154.0,,,,,,,,,,,,,,,,,,,,439000.0,,,,972600.0,,,,,,,,,,,,,,482756.0,,496912.0,,,,,,696900.0,,,,,,,,,,,,,,,,,,,,,321000.0,,,,,,,,,,,,,,,,,,,,,,430417.0,,,,,,,,,599500.0,,,,,,,,,618613.0,608000.0,,,,,616214.0,,424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000.0,,,,,,,,,,10092282500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
