beveridge,delacombe,corio,point_cook,tarneit,bonshaw,clayton,carnegie,wollert,fraser_rise,truganina,highett,mambourin,wyndham_vale,manor_lakes,mickleham,avenel,rockbank,langwarrin,tongio,brookville,officer,macleod,clifton_springs,melbourne,melton_west,boronia,boolarra,chesney_vale,mont_albert,mansfield,south_morang,leopold,grovedale,dandenong,drouin,benalla,cranbourne_west,bulleen,werribee,the_honeysuckles,shepparton,yinnar,maffra,abbotsford,preston,yarram,berwick,wurruk,traralgon,narre_warren,trafalgar,sale,box_hill,camperdown,carrum_downs,longford,cobblebank,thornhill_park,box_hill_north,camberwell,caroline_springs,wodonga,montmorency,newborough,prahran_east,long_gully,vernal,knoxfield,carapooee,holmesglen,heathcote,bell_park,elaine,morwell,hampton_park,sunbury,stratford,lovely_banks,oakleigh_south,bonnie_brook,california_gully,pakenham,beaconsfield,plumpton,muckatah,yarragon,frankston_north,strathdale,armstrong_creek,diggers_rest,islamabad,lyndhurst,hurstbridge,pascoe_vale_south,belmont,nicholson,spring_gully,strathmore,pioneer_bay,crib_point,loch_sport,caulfield_south,cranbourne_east,greenvale,coldstream,seaford,endeavour_hills,murrindal,kilmore,rosebud,caniço,laverton,moonee_ponds,moe,epping,thornbury,venus_bay,ballarat_central,oakleigh,werribee_south,mckinnon,southbank,avondale_heights,bentleigh,donnybrook,paynesville,cranbourne_north,kangaroo_flat,kalkallo,oxley,cheltenham,orbost,brunswick,korumburra,saint_leonards,ferntree_gully,wallan,carrajung_south,narre_warren_north,donald,yarroweyah,flemington,st_albans,northcote,west_melbourne,lara,rowville,junction_village,eagle_point,hastings,selby,sandringham,somerville,castlemaine,deanside,barwon_heads,redan,alfredton,wheatsheaf,nyah_west,dromana,cranbourne_south,ringwood,curlewis,st_kilda_east,reservoir,wangaratta,noble_park,goldsboro,aireys_inlet,altona_north,coongulla,derrimut,sebastopol,warragul,grantville,inverleigh,mount_pleasant,eaglehawk,hillside,bagshot,albanvale,nichols_point,ryanston,doncaster,brighton,irymple,safety_beach,koo_wee_rup,gre_gre_south,carora,clyde,wonga_park,inverloch,box_hill_south,mornington,charlemont,rhyll,poowong,clarinda,glenroy,richmond,callanish,saint_arnaud,sandhurst,frankston,narre_warren_south,coronet_bay,launceston,clyde_north,highlands,hoppers_crossing,chanute,listowel,seymour,maldon,welshmans_reef,kennington,upotipotpon,garfield,bentleigh_east,paradise_beach,buffalo,sunshine,hawthorn_east,weir_views,braybrook,nullawil,daylesford,bacchus_marsh,moonee_vale,bend,toora,pyalong,glen_waverley,kialla,heidelberg,kerang,heidelberg_heights,west_footscray,craigieburn,mount_rowan,south_melbourne,portland,yarraville,harcourt,churchill,romsey,surrey_hills,hamilton,wantirna_south,chiltern,homewood,allambee_reserve,moolap,swan_hill,coburg_north,templestowe_lower,bell_post_hill,bruthen,nhill,foster,horsham,ocean_grove,doncaster_east,kyneton,geelong_west,numurkah,wonthaggi,wendouree,myrtleford,mernda,bannockburn,windermere,corinella,cowes,freeburgh,rosedale,moliagul,bayswater,metung,chewton,torquay,frankston_south,walhalla,docklands,corryong,ivanhoe,melton_south,deepdene,hawthorn,cranbourne,nyora,golden_square,balwyn_north,darley,giza,byrock,north_bendigo,hamlyn_heights,tatura,taggerty,flora_hill,springvale,mentone,wantirna,beechworth,blackburn_south,melton,mountain_bay,doreen,drysdale,kurunjang,lucas,chewton_bushlands,huntly,jamieson,lorne,ferny_creek,north_melbourne,mooroolbark,macarthur,mount_waverley,essendon,echuca,dartmoor,bass,malvern_east,brown_hill,cobram,riddells_creek,apollo_bay,ballarat_east,broadford,healesville,norlane,mount_duneed,west_wodonga,herne_hill,dimboola,mitcham,highton,st_kilda,koroit,footscray,mount_martha,glengarry,mordialloc,korobeit,bundoora,elwood,sedgwick,kyabram,bundalong,botanic_ridge,diamond_creek,cape_woolamai,whittington,newtown,queenscliff,toorloo_arm,keilor_downs,soldiers_hill,portarlington,cape_town,rochester,kew,cockatoo,wahgunyah,hepburn_springs,balaclava,ararat,scarsdale,aspendale,lalor,harwich,mccrae,newcomb,killara,beaufort,marlo,east_bairnsdale,ormond,cullulleraine,south_kingsville,mildura,chelsea_heights,rippleside,yelta,red_cliffs,tarrawingee,gisborne,gladstone_park,mooroopna,carrum,porepunkah,jan_juc,epsom,chelsea,warrnambool,maddingley,fitzroy_north,toolondo,sawmill_settlement,lake_bunga,junortoun,moorabbin,falls_creek,williams_landing,maidstone,majorca,upwey,leongatha,emerald,cohuna,maryborough,delahey,bunyip
499400.0,544700.0,501000.0,788585.0,592980.0,460588.0,749990.0,713100.0,592000.0,598900.0,484900.0,401000.0,610000.0,540000.0,588000.0,574000.0,440000.0,564000.0,997500.0,175000.0,315000.0,599900.0,1225000.0,540000.0,639000.0,389000.0,550000.0,650000.0,459000.0,1350000.0,1100000.0,555000.0,1015000.0,494000.0,735000.0,330000.0,300000.0,425000.0,11.5,472500.0,910000.0,319000.0,399500.0,415000.0,30.0,729000.0,410000.0,1200000.0,769150.0,320000.0,600000.0,420000.0,439630.0,450000.0,320000.0,592500.0,622046.0,512429.0,571254.0,593600.0,827361.0,660000.0,435000.0,1150000.0,379000.0,442900.0,475000.0,638300.0,409900.0,395000.0,350900.0,886250.0,525000.0,624000.0,199000.0,700000.0,573027.0,195000.0,317500.0,1250000.0,470283.0,477500.0,525000.0,511878.0,595123.0,1400000.0,651000.0,291000.0,375000.0,735000.0,633200.0,559640.0,969000.0,715000.0,1100000.0,750000.0,697464.0,275000.0,3350000.0,480000.0,997500.0,367500.0,1250000.0,521380.0,675000.0,577500.0,695000.0,632025.0,497403.0,407500.0,815000.0,725000.0,605000.0,2275000.0,551225.0,624750.0,1150000.0,629000.0,517360.0,660000.0,604000.0,650000.0,570000.0,1050000.0,695000.0,680000.0,430000.0,780000.0,484000.0,655989.0,770000.0,1675000.0,299000.0,320.0,479900.0,724000.0,567725.0,345000.0,770000.0,1800000.0,349000.0,489000.0,615000.0,367500.0,925000.0,930000.0,515685.0,1207500.0,758200.0,425000.0,525000.0,1029000.0,1500000.0,1200000.0,547978.0,662492.0,1300000.0,375000.0,250000.0,690000.0,575000.0,1025000.0,725000.0,1200000.0,482500.0,294000.0,749000.0,290000.0,690000.0,197000.0,2775000.0,660000.0,280000.0,689000.0,390000.0,654770.0,615000.0,1244105.0,180000.0,646850.0,525648.0,519580.0,575955.0,1500000.0,1300000.0,435000.0,690000.0,168000.0,1025000.0,610000.0,685733.0,642800.0,557800.0,913190.0,775000.0,931900.0,471257.0,574600.0,1200000.0,250000.0,511822.0,534600.0,710000.0,585000.0,232500.0,1185000.0,507500.0,775000.0,520000.0,289000.0,692177.0,650000.0,560000.0,189000.0,475000.0,450000.0,775000.0,845000.0,480000.0,1500000.0,650000.0,635000.0,470000.0,875000.0,875000.0,645000.0,545790.0,595000.0,189000.0,780000.0,578050.0,531140.0,270000.0,469000.0,865000.0,498000.0,430000.0,155.5,289500.0,620000.0,500000.0,780000.0,2525000.0,830000.0,385000.0,1290000.0,595000.0,290000.0,1020000.0,630000.0,645000.0,860000.0,649000.0,520000.0,350000.0,772000.0,239000.0,625000.0,805000.0,405000.0,215000.0,230000.0,899000.0,419000.0,890000.0,1600000.0,365000.0,785000.0,225000.0,599000.0,510000.0,695000.0,545500.0,520000.0,395000.0,600000.0,319000.0,990000.0,820000.0,202500.0,850000.0,320000.0,348000.0,825000.0,2047500.0,495000.0,635000.0,379000.0,539000.0,249000.0,4800000.0,6288000.0,559950.0,430400.0,523977.0,3880000.0,669000.0,635345.0,810759.0,462000.0,525000.0,400000.0,1470000.0,464500.0,785000.0,355000.0,557500.0,650000.0,505000.0,440000.0,875000.0,619900.0,630000.0,1325000.0,464000.0,998000.0,469400.0,467500.0,130000.0,808000.0,320000.0,705000.0,685000.0,1155000.0,1750000.0,495000.0,345000.0,750000.0,465000.0,864000.0,185000.0,45000.0,945000.0,445000.0,254000.0,2400000.0,469000.0,759875.0,265000.0,445000.0,350000.0,1102500.0,455000.0,125.0,380000.0,343200.0,768673.0,198000000.0,1250000.0,1450000.0,787500.0,600000.0,1250000.0,620000.0,295000.0,767700.0,1200000.0,634500.0,454000.0,1387500.0,1750000.0,120000.0,740000.0,430000.0,639000.0,473888.0,850000.0,1500000.0,715000.0,185000.0,600000.0,629000.0,720000.0,300000.0,840000.0,920000.0,398374.0,106.5,555000.0,305000.0,565000.0,575000.0,385000.0,1950000.0,287500.0,485000.0,307500.0,885000.0,1420000.0,220000.0,278250.0,299000.0,752500.0,650000.0,387500.0,945000.0,739000.0,1325000.0,600000.0,875000.0,500000.0,599000.0,2700000.0,200000.0,675000.0,999000.0,575000.0,1260000.0,400000.0,565000.0,715000.0,175000.0,1050000.0,500000.0,885000.0,278000.0,430000.0,850000.0,620000.0
289000.0,605000.0,417000.0,683080.0,550000.0,475388.0,819900.0,639500.0,772326.0,601246.0,595000.0,517500.0,650000.0,510888.0,371800.0,764329.0,470000.0,413110.0,815000.0,,,593000.0,,245000.0,498429.0,,,637025.0,,,1050000.0,,389749.0,589000.0,280000.0,599000.0,403521.0,,750000.0,564500.0,,732265.0,,820000.0,315000.0,390000.0,,873690.0,727333.0,399000.0,532603.0,,438500.0,949000.0,,505000.0,619046.0,479276.0,505000.0,,,815000.0,360000.0,,,,395705.0,,,,,435000.0,,,449000.0,,547500.0,149950.0,680000.0,,691195.0,430000.0,597400.0,505526.0,559743.0,4277500.0,,,677967.0,528800.0,457000.0,,,,,394000.0,621380.0,,,,565000.0,185000.0,,585000.0,699800.0,724500.0,915000.0,574538.0,449800.0,509000.0,695000.0,,,625000.0,454005.0,595000.0,840000.0,649000.0,1567500.0,640000.0,,,674000.0,700000.0,775000.0,,743518.0,,457500.0,750000.0,,,25000.0,945000.0,1700000.0,802500.0,554718.0,430000.0,,,,,,,,470000.0,711755.0,,659140.0,565000.0,630000.0,,,755000.0,508126.0,666011.0,1300000.0,510000.0,754000.0,,,,749000.0,467500.0,,,689000.0,749000.0,,,,96250000.0,,,305000.0,607500.0,317500.0,,,,527548.0,540680.0,,775950.0,,,,,922500.0,587500.0,,633712.0,783000.0,,310000.0,952900.0,471257.0,570600.0,,,,513000.0,,,176750.0,,460000.0,,773500.0,,697500.0,,,,,635000.0,560000.0,,,,,1515000.0,350000.0,875000.0,,,,1050000.0,,800000.0,509400.0,,,255000.0,,698000.0,412500.0,795000.0,250000.0,,350000.0,805000.0,,,369000.0,,,462050.0,475000.0,,339000.0,840000.0,,,,776000.0,340000.0,,11.5,,,,485000.0,249000.0,1150000.0,1575000.0,661604.0,280000.0,435000.0,739900.0,287500.0,,,,,,620000.0,,,,,,,2375000.0,633116.0,,527500.0,189000.0,1250000.0,545000.0,,,1050000.0,,,,,,629092.0,470000.0,350000.0,,,,,,,729000.0,310000.0,,,,,,,,711971.0,,,,840000.0,,,,,325000.0,,,1300000.0,,,,,462500.0,420000.0,,479000.0,689875.0,489000.0,589000.0,,815000.0,725000.0,,,336700.0,,,,,325000.0,,,280000.0,,807900.0,,,399000.0,1387500.0,,,,,,423888.0,165000.0,,,,,,260000.0,,,,,,,,,,,,,,135000.0,1100000.0,,,451500.0,,,,,,,,455000.0,795000.0,,,,,,,,,,,,,,,,,,,
301000.0,483085.0,533800.0,604185.0,520000.0,432788.0,989900.0,705100.0,698034.0,605111.0,680000.0,552500.0,620000.0,585185.0,368750.0,539156.0,,427195.0,,,,636800.0,,,522000.0,,,648898.0,,,,,515000.0,394000.0,,1015900.0,412165.0,,,400310.0,,731065.0,,820000.0,,390000.0,,544148.0,,4400000.0,514500.0,,419130.0,791000.0,,640000.0,720892.0,,582000.0,,,,,,,,300000.0,,,,,700000.0,,,495000.0,,562002.0,149950.0,1400000.0,,621903.0,402500.0,448700.0,,533440.0,,,,,637700.0,815000.0,,,,,,550980.0,,,,702500.0,370000.0,,588250.0,603000.0,,365000.0,,,501000.0,690000.0,,,433500.0,255000.0,,,629000.0,,,,,565000.0,,675000.0,,499000.0,,175000.0,585000.0,,,,880000.0,320000.0,1050000.0,,295000.0,,,,,,,,,740775.0,,615924.0,,672500.0,,,,542614.0,654891.0,,,625000.0,,,,755000.0,725000.0,,,640000.0,503900.0,,,,,,,,365900.0,,,,,638665.0,527480.0,,,,,,,780000.0,599000.0,,,395000.0,,750000.0,1499000.0,724500.0,472100.0,,,,550000.0,,,,,477699.0,,540000.0,,875000.0,,,,,165000.0,,,,,,1062500.0,,,,,,,,995000.0,,,,,,3125000.0,667500.0,,65000.0,,,1025000.0,,,545000.0,,,,715000.0,,369000.0,,,,,885000.0,,,,,,,,,755.0,785000.0,250000.0,750000.0,260000.0,729000.0,380000.0,,,,,,1800000.0,,,,,,,,775000.0,,345000.0,238000.0,108.0,515000.0,,,440000.0,,,,,,,,545000.0,,,,,,,,585798.0,,,,,,,,436500.0,,,,,,,,,,,,,,,,,455000.0,700000.0,,484000.0,766875.0,,,,1150000.0,,,,337900.0,,,,,,,,,,814778.0,,,,1400000.0,,,,,,470888.0,,,,,,,,,,,,,,,,,,,,,186250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523285.0,556168.0,543600.0,499500.0,470000.0,,979900.0,641100.0,295000.0,593641.0,620000.0,,620000.0,330000.0,462210.0,883000.0,,516888.0,,,,893480.0,,,410000.0,,,667222.0,,,,,,562500.0,,564000.0,300000.0,,,477810.0,,727768.0,,330000.0,,,,574500.0,,739000.0,805000.0,,514546.0,418000.0,,724950.0,668816.0,,476900.0,,,,,,,,,,,,,650000.0,,,,,458580.0,149950.0,,,546500.0,,518485.0,,546640.0,,,,,606000.0,,,,,,,571780.0,,,,,269000.0,,499600.0,,,,,,541500.0,,,,,,,,459000.0,,,,,770000.0,,,,1950000.0,,175000.0,,,,,699000.0,1700000.0,1050000.0,,349000.0,,,,,,,,,711755.0,,,,628500.0,,,,506407.0,672580.0,,,640000.0,,,,790000.0,,,,712000.0,500700.0,,,,,,,,935000.0,,,,,512498.0,548690.0,,,,,,,670000.0,,,,,,,,499300.0,491100.0,,,,,,,,,650000.0,,,,498200.0,,,,,615000.0,,,,,,410096.0,,,,,,,,,,,,,,819000.0,895000.0,,260000.0,,,,,,995000.0,,,,555000.0,,11.5,,,,,1002000.0,,,,,,,,,760000.0,16.5,710000.0,,,,,,,,,,,,,,,,,,,,,,900000.0,440000.0,,,,,,,,,,,,,,,,,,,1050000.0,,,,,,,,426300.0,,,,,,,,,,,,,,,,,,638000.0,,,666775.0,,,,735000.0,,,,429000.0,,,,,,,,,,771440.0,,,,,,,,,,535888.0,,,,,,,,,,,,,,,,,,,,,420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579160.0,553743.0,523600.0,902500.0,650000.0,,556900.0,420000.0,560998.0,606032.0,580000.0,,519299.0,459000.0,581165.0,1113000.0,,545850.0,,,,681334.0,,,603750.0,,,661842.0,,,,,,655000.0,,480000.0,473750.0,,,437210.0,,275000.0,,,,,,547148.0,,295000.0,620000.0,,467794.0,,,825000.0,514546.0,,490944.0,,,,,,,,,,,,,,,,,,524175.0,159950.0,,,550500.0,,643900.0,,560055.0,,,,,615000.0,,,,,,,499780.0,,,,,,,10.0,,,,,,554500.0,,,,,,,,315000.0,,,,,420000.0,,,,,,544000.0,,,,,1200000.0,910000.0,,,420000.0,,,,,,,,,740775.0,,,,430000.0,,,,542614.0,661282.0,,,,,,,790000.0,,,,,538000.0,,,,,,,,580000.0,,,,,,528890.0,,,,,,,,,,,,,,,1065000.0,563300.0,,,,,,,,,607500.0,,,,475000.0,,,,,,,,,,,1675000.0,,,,,,,,,,,,,,701100.0,,,,,,,,,395000.0,,,,780000.0,,389000.0,,,,,1002000.0,,,,,,,,,749000.0,,523356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523755.0,,,,,,,,459100.0,,,,,,,,,,,,,,,,,,,,,689878.0,,,,,,,,663500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,506280.0,449000.0,725000.0,650000.0,,576900.0,272500.0,487823.0,621192.0,514260.0,,489416.0,983000.0,659165.0,627993.0,,535850.0,,,,635000.0,,,210000.0,,,815443.0,,,,,,617000.0,,1295000.0,,,,610000.0,,,,,,,,574861.0,,515000.0,680000.0,,542805.0,,,,,,403229.0,,,,,,,,,,,,,,,,,,633493.0,147500.0,,,583560.0,,653900.0,,713768.0,,,,,770000.0,,,,,,,263500.0,,,,,,,650000.0,,,,,,475000.0,,,,,,,,,,,,,596000.0,,,,,,,,,,,485000.0,,,,870000.0,,,,,,,,,553949.0,,,,710000.0,,,,546724.0,596300.0,,,,,,,785000.0,,,,,270000.0,,,,,,,,720000.0,,,,,,,,,,,,,,,,,,,,,1600000.0,,,,,,,,,,630000.0,,,,710190.0,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,835000.0,,,,,,,,,,,,,,,,1247500.0,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473200.0,,,,,,,,,,,,,,,,,,,,,634008.0,,,,,,,,660000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,630559.0,602305.0,640785.0,650000.0,,397900.0,,474412.0,524261.0,410000.0,,665705.0,763000.0,,670000.0,,561010.0,,,,699000.0,,,782500.0,,,558516.0,,,,,,,,,,,,745000.0,,,,,,,,586707.0,,285000.0,675000.0,,214900.0,,,,,,532250.0,,,,,,,,,,,,,,,,,,611257.0,147500.0,,,570500.0,,440000.0,,550055.0,,,,,,,,,,,,199950.0,,,,,,,618820.0,,,,,,605000.0,,,,,,,,,,,,,,,,,,,,,,,,699000.0,,,,,,,,,,,,,531359.0,,,,,,,,581399.0,659655.0,,,,,,,736717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000.0,,,,,,,,,,535000.0,,,,637590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634008.0,,,,,,,,349300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,340000.0,578605.0,708630.0,734396.0,,383400.0,,555148.0,616680.0,512269.0,,576705.0,611040.0,,575000.0,,575944.0,,,,575000.0,,,688000.0,,,,,,,,,,,,,,,545957.0,,,,,,,,693690.0,,179000.0,,,200000.0,,,,,,484804.0,,,,,,,,,,,,,,,,,,454573.0,147500.0,,,325000.0,,587500.0,,490687.0,,,,,,,,,,,,199950.0,,,,,,,583080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583900.0,,,,,,,,545930.0,592055.0,,,,,,,744046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000.0,,,,,,,,,,765000.0,,,,789303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594798.0,,,,,,,,663500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,860000.0,546035.0,925000.0,649526.0,,,,750205.0,617893.0,512888.0,,402071.0,646900.0,,575000.0,,545150.0,,,,663330.0,,,678000.0,,,,,,,,,,,,,,,907185.0,,,,,,,,,,265000.0,,,201000.0,,,,,,429900.0,,,,,,,,,,,,,,,,,,630000.0,525000.0,,,,,605900.0,,521594.0,,,,,,,,,,,,,,,,,,,528480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667100.0,,,,,,,,695000.0,431655.0,,,,,,,829359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000.0,,,,,,,,,,735000.0,,,,628000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594798.0,,,,,,,,340200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,629940.0,949521.0,745626.0,,,,483900.0,625011.0,597500.0,,267500.0,501900.0,,625993.0,,558626.0,,,,670143.0,,,815500.0,,,,,,,,,,,,,,,476889.0,,,,,,,,,,,,,236000.0,,,,,,369900.0,,,,,,,,,,,,,,,,,,678104.0,159950.0,,,,,565000.0,,457900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600900.0,,,,,,,,,642500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560000.0,,,,,,,,,,,,,,653340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618798.0,,,,,,,,718500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
