toorak,cranbourne,lyndhurst,tallygaroopna,kings_park,clayton,hallam,thornhill_park,braybrook,werribee,darley,whiteheads_creek,tarneit,broadford,carnegie,hamlyn_heights,burwood,seymour,san_francisco,smythes_creek,keilor_downs,brighton_east,ormond,omeo,drouin,saint_arnaud_east,macleod,deanside,hastings,gisborne,portland,mia_mia,springvale,epsom,west_footscray,armstrong_creek,birchip,chadstone,point_cook,bentleigh_east,melbourne,mooroopna,the_honeysuckles,saint_leonards,tootgarook,aspendale,horsham,manor_lakes,wonthaggi,metung,hoppers_crossing,spring_gully,yallambie,leongatha,capel_sound,seaton,truganina,jeparit,bacchus_marsh,west_wodonga,wyndham_vale,belgrave_heights,sunbury,ferntree_gully,plumpton,diggers_rest,carrum_downs,frankston_north,ringwood,sandringham,frankston,noble_park,maldon,fraser_rise,heatherton,seaford,porepunkah,maddingley,mont_albert_north,wollert,bulleen,kalkallo,talbingo,benalla,donnybrook,cranbourne_north,hillside,rockbank,dromana,beveridge,north_wonthaggi,clyde_north,mount_eliza,marong,kangaroo_flat,jacana,fyansford,eskdale,bittern,brighton,charlotte,charlemont,rowville,croydon,port_melbourne,berwick,bonnie_brook,pascoe_vale_south,buxton,connewarre,numurkah,mickleham,flemington,golden_square,airport_west,heathcote,chirnside_park,hawthorn,mernda,rosebud,corio,cranbourne_west,bendigo,wodonga,rye,barnawartha,cape_town,venus_bay,officer,eildon,yarrawonga,ocean_grove,mildura,blackburn_north,richmond,newport,bundoora,warragul,daylesford,dandenong_north,lakes_entrance,yanakie,lake_tyers_beach,newborough,east_bendigo,upper_ferntree_gully,doreen,safety_beach,ballarat_central,carlisle_river,tabilk,windsor,reservoir,southbank,eynesbury,colac,curlewis,malvern_east,norlane,gladstone_park,highett,watsonia_north,craigieburn,delacombe,south_melbourne,shepparton,mambourin,cowes,liège,eltham,endeavour_hills,somerville,keilor_east,sale,essendon,lara,templestowe_lower,blackburn_south,yarraville,tanjil_south,box_hill_north,bell_park,spotswood,baxter,greensborough,giza,little_river,niddrie,melton_south,murchison,raglan,docklands,pakenham,jackass_flat,lower_plenty,berkeley,brunswick_east,westmeadows,morwell,neerim,wallan,portarlington,clyde,torquay,epping,healesville,koondrook,cohuna,baranduda,burwood_east,cranbourne_south,the_patch,tolmie,sunshine_north,alfredton,narre_warren_south,officer_south,scoresby,surrey_hills,mornington,frankston_south,whittlesea,box_hill_south,hamilton,paradise_beach,north_melbourne,albanvale,ballan,seabrook,euroa,beaconsfield,loch_sport,saint_helens_plains,berrys_creek,carora,abbotsford,cheltenham,apollo_bay,narre_warren_north,kennington,marysville,heidelberg,byrock,malvern,west_melbourne,weir_views,botanic_ridge,paynesville,bonshaw,eppalock,noble_park_north,lockwood_south,castlemaine,kew,donald,glenroy,mitcham,tatura,mordialloc,junction_village,dennington,mirboo,carlton,falls_creek,dallas,glen_waverley,altona_north,cranbourne_east,lynbrook,kinglake_west,trois-rivières,hampton_park,boronia,sunday_creek,lilydale,ferny_creek,clarendon,kerang,deer_park,eltham_north,preston,aintree,travancore,doncaster,traralgon,doveton,pomonal,mount_duneed,viewbank,nicholson,nagambie,melton_west,oakleigh_south,casterton,mitchell_park,newtown,langwarrin,dandenong,brunswick,bayswater,kilmore,saint_albans_park,mount_waverley,mont_albert,mirboo_north,mount_clear,narre_warren,underbool,sydenham,fitzroy,kalimna,knoxfield,prahran,park_orchards,oak_park,moonee_ponds,south_dudley,balwyn_north,red_cliffs,kilsyth,yelta,warrnambool,elwood,woodstock,doncaster_east,caulfield_south,tooronga,traralgon_east,revelstoke,corinella,wangaratta,lysterfield,thomastown,north_bendigo,chanute,brookfield,footscray,bell_post_hill,collingwood,newcomb,essendon_west,eaglehawk,romsey,chittering,orbost,dinner_plain,templestowe,altona_meadows,clayton_south,cockatoo,fairfield,yallourn_north,briar_hill,croydon_hills,parkdale,north_warrandyte,keilor_park,warranwood,mooroolbark,wendouree,wimbledon_heights,nyora,vinita,maryborough,bealiba,grantville,dales_creek,creswick,brunswick_west,greenvale,woodend,ringwood_east,echuca,montmorency,plenty,sandy_point,tyers,wycheproof,bonbeach,tooradin,foster,kyneton,anglesea,bearii,yarragon,ivanhoe,flowerdale,waterford_park,korumburra,clunes,bairnsdale,muckatah,swan_hill,tarwin_lower,maidstone,moe,skye,leopold,pascoe_vale,strathfieldsaye,long_gully,gembrook,maroona,drysdale,montrose
710000.0,930000.0,630000.0,557632.0,625000.0,749990.0,795000.0,494900.0,555000.0,338000.0,546535.0,670000.0,630000.0,472500.0,535000.0,638983.0,1350000.0,775000.0,518788.0,260000.0,300000.0,1468500.0,640000.0,19465000.0,332500.0,165000.0,100110.0,567000577000.0,745000.0,1150000.0,360000.0,1250000.0,430000.0,645000.0,625000.0,606900.0,295000.0,1350000.0,815000825000.0,1487500.0,225000.0,483709.0,650000.0,730990.0,1150000.0,1400000.0,369000.0,596000.0,635000.0,3650000.0,575000.0,442500.0,815000.0,1100000.0,275000.0,635000.0,695000.0,110000.0,715000.0,544668.0,508000.0,667000677000.0,591500.0,762500.0,628463.0,780000.0,609000.0,595000.0,630000.0,890000.0,645000.0,1150000.0,389000.0,567000.0,1250000.0,935000.0,975000.0,550000.0,1250000.0,600898.0,1450000.0,555000.0,621842.0,175000.0,609000.0,607500.0,701196.0,659000.0,392500.0,441508.0,452500.0,645200.0,995000.0,525000.0,335000.0,575000.0,560451.0,445000.0,735000.0,1790000.0,472500.0,564300.0,827500.0,650000.0,759888.0,620000.0,627700.0,1250000.0,795000.0,1000000.0,514060.0,694750.0,250000.0,280000.0,975000.0,570000.0,925000.0,165000.0,639500.0,975000.0,444000.0,510000.0,517500.0,319000.0,1250000.0,525000.0,503179.0,525000.0,662590.0,159000.0,360000.0,995000.0,420000.0,997500.0,697500.0,1050000.0,345000.0,685000.0,900000.0,890000.0,185000.0,549000.0,595000.0,518647.0,485000.0,665000.0,600000.0,1575000.0,602500.0,800000.0,360000.0,1337500.0,630000.0,693000.0,494000.0,350000.0,705000.0,545000.0,395000.0,595000.0,1102500.0,805000.0,695000.0,575000.0,420000.0,379000.0,523853.0,705000.0,855477.0,160.0,682500.0,445000.0,800000.0,568000.0,800000.0,624000.0,1400000.0,699400.0,985000.0,1175000.0,1200000.0,700000.0,1225000.0,700000.0,770000.0,516402.0,589426.0,750000.0,464000.0,795000.0,770000.0,790000.0,622500.0,559600.0,393375.0,997500.0,748000.0,560000.0,245000.0,1020000.0,614500.0,1424000.0,545000.0,1250000.0,450000.0,715000.0,245000.0,80000.0,560100.0,850000.0,834390.0,595740.0,920000.0,764540.0,655000.0,519750.0,612545.0,720000.0,810000.0,503850.0,1485000.0,649500.0,360000.0,629000.0,120000.0,850000.0,655000.0,537300.0,740000.0,320000.0,900000.0,125500.0,849000.0,600000.0,617784.0,440000.0,508262.0,350000.0,1565000.0,490000.0,340000.0,1400000.0,576160.0,465000.0,1050000.0,552876.0,806696.0,755918.0,472885.0,701498.0,735000.0,407000.0,561204.0,645000.0,180000.0,630000.0,133.0,540250.0,1150000.0,783000.0,350000.0,995000.0,699000.0,348000.0,600.0,1680000.0,665000.0,622700.0,770000.0,487500.0,775000.0,510000.0,820000.0,450000.0,395000.0,595000.0,297500.0,188000.0,575000.0,170.0,1275000.0,460000.0,302500.0,28000003000000.0,249500.0,410000.0,1500000.0,725667.0,492579.0,205950.0,658000.0,604000.0,950000.0,160000.0,410000.0,1350000.0,480000.0,435000.0,999000.0,955000.0,556235.0,567830.0,1200000.0,875000.0,695000.0,385000.0,760000820000.0,105000.0,775000.0,750000.0,795000.0,756000.0,150000.0,180.0,615000.0,1342500.0,375000.0,1850000.0,130000.0,1100000.0,480000.0,605000.0,450000.0,676572.0,1700000.0,611000.0,350900.0,785000.0,606900.0,310000.0,895000.0,608500.0,720000.0,650000.0,1825000.0,489000.0,540000.0,644000.0,404000.0,204750.0,935000960000.0,445000.0,390000.0,975000.0,495000.0,645000.0,945000.0,720000.0,775000.0,575000.0,1450000.0,349500.0,1350000.0,575000.0,865000.0,1450000.0,720000.0,575000.0,819000.0,425000.0,680000.0,431300.0,1990000.0,355000.0,250000.0,615150.0,325000.0,185000.0,997500.0,945000.0,800000.0,995000.0,400000.0,675000.0,1000000.0,620000.0,449000.0,290000.0,752500.0,630000.0,169000.0,648446.0,1975000.0,275000.0,685000.0,392500.0,775000.0,620000.0,526060.0,300000.0,235000.0,4277500.0,379000.0,795000.0,725000.0,400000.0,810000.0,644000.0,860000.0,487500.0,340000.0,1350000.0,63000.0,1050000.0,930000.0
,560000.0,495000.0,611847.0,,819900.0,,560000.0,,458809.0,,,605000.0,472500.0,1200000.0,,382000.0,565000.0,483283.0,265000.0,586300.0,,560000.0,,550000.0,,610000.0,651000661000.0,517500.0,647351.0,190000.0,252500.0,670000.0,665932.0,262500.0,678800.0,,,656000666000.0,454700.0,1089000.0,503072.0,210000.0,684000.0,,1050000.0,289000.0,489612.0,1150000.0,,550000.0,,,270000.0,672500.0,,499829.0,,824000.0,525768.0,418900.0,649500.0,554600.0,945000.0,616249.0,594000.0,630000.0,,1312500.0,1850000.0,735000.0,409500.0,,588018.0,,850000.0,,,,621799.0,110.0,513240.0,729104.0,169000.0,588200.0,577500.0,539500.0,527156.0,1150000.0,521906.0,599000.0,890000.0,1295.0,,560000.0,650000.0,,,1450000.0,2080000.0,,482500.0,997500.0,840000.0,1075000.0,525000.0,605462.0,,,,770000.0,679250.0,,,995000.0,1074000.0,594900.0,,510000.0,997500.0,603731.0,472500.0,722500.0,615000.0,1042500.0,,447680.0,525000.0,651190.0,,495000.0,,562000.0,,459900.0,520000.0,800000.0,410000.0,,,170000.0,,920000.0,499844.0,,1050000.0,700000.0,805000.0,,,,,,700000.0,464500.0,,1500000.0,325000.0,630000.0,,1470000.0,,747900.0,297500.0,511500.0,585912.0,614009.0,865000.0,,429950.0,630000.0,670000.0,,370000.0,2285000.0,642500.0,,,,,,,,,,586000.0,584391.0,,354000.0,615000.0,,918000.0,517500.0,599700.0,490770.0,,417000.0,506000.0,475000.0,,805000.0,1400000.0,663150.0,,,860000.0,245000.0,235000.0,,1149000.0,747040.0,,,765.0,799000.0,669500.0,716245.0,,1270000.0,1470000.0,1075000.0,,,349000.0,459000.0,,472500.0,259000.0,,,403200.0,,,,,775000.0,,860000.0,,,,,,465000.0,480000.0,694765.0,764190.0,,494095.0,570948.0,,,309000.0,2047500.0,,472500.0,922500.0,558597.0,,,,,,,540500.0,1307500.0,,765000.0,,419900.0,,,724500.0,,455000.0,,,,,,1150000.0,,,345000.0,259000.0,,,620965.0,489896.0,,,522000.0,,,,575000.0,,910000.0,485000.0,,635949.0,,,760000.0,,,555000.0,,,,,,,,,,,3000000.0,,364597.0,,210000.0,,,545000.0,,,558990.0,548800.0,722500.0,,,,355000.0,,,430000.0,605000.0,,,1100000.0,,300000.0,,,,,727500.0,,735000.0,1350000.0,,,,,,,,,,,,,,,558700.0,,185000.0,,,,,,,,,,,,,,,,,,,,,567380.0,,,,269000.0,,,,,,,,,,,,
,660000.0,922000.0,658752.0,,989000.0,,541000.0,,478854.0,,,641450.0,900000.0,1750000.0,,1550000.0,492000.0,,260000.0,,,,,,,,702000712000.0,834750.0,763884.0,370000.0,,,936277.0,,575700.0,,,762000772000.0,1720000.0,440000.0,469950.0,,1300000.0,,1650000.0,289990.0,450745.0,,,510000.0,,,,,,468061.0,,,552028.0,516049.0,,470400.0,,636317.0,514469.0,685000.0,,575000.0,,787500.0,735000.0,,565469.0,,,,,,610000.0,,635770.0,,666169.0,619800.0,695000.0,583500.0,431922.0,995000.0,616000626000.0,,685000695000.0,,,,,,,,,,509375.0,,500000.0,,3114830900.0,457500.0,,,,234000.0,710000.0,,,,615000.0,,,462000.0,640000.0,550227.0,589950.0,,355000.0,934500.0,,,329000.0,404900.0,,514300.0,,250000.0,,459900.0,,640000.0,260000.0,,,215000.0,,,517202.0,,,525000.0,,,,,,,624000.0,,,,290000.0,405000.0,,625000.0,,434000.0,810344.0,1048000.0,459000.0,558922.0,927500.0,,,572740.0,,,205000.0,1050000.0,339800.0,,,,,,,,,,,,,448799.0,,,650000.0,636900.0,612600.0,495620.0,,405000.0,506000.0,199000.0,,645000.0,675000.0,500900.0,,,609000.0,,,,,,,,,,850000.0,,,900000.0,440000.0,,,,,400000.0,,,249000.0,,,,,,,,,,,,,,,,,390000.0,551191.0,719500.0,,,636690.0,,,,510000.0,,513700.0,,515209.0,,,,,,,,1260000.0,,634838.0,,,,,,,,,,,,,1050000.0,,,,265000.0,,,592900.0,427730.0,,,,,,,,,423990.0,975000.0,,542713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,549500.0,,,,,,,,,585000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691933.0,,165000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,418500.0,,516282.0,,989900.0,,560700.0,,474519.0,,,752287.0,750000.0,,,,,,299000.0,,,,,,,,684861.0,,,,,,564037.0,,601000.0,,,710000722000.0,,1010972500.0,498000.0,,,,,749000.0,478685.0,,,,,,,,,597661.0,,,553928.0,525000.0,,510600.0,,616577.0,1075000.0,,,,,735000.0,,,539912.0,,,,,,622900.0,,549713.0,,505809.0,640591.0,,565500.0,428695.0,1450000.0,700000710000.0,,711000721000.0,,,,,,,,,,,,815000.0,,399779.0,494500.0,,,,,597640.0,,,,,,,,,580680.0,665000.0,,519000.0,,,,350000.0,404900.0,,497200.0,,405000.0,,509900.0,,420000.0,375000.0,,,630000.0,,,424300.0,,,355000.0,,,,,,,770000.0,,,,534458.0,210000.0,,605800.0,,,,405000.0,,665705.0,665814.0,,,586828.0,,,,2375000.0,332800.0,,,,,,,,,,,,,455000.0,,,639000.0,610900.0,578500.0,493670.0,,,,,,,,472900.0,,,765000.0,,,,,,,,,,525000.0,,,1220000.0,1680000.0,,,,,,,,635000.0,,,,,,,,,,,,,,,,,,580161.0,756205.0,,,,,,,1650000.0,,,,542642.0,,,,,,,,883000.0,,595770.0,,,,,,,,,,,,,1350000.0,,,,,,,651900.0,441329.0,,,,,,,,,,1200000.0,,549053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,419000.0,,687126.0,,989900.0,,370900.0,,502054.0,,,734987.0,277000.0,,,,,,534400.0,,,,,,,,776237.0,,,,,,588092.0,,708182.0,,,750000.0,,697500.0,469250.0,,,,,,439674.0,,,,,,,,,499769.0,,,230000.0,469000.0,,552600.0,,549900.0,570000.0,,,,,597500.0,,,460900.0,,,,,,574100.0,,550900.0,,240000.0,62100.0,,,545850.0,1550000.0,54300.0,,562000572000.0,,,,,,,,,,,,545300.0,,297999.5,591205.0,,,,,581760.0,,,,,,,,,510000.0,,,,,,,,698305.0,,1750000.0,,357500.0,,509900.0,,430000.0,571968.0,,,,,,453000.0,,,,,,,,,,570000.0,,,,,465000.0,,515800.0,,,,,,564905.0,804000.0,,,670662.0,,,,,363800.0,,,,,,,,,,,,,362500.0,,,632000.0,738382.0,559500.0,,,,,,,,,472900.0,,,,,,,,,,,,,,,,810000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,866900.0,,,,,,,3300000.0,,,,613046.0,,,,,,,,590000.0,,550800.0,,,,,,,,,,,,,,,,,,,,640900.0,,,,,,,,,,,1100000.0,,579900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,577500.0,,,,969900.0,,200000.0,,477311.0,,,473595.0,,,,,,,260000.0,,,,,,,,620850.0,,,,,,565557.0,,636316.0,,,330000.0,,250000.0,,,,,,,,,,,,,,,,687599.0,,,,559000.0,,551800.0,,597300.0,782500.0,,,,,650000.0,,,609540.0,,,,,,630650.0,,694900.0,,,466440.0,,,584850.0,,521000531000.0,,636000646000.0,,,,,,,,,,,,,,545000.0,715619.0,,,,,579860.0,,,,,,,,,,,,,,,,,773375.0,,,,,,472500.0,,,633080.0,,,,,,340300.0,,,,,,,,,,1336650.0,,,,,,,,,,,,,514469.0,370000.0,,,513500.0,,,,,337800.0,,,,,,,,,,,,,449000.0,,,860000.0,619655.0,552400.0,,,,,,,,,518300.0,,,,,,,,,,,,,,,,780000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655000.0,,,,,,,,,,,,,,,,,,,,582900.0,,,,,,,,,,,,,555800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600000.0,,,,960000.0,,435900.0,,610000.0,,,690900.0,,,,,,,275000.0,,,,,,,,503100.0,,,,,,622267.0,,617174.0,,,820000.0,,325000.0,,,,,,,,,,,,,,,,610504.0,,,,435000.0,,503100.0,,563303.0,777500.0,,,,,409500.0,,,635540.0,,,,,,731900.0,,838700.0,,,589396.0,,,414856.0,,542000552000.0,,677000687000.0,,,,,,,,,,,,,,885180.0,610743.0,,,,,611160.0,,,,,,,,,,,,,,,,,652400.0,,,,,,830000.0,,,,,,,,,473038.0,,,,,,,,,,772800.0,,,,,,,,,,,,,,,,,607499.0,,,,,346800.0,,,,,,,,,,,,,505000.0,,,622000.0,625000.0,612600.0,,,,,,,,,439000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788894.0,,,,,,,,,,,,,,,,,,,,448200.0,,,,,,,,,,,,,595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,979900.0,,,,554996.0,,,564386.0,,,,,,,275000.0,,,,,,,,439990.0,,,,,,,,670000.0,,,700000.0,,748400.0,,,,,,,,,,,,,,,,720000.0,,,,420000.0,,551800.0,,,605000.0,,,,,815000.0,,,591040.0,,,,,,604340.0,,529900.0,,,649924.0,,,,,542000552000.0,,572250.0,,,,,,,,,,,,,,915000.0,582100.0,,,,,633705.0,,,,,,,,,,,,,,,,,579000.0,,,,,,,,,,,,,,,493400.0,,,,,,,,,,1173900.0,,,,,,,,,,,,,,,,,,,,,,360800.0,,,,,,,,,,,,,,,,806000.0,580967.0,606100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615000.0,,,,,,,,,,,,,,,,,,,,574815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,576900.0,,,,499000.0,,,522015.0,,,,,,,285000.0,,,,,,,,452100.0,,,,,,,,501400.0,,,970000.0,,595300.0,,,,,,,,,,,,,,,,502885.0,,,,385000.0,,553550.0,,,665000.0,,,,,350000.0,,,555140.0,,,,,,488650.0,,479900.0,,,607857.0,,,,,568000578000.0,,605000.0,,,,,,,,,,,,,,655000.0,470283.0,,,,,726697.0,,,,,,,,,,,,,,,,,469900.0,,,,,,,,,,,,,,,,,,,,,,,,,1011300.0,,,,,,,,,,,,,,,,,,,,,,660000.0,,,,,,,,,,,,,,,,510000.0,571002.0,573800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,397900.0,,,,556500.0,,,449542.0,,,,,,,880000.0,,,,,,,,429950.0,,,,,,,,579500.0,,,655000.0,,650000700000.0,,,,,,,,,,,,,,,,435000.0,,,,515000.0,,580350.0,,,760000.0,,,,,,,,429950.0,,,,,,602904.0,,518658.0,,,,,,,,523100.0,,556100.0,,,,,,,,,,,,,,1240000.0,471423.0,,,,,695593.0,,,,,,,,,,,,,,,,,579900.0,,,,,,,,,,,,,,,,,,,,,,,,,919800.0,,,,,,,,,,,,,,,,,,,,,,345800.0,,,,,,,,,,,,,,,,442500.0,450000.0,574100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
