clyde,skye,baxter,west_wodonga,richmond,cranbourne_west,mambourin,wallan,cranbourne,werribee,deanside,wyndham_vale,tarneit,pakenham,doveton,thornhill_park,mount_martha,nicholson,westmeadows,ruffy,wichita,mornington,koo_wee_rup,macedon,warracknabeal,officer,east_geelong,seaford,sunbury,clyde_north,kerang,thornbury,box_hill,narre_warren_north,glenroy,greenvale,scoresby,alfredton,mount_waverley,carlton,the_basin,cranbourne_east,ballarat_central,ardeer,traralgon,craigieburn,fingal,bentleigh,moonee_ponds,bayswater,oakleigh_east,glen_iris,safety_beach,san_remo,maidstone,lara,carrum_downs,cheltenham,frankston_south,niddrie,wallangarra,doreen,torquay,orbost,dandenong_north,edithvale,south_morang,trentham,doncaster,springvale,melbourne,berwick,bentleigh_east,reservoir,dandenong,rockbank,chelsea_heights,truganina,ashburton,narre_warren_south,byrock,donnybrook,kialla,cranbourne_south,frankston,brunswick_west,euroa,st_kilda,venus_bay,falls_creek,eaglehawk,narre_warren,mernda,boronia,northcote,seymour,hastings,melton_south,wollert,box_hill_north,diggers_rest,devenish,waldara,eskdale,whitlands,dandenong_south,cherokee,attwood,hallam,lilydale,garfield,kangaroo_flat,sale,kealba,kings_park,kyneton,essendon_west,yarraville,ferntree_gully,broadmeadows,greensborough,keilor_east,norlane,gladstone_park,mallacoota,langwarrin,mooroolbark,lethbridge,rosebud,hampton,eltham,bendigo,capel_sound,hawthorn,forest_hill,fraser_rise,point_cook,strathtulloh,warragul,footscray,otterham,mansfield,chirnside_park,nine_mile,braybrook,churchill,mortlake,kalkallo,south_yarra,malvern_east,fawkner,alexandra,mulgrave,saint_leonards,launching_place,walkerville,chelsea,hillside,belgrave_heights,croydon,malvern,botanic_ridge,keysborough,sunshine_west,templestowe,sunshine_north,blackburn_south,south_kingsville,avondale_heights,lower_plenty,bonnie_brook,croydon_north,grantville,corinella,golden_square,nelson,freshwater_creek,mickleham,wodonga,quantong,southbank,altona_north,carnegie,sunderland_bay,dingley_village,horsham,johanna,golden_beach,highett,apollo_bay,beveridge,gilderoy,mount_duneed,armstrong_creek,jackass_flat,armadale,donvale,grovedale,melton_west,invermay_park,rye,tootgarook,sebastopol,hampton_park,dallas,newport,meadow_heights,blairgowrie,catani,saint_andrews_beach,hoppers_crossing,angul,yarra_glen,san_francisco,stratford,flemington,monbulk,moe,pascoe_vale_south,plumpton,junction_village,patterson_lakes,drouin,pascoe_vale,benalla,newborough,castlemaine,maryborough,eynesbury,clayton_south,notting_hill,moorabbin,wantirna,burwood,ivanhoe,south_melbourne,huntly,brookfield,mckenzie_hill,weir_views,manor_lakes,epsom,travancore,warrandyte,tragowel,campbells_creek,manns_beach,oakleigh,cohuna,derrinallum,coffeyville,heidelberg_heights,chanute,rippleside,eltham_north,box_hill_south,wantirna_south,melton,caulfield_north,cockatoo,palo_alto,surrey_hills,spotswood,bolwarra,ascot_vale,somerville,mildura,strathmore,shepparton_east,mitcham,rosanna,glenlyon,maiden_gully,mentone,essendon_north,white_hills,echuca,halls_gap,crib_point,numurkah,kilmore,lisbon,cobram,cranbourne_north,port_albert,bundoora,diamond_creek,maldon,brunswick_east,smythes_creek,mount_helen,seaspray,frankston_north,loch_sport,endeavour_hills,croydon_hills,menzies_creek,dalyston,sydenham,north_bendigo,california_gully,parkdale,highton,healesville,lakes_entrance,eildon,upwey,preston,mount_eliza,ringwood,curlewis,viewbank,casterton,tallygaroopna,balwyn_north,mia_mia,nagambie,kew,oakleigh_south,ocean_grove,anglesea,winchelsea,heidelberg,heathmont,rowville,nar_nar_goon,herne_hill,coburg,bundalaguah,kurunjang,carlton_south,doncaster_east,beaumaris,belmont,flowerdale,yea,kinglake_west,heathcote,rosegreen,eumemmerring,wendouree,gormandale,north_wonthaggi,nyora,moe_south,prahran,williamstown,altona_meadows,delacombe,ballarat_east,essendon,blackwarry,shepparton,brighton_east,linton,cowes,bulleen,cobains,docklands,wairewa,bulart,longford,beaconsfield,port_melbourne,morwell,junortoun,delahey,cape_woolamai,sawmill_settlement,east_bendigo,whittlesea,bacchus_marsh,eppalock,engadine,yarram,geelong_west,west_melbourne,hamlyn_heights,burnside_heights,maribyrnong,fitzroy,ferny_creek,taradale,officer_south
520000.0,525000.0,650000.0,1595000.0,410000.0,650000.0,498200.0,665000.0,600000.0,762093.0,601664.0,543000.0,495000.0,567000.0,625000.0,613622.0,4500000.0,312950.0,675000.0,990000.0,179501.0,1600000.0,808500.0,1175000.0,249500.0,635000.0,1100000.0,860000.0,534900.0,670.0,465000.0,1800000.0,440000.0,1365000.0,504000.0,455000.0,819000.0,535000.0,1575000.0,575000.0,792500.0,627500.0,595000.0,870000.0,422966.0,365000.0,650000.0,1215000.0,1150000.0,840000.0,700000.0,1310000.0,1375000.0,465000.0,670000.0,775000.0,725000.0,457500.0,1050000.0,1300000.0,489310.0,1015000.0,1650000.0,130000.0,605000.0,1360000.0,600000.0,795000.0,735000.0,770000.0,440000.0,675000.0,1395000.0,520000.0,257000.0,476200.0,910000.0,590300.0,600000.0,577500.0,576160.0,518930.0,680000.0,324722.5,509000.0,915000.0,155000.0,199000.0,320000.0,580000.0,485000.0,682500.0,670000.0,815000.0,1950000.0,505756.0,440000.0,313500.0,462000.0,1450000.0,564211.0,365000.0,385000.0,600000.0,997500.0,551300.0,80000.0,189000.0,810000.0,675000.0,660000.0,412500.0,395000.0,750000.0,645000.0,672500.0,1200000.0,545000.0,945000.0,610000.0,840000.0,670000.0,324000.0,700000.0,525000.0,787500.0,800000.0,989228.0,670000.0,1850000.0,605000.0,450000.0,420000.0,1850000.0,1039500.0,540000550000.0,604091.0,585000.0,314000.0,455000.0,721000731000.0,920000.0,875000.0,75000.0,865000.0,265000.0,550000.0,641900.0,700000.0,649588.0,840.0,520000.0,875000.0,692881.0,575000.0,675000.0,925000.0,500246.0,671579.0,525000.0,505000.0,991153.0,885000.0,825000.0,171.5,879650.0,815000.0,915000.0,1050000.0,1575000.0,499962.0,735000.0,390000.0,470000.0,515000.0,354000.0,502488.0,532548.0,299000.0,129000.0,588000.0,785000.0,713100.0,759500.0,922500.0,200000.0,502700.0,150000.0,560000.0,585000.0,546700.0,1200000.0,687975.0,523115.0,558661.0,640000.0,130000.0,689000.0,451510.0,487500.0,1195000.0,747500.0,550000.0,545000.0,525000.0,13.0,625000.0,1987500.0,1875000.0,1845000.0,899000.0,640000.0,825000.0,495500.0,670000.0,915000.0,1312500.0,250000.0,810000.0,669000.0,650100.0,1815000.0,545000.0,504000.0,157000.0,430000.0,350000.0,207000.0,669000.0,900000.0,950000.0,1500000.0,700000.0,2500000.0,670000.0,645000.0,531278.0,575712.0,513197.0,562622.0,554385.0,516191.0,389000.0,1102500.0,1500000.0,702500.0,170000.0,560000.0,380000.0,320000.0,490000.0,1150000.0,130.0,1100000.0,97.0,1075000.0,1575000.0,499000.0,740000.0,912500.0,472500.0,3832500.0,910000.0,154950.0,1250000.0,505000.0,351500.0,2700000.0,510000.0,2200000.0,1400000.0,610000.0,1700000.0,610000.0,387500.0,307500.0,550000.0,699000.0,605000.0,432000.0,512800.0,398436.0,435390.0,1024000.0,210000.0,365000.0,823000.0,1100000.0,499000.0,275000.0,550000.0,479000.0,925000.0,175000.0,577500.0,371000.0,995000.0,219500.0,715000.0,517500.0,545000.0,1517500.0,444000.0,1000000.0,200000.0,510000.0,1150000.0,402500.0,3000000.0,860000.0,695000.0,1250000.0,460000.0,564463.0,2100000.0,126000.0,265000.0,465000.0,892500.0,847500.0,1425000.0,695000.0,630000.0,945000.0,760000.0,650000.0,345000.0,885000.0,555000.0,480000.0,539000.0,997500.0,2175000.0,774000.0,790000.0,604000.0,910000.0,300000.0,519900.0,675000.0,472500.0,700000.0,620.0,424.0,730000.0,380000.0,1450000.0,460000.0,612500.0,560000.0,572500.0,595000.0,449000.0,675000.0,172500.0,700000.0,1300000.0,1700000.0,806000.0,799000.0,576700.0,749000.0,815000.0,1015000.0,160000.0,840000.0,600000.0,825000.0,575000.0,405000.0,620000.0,1200000.0,759500.0,349000.0,427000.0,775000.0,710000.0,639329.0,1092500.0,367500.0,845000.0,1837500.0,10122204950.0,748640.0
551900.0,787500.0,,230000.0,,630000.0,528800.0,,535000.0,748000.0,589729.0,509436.0,470916.0,755000.0,465000.0,418707.0,,249500.0,,,,872500.0,,,,749900.0,775000.0,660000.0,533900.0,294707.5,,2520000.0,1300000.0,,850.0,,675000.0,680000.0,,535000.0,,745000.0,1330000.0,,414143.0,673000.0,,2125000.0,1150000.0,,,,1350000.0,,,700000.0,530000.0,1250000.0,693000.0,,,600000.0,,125000.0,675000.0,,744000.0,,1400000.0,,420000.0,850000.0,712500.0,612500.0,257500.0,605700.0,,547200.0,,665000.0,541200.0,583000.0,,779500.0,840000.0,1350000.0,155000.0,449000.0,,450000.0,395000.0,,670000.0,550000.0,2625000.0,515248.0,785000.0,572500.0,725600.0,1680000.0,440310.0,,380000.0,,,,,,,,,555000.0,305000.0,,,735000.0,950000.0,1350000.0,566358.0,,1270000.0,,420000.0,,,1262500.0,765000.0,975348.0,735000.0,555000.0,760000.0,580000.0,805000.0,,945000.0,665000675000.0,645000.0,,310000.0,343200.0,709000719000.0,1200000.0,775000.0,,,,,625000.0,3520000.0,527548.0,710000.0,1850000.0,,692416.0,,,820000.0,614579.0,,1550000.0,,786756.0,,,715000.0,,,,,524500.0,541261.0,110.0,,,675000.0,,523085.0,580.0,595000.0,,1050000.0,1130000.0,639500.0,,,169000.0,,210000.0,599900.0,,513400.0,,610898.0,634055.0,640000.0,,1250000.0,,654000.0,600300.0,628750.0,800000.0,355000.0,682500.0,,,,,,,,,,,,,,411400.0,860000.0,649000.0,,910000.0,420000.0,,399730.0,391826.0,,,709000.0,,,,,2500000.0,435000.0,504000.0,516111.0,602517.0,,566622.0,498916.0,,,108.0,,910000.0,,560000.0,,,,,,,170.0,,,,,,,,,315000.0,1010000.0,,115500.0,,,440000.0,14.5,855000.0,572500.0,,,625000.0,600000.0,445000.0,340000.0,413000.0,513923.0,474400.0,625000.0,740000.0,,,,,405000.0,265000.0,,,,,757500.0,,,,,,,,,,,330000.0,815000.0,930000.0,550000.0,,,,460000.0,564712.0,2500000.0,,,1100000.0,,,,,108.0,,760000.0,,,,,,,78.0,,,,,,250000.0,,,,640000.0,,,,,,,477900.0,,,,,,,,,,,,,,,,,,479457.0,,,,,,,,,,,,,,,,10122197500.0,705840.0
600900.0,,,349000.0,,594000.0,620500.0,,610000.0,878622.0,542762.0,551570.0,685000.0,661500.0,535000.0,402206.0,,199950.0,,,,235000.0,,,,677500.0,,945000.0,532900.0,572758.0,,,547500.0,,504000.0,,619000.0,,,,,575000.0,,,362143.0,839000.0,,,840000.0,,,,1550000.0,,,713100.0,445000.0,,840000.0,,,870000.0,,,,,,,1100000.0,,480000.0,714000.0,1275000.0,610000.0,280000.0,445710.0,,500200.0,,900000.0,,637500.0,,781399.0,420000.0,17.5,320000.0,1550000.0,,,,,,575000.0,1550000.0,491680.0,725000.0,385000.0,677800.0,11.5,428710.0,,330000.0,,,,,,,,,335000.0,451563.0,,,,,,546040.0,,,,,,,667854.0,895000.0,,1400000.0,,14.5,447500.0,,,,505000515000.0,1100000.0,,289000.0,336700.0,,,892500.0,,,,,599493.0,1495000.0,1250000.0,,,,734416.0,,,,460000.0,,,,895000.0,,,,,,,,,590022.0,820000.0,,,,,480488.0,704800.0,,,1677000.0,,705100.0,,,,,135000.0,,,556275.0,,601898.0,565124.0,575905.0,,,,500000.0,,640000.0,,595000.0,565000.0,,,,,,,,,,,,,,471600.0,,559000.0,,,784000.0,,402500.0,401826.0,,,,,,,,599000.0,,475000.0,512600.0,323000.0,,543707.0,522600.0,,,,,545000.0,,599000.0,,,,,,,,,,,,,,,,,705000.0,,,,,,,,,,,770000.0,545000.0,,,400650.0,621191.0,,,630000.0,,,,,,,,,,,835000.0,,,,,,,,,,,410000.0,,1425000.0,,,,,,,,,,1160000.0,,,,,,,,,,,,,,130.5,,,,,,275000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20232252500.0,
645.0,,,,,580000.0,509963.0,,597500.0,1050000.0,677800.0,540200.0,775000.0,700000.0,525000.0,,,199950.0,,,,515000.0,,,,573948.0,,1000000.0,534900.0,630000.0,,,575000.0,,494100.0,,,,,,,455000.0,,,460405.0,414750.0,,,1090000.0,,,,470000.0,,,592800.0,,,11.5,,,653900.0,,,,,,,,,597600.0,930000.0,2300000.0,,435000.0,530000.0,,638554.0,,615000.0,,567500.0,,728000.0,675000.0,1200000.0,,,,,,,,,,340000.0,,,619100.0,225.0,437900.0,,,,,,,,,,,,464083.0,,,,,,583382.0,,,,,,,925000.0,997500.0,,815000.0,,,750000.0,,,,577191.0,670000.0,,310000.0,337900.0,,,,,,,,752500.0,670000.0,899000.0,,,,692416.0,,,,525000.0,,,,905000.0,,,,,,,,,580900.0,,,,,,581952.0,748659.0,,,3541500.0,,641100.0,,,,,130000.0,,,462100.0,,603900.0,562120.0,,,,,,,1200000.0,,,660000.0,,,,,,,,,,,,,,453200.0,,404900.0,,,,,795000.0,,,,,,,,,849000.0,,418000.0,482500.0,319000.0,,558600.0,486316.0,,,,,,,795000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1540000.0,,,,,,,,,,750000.0,,,,,,,,,,,,,,12.5,,,,,,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20242249750.0,
640000.0,,,,,500000.0,533000.0,,,495000.0,513718.0,477200.0,705000.0,399000.0,575000.0,,,,,,,939750.0,,,,694106.0,,770000.0,712000.0,778042.0,,,900000.0,,551000.0,,,,,,,489000.0,,,289000.0,610000.0,,,645000.0,,,,,,,655190.0,,,,,,,,,,,,,,,624800.0,553085.0,1260000.0,,,465000.0,,820000.0,,760000.0,,,,565000.0,490000.0,,,,,,,,,,,,,,709488.0,,534216.0,,,,,,,,,,,,463083.0,,,,,,,,,,,,,630000.0,,,900000.0,,,412500.0,,,,505000515000.0,575000.0,,285000.0,429000.0,,,,,,,,575200.0,3700000.0,775000.0,,,,719416.0,,,,,,,,816500.0,,,,,,,,,557475.0,,,,,,,490448.0,,,1835000.0,,432500.0,,,,,,,,591867.0,,636900.0,632125.0,,,,,,,945000.0,,,619500.0,,,,,,,,,,,,,,315000.0,,533057.0,,,,,,,,,,,,,,725000.0,,650000.0,537300.0,596117.0,,374900.0,505000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000.0,,,,,,,,,,805000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20242254750.0,
469500.0,,,,,,,,,497054.0,525811.0,670000.0,660000.0,622500.0,522000.0,,,,,,,,,,,410000.0,,650000.0,645000.0,633962.0,,,,,650000.0,,,,,,,489000.0,,,,,,,665000.0,,,,,,,567585.0,,,,,,,,,,,,,,,782500.0,615.0,,,,469000.0,,855200.0,,,,,,697500.0,525000.0,,,,,,,,,,,,,,609900.0,,534416.0,,,,,,,,,,,,469967.0,,,,,,,,,,,,,,,,470000.0,,,,,,,671000681000.0,575000.0,,440000.0,663500.0,,,,,,,,518901.0,635000.0,659000.0,,,,699416.0,,,,,,,,755900.0,,,,,,,,,,,,,,,,599000.0,,,525000.0,,635000.0,,,,,,,,528800.0,,571185.0,632045.0,,,,,,,,,,,,,,,,,,,,,,,,,,503516.0,,,,,,,,,,,,,,675000.0,,510000.0,435500.0,,,394900.0,720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6922152500.0,
480000.0,,,,,,,,,472311.0,599000.0,494270.0,711000.0,333000.0,575000.0,,,,,,,,,,,734900.0,,,558541.0,497801.0,,,,,775000.0,,,,,,,489000.0,,,,,,,1125000.0,,,,,,,,,,,,,,,,,,,,,,688000.0,712190.0,,,,509000.0,,547710.0,,,,,,674.0,955000.0,,,,,,,,,,,,,,899000.0,,510000.0,,,,,,,,,,,,440391.0,,,,,,,,,,,,,,,,,,,,,,,378900.0,900000.0,,,660000.0,,,,,,,,,805000.0,579000.0,,,,713881.0,,,,,,,,,,,,,,,,,,,,,,,,540274.0,,,939500.0,,687500.0,,,,,,,,499000.0,,699999.0,522154.0,,,,,,,,,,,,,,,,,,,,,,,,,,607683.0,,,,,,,,,,,,,,1350000.0,,550000.0,520000.0,,,400900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480000.0,,,,,,,,,685000695000.0,739000.0,635600.0,505882.0,565000.0,,,,,,,,,,,,637900.0,,,575000.0,534161.0,,,,,695000.0,,,,,,,489000.0,,,,,,,1395000.0,,,,,,,,,,,,,,,,,,,,,,678000.0,783790.0,,,,599000.0,,629560.0,,,,,,652.0,,,,,,,,,,,,,,,799000.0,,502716.0,,,,,,,,,,,,449813.0,,,,,,,,,,,,,,,,,,,,,,,350900.0,497.0,,,349300.0,,,,,,,,,490000.0,,,,,735000.0,,,,,,,,,,,,,,,,,,,,,,,,553720.0,,,450000.0,,605000.0,,,,,,,,,,580798.0,514125.0,,,,,,,,,,,,,,,,,,,,,,,,,,627300.0,,,,,,,,,,,,,,1155000.0,,830000.0,499600.0,,,534766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480000.0,,,,,,,,,608000618000.0,699000.0,404000.0,474188.0,289500.0,,,,,,,,,,,,677900.0,,,599000.0,495941.0,,,,,520.0,,,,,,,538000.0,,,,,,,479.0,,,,,,,,,,,,,,,,,,,,,,815500.0,871190.0,,,,481600.0,,699000.0,,,,,,,,,,,,,,,,,,,,,618525.0,,449905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409900.0,590000.0,,,663500.0,,,,,,,,,459000.0,,,,,379500.0,,,,,,,,,,,,,,,,,,,,,,,,637603.0,,,479000.0,,605000.0,,,,,,,,,,540548.0,632000.0,,,,,,,,,,,,,,,,,,,,,,,,,,599000.0,,,,,,,,,,,,,,,,855000.0,537696.0,,,567417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695000.0,,,,,,,,,637000647000.0,619000.0,497500.0,422216.0,483000.0,,,,,,,,,,,,702990.0,,,516745.0,544879.0,,,,,,,,,,,,538000.0,,,,,,,1475000.0,,,,,,,,,,,,,,,,,,,,,,777500.0,735000.0,,,,730001.0,,639000.0,,,,,,,,,,,,,,,,,,,,,329950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409900.0,393750.0,,,340200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521446.0,,,500000.0,,649000.0,,,,,,,,,,757875.0,546837.0,,,,,,,,,,,,,,,,,,,,,,,,,,629000.0,,,,,,,,,,,,,,,,,431559.0,,,571471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
