newborough,aintree,footscray,colignan,melton_south,wyndham_vale,point_cook,bramford,kilsyth,docklands,melbourne,sebastopol,donvale,werribee,donnybrook,coronet_bay,wallan,maryborough,rockbank,beveridge,southbank,tarneit,manangatang,diggers_rest,stratford,mirboo_north,mickleham,deanside,truganina,murrumbeena,langwarrin,wollert,narre_warren,morwell,mitcham,minyip,east_bendigo,sunshine_north,albion,capel_sound,clyde_north,castlemaine,benalla,ocean_grove,north_melbourne,waverley_gardens,springvale,lara,fraser_rise,piangil,wangaratta,melton,bentleigh,bairnsdale,yarrawonga,inverloch,seaford,mildura,dandenong,leopold,sale,box_hill_north,hampton_east,hampton_park,glen_iris,warragul,rowville,balnarring,pakenham,lovely_banks,hawthorn_east,kilmore,gowanbrae,bellbrae,mambourin,maldon,burwood,sunbury,chelsea,brighton,hawthorn,curlewis,mordialloc,brighton_east,greensborough,burwood_east,drouin,mount_eliza,brunswick_east,churchill,strathfieldsaye,alfredton,ascot,torquay,point_lonsdale,eltham,california_gully,yarram,carnegie,watsonia,red_cliffs,armstrong_creek,croydon,mount_buller,frankston_south,west_wodonga,bacchus_marsh,officer,grovedale,rosedale,ravenswood,clyde,fairfield,bowenvale,chesney_vale,cobblebank,berwick,cardigan,pascoe_vale_south,ballarat_north,macleod,research,lethbridge,caldermeade,highton,glenroy,junction_village,mont_albert,flora_hill,taylors_lakes,crib_point,newington,thornhill_park,koo_wee_rup,dandenong_north,alexandra,whittington,herne_hill,elwood,templestowe_lower,coffeyville,hotham_heights,corio,cranbourne_south,hoppers_crossing,carrum_downs,barwon_heads,mernda,st_kilda_east,bell_park,kyneton,traralgon,ecklin_south,cranbourne_north,wy_yung,ringwood_east,laanecoorie,wiseleigh,st_albans,selby,yackandandah,campbells_bridge,parkdale,brunswick_west,ararat,tynong,keysborough,keilor_downs,west_footscray,epping,hillside,doreen,moe_south,beechworth,belmont,maidstone,rye,white_hills,golden_square,longford,strathtulloh,saint_albans_park,essendon_north,brunswick,eumemmerring,miners_rest,melton_west,erica,yea,wodonga,yarck,rosebud,ballan,newcomb,rutherglen,saint_leonards,west_melbourne,flemington,malvern_east,sunshine_west,glen_waverley,st_kilda,strathdale,portland,quarry_hill,norlane,mount_duneed,bayswater,avondale_heights,ringwood,carisbrook,narre_warren_south,wantirna_south,warrnambool,cowes,balwyn,ascot_vale,sydenham,nyora,somers,moonee_ponds,beaconsfield,bundoora,meredith,moe,maribyrnong,walkerville,mount_pleasant,seddon,colac,boronia,thornbury,shepparton,timboon,talgarno,myrtleford,scotts_creek,curdievale,skye,raymond_island,canadian,lucas,greenvale,eastwood,laverton,ballarat_east,dumbalk,doncaster,manor_lakes,echuca,braybrook,blackburn,halls_gap,mansfield,springvale_south,seymour,bell_post_hill,drysdale,clunes,longwarry,eppalock,plumpton,yarrambat,delacombe,capari,weir_views,marlo,officer_south,noble_park,bonnie_doon,delahey,merrijig,edithvale,south_yarra,golden_beach,caulfield_north,korumburra,highett,clarinda,hughesdale,lilydale,wonthaggi,invermay_park,lismore,maddingley,north_wonthaggi,bonnie_brook,botanic_ridge,mount_waverley,eildon,axedale,deer_park,albanvale,woodside,paradise_beach,cape_woolamai,wantirna,newtown,blairgowrie,beaumaris,chirnside_park,argyle,cranbourne_east,hamlyn_heights,numurkah,bayswater_north,werribee_south,altona_north,stony_creek,cape_town,woodfield,hastings,cobram,loch_sport,tootgarook,poowong,tarnagulla,lake_wendouree,broadford,barkers_creek,craigieburn,nathalia,north_bendigo,kangaroo_flat,surrey_hills,tatura,alphington,cremorne,nicholson,northcote,woodend,whittlesea,freshwater_creek,frankston,tullamarine,healesville,fyansford,sunshine,horsham,waldara,geelong,jackass_flat,bonbeach,armadale,penshurst,wonga_park,huntly,lucknow,kew,oakleigh_east,tecoma,mount_helen,chanute,piggoreet,talbot,stawell,fitzroy,clifton_hill,blackburn_north,bulleen,swan_hill,ivanhoe,endeavour_hills,pascoe_vale,kyabram,nunawading,mount_clear,carlton,leongatha,knoxfield,preston,romsey,cranbourne,smythes_creek,glen_huntly,mooroolbark,eltham_north,indented_head,eureka,metung,cranbourne_west,lake_bunga,bethel_park,katamatite,charlton,mornington,lynbrook,prahran,lakes_entrance,coburg,airport_west,stanley,benambra,tennyson,clayton_south,aspendale,independence,doncaster_east,north_warrandyte,cardinia,greendale,apollo_bay,johanna,lower_plenty,birregurra,winchelsea,yarraville,geelong_west,venus_bay,mentone,sandhurst,clayton,ferntree_gully,westmeadows,atrani,essendon,violet_town,south_morang,the_basin,croydon_north,merrigum,kings_park,nerrina,saint_helena,invergordon,mount_martha,lysterfield,south_melbourne,kerang_east,somerville,inglewood,hazelwood,queenscliff,north_geelong
518478.0,589055.0,384000.0,210000.0,665000.0,517449.0,574000.0,479000.0,745000.0,918000.0,842500.0,480259.0,1248000.0,445000.0,610000.0,525000.0,1015000.0,420000.0,530000.0,1015000.0,670000.0,525000.0,695000.0,594000.0,840000.0,870000.0,611000.0,560000.0,695000.0,385000.0,890000.0,420000.0,505000.0,380000.0,512500.0,99000.0,420000.0,785000.0,275000.0,780000.0,635000.0,622500.0,280000.0,1672500.0,1549000.0,656150.0,613926.0,563943.0,813960.0,547695.0,379000.0,469000.0,1680000.0,297000.0,487654.0,645000.0,1075000.0,362000.0,273000.0,794000.0,385000.0,1350000.0,1200000.0,624500.0,1719000.0,765000.0,812500.0,1545000.0,592500.0,454000.0,2850000.0,620000.0,724500.0,2250000.0,463888.0,790000.0,1300000.0,665000.0,720000.0,2025000.0,490000.0,605000.0,712500.0,1512500.0,945000.0,997500.0,795000.0,1890000.0,1300000.0,340000.0,720000.0,759950.0,805000.0,1475000.0,1170000.0,1100000.0,450000.0,390000.0,1150000.0,895000.0,252000.0,386450.0,735000.0,135000000.0,924000.0,359000.0,674000.0,454720.0,500000.0,320000.0,785000.0,593414.0,1600000.0,179000.0,510000.0,404888.0,2730000.0,970000.0,1317500.0,359000.0,840000.0,2400000.0,680000.0,1100000.0,1019000.0,725000.0,715219.0,1300000.0,459000.0,860000.0,712500.0,527104.0,539104.0,795000.0,715000.0,265000.0,510000.0,625000.0,3100000.0,130.0,1925000.0,185000.0,445000.0,615140.0,500000.0,495000.0,812500.0,533750.0,502500.0,339000.0,1022500.0,725000.0,180000.0,700000.0,275000.0,1100000.0,285000.0,125000.0,665000.0,1100000.0,1200000.0,595000.0,465000.0,380000.0,430000.0,420000.0,920000.0,500000.0,595000.0,675000.0,490000.0,598500.0,290000.0,795000.0,670000.0,815000.0,1042500.0,350000.0,450000.0,202500.0,640000.0,460000.0,510000.0,2700000.0,609000.0,534000.0,495000.0,975000.0,915000.0,379000.0,695000.0,995000.0,615000.0,535000.0,525000.0,750000.0,525000.0,1250000.0,815000.0,815000.0,1190000.0,1690000.0,500000.0,415000.0,465000.0,465000.0,619000.0,597500.0,670000.0,945000.0,600000.0,885000.0,715000.0,210192.5,489000.0,1825000.0,915000.0,600000.0,6312266500.0,1462500.0,1050000.0,900000.0,275000.0,655000.0,280000.0,960000.0,300000.0,610000.0,950000.0,380000.0,815000.0,675000.0,655000.0,17962147500.0,1000000.0,490000.0,680000.0,14922132500.0,525000.0,350000.0,505000.0,570000.0,555000.0,619000.0,650000.0,405000.0,659000.0,1155000.0,662640.0,350000.0,610000.0,1400000.0,599000.0,660000.0,790000.0,407750.0,1200000.0,850000.0,469000.0,409500.0,716800.0,693400.0,2300000.0,710300.0,364700.0,389900.0,625000.0,522900.0,655500.0,840000.0,575000.0,840000.0,580000.0,3700000.0,575000.0,740000.0,1200000.0,652500.0,809690.0,853190.0,960190.0,720000.0,659700.0,180000.0,610100.0,749000.0,624990.0,386150.0,650000.0,485000.0,310000.0,875000.0,725000.0,475000.0,185000.0,1350000.0,660000.0,975000.0,1345000.0,675000.0,1150000.0,290000.0,937500.0,315000.0,511000.0,787500.0,570600.0,750000.0,575000.0,556316.0,2625000.0,1200000.0,395000.0,300000.0,1375000.0,520000.0,125000.0,535000.0,271250.0,712121.0,632500.0,685000.0,595809.0,625883.0,810000.0,498360.0,690500.0,55900000.0,209950.0,1815000.0,18.0,540000.0,235000.0,890000.0,622500.0,755000.0,495000.0,725000.0,289000.0,399000.0,550000.0,525000.0,365000.0,2500000.0,79000.0,101.0,451004.0,315000.0,997500.0,1495000.0,1032500.0,870000.0,149000.0,272500.0,320000.0,359000.0,1112500.0,1625000.0,985000.0,120.0,335000.0,409500.0,795000.0,819000.0,275000.0,1300000.0,780000.0,475000.0,425000.0,895000.0,727500.0,753952.0,435000.0,553436.0,414750.0,442000.0,1575000.0,750000.0,405000.0,1100000.0,440000.0,230000.0,95000.0,535000.0,65000.0,1207500.0,575000.0,775000.0,720000.0,2100000.0,755000.0,855000.0,75000.0,1600000.0,840000.0,1575000.0,145000.0,2100000.0,659040.0,660000.0,1009000.0,495000.0,570488.0,569105.0,375000.0,790000.0,880700.0,384000.0,299000.0,322500.0,805000.0,805000.0,690000.0,365000.0,807900.0,1550000.0,500000.0,724999.0,597500.0,605000.0,485000.0,395000.0,507500.0,1020000.0,295000.0,1100000.0,1130000.0,459900.0,750000.0,997500.0,83500.0,595000.0,1925000.0,495000.0
330000.0,,411840.0,,594000.0,544000.0,700000.0,479000.0,775000.0,650000.0,460000.0,320000.0,,2025000.0,665000.0,520560.0,1400000.0,532500.0,399000.0,515029.0,545000.0,570888.0,,558752.0,,1600000.0,445000.0,506250.0,575000.0,517500.0,575000.0,548000.0,950000.0,310000.0,1150000.0,,,,,895000.0,795000.0,545000.0,,1150000.0,1859000.0,753900.0,630000.0,645350.0,581954.0,,580000.0,434000.0,2300000.0,297000.0,444258.0,1500000.0,945000.0,231000.0,630000.0,965000.0,1012500.0,1350000.0,,708800.0,2688000.0,460000.0,1252500.0,,525000.0,444000.0,,513000.0,,,584888.0,,465000.0,986382.0,,,,,,1100000.0,6.0,925000.0,585000.0,1640000.0,1450000.0,,570000.0,,,825000.0,,1600000.0,440000.0,,1417500.0,,,719000.0,825000.0,,2100000.0,429000.0,679000.0,454720.0,805000.0,,,594935.0,,170000.0,,418888.0,840000.0,,,820000.0,855000.0,,,,699000.0,685.0,611903.0,523655.0,,,650000.0,680300.0,,,,505000.0,,,399300.0,1550000.0,,1200000.0,910000.0,,585438.0,614250.0,1500000.0,1100000.0,,,,580000.0,,587500.0,275000.0,1302500.0,,125000.0,700000.0,,,,1150000.0,,,650000.0,1050000.0,,1270000.0,,665070.0,598500.0,,665000.0,505000.0,722500.0,865000.0,,549950.0,,,569000.0,,,,637500.0,2795000.0,,,398000.0,,870000.0,,624000.0,350000.0,659973.0,,,637603.0,,1300000.0,775000.0,470000.0,,,500000.0,614990.0,710000.0,900000.0,600000.0,,900000.0,,395000.0,690000.0,,,460000.0,975000.0,,575000.0,350000.0,825000.0,,475000.0,650000.0,,,,480000.0,,,418250.0,17712139950.0,,,,,,,,816900.0,800000.0,549000.0,,,,1675000.0,570260.0,523754.0,,500000.0,,620000.0,899500.0,,,,,,684100.0,645900.0,,584800.0,448700.0,429900.0,,,1340000.0,900000.0,,,,635000.0,325000.0,,,1400000.0,,,,565000.0,320000.0,,610400.0,729000.0,528000.0,829300.0,1600000.0,,,720000.0,,,,,855000.0,,,,694540.0,290000.0,630000.0,481350.0,491100.0,,,,,,,,392250.0,,915000.0,,,570000.0,3000000.0,839000.0,,,,,1270000.0,,,55000000.0,250000.0,,745000.0,,310000.0,502500.0,,,,,230000.0,,,,,,79000.0,,420378.0,,1522500.0,,,,,,,425000.0,,1200000.0,,,299000.0,,702500.0,815000.0,275000.0,,,,530000.0,,,,,,,550000.0,,,,,700000.0,,,,,,,,,735000.0,,,,,,,,,,,,,,443395.0,,,,,,,1200000.0,,,,779900.0,,,469000.0,,495542.5,,,,,,,,,,,,,,
455278.0,,404040.0,,394000.0,650000.0,700000.0,479000.0,690000.0,639000.0,192000.0,495000.0,,555604.0,660000.0,507500.0,27500000.0,219000.0,625000.0,685000.0,700000.0,744990.0,,436537.0,,,389000.0,554700.0,555900.0,,617500.0,553000.0,902500.0,210000.0,727500.0,,,,,945000.0,630000.0,525000.0,,1250000.0,157500.0,608900.0,650000.0,701084.0,661500.0,,,,1475000.0,699000.0,464518.0,825000.0,829500.0,328000.0,325000.0,974000.0,490000.0,,,489950.0,,275000.0,1035000.0,,685000.0,,,485000.0,,,505888.0,,,505900.0,,,,,,,1125000.0,,285000.0,2520000.0,,,620000.0,,,,,1400000.0,465000.0,,,,,615000.0,907500.0,,910000.0,549000.0,664000.0,454720.0,420000.0,,,491955.0,,,,,817500.0,,,465000.0,,,,,810000.0,745.0,699600.0,,,,,511888.0,,,,,,,1950000.0,11.5,,,419000.0,,583372.0,760000.0,,299000.0,,,,869000.0,,574500.0,275000.0,,,,,,,,,,,,,,,,,492800.0,,,,,1457500.0,,,,,550601.0,,,,270000.0,489000.0,,,320000.0,,,,517500.0,,420000.0,,,,,1445000.0,,,,,364000.0,689400.0,,460000.0,525000.0,,787500.0,,,730000.0,,,,,,2200000.0,630800.0,815000.0,,395000.0,,,,,,,,329000.0,,,,,,,,,,,,,,,,536733.0,612500.0,,,,,909500.0,,,,,,699000.0,564555.0,,,398700.0,470000.0,,,,,,,,805000.0,,,,545800.0,,,,,450000.0,,536937.0,629000.0,563000.0,839315.0,,,,,,,,,760000.0,,,,,,,,524300.0,,,,,,,,700000.0,,,,,,,,,,,,900000.0,,,,273750.0,,,,265000.0,997500.0,,,,,,,,,,,,,,,,,,,,,,399000.0,,,,,,,,,419050.0,,,,,,,,,,,,,,,,860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510573.0,,405480.0,,460000.0,445888.0,610000.0,,660000.0,632000.0,409000.0,441032.0,,575000.0,610000.0,380000.0,330000.0,248000.0,543612.0,396813.0,624000.0,724990.0,,495268.0,,,650000.0,631606.0,499382.0,,651700.0,534000.0,655000.0,,,,,,,,699888.0,,,1305000.0,,,565900.0,709956.0,684483.0,,,,,550000.0,441552.0,719000.0,927500.0,550000.0,545000.0,,,,,655000.0,,721400.0,705000.0,,587500.0,,,995000.0,,,486888.0,,,510900.0,,,,,,,385000.0,,605000.0,1500000.0,,,,,,,,,,,,,,635000.0,,,,,680000.0,545000.0,,,,459000.0,,,,,2000000.0,,,,,,,,715000.0,555000.0,510000.0,,,,,385000.0,,,,,,,,,,,,,615000.0,690000.0,,735000.0,,,,,,,350000.0,,,,,,,,,,,,,,,,,545000.0,,,,,750000.0,,,,,,,,,730000.0,,,,550000.0,,,,,,,,,,,2100000.0,,,,,,728200.0,,430000.0,,,,,,175000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554527.0,699899.0,,,,,612740.0,,,,,,,542712.0,,,,673000.0,,,,,,,,490000.0,,,,1470000.0,,,,,355000.0,,,,591966.0,894388.0,,,,,,,,,685000.0,,,,,,,,529400.0,,,,,,,,,,,,,,,,,,,,1220000.0,,,,,,,,295000.0,619500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,514800.0,,450000.0,574000.0,565000.0,,,860000.0,595300.0,,,559000.0,628000.0,,,,441700.0,527849.0,770000.0,664990.0,,,,,683896.0,782698.0,609622.0,,534600.0,600000.0,,,,,,,,,924000.0,,,1515000.0,,,783900.0,,821600.0,,,,,,589850.0,,,,345000.0,,,,,,,573173.0,,,505000.0,,,,,,491563.0,,,450900.0,,,,,,,1300000.0,,439950.0,,,,,,,,,,,,,,,616000.0,,,,,,720000.0,,,,507918.0,,,,,1200000.0,,,,,,,,,619500.0,,,,,,,,,,,,,,,,,,,526158.0,650000.0,,770000.0,,,,,,,725000.0,,,,,,,,,,,,,,,,,698750.0,,,,,850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698900.0,,,,,,,,969000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660409.0,693100.0,,,,,,,,,,,,551820.0,,,,,,,,,,,,459000.0,,,,1150000.0,,,,,440000.0,,,,577194.0,376460.0,,,,,,,,,,,,,,,,,479350.0,,,,,,,,,,,,,,,,,,,,810000.0,,,,,,,,210000.0,622500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,796200.0,,695888.0,557800.0,675000.0,,,622000.0,578000.0,,,742106.0,,,,,389000.0,559100.0,570000.0,694990.0,,,,,615792.0,668821.0,584938.0,,1625000.0,470000.0,,,,,,,,,712800.0,,,,,,,,734500.0,,,,,,636353.0,,,,650000.0,,,,,,,721400.0,,,725413.0,,,,,,676100.0,,,615900.0,,,,,,,785000.0,,,,,,,,,,,,,,,,,605000.0,,,,,,742900.0,,,,577118.0,,,,,969100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,557446.0,505799.0,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,565000.0,,,,,1240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521841.0,,,,,,,,,,,,,624336.0,,,,,,,,,,,,3520000.0,,,,,,,,,,,,,644900.0,,,,,,,,,,,,,,,,,,330000.0,,,,,,,,,,,,,,,,,,,,780000.0,,,,,,,,,682500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,792000.0,,678098.0,288000.0,643280.0,,,806000.0,942000.0,,,670150.0,,,,,525055.0,546900.0,,574891.0,,,,,587000.0,619341.0,544204.0,,1207500.0,599000.0,,,,,,,,,697000.0,,,,,,,,679100.0,,,,,,599014.0,,,,510000.0,,,,,,,,,,690000.0,,,,,,535888.0,,,520900.0,,,,,,,660000.0,,,,,,,,,,,,,,,,,800000.0,,,,,,697100.0,,,,697500.0,,,,,845400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,558855.0,,,565000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523378.0,,,,,,,,,,,,,588360.0,,,,,,,,,,,,1495000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,,,,,,,,,599500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,419160.0,,678098.0,295000.0,690000.0,,,510000.0,1180000.0,,,537031.0,,,,,457000.0,872552.0,,569554.0,,,,,445727.0,485289.0,704600.0,,820000.0,539000.0,,,,,,,,,700000.0,,,,,,,,660300.0,,,,,,616943.0,,,,,,,,,,,,,,525000.0,,,,,,481888.0,,,649900.0,,,,,,,,,,,,,,,,,,,,,,,,709500.0,,,,,,648336.0,,,,634900.0,,,,,585350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,515485.0,,,705000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511810.0,,,,,,,,,,,,,,,,,,,,,,,,,670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,796200.0,,,519842.0,631888.0,,,625000.0,1201000.0,,,645700.0,,,,,592016.0,712197.0,,460000.0,,,,,,515577.0,504246.0,,,489900.0,,,,,,,,,641200.0,,,,,,,,644990.0,,,,,,604605.0,,,,,,,,,,,,,,742500.0,,,,,,575000.0,,,590900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559570.0,,,,660000.0,,,,,939190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,408240.0,,,464742.0,715000.0,,,2025000.0,878000.0,,,568301.0,,,,,439417.0,718238.0,,662893.0,,,,,,601107.0,579800.0,,,,,,,,,,,,624000.0,,,,,,,,529900.0,,,,,,618843.0,,,,,,,,,,,,,,630000.0,,,,,,721000.0,,,585900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,,640000.0,,,,,485000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
