clyde_north,warragul,bonshaw,clyde,melbourne,inverloch,melton_west,templestowe_lower,san_francisco,shepparton,weir_views,maryborough,truganina,narre_warren,beveridge,keilor_east,hastings,elsternwick,echuca,cranbourne_north,langwarrin,moonee_ponds,cranbourne_west,vermont,wendouree,maidstone,blairgowrie,girgarre,campbells_creek,cheltenham,abbotsford,pakenham,traralgon,tarneit,cranbourne_east,kinglake_west,south_morang,capel_sound,mornington,parkdale,lynbrook,greenwood,carrum_downs,junction_village,bonbeach,mooroopna,doreen,kensington,ferny_creek,brunswick_east,ferntree_gully,rochester,mount_martha,morwell,kyneton,golden_square,fraser_rise,mentone,seaford,williamstown,wyndham_vale,rockbank,dingley_village,horsham,thornhill_park,box_hill_north,gisborne,fitzroy_north,seymour,highett,eynesbury,parkville,bendigo,wollert,kalimna,maribyrnong,boronia,alfredton,chanute,wurruk,waverley_gardens,narre_warren_south,greensborough,melton,hawthorn,werribee,frankston,warrnambool,brighton,mickleham,chewton,newport,altona_north,montmorency,st_kilda,mansfield,marshall,armstrong_creek,black_rock,altona_meadows,newborough,officer,strathmore,murrayville,mildura,ballarat_east,saint_leonards,toongabbie,violet_town,south_yarra,tallangatta,pascoe_vale,hoppers_crossing,torquay,hamlyn_heights,fawkner,wangaratta,terang,mambourin,hampton_east,reservoir,yarrambat,richmond,macleod,drysdale,sydenham,berwick,rhyll,bairnsdale,footscray,caulfield,point_cook,bacchus_marsh,whittington,blackwood,maiden_gully,mount_duneed,roxburgh_park,preston,wallan,maldon,mooroolbark,yarrawonga,tatura,kilsyth,coburg,wonthaggi,fitzroy,fairfield,mordialloc,frankston_north,doncaster,craigieburn,ringwood,lockwood_south,malvern,mount_eliza,north_melbourne,huntly,cobram,deanside,darley,albion,west_footscray,bell_post_hill,redbank,altona,bayswater_north,portland,ballan,templestowe,brunswick,doncaster_heights,brookfield,donvale,geelong,camberwell,docklands,geelong_west,neilborough,north_bendigo,sunbury,clifton_springs,deer_park,manifold_heights,metung,north_wonthaggi,botanic_ridge,newtown,korumburra,brighton_east,corio,ladys_pass,sunshine_north,garfield,nunawading,rowville,gladstone_park,belmont,st_kilda_east,bundoora,alphington,ringwood_east,caulfield_south,dandenong_north,paynesville,kew,wangandary,bonnie_brook,argyle,chirnside_park,rosebud,ivanhoe,west_melbourne,taradale,apollo_bay,greenvale,fish_creek,sandringham,moorabbin,strathmore_heights,south_melbourne,southbank,noble_park,glen_huntly,lyndhurst,tongala,eaglehawk,oakleigh_south,westmeadows,burwood,rye,saint_kilda_west,thomastown,grovedale,churchill,caulfield_north,maddingley,paradise_beach,epping,skye,croydon,benambra,glenroy,sebastopol,crossover,rawson,wodonga,lal_lal,hill_end,carlton,moe,balnarring,delacombe,toorak,sunshine_west,flemington,kangaroo_flat,mandurang,lilydale,glenburn,bandiana,carnegie,drouin,balwyn,doveton,highton,lalor,anakie,croydon_hills,murrumbeena,glenmaggie,tynong_north,healesville,irymple,noble_park_north,wantirna_south,coronet_bay,northcote,hawthorn_east,diggers_rest,bealiba,lara,wild_dog_valley,sunshine,dandenong,baranduda,williams_landing,koroop,scoresby,koondrook,briagolong,malvern_east,oakleigh,frankston_south,charlemont,colac,falls_creek,heyfield,blackburn_south,airport_west,hampton_park,eden_park,jackass_flat,cranbourne,yarragon,princetown,tullamarine,balaclava,brooklyn,lang_lang,foster,kalorama,north_shore,heywood,avenel,kurunjang,olinda,katamatite,kalkallo,ivanhoe_east,broadford,whorouly,cowes,strathfieldsaye,hopetoun,donnybrook,daisy_hill,loch_sport,watchem,mia_mia,longwarry,wallangarra,mollyan,pittsburgh,the_honeysuckles,nicholson,chadstone,eltham_north,neerim_south,kialla,aberfeldie,waurn_ponds,port_welshpool,melton_south,doncaster_east,stewarton,elwood,stratford,mont_albert_north,emerald,hazelwood_north,prahran,ocean_grove,box_hill,marong,flora_hill,bentleigh_east,manor_lakes,evansford,cape_town,east_bendigo,queenscliff,saint_andrews,mount_pleasant,long_gully,golden_point,mitcham,princes_hill,thornbury,numurkah,yarraville,saint_albans_park,bamawm_extension,pascoe_vale_south,red_cliffs,essendon,dromana,keilor_park,eltham,watsonia,seabrook,traralgon_east,woodend,keilor,carlton_north,dalyston,mount_helen,crossley,mount_beauty,east_warburton,newington,hepburn,menzies_creek,coburg_north,snake_valley,keysborough,glenlyon,strathdale,redan,lydney,alexandra,port_melbourne,heathcote_junction,croydon_north,beaconsfield,lower_plenty,spotswood,kings_park,chelsea,coldstream,lakes_entrance,wedderburn,canadian,san_remo,murrindal,pearcedale
622743.0,419878.0,498885.0,552948.0,597600.0,1150000.0,584000.0,1365000.0,587000.0,350000.0,530000.0,420000.0,470000.0,630000.0,550000.0,945000.0,630000.0,399000.0,395000.0,937500.0,480000.0,1925000.0,749000.0,850000.0,510000.0,364500.0,1417500.0,695000.0,1035000.0,1600000.0,445000.0,375000.0,449000.0,546700.0,750000.0,1200000.0,720000.0,710000.0,1239000.0,1350000.0,637000.0,458000.0,351900.0,637000.0,612500.0,265000.0,585000.0,720000.0,1890000.0,1130000.0,755000.0,295000.0,2725000.0,295000.0,650000.0,315000.0,572800.0,1500000.0,519000.0,1350000.0,665000.0,549000.0,1225000.0,429000.0,570200.0,1650000.0,410000.0,1680000.0,175000.0,430000.0,699000.0,546000.0,955000.0,395000.0,379000.0,945000.0,850000.0,362500.0,399000.0,912500.0,672900.0,934500.0,815000.0,395000.0,712500.0,475411.0,682500.0,149990.0,2000000.0,656843.0,980000.0,1050000.0,875000.0,915000.0,450000.0,295000.0,660000.0,645000.0,205.0,925000.0,650000.0,688205.0,1530000.0,69000.0,255000.0,487500.0,680000.0,825000.0,690000.0,492500.0,675000.0,605000.0,550000.0,1275000.0,670000.0,480.0,580000.0,285000299000.0,529000.0,1825000.0,1100000.0,2025000.0,665000.0,1200000.0,1005000.0,300000.0,948539.0,1050000.0,1175000.0,910000.0,575000.0,1012500.0,530000.0,444000.0,395000.0,630000.0,668000.0,574000.0,610000.0,540000.0,775000.0,495542.5,652156.0,417094.0,900000.0,525000.0,449000.0,615000.0,1650000.0,517500.0,607500.0,1365000.0,449000.0,124.0,970000.0,345000.0,163.5,490000.0,600000.0,175000.0,696236.0,1300000.0,775000.0,605000.0,997500.0,89500.0,800000.0,575000.0,620000.0,810000.0,12.0,875000.0,446900.0,500000.0,409900.0,712300.0,750000.0,477500.0,455000.0,440000.0,460000.0,582800.0,434000.0,650000.0,480000.0,690000.0,529000.0,805000.0,1815000.0,525000.0,1995000.0,510000.0,290000.0,997500.0,462000.0,710000.0,915000.0,700.0,1075000.0,1375000.0,625000.0,520000.0,987000.0,1350000.0,630000.0,350000.0,460000.0,660000.0,654990.0,245000.0,1850000.0,715000.0,2150000.0,420000.0,960000.0,929000.0,565000.0,630000.0,2450000.0,1275000.0,675000.0,630000.0,720000.0,672000.0,575000.0,1150000.0,490000.0,435000.0,1385000.0,540.0,538300.0,1030000.0,575000.0,783000.0,580000.0,275000.0,1995000.0,514000.0,192500.0,840000.0,852500.0,775000.0,875000.0,770.0,407500.0,995000.0,279000.0,579000.0,1274000.0,995000.0,680000.0,285000.0,1640000.0,540000.0,514500.0,675000.0,409000.0,300000.0,1450000.0,693000.0,302500.0,449000.0,820000.0,675000.0,625000.0,600000.0,1100000.0,625000.0,1350000.0,1050000.0,1100000.0,360000.0,2485000.0,600000.0,163000.0,770000.0,765000.0,365000.0,1300000.0,441000.0,482367.0,190000.0,687385.0,185.0,615000.0,900000.0,376000.0,525000.0,1775000.0,675000.0,740000.0,779500.0,662500.0,560000.0,920000.0,598048.0,343000.0,1050000.0,350000.0,724500.0,495000.0,645000.0,1200000.0,335000.0,955000.0,500000.0,285000.0,700000.0,697000.0,605000.0,575000.0,295000.0,735000.0,695000.0,140000.0,169000.0,579500.0,668000.0,335000.0,440000.0,2300000.0,647500.0,475000.0,825000.0,850000.0,109500.0,555445.0,450000.0,225000.0,96000.0,701231.0,460000.0,444710.0,546985.0,545693.0,475000.0,209950.0,1300000.0,1150000.0,510000.0,230000.0,2417500.0,705000.0,405000.0,674000.0,1430000.0,935000.0,1250000.0,410000.0,1029000.0,950000.0,1290000.0,335000.0,1550000.0,1890000.0,625000.0,420000.0,1700000.0,737700.0,350000.0,584148.0,572500.0,1750000.0,1250000.0,430000.0,460000.0,605000.0,6.0,1150000.0,775000.0,189000.0,1025000.0,564000.0,640000.0,360000.0,344000.0,509000.0,110.0,805000.0,1102500.0,750000.0,570000.0,599000.0,850000.0,602500.0,1470000.0,629500.0,1449000.0,545000.0,625000.0,850000.0,950000.0,412250.0,890000.0,735000.0,490000.0,1050000.0,450000.0,375000.0,225000.0,752700.0,275000.0,787500.0,925000.0,1050000.0,725300.0,2800000.0,1110000.0,590000.0,735000.0,760000.0,199000.0,390000.0,540000.0,359000.0,470250.0,1940000.0
452500.0,475000.0,580369.0,569000.0,624800.0,1485000.0,524450.0,1239000.0,545378.0,270000.0,493999.0,385000.0,682500.0,756000.0,674000.0,1090000.0,600000.0,587500.0,604000.0,722000.0,735000.0,665000.0,764000.0,441214.0,380000.0,575000.0,,,,1547500.0,365000.0,545000.0,,408999.0,556000.0,,,995000.0,580541.0,,656000.0,,835700.0,,1050000.0,540000.0,745000.0,945000.0,,1225000.0,600000.0,1450000.0,1300000.0,220000.0,1300000.0,,634200.0,609000.0,872500.0,2300000.0,494755.0,737709.0,,,629000.0,1525000.0,1537500.0,985000.0,235000.0,1375000.0,,,705000.0,589000599000.0,449000.0,585000.0,750000.0,720000.0,605000.0,,,685000.0,,375000.0,850000.0,559000.0,650000.0,600000660000.0,3350000.0,410000.0,,1250000.0,735000.0,,338000.0,800000.0,,588998.0,,470000.0,,651299.0,,,262500.0,487500.0,541940.0,,,831390.0,,440000.0,510000.0,650000.0,324000.0,700.0,975000.0,355000.0,529000.0,1025000.0,1035000.0,,840000.0,580000.0,674000.0,,947657.0,,320000.0,1350000.0,,529800.0,869000.0,399000.0,,624000.0,610000.0,,462000.0,540000.0,,490053.0,,449121.0,1150000.0,1050000.0,1375000.0,,,1175000.0,609500.0,377900.0,449000.0,905000.0,,,2100000.0,178000.0,523504.0,110000.0,615855.0,704000.0,,860000.0,,,435000.0,475000.0,310000.0,,106.5,1015000.0,,,,582000.0,945000.0,780000.0,,,,609900.0,685000.0,,,,,840000.0,1700000.0,,,450000.0,440000.0,825000.0,,860000.0,787500.0,,,,605000.0,,840000.0,525000.0,725000.0,,1100000.0,,,,700000.0,1100000.0,365000.0,710000.0,,595000.0,770000.0,850000.0,470000.0,1700000.0,,510000.0,670000.0,598500.0,735000.0,,160000.0,477500.0,,,735000.0,,,763367.0,,,825000.0,514000.0,,,830000.0,509400.0,,500000.0,355000.0,,,359000.0,,,230000.0,435000.0,1400000.0,,335000.0,,899000.0,,1455000.0,,1250000.0,,600000.0,1225000.0,,765000.0,609000.0,,,882000.0,,,,,148000.0,,379000.0,365000.0,1350000.0,517500.0,490767.0,110000120000.0,553085.0,,,585000.0,439000.0,555000.0,,619000.0,,,545000.0,,722500.0,552048.0,880000.0,750000.0,,,,,,485000.0,,,,,,,,295000.0,775000.0,525000.0,,,645000.0,,,661450.0,,,,1100000.0,,,556449.0,625000.0,,,,418500.0,444710.0,,,,,,,,,,,,614390.0,375000.0,,845000.0,,,,1350000.0,397500.0,1245000.0,,,,1025000.0,580000.0,,,,,,,1000000.0,,,,,,775000.0,,,,,,,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,2047500.0,,,,,,,,,,
660000.0,519378.0,499885.0,549000.0,782500.0,410000.0,418950.0,120.0,,270000.0,,330000.0,490099.0,630000.0,616000.0,755000.0,600000.0,847500.0,622500.0,625000.0,812500.0,,605000.0,473596.0,360000.0,675000.0,,,,305000.0,,508300.0,,523950.0,532000.0,,,735000.0,567264.0,,420000.0,,625000.0,,650000.0,,885000.0,1462500.0,,,860000.0,,975000.0,220000.0,,,636812.0,,525000.0,1375000.0,512750.0,525706.0,,,456923.0,,,,395000.0,450000.0,,,315000.0,591000601000.0,,475000.0,724500.0,760000.0,,,,960000.0,,630000.0,625000.0,553026.0,398500.0,475000.0,,603800.0,,1150000.0,,,558000568000.0,524000.0,,561249.0,,565000.0,,818580.0,,,313500.0,545000.0,,,,,,660000.0,,,700000.0,815000.0,259000.0,75000.0,418888.0,,860000.0,,375000.0,,,,900000.0,,,618613.0,,468778.0,519000.0,,,775000.0,870000.0,,612500.0,265000.0,,1050000.0,,492715.0,,1300000.0,,,,1650000.0,,515000.0,459000.0,555000.0,,,,452500.0,517500.0,228000.0,618100.0,865000.0,,575000.0,,,,,254000.0,,350000.0,480000.0,,,,,845000.0,449000.0,,,,555000.0,525000.0,,,,,1050000.0,,,,,,,,,,,,,,,,,,,1160000.0,,,,,800000.0,735000.0,,,,850000.0,,1142500.0,,,550000.0,670000.0,717500.0,,,499500.0,,,,345000.0,,,663975.0,,,624404.0,559000.0,,,,,,472.5,,,,,,,,275000.0,1767500.0,,,,1975000.0,,,,,,735000.0,,,,1250000.0,,,,,,,,159000.0,,,710000.0,650000.0,1200000.0,487466.0,,670400.0,,,,,,,,,,61000000.0,,475522.5,575048.0,,,,,,,,870786.0,,,,,,,,295000.0,,,,,,,,,,,,,,,639900.0,,,,,,,,,,,,,,,,,,608741.0,164.0,,740000.0,,,,,440000.0,,,,,,559500.0,,,,,,,,,,,,,840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692500.0,435850.0,529400.0,569000.0,688000.0,,448210.0,,,289900.0,,,472124.0,,600000.0,1200000.0,675000.0,620000.0,,682500.0,609000.0,,722500.0,554990.0,642990.0,915000.0,,,,,,610000.0,,555094.0,325000.0,,,890000.0,1450000.0,,605000.0,,625000.0,,622500.0,,,,,,630000.0,,2000000.0,,,,589704.0,,,570000.0,500439.0,744267.0,,,478750.0,,,,,1250000.0,,,930000.0,667261.0,,,512500.0,569000.0,,,,,,519280.0,917190.0,630000.0,609000.0,,,755000.0,,775000.0,,,1300000.0,,,605000.0,,775000.0,,772070.0,,,550000.0,685000.0,,,,,,625000.0,,,,,370000.0,,523000.0,,650000.0,,1300000.0,,,,509000.0,,,624394.0,,862022.0,,,,,636000.0,,392500.0,,,685000.0,,549150.0,,915000.0,,,,,,307500.0,449000.0,735000.0,,,,,,249000.0,592900.0,,,,,,,,485000.0,,12.0,495000.0,,,,,,,,,,566441.0,,,,,,,,,,,,,,,,,,,,,,,,,750000.0,,,,,,,,,,,,945000.0,,,830000.0,728500.0,814500.0,,,,,,,,,,729300.0,,,,,,,,,,,,,,,,,,,,,,,599000.0,,,,,,650000.0,,,,,,,,,,,,163000.0,,,,2700000.0,,,,579990.0,,,,,,,,,,,,775000.0,619975.0,,,,,,,,,,,,,,,,295000.0,,,,,,,,,,,,,,,580000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964190.0,425380.0,530700.0,700000.0,678000.0,,,,,370000.0,,,564894.0,,562000.0,907500.0,,602000.0,,622500.0,890000.0,,617500.0,,,,,,,,,645000.0,,480999.0,795000.0,,,,855000.0,,,,625000.0,,,,,,,,,,12.5,,,,707043.0,,,255.0,559000.0,609198.0,,,,,,,,,,,,589000599000.0,,,650000.0,,,,,,,,,585000.0,798000.0,,,525.0,,1112500.0,,,,,,599990.0,,,,496611.0,,,499950.0,482500.0,,,,,,,,,,,,,,,860000.0,,615000.0,,,,710000.0,,,821927.0,,439178.0,,,,,641000.0,,1700000.0,,,725000.0,,,,945000.0,,,,,,445000.0,449000.0,670000.0,,,,,,,601210.0,,,,,,,,197500.0,,25.0,525000.0,,,,,,,,,,651180.0,,,,,,,,,,,,,,,,,,,,,,,,,805000.0,,,,,,,,,,,,,,,855000.0,662500.0,,,,,,,,,,,862781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555489.0,,,,,,,,,,,,,,,,220000.0,,,,,,,,,,,,,,,655800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974190.0,646929.0,526800.0,655000.0,815500.0,,,,,295000.0,,,569776.0,,597000.0,1230000.0,,,,697500.0,,,565000.0,,,,,,,,,,,487100.0,660000.0,,,,775000.0,,,,665000.0,,,,,,,,,,1715000.0,,,,571337.0,,,929000.0,275000.0,597929.0,,,,,,,,,,,,547000557000.0,,,1050000.0,,,,,,,,,597500.0,840000.0,,,712300.0,,,,,,,,715000.0,,,,710000.0,,,,,,,,,,,,,,,,,,,915000.0,,,,,,,,,787238.0,,545000.0,,,,,609000.0,,,,,,,,,,,,,,,132.0,449000.0,,,,,,,,607990.0,,,,,,,,,,,800000.0,,,,,,,,,,599911.0,,,,,,,,,,,,,,,,,,,,,,,,,1575000.0,,,,,,,,,,,,,,,639500.0,495000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870190.0,382300.0,465000.0,580148.0,777500.0,,,,,259900.0,,,478500.0,,611000.0,987500.0,,,,510000.0,,,750000.0,,,,,,,,,,,604700.0,640500.0,,,,1200000.0,,,,535000.0,,,,,,,,,,,,,,573728.0,,,,313000.0,535018.0,,,,,,,,,,,,545000555000.0,,,,,,,,,,,,569200.0,785000.0,,,925600.0,,,,,,,,,,,,579700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,529964.0,,525000.0,,,,,,,,,,,,,,,,,,,,152.0,439000.0,,,,,,,,553500.0,,,,,,,,,,,,,,,,,,,,,539000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670000.0,655500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755291.0,404300.0,,508148.0,270000.0,,,,,269000.0,,,600194.0,,701000.0,,,,,,,,,,,,,,,,,,,637600.0,580950.0,,,,322500.0,,,,,,,,,,,,,,,,,,347500.0,,,,389000.0,486305.0,,,,,,,,,,,,545000555000.0,,,,,,,,,,,,699285.0,1050000.0,,,586900.0,,,,,,,,,,,,682900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000.0,,455000.0,,,,,,,,,,,,,,,,,,,,,439000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690408.0,460000.0,,554148.0,420000.0,,,,,,,,478500.0,,717000.0,,,,,,,,,,,,,,,,,,,563994.0,,,,,,,,,,,,,,,,,,,,,,,599065.0,,,,515000.0,463916.0,,,,,,,,,,,,542000552000.0,,,,,,,,,,,,557500.0,665000.0,,,590900.0,,,,,,,,,,,,745900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,411840.0,,700000.0,,,,,,,,,,,,,,,,,,,,,705000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645485.0,383900.0,,683498.0,2900000.0,,,,,,,,566000.0,,533000.0,,,,,,,,,,,,,,,,,,,589094.0,,,,,,,,,,,,,,,,,,,,,,,646725.0,,,,627031.0,388510.0,,,,,,,,,,,,542000552000.0,,,,,,,,,,,,605000.0,880000.0,,,,,,,,,,,,,,,667890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,404040.0,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
