noble_park,armstrong_creek,eppalock,vermont,abbotsford,tarneit,southbank,botanic_ridge,glenroy,truganina,docklands,capel_sound,melbourne,templestowe_lower,port_albert,port_melbourne,frankston,south_yarra,hoppers_crossing,fawkner,morwell,williamstown,west_footscray,point_cook,dandenong,rye,camberwell,boronia,notting_hill,emerald,surrey_hills,burwood,attwood,hallam,greenvale,mount_evelyn,alfredton,brunswick_west,st_kilda,balwyn,bundoora,ferntree_gully,brunswick,watsonia,mordialloc,mount_macedon,mickleham,officer,clyde_north,altona_north,ross_creek,berriwillock,bayswater,west_wodonga,carnegie,springvale,kew,bell_post_hill,cheltenham,warranwood,brown_hill,golden_point,ivanhoe,tatura,elwood,blackburn_south,essendon,redan,doreen,heidelberg,werribee,heyfield,caulfield_south,narre_warren_north,lilydale,cranbourne,sunshine_west,echuca,maddingley,albion,wyndham_vale,melton_west,altona,parkdale,sunshine_north,mcmahons_creek,east_bairnsdale,sandringham,croydon,sunbury,mont_albert,turtons_creek,coburg_north,ringwood_north,traralgon,pakenham,crib_point,kurunjang,mount_eliza,drouin,yarraville,manor_lakes,traralgon_east,mambourin,delacombe,barfold,chelsea,brooklyn,rosebud,yarrawonga,west_melbourne,donnybrook,south_melbourne,canadian,beaumaris,preston,clayton,greensborough,burwood_east,brunswick_east,essendon_west,coburg,torquay,mentone,northcote,lara,diggers_rest,lower_norton,bentleigh_east,geelong,mernda,cobram,berwick,heathmont,maribyrnong,malvern_east,hughesdale,grovedale,newcomb,the_patch,carrum_downs,newborough,briar_hill,flora_hill,charlemont,strathfieldsaye,tootgarook,saint_leonards,shepparton,highett,sandy_point,kilsyth_south,warracknabeal,footscray,melton,strathdale,bacchus_marsh,wollert,alphington,kilsyth,blairgowrie,point_leo,mont_albert_north,numurkah,hillside,mooroolbark,newport,bonbeach,maryborough,fraser_rise,cranbourne_east,box_hill_south,avondale_heights,newtown,vermont_south,east_bendigo,craigieburn,airport_west,rutherglen,korumburra,bannockburn,leopold,maldon,corinella,doncaster_east,hampton_park,ardeer,north_melbourne,hamlyn_heights,kiata,kialla,rowville,hastings,richmond,portland,rosanna,kalkallo,reservoir,woori_yallock,herne_hill,spring_gully,walmer,bendigo,eynesbury,taylors_lakes,ocean_grove,moe,deanside,oakleigh_east,lynbrook,seaford,kilmore,ringwood,kennington,keysborough,bayswater_north,kinglake_west,brighton,rockbank,castlemaine,lake_wendouree,kancoona,east_geelong,maidstone,narre_warren_south,cranbourne_north,karachi,altona_meadows,eltham,benalla,warragul,hampton_east,hawthorn,sale,corio,balaclava,eldorado,doveton,croydon_south,south_morang,blackburn_north,kensington,lyndhurst,cranbourne_west,irymple,prahran,golden_square,frankston_south,nungurner,endeavour_hills,highton,belgrave,beaconsfield_upper,mill_park,benambra,engadine,kings_park,metung,heidelberg_heights,fairfield,st_kilda_east,pascoe_vale_south,paynesville,kyabram,heidelberg_west,clayton_south,caldermeade,wallan,gordon,doncaster,yallourn_north,point_lonsdale,ringwood_east,wandong,somerville,elliminyt,chanute,bentleigh,paradise_beach,ascot_vale,koo_wee_rup,kangaroo_flat,delahey,ashburton,lockwood_south,donvale,kyneton,fitzroy_north,mount_waverley,weir_views,melton_south,montmorency,nunawading,buninyong,dales_creek,blackburn,newlands_arm,belmont,romsey,broadmeadows,corryong,eaglehawk,bittern,balwyn_north,yeodene,knoxfield,st_albans,darley,merrigum,cranbourne_south,clyde,caulfield,watsonia_north,myrtleford,montrose,croydon_hills,lysterfield,black_hill,lakes_entrance,hallston,armadale,thornhill_park,wandana_heights,epping,lancefield,yarra_junction,chewton,tullamarine,wonthaggi,clematis,dromana,elsternwick,cowes,sarsfield,plumpton,california_gully,mount_martha,mccrae,mount_duneed,vaughan,caulfield_north,maiden_gully,north_bendigo,beeac,templestowe,mildura,chelsea_heights,westmeadows,carwarp,mornington,clifton_creek,strathbogie,san_francisco,jackass_flat,longwarry,wantirna_south,whittlesea,safety_beach,croydon_north,mansfield,kingsville,wandin_north,grantville,chirnside_park,hill_end,nicholson,winchelsea,laverton,johanna,violet_town,fryerstown,glen_waverley,brookfield,bealiba,hotham_heights,saint_andrews_beach,mount_dandenong,beechworth,box_hill_north,clifton_springs,cardigan,swan_reach,cape_woolamai,glenlee,bairnsdale,dalyston,sorrento,woodend,ararat,wangaratta,bonnie_doon,coronet_bay,toora,invergordon,mount_egerton,lang_lang,rosegreen,loch_sport,cockatoo,daylesford,san_remo,albert_park,beveridge,wendouree,colac,soldiers_hill,sebastopol,mount_helen,oak_park,canterbury,mount_pleasant,yarra_glen,langwarrin,pascoe_vale,white_hills,orbost,campbells_creek,hadfield,trentham,wedderburn,quarry_hill,forest_hill,diamond_creek,toorak,lima_east,bonnie_brook,kawarren,chum_creek,dandenong_north,koorooman,spotswood,launching_place,monbulk,bulleen,freshwater_creek,fitzroy,curlewis,black_rock,thornbury,east_warburton,moonee_ponds,millgrove,sunshine,murrumbeena,ouyen
640000.0,473485.0,567592.0,463988.0,728000.0,574777.0,889000.0,824500.0,775000.0,639000.0,918000.0,1400000.0,1781000.0,1400000.0,420000.0,760000.0,812500.0,3700000.0,600000.0,605.0,300000.0,637500.0,780000.0,850000.0,480000.0,1200000.0,3150000.0,682500.0,402500.0,900000.0,3675000.0,1102500.0,625000.0,780000.0,800.0,1455000.0,325000.0,460.0,77500000.0,2765000.0,760000.0,892500.0,1300000.0,720000.0,620000.0,220000.0,892500.0,512174.0,874000.0,1012500.0,1540000.0,87000.0,785000.0,425000.0,1890000.0,755000.0,1650000.0,845000.0,1450000.0,920000.0,360000.0,615000.0,625000.0,250000.0,420000.0,1029000.0,1650000.0,500000.0,1100000.0,767500.0,502000.0,295000.0,1675000.0,1415000.0,697500.0,504000.0,720000.0,302500.0,604000.0,625000.0,579000.0,649000.0,815000.0,240000.0,645000.0,505000.0,225000.0,1840000.0,1050000.0,625000.0,1417500.0,580000.0,615000.0,1100000.0,649000.0,720000.0,665000.0,1200000.0,1240000.0,1712000.0,1250000.0,516900.0,995000.0,574543.0,570000.0,500000.0,556500.0,820000.0,735000.0,290000.0,1100000.0,642900.0,1750000.0,505000.0,3275000.0,931500.0,600000.0,1200000.0,1400000.0,460000.0,815000.0,1110000.0,1275000.0,2475000.0,1150000.0,519750.0,558000.0,500000.0,580000.0,1050000.0,650000.0,255000.0,836110.0,945000.0,1110000.0,497331.0,816110.0,685000.0,600000.0,695082.0,525000.0,310000.0,567500.0,395000.0,626624.0,623418.0,760000.0,675000.0,353500.0,615000.0,795000.0,605000.0,270000.0,467500.0,474000.0,820000.0,549000.0,691668.0,2400000.0,714000.0,1450000.0,2800000.0,1100000.0,822500.0,435000.0,1050000.0,630000.0,885000.0,390000.0,690784.0,624750.0,1200000.0,670000.0,1020000.0,725000.0,352500.0,697900.0,725000.0,549000.0,708055.0,730000.0,569000.0,1000000.0,915000.0,840000.0,670000.0,800000.0,555000.0,549000.0,32000.0,625000.0,1155000.0,572379.0,1150000.0,890000.0,885000.0,504900.0,805000.0,685000.0,362500.0,485000.0,1500000.0,445000.0,869000.0,535000.0,727500.0,330000.0,620000640000.0,440000.0,770000.0,630000.0,690000.0,920000.0,749950.0,1015000.0,840000.0,970000.0,2100000.0,572505.0,640000.0,1925000.0,695000.0,775000.0,885000.0,990000.0,480000.0,579180.0,960000.0,1325000.0,1200000.0,622500.0,1350000.0,470000.0,149000.0,440000.0,1950000.0,537500.0,525000.0,670000.0,775000.0,1345000.0,429000.0,498500.0,765000.0,168000.0,635000.0,885000.0,1050000.0,350000.0,930000.0,1400000.0,1400000.0,997500.0,500000.0,199000.0,310000.0,650000.0,290000.0,625000.0,465000.0,1550000.0,1005000.0,469000.0,199000.0,575000.0,890000.0,2050000.0,615000.0,585000.0,580000.0,720000.0,1150000.0,945000.0,1010000.0,730000.0,715000.0,435000.0,660000.0,150000.0,940000.0,400000.0,420000.0,460000.0,840000.0,500000.0,755000.0,1350000.0,282500.0,1330000.0,227500.0,469000.0,800000.0,630000.0,722500.0,739500.0,795000.0,265000.0,635000.0,715000.0,450.0,315000.0,490000.0,700000.0,2625000.0,980000.0,750000.0,517202.0,584000.0,690000.0,2025000.0,480900.0,670000.0,1050000.0,880000.0,1440000.0,1100000.0,678500.0,489000.0,349500.0,1200000.0,860000.0,712045.0,742500.0,615000.0,586562.0,617500.0,542500.0,727500.0,799000.0,950000.0,1150000.0,595000.0,870000.0,795000.0,330000.0,349000.0,682500.0,1207500.0,579164.0,220000.0,750000.0,600000.0,609000.0,367500.0,205.5,555000.0,1147500.0,595000.0,745900.0,703850.0,410000.0,1100000.0,202499.5,412500.0,612500.0,934500.0,750000.0,1102500.0,885000.0,920000.0,620000.0,735000.0,615000.0,700000.0,995000.0,241950.0,503300.0,585000.0,563100.0,450000.0,16572139950.0,1260000.0,555000.0,250000.0,249000.0,2500000.0,907500.0,445000.0,980000.0,968000.0,575000.0,599000.0,944500.0,350000.0,259000.0,549000.0,2800000.0,885000.0,362500.0,295000.0,755000.0,360000.0,620000.0,315000.0,600000.0,1596000.0,554000.0,630000.0,890000.0,920000.0,1245000.0,440000.0,324000.0,385000.0,495000.0,560000.0,409000.0,1007500.0,825000.0,2100000.0,605000.0,985000.0,945000.0,900000.0,415000.0,295000.0,325000.0,829500.0,795000.0,235000.0,705000.0,15.5,565000.0,500000.0,650000.0,514045.0,367500.0,157500.0,770000.0,835000.0,805000.0,695000.0,840000.0,1150000.0,509294.0,2700000.0,555000.0,3075000.0,375000.0,650000.0,678000.0,405000.0,997500.0,1175000.0,105000.0
525000.0,820000.0,538092.0,,765000.0,426715.0,412500.0,877200.0,705.0,513900.0,650000.0,640000.0,595300.0,815000.0,620000.0,1800000.0,525000.0,635000.0,485.0,537500.0,240000.0,1225000.0,750000.0,775000.0,231000.0,915000.0,,710000.0,,,724500.0,,,937500.0,625000.0,,730000.0,470000.0,725000.0,,735000.0,770000.0,572500.0,,1400000.0,,552415.0,692500.0,667332.0,715000.0,,44000.0,,429000.0,,290000.0,645000.0,,375000.0,170.0,,,1787500.0,564150.0,850000.0,301000.0,604500.0,,549000.0,2150000.0,499900.0,,1230000.0,1830000.0,,825000.0,720000.0,285000.0,849000.0,290000.0,495500.0,705000.0,,1355000.0,,142500.0,419000.0,920000.0,717500.0,755000.0,910000.0,,925000.0,1070000.0,1400000.0,415000.0,815000.0,,14.5,560000.0,1375000.0,643000.0,,370000.0,430000.0,,550000.0,875000.0,1250000.0,528000.0,480000.0,588500.0,1340000.0,449000.0,,430500.0,408900.0,805000.0,,725000.0,910000.0,1050000.0,1050000.0,320000.0,225133.0,564842.0,625000.0,,1435000.0,735000.0,665000.0,540000.0,1042500.0,1150000.0,397500.0,565000.0,840000.0,479000.0,697000.0,637026.0,572500.0,473038.0,,575000.0,484200.0,618347.0,710000.0,,385000.0,420000.0,,,,382500.0,412000.0,509001.0,714000.0,599488.0,545000.0,,1625000.0,,,,517500.0,775000.0,945000.0,910000.0,,569798.0,660000.0,1680000.0,875000.0,,1837500.0,,,600000.0,,442500.0,,438744.0,,615000.0,472500.0,,510000.0,828000.0,555150.0,29000.0,536145.0,920000.0,567965.0,1270000.0,375000.0,,505900.0,420000.0,885000.0,,,,1150000.0,829500.0,,1545000.0,,415600.0,,668000.0,695000.0,590000.0,11.5,715000.0,,,,3045000.0,760000.0,605000.0,,,,595000.0,765.0,695000.0,,,1250000.0,512500.0,469238.0,,670000.0,410600.0,445000.0,595000.0,,624750.0,,960000.0,2094000.0,472500.0,350000.0,645000.0,,,465000.0,945000.0,,,1200000.0,820000.0,,,,,,,,572500.0,420000.0,,,,625000.0,500000.0,,600000.0,485000.0,1470000.0,,1500000.0,,1250000.0,995000.0,,,1875000.0,,,595000.0,470000.0,,,,,,1150000.0,875000.0,,584500.0,1150000.0,,,,,,620000.0,855000.0,610000.0,,412500.0,,,,,489896.0,704000.0,,747500.0,564000.0,,,,,,,,550000.0,,895000.0,681489.0,,,1000000.0,,,550000.0,,,,612500.0,849500.0,,570000.0,,4050000.0,1575000.0,601500.0,,687500.0,,547333.0,,14.5,,,,,1365000.0,,,,,,1150000.0,,1050000.0,,575000.0,,,,1312500.0,,264500.0,,,,,13912129950.0,883000.0,,,,,,,13.5,,,,,,575000.0,,1890000.0,,477500.0,480000.0,,,,,,,,,,,,,,509500.0,,,,,,,,,829500.0,,,,,,,,,,680000.0,,,,,,,,,,,,610349.0,1350000.0,,1755000.0,,,,,,,
625000.0,483985.0,1270266.0,,392500.0,526800.0,365000.0,820000.0,825.0,513900.0,639000.0,1500000.0,578000.0,,,450000.0,729750.0,805000.0,575000.0,785000.0,289500.0,2500000.0,,714000.0,934500.0,1240000.0,,762500.0,,,810000.0,,,,765000.0,,345000.0,,485000.0,,840000.0,960000.0,550000.0,,945000.0,,748300.0,718755.0,633962.0,,,,,279000.0,,890000.0,,,445000.0,1680000.0,,,892500.0,548145.0,18.0,,600000.0,,675000.0,,502500.0,,1680000.0,,,420000.0,650000.0,,600000.0,797500.0,557000.0,550000.0,,1020000.0,,,,359000.0,,799846.0,592500.0,,,780000.0,499000.0,720000.0,496990.0,,1425000.0,610000.0,1050000.0,335000.0,,499212.0,,,560000.0,,2337500.0,988000.0,,584000.0,800000.0,,,,530000.0,1000000.0,,1400000.0,,985000.0,900000.0,,299000.0,651798.0,,,1400000.0,,655000.0,487000.0,805000.0,,420000.0,,1915000.0,695000.0,,,693000.0,,,460000.0,566000.0,324500.0,,,459000.0,445000.0,,,,425000.0,,527429.0,614000.0,590500.0,2450000.0,,939500.0,,,,,765000.0,1500000.0,,,573000.0,516440.0,,800000.0,,1450000.0,,,,,442500.0,,519500.0,,,800000.0,,,,855000.0,,665000.0,409500.0,,525000.0,,,509900.0,960000.0,,,,,,,,622500.0,,536302.0,,,,500500.0,945000.0,836399.0,,,,2950000.0,568341.0,,,,,629000.0,,615900.0,,,,,449000.0,,,140000.0,480000.0,725000.0,,,,,,550000.0,900000.0,,,,560000.0,819000.0,,,,,,,,,,,,,,,,,,,,,,671900.0,,,,,815000.0,,,,,,,590928.0,,,,,,1700000.0,,,733950.0,1150000.0,,,,,,,1237500.0,,,,,,,,595000.0,,,747500.0,,,,,,,,,,,1775000.0,,,,573882.0,,,,,,,,429000.0,,,,,,,,,,,,,,,,,1250000.0,,,,,,,,800000.0,,622500.0,,,,,,520730.0,,,,,13782127500.0,590000.0,,,,,,,12.5,,,,,,,,,,,379000.0,,,,,,,,,,,,,,490000.0,,,,,,,,,1655000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,409205.0,680000.0,,390000.0,628982.0,700000.0,783000.0,787500.0,602710.0,632000.0,,942000.0,,,537500.0,569000.0,490000.0,,790000.0,498000.0,925000.0,,595000.0,480000.0,1900000.0,,795000.0,,,1270000.0,,,,,,820000.0,,515000.0,,840000.0,724500.0,1050000.0,,1000000.0,,672850.0,768492.0,610518.0,,,,,429000.0,,,,,1445000.0,,,,860000.0,,2450000.0,,729500.0,,542250.0,,574000.0,,525000.0,,,605000.0,775000.0,,,,520000.0,,,710000.0,,,,1490000.0,,604435.0,1250000.0,,,1312500.0,298000.0,597500.0,775000.0,,1362500.0,795000.0,1230000.0,308000.0,,636100.0,,,,,1275000.0,328000.0,,420000.0,1260000.0,,,,,1300000.0,,370000.0,,1600000.0,1005000.0,,395000.0,512502.0,,,,,375000.0,,945000.0,,550000.0,,,675000.0,,,724500.0,,,,565862.0,,,,403000.0,1275000.0,,,,902500.0,,590000.0,359000.0,554000.0,945000.0,,,,,,,410000.0,,,,377500.0,728500.0,,,,,,,,,449000.0,,,,,1450000.0,,,,,,,,,,,,506900.0,1100000.0,,,,,,,,1645000.0,,535161.0,,,,520500.0,,,,,,,,,,,,,,,,,,,715600.0,,,,384000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593589.0,,,,,,1050000.0,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685117.0,,,,,,,,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563330.0,,,,,8852117500.0,630000.0,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,430543.0,,,,683926.0,624000.0,,675.0,600710.0,860000.0,,1180000.0,,,575000.0,390000.0,459000.0,,,395000.0,900000.0,,733041.0,,,,860000.0,,,900000.0,,,,,,,,525000.0,,790000.0,729950.0,500000.0,,,,655000.0,722500.0,730845.0,,,,,,,,,,690000.0,,,,1437500.0,,2520000.0,,715000.0,,631872.0,,636045.0,,,,,450000.0,,,,,556500.0,,,,,,,1400000.0,,640000.0,,,,,,495000.0,,,2467500.0,512000.0,1215000.0,330000.0,,,,,,,1250000.0,463797.0,,424000.0,700000.0,,,,,,,555000.0,,1345000.0,2430000.0,,1700000.0,564676.0,,,,,700000.0,,650000.0,,630000.0,,,544000.0,,,630000.0,,,,523533.0,,,,484000.0,1075000.0,,,,910000.0,,,,658000668000.0,517500.0,,,,,,,825000.0,,,,649741.0,787500.0,,,,,,,,,439000.0,,,,,570000.0,,,,,,,,,,,,558900.0,622500.0,,,,,,,,2100000.0,,535161.0,,,,,,,,,,,,,,,,,,,,,,,586600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581780.0,,,,,664294950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,451477.0,,,,632561.0,770000.0,,635.0,579290.0,622000.0,,1201000.0,,,935000.0,727500.0,560000.0,,,,1750000.0,,818327.0,,,,,,,1220000.0,,,,,,,,485000.0,,840000.0,945000.0,335000.0,,,,608553.0,650000.0,656083.0,,,,,,,,,,925000.0,,,,,,,,,,675000.0,,494000.0,,,,,574000.0,,,,,497300.0,,,,,,,970000.0,,360500.0,,,,,,579900.0,,,2487500.0,,1150000.0,355000.0,,,,,,,,461397.0,,,1048000.0,,,,,,,1150000.0,,,,,1700000.0,539324.0,,,,,375000.0,,1008000.0,,,,,315000.0,,,,,,,477800.0,,,,,550000.0,,,,315000.0,,,,591740.0,1500000.0,,,,,,,392500.0,,,,679749.0,920000.0,,,,,,,,,435000.0,,,,,171.5,,,,,,,,,,,,616181.0,840000.0,,,,,,,,1300000.0,,531302.0,,,,,,,,,,,,,,,,,,,,,,,575300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531581.0,,,,,506287500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,409205.0,,,,698349.0,570000.0,,585000.0,579290.0,806000.0,,390000.0,,,,609000.0,819110.0,,,,725000.0,,744600.0,,,,,,,810000.0,,,,,,,,1525000.0,,735000.0,,1050000.0,,,,644534.0,688400.0,695000.0,,,,,,,,,,,,,,,,,,,,,,470000.0,,,,,1212500.0,,,,,268000.0,,,,,,,,,587915.0,,,,,,550000.0,,,,,,,,,,,,,,639000.0,,,511500.0,,,,,,,325000.0,,,,,,744000.0,,,,,655.0,,1350000.0,,,,,,,,,,,,600060.0,,,,,,,,,600000.0,,,,,,,,,,,,,,,,486506.0,,,,,,,,,,445000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,531302.0,,,,,,,,,,,,,,,,,,,,,,,621800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455282500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,682500.0,,,,447900.0,1336650.0,,478.0,725000.0,510000.0,,540000.0,,,,775000.0,3520000.0,,,,1475000.0,,766100.0,,,,,,,780000.0,,,,,,,,575000.0,,,,,,,,717668.0,600651.0,672500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,865000.0,,,,,268000.0,,,,,,,,,608653.0,,,,,,550000.0,,,,,,,,,,,,,,1250000.0,,,415000.0,,,,,,,1150000.0,,,,,,,,,,,382500.0,,756000.0,,,,,,,,,,,,579350.0,,,,,,,,,415000.0,,,,,,,,,,,,,,,,352500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,760867.0,772800.0,,,554000.0,1415000.0,,687500.0,,,,955000.0,1495000.0,,,,,,625000.0,,,,,,,1100000.0,,,,,,,,,,,,,,,,854.0,586866.0,609800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644900.0,,,,,,,,,636219.0,,,,,,670000.0,,,,,,,,,,,,,,1250000.0,,,,,,,,,,,,,,,,,,,,,,,607500.0,,,,,,,,,,,,543198.0,,,,,,,,,461358.0,,,,,,,,,,,,,,,,721400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,633441.0,1173900.0,,,699000.0,609500.0,,335000.0,,,,630000.0,670000.0,,,,,,595000.0,,,,,,,,,,,,,,,,,,,,,,,702940.0,504636.0,609800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545000.0,,,,,,,,,294000.0,,,,,,567000.0,,,,,,,,,,,,,,415000.0,,,,,,,,,,,,,,,,,,,,,,,1022500.0,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
