melbourne,mooroopna,darley,highett,rockbank,fraser_rise,deanside,sunshine,maidstone,mount_duneed,eumemmerring,mitcham,boronia,torquay,mentone,clayton,mornington,brighton_east,taylors_hill,mernda,deepdene,croydon,wodonga,drouin,frankston_north,berwick,aspendale,box_hill_north,bayswater,macleod,frankston_south,altona,west_footscray,murrumbeena,ormond,longwarry,seabrook,langwarrin,rye,frankston,ascot_vale,burnside,noble_park,ringwood_east,taylors_lakes,tolmie,chadstone,st_kilda,werribee,keilor_east,burwood,glenroy,rosebud,keysborough,dallas,junction_village,clyde_north,montmorency,ocean_grove,glen_iris,moe,altona_north,oakleigh_south,point_cook,north_warrandyte,wangaratta,preston,coburg,buxton,surrey_hills,west_wodonga,cranbourne_west,maryborough,ringwood_north,brunswick_east,flora_hill,tullamarine,essendon,blackburn,templestowe,prahran,doncaster,gisborne,summerlands,tarneit,kilmore,collingwood,eltham_north,doreen,chanute,bonbeach,epping,orbost,attwood,upper_ferntree_gully,leopold,yarraville,clyde,elsternwick,somerville,kensington,melton_south,strathmore,elphinstone,cranbourne_north,nagambie,footscray,mickleham,richmond,golden_point,st_kilda_east,nunawading,niddrie,roxburgh_park,traralgon,skye,bengworden,wollert,whittlesea,plenty,wendouree,dingley_village,carlton_north,coimadai,armstrong_creek,warragul,melton,port_melbourne,dandenong_north,carnegie,bairnsdale,white_hills,pascoe_vale,mambourin,eltham,caulfield_north,wallan,saint_leonards,eldorado,indented_head,narre_warren_south,caulfield_south,south_yarra,grovedale,dandenong,bundoora,balaclava,officer,box_hill_south,geelong,kingsville,narre_warren_north,bentleigh_east,officer_south,riddells_creek,mallacoota,nerrina,waurn_ponds,donnybrook,eildon,trondheim,seymour,everton_upper,brunswick_west,eaglehawk,beaumaris,carlton,wyndham_vale,sunderland_bay,hampton_park,bayswater_north,atrani,heathmont,greensborough,reservoir,shepparton_north,lubeck,elwood,delacombe,mooroolbark,beveridge,endeavour_hills,doveton,mount_waverley,corio,avondale_heights,glenaladale,highton,chirnside_park,sandringham,warrandyte,clayton_south,barwon_heads,yarragon,caulfield,sunbury,club_terrace,morwell,great_western,romsey,dromana,jeparit,healesville,bell_post_hill,narre_warren,wantirna,caulfield_east,warburton,kyneton,fitzroy_north,truganina,beaconsfield,ringwood,sydenham,bonshaw,mildura,lake_wendouree,essendon_north,drysdale,yallambie,the_basin,ballarat_east,doncaster_east,pearcedale,cranbourne_south,ivanhoe,northcote,hoppers_crossing,rosedale,heidelberg,canterbury,curlewis,mont_albert,mill_park,baranduda,kilsyth_south,pakenham,maribyrnong,meadow_heights,mccrae,balwyn,briar_hill,mount_martha,venus_bay,boolarra,nelson,altona_meadows,loch_sport,connewarre,warrnambool,botanic_ridge,gelliondale,ashwood,chelsea,bulleen,coburg_north,vermont,spring_gully,marysville,south_morang,hawthorn,hillside,caroline_springs,rosanna,south_kingsville,springvale,dalyston,ararat,armadale,manifold_heights,melton_west,glen_huntly,wantirna_south,port_welshpool,gowanbrae,sunshine_west,malmsbury,watsonia_north,greenvale,mordialloc,viewbank,plumpton,airport_west,burwood_east,cranbourne,bonnie_doon,oak_park,newtown,strathfieldsaye,macedon,cheltenham,diamond_creek,winchelsea,baxter,forest_hill,vermont_south,saint_arnaud,mount_eliza,cranbourne_east,huntly,canadian,maffra,craigieburn,irymple,seddon,keilor,albert_park,southbank,myrtleford,heidelberg_west,donvale,lilydale,fernbank,derrimut,paynesville,churchill,carrum,blackburn_south,wy_yung,newcomb,heatherton,shepparton,panton_hill,golden_beach,albion,rochester,croydon_south,mulgrave,seaford,sunshine_north,ranceby,high_camp,golden_square,bonnie_brook,aintree,campbellfield,rowville,maddingley,weir_views,brookfield,diggers_rest,thornhill_park,briagolong,heywood,avonsleigh,buffalo,charlemont,st_albans,goughs_bay,cowes,hawthorn_east,don_valley,birregurra,lethbridge,yarra_junction,inverloch,blairgowrie,woori_yallock,ferntree_gully,box_hill,ventnor,ardeer,anglesea,humevale,balmoral,portarlington,horsham,glen_waverley,flowerdale,bacchus_marsh,merrijig,stratford,pyalong,braybrook,sale,lara,derrinallum,gladstone_park,kinglake_central,bunyip,wattle_bank,sebastopol,lavers_hill,wallington,kennington,epsom,balwyn_north,docklands,williams_landing,cannons_creek,scoresby,parkdale,south_melbourne,kew,west_melbourne,lyndhurst,aspendale_gardens,deer_park,bannockburn,oaklands_junction,bittern,undera,castlemaine,tarrone,esmond,heidelberg_heights,croydon_north,hampton,talbingo,tragowel,dingwall,allambee_reserve,crib_point,parkville,strathdale,jackass_flat,lorne,darraweit_guim,clunes,black_rock,dandenong_south,brighton,alfredton,edithvale,malvern,kilsyth,yandoit,yangery,lakes_entrance,balnarring_beach,mckinnon,coffeyville,windsor,woodend,koo_wee_rup,scotsburn,tooradin,whittington,fairfield,eppalock
1840000.0,422250.0,545900.0,1260000.0,540000.0,710000.0,655000.0,725000.0,675000.0,810000.0,490000.0,1050000.0,819000.0,487500.0,1025000.0,1005000.0,1150000.0,3150000.0,910000.0,695000.0,1750000.0,775000.0,369000.0,414000.0,640000.0,695000.0,1850000.0,605000.0,735000.0,1500000.0,402500.0,775000.0,705000.0,1600000.0,1915000.0,420000.0,665000.0,735000.0,497.5,724500.0,1650000.0,800000.0,480000.0,815000.0,840000.0,772500.0,1250000.0,210000.0,420000.0,795000.0,700000.0,725.0,765000.0,750000.0,420.0,940200.0,797330807330.0,2200000.0,775000.0,630000.0,255000.0,930000.0,1160000.0,1150000.0,1400000.0,260000.0,1300000.0,1250000.0,419500.0,690000.0,749000.0,760000.0,450000475000.0,1050000.0,1000000.0,550000.0,665.0,1785000.0,1650000.0,1775000.0,420000.0,22000002400000.0,700449.0,622.5,582300.0,442347.0,490475.0,457623.0,1020000.0,1800000.0,940000.0,409500.0,575000.0,475.5,765000.0,674000.0,725000.0,585900.0,430000.0,1100000.0,462500.0,550000.0,1640000.0,380000.0,650000.0,650000.0,437500.0,690900700900.0,380000.0,1325000.0,292500.0,1300000.0,1155000.0,725000.0,639000.0,765000.0,650000.0,395000.0,2047500.0,1280000.0,392500.0,1175000.0,1225000.0,860000.0,622500.0,520000.0,385000.0,1500000.0,577500.0,605000.0,199000.0,675000.0,625000.0,869900.0,610000.0,735000.0,823496.0,820000.0,310000.0,674000.0,1018500.0,472500.0,472500.0,555000.0,273000.0,717500.0,514500.0,573900.0,1350000.0,660000.0,555000.0,1600000.0,595000.0,641078.0,960000.0,880000.0,850000.0,769000.0,600000.0,425000.0,566560.0,530000.0,380000.0,590.0,345000.0,860000.0,160000.0,480000.0,830000.0,685000.0,690000.0,719900.0,945000.0,830000.0,725000.0,260000.0,300000.0,635000.0,614500.0,655000.0,614000.0,619500.0,595000.0,605000.0,420000.0,630000.0,1800000.0,914000.0,1035000.0,1280000.0,1350000.0,409500.0,1750000.0,700000.0,1260000.0,592553.0,650000.0,275000.0,260000.0,807500.0,98500.0,129000.0,625000.0,745000.0,1250000.0,892500.0,545000.0,8250000.0,690806.0,515000.0,953588.0,1150000.0,1200000.0,485000.0,468957.0,307500.0,2550000.0,2025000.0,525000.0,1050000.0,762500.0,422500.0,16.5,630000.0,910000.0,832500.0,390000.0,695000.0,390800.0,1050000.0,2500000.0,719000.0,945000.0,470000.0,549000.0,920000.0,680000.0,735000.0,575000.0,850000.0,534700.0,945000.0,945000.0,659000.0,449000.0,170000.0,1020000.0,15000.0,2625000.0,795000.0,749750.0,280000.0,1380000.0,850000.0,120.0,1050000.0,110.0,452500.0,1085000.0,499000.0,340000.0,625000.0,460000.0,1225000.0,900000.0,840000.0,370000.0,255000.0,625000.0,780000.0,564000.0,945000.0,525000.0,130000.0,1140000.0,530000.0,575000.0,735000.0,755000.0,795000.0,1175000.0,693900.0,1020000.0,1450000.0,700000.0,487500.0,715000.0,307500.0,772500.0,1250000.0,1437500.0,1995000.0,535000.0,850000.0,1050000.0,1102500.0,180000.0,3300000.0,665000.0,635000.0,375000.0,315000.0,504000.0,515000.0,450000.0,710000.0,652500.0,637500.0,620000.0,450000.0,170.0,810000.0,570000.0,700000.0,499000.0,365000.0,815000.0,630000.0,412000.0,500000.0,1280000.0,389000.0,785000.0,126000.0,640000.0,480000.0,509098.0,920000.0,555000.0,622500.0,2200000.0,3000000.0,607500.0,496818.0,335000.0,500000.0,985000.0,300000.0,538600.0,556600.0,502916.0,602910.0,729500.0,775000.0,1312500.0,575000.0,630000.0,635000.0,405000.0,890000.0,773000.0,1150000.0,700000.0,1072373.0,885000.0,625000.0,2200000.0,605000.0,570000.0,555000.0,989000.0,545000.0,1900000.0,750000.0,387000.0,1637500.0,259900.0,1350000.0,810000.0,324000.0,860000.0,359000.0,555000.0,675000.0,315000.0,585400.0,290000.0,715.0,435000.0,515000.0,2275000.0,307500.0,185000.0,2750000.0,629110.0,572633.0,3100000.0,500000.0,575000.0,1630000.0,675000.0,1365000.0,510000.0,1100000.0,710000.0,1027500.0,930000.0,645000.0,997500.0,1150000.0,815000.0,580000.0,719000.0,6000.0,3000000.0,720000.0,141.5,815000.0,620000.0,1145000.0,950000.0,890000.0,565000.0,2100000.0,387500.0,495000.0,850000.0,915000.0,550000600000.0,3000000.0,115000.0,1450000.0,622500.0,815000.0,1850000.0,395000.0,915000.0,995000.0,845000.0,2725000.0,985000.0,840000.0,775000.0,785000.0,885000.0,610000.0,2500000.0,435000.0,2250000.0,750874.0
1513000.0,419450.0,444000.0,525000.0,510590.0,679000.0,549000.0,720000.0,480000.0,634485.0,,1230000.0,725000.0,1450000.0,1325000.0,770000.0,1100000.0,2900000.0,,610000.0,,1200000.0,294000.0,561400.0,575000.0,705000.0,1350000.0,725000.0,,1250000.0,1875000.0,700000.0,1200000.0,250000.0,302500.0,245000.0,,610000.0,1387500.0,770000.0,407500.0,,522000.0,140.0,755000.0,,1575000.0,420000.0,330000.0,,772500.0,460.0,700000.0,1250000.0,,,682800.0,,600000.0,1350000.0,260000.0,1000000.0,,681900.0,,449000.0,470000.0,885000.0,,,250000.0,519750.0,,995000.0,415000.0,,,,1400000.0,,1242500.0,1330000.0,717642.0,622.5,636950.0,265000.0,480000.0,504549.0,537075.0,,885000.0,472500.0,,,,662000.0,1600000.0,461900.0,1890000.0,540000.0,625000.0,532500.0,,,790000.0,,1050000.0,630000.0,315000.0,,735000.0,710000.0,1050000.0,693000.0,319000.0,970000.0,,593900.0,615000.0,,,,1850000.0,,617898.0,570000.0,439000.0,650000.0,780000.0,750000.0,595000.0,,1050000.0,498400.0,,1680000.0,290000.0,440000.0,,,1100000.0,1200000.0,695000.0,539000.0,840000.0,,,635000.0,462145.0,800000.0,,,1350000.0,612556.0,,,,,475000485000.0,,,,,675000.0,485000.0,1620000.0,670000.0,495000.0,,587500.0,,709900.0,,1250000.0,775000.0,,,700000.0,470000.0,905000.0,633000.0,715000.0,604000.0,1400000.0,435000.0,945000.0,,1015000.0,755000.0,2150000.0,12.0,600000.0,,,,565000.0,35000.0,498000.0,,525000.0,815000.0,,690000.0,,630000.0,675000.0,600000.0,,641703.0,1450000.0,793100.0,675000.0,472500.0,770000.0,,412500.0,1750000.0,,,800000.0,,,,1150000.0,,,1260000.0,535000.0,,1485000.0,,660000.0,,755000.0,543981.0,,1150000.0,525000.0,525000.0,,,,945000.0,449000.0,,,600000.0,,,,755000.0,,,,,,,,,600000.0,669000.0,1650000.0,,1050000.0,,,289000.0,,,,519000.0,,,,,602500.0,,,,,1165000.0,650900.0,550000.0,,445000.0,1300000.0,,,593227.0,,,,,,,,360000.0,2625000.0,785000.0,934500.0,,,440000.0,,,1207500.0,,495000.0,,,724500.0,,,,,,,,749000.0,,,,,195000.0,,,,,,,,,575000.0,405000.0,,262500.0,924000.0,559836.0,442416.0,554836.0,731944.0,627622.0,,270000.0,,,,760000.0,,,1540000.0,,399000.0,989228.0,,2695000.0,,,,524000.0,,617500.0,,,,,,,,,840000.0,592500.0,,,,,,,,,,575000.0,,,,,2625000.0,589000.0,519750.0,,619000.0,,550000.0,1160000.0,829000.0,,,,,,,,,,,,,915000.0,,,,,,580000.0,,297000.0,,,,,,,,780000.0,,,,,,,,,,,,,,,,631943.0
934230.0,431950.0,454000.0,950000.0,505000.0,599000.0,599000.0,,,605185.0,,,945000.0,1200000.0,777048.0,,865000.0,,,865000.0,,615000.0,265000.0,569100.0,,600000.0,,,,,,805000.0,480000.0,1750000.0,,,,710000.0,1330000.0,800000.0,,,735000.0,,,,785000.0,407500.0,650000.0,,1250000.0,672.5,1035000.0,710000.0,,,760390.0,,1050000.0,1155000.0,,,,748900.0,,680000.0,525000.0,1575000.0,,,,615000.0,,1150000.0,395000.0,,,,670000.0,,,592500.0,831708.0,570.0,546600.0,269500.0,400000.0,409487.0,610000.0,,945000.0,875000.0,,,,,1085000.0,624457.0,,700000.0,,490000.0,,,502500.0,,618613.0,575000.0,525000.0,,,1200000.0,750000.0,620000.0,550000.0,729500.0,,595000.0,,,,,997500.0,,697807.0,,475000.0,1437500.0,525000.0,575000.0,280000.0,,812.5,526261.0,,,635000.0,670000.0,,,,1575000.0,465000.0,675000.0,440000.0,,,653200.0,1035000.0,924000.0,,,735000.0,698100.0,,,,,414000424000.0,,,,,,,,,370000390000.0,,378000.0,,679700.0,,745000.0,625000.0,,,1925000.0,643300.0,660000.0,602000.0,955000.0,612500.0,,,,,1532500.0,832500.0,870000.0,,,,,,640000.0,,,,,1785000.0,,,,787500.0,795000.0,,,,,615000.0,,,735000.0,,,,,,,,,,,,,900000.0,285000.0,,915000.0,,,,462000.0,542121.0,,560000.0,497500.0,,,,,,,,,655000.0,,,,1312500.0,,,,,,,,,,435000.0,,,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,359000.0,,,,,,,,235000.0,499982.0,570.0,,,,677500.0,,,1200000.0,,,,,1230000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,550000.0,,,487500.0,,,,,,,,,1377000.0,,,975348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830000.0,750000.0,,,,,,,,,,,,,,,,,,,,1365000.0,,295000.0,,,,,,,,1100000.0,,,,,,,,,,,,,,,,581974.0
430.0,462500.0,,,489000.0,619000.0,668496.0,,,591400.0,,,787500.0,912500.0,623754.0,,890000.0,,,675000.0,,855000.0,260000.0,551900.0,,760000.0,,,,,,,1100000.0,710000.0,,,,,1130000.0,385000.0,,,315000.0,,,,550000.0,369.0,430000.0,,720000.0,945.0,,892500.0,,,725900.0,,,,,,,724900.0,,269000.0,1565000.0,575000.0,,,,441000.0,,1050000.0,435000.0,,,,545000.0,,,2677500.0,698558.0,570.0,605600.0,269500.0,,483907.0,945000.0,,,,,,,,,643151.0,,765000.0,,,,,605000.0,,624394.0,593000.0,1150000.0,,,510000.0,,,,760000.0,,577000.0,,,,,,,680394.0,,,1600000.0,,365000.0,550000.0,,575000.0,429401.0,,,620000.0,,,,,2025000.0,707500.0,363500.0,430000.0,,,545000.0,,,,,1325000.0,,,,,,414000424000.0,,,,,,,,,440000.0,,680000.0,,,,,935000.0,,,720000.0,,,573000.0,685000.0,605000.0,,,,,,,2600000.0,,,,,,665900.0,,,,,,,,,,675000.0,,,,,449000.0,,,,,,,,,,,,,,,,1850000.0,480000.0,,,,,,,,,636700.0,,,,,,,,,,1050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470000.0,570.0,,,,690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,,,,492000.0,,,,,,,,,1273000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855000.0,805000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649232.0
314000.0,,,,495000.0,471710.0,654350.0,,,,,,675000.0,608298.0,708736.0,,1260000.0,,,1005000.0,,945000.0,,669700.0,,572590.0,,,,,,,,,,,,,,840000.0,,,,,,,1300000.0,625000.0,385000.0,,,460000.0,,520000.0,,,627900.0,,,,,,,595000.0,,399000.0,,,,,,700000.0,,1360000.0,,,,,1150000.0,,,630000.0,785718.0,570.0,589140.0,269500.0,,,,,,,,,,,,370000.0,,,,,,,655000.0,,821927.0,568000.0,680000.0,,,,,,,,,595000.0,,,,,,,677245.0,,,,,285000.0,430000.0,,605000.0,429401.0,,,,,,,,,,,307500.0,,,718720.0,,,,,,,,,,,599000609000.0,,,,,,,,,,,622500.0,,,,,,,,,,,617000.0,,,,,,,,,,,,,,,796900.0,,,,,,,,,,913500.0,,,,,560000.0,,,,,,,,,,,,,,,,,525000.0,,,,,,,,,596200.0,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534681.0
400000.0,,,,607233.0,674900.0,606018.0,,,,,,,,665743.0,,,,,,,1200000.0,,535400.0,,959190.0,,,,,,,,,,,,,,735000.0,,,,,,,,440000.0,660000.0,,,795000.0,,,,,700900.0,,,,,,,625000.0,,,,,,,,805000.0,,1380000.0,,,,,1750000.0,,,525000.0,992500.0,570.0,673300.0,,,,,,,,,,,,,,,,,,,,715000.0,,787238.0,691000.0,525000.0,,,,,,,,,708000.0,,,,,,,456634.0,,,,,575000.0,,,525000.0,591176.0,,,,,,,,,,,,,,680182.0,,,,,,,,,,,499000.0,,,,,,,,,,,,,,,,,,,,,,554000.0,,,,,,,,,,,,,,,535900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000.0,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696846.0
460000.0,,,,613716.0,666900.0,662693.0,,,,,,,,666721.0,,,,,,,,,562900.0,,675000.0,,,,,,,,,,,,,,652500.0,,,,,,,,399000.0,465000.0,,,840.0,,,,,671900.0,,,,,,,580000.0,,,,,,,,,,,,,,,1650000.0,,,1365000.0,1325000.0,,640000.0,,,,,,,,,,,,,,,,,,,,,,529964.0,545000.0,,,,,,,,,,655000.0,,,,,,,765000.0,,,,,1575000.0,,,825000.0,470888.0,,,,,,,,,,,,,,587537.0,,,,,,,,,,,664304.0,,,,,,,,,,,,,,,,,,,,,,614000.0,,,,,,,,,,,,,,,587800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675432.0
350000380000.0,,,,556711.0,498400.0,529911.0,,,,,,,,635595.0,,,,,,,,,603100.0,,575000.0,,,,,,,,,,,,,,670000.0,,,,,,,,620000.0,570000.0,,,755000.0,,,,,772900.0,,,,,,,625000.0,,,,,,,,,,,,,,,373000.0,,,,,,251000.0,,,,,,,,,,,,,,,,,,,,,,411840.0,543000.0,,,,,,,,,,786187.0,,,,,,,765000.0,,,,,545000.0,,,,595888.0,,,,,,,,,,,,,,,,,,,,,,,,,600858.0,,,,,,,,,,,,,,,,,,,,,,497261.0,,,,,,,,,,,,,,,626348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705000.0,,,,631622.0,273900.0,564899.0,,,,,,,,739887.0,,,,,,,,,540500.0,,724871.0,,,,,,,,,,,,,,755000.0,,,,,,,,1850000.0,530000.0,,,,,,,,628900.0,,,,,,,775000.0,,,,,,,,,,,,,,,570000.0,,,,,,585850.0,,,,,,,,,,,,,,,,,,,,,,404040.0,693000.0,,,,,,,,,,610900.0,,,,,,,765000.0,,,,,399000.0,,,,473888.0,,,,,,,,,,,,,,,,,,,,,,,,,601950.0,,,,,,,,,,,,,,,,,,,,,,547500.0,,,,,,,,,,,,,,,496194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000.0,,,,522216.0,273900.0,,,,,,,,,575000.0,,,,,,,,,491650.0,,825000.0,,,,,,,,,,,,,,669000.0,,,,,,,,661873.0,543000.0,,,,,,,,553900.0,,,,,,,389000.0,,,,,,,,,,,,,,,2300000.0,,,,,,577887.0,,,,,,,,,,,,,,,,,,,,,,405480.0,505000.0,,,,,,,,,,530000.0,,,,,,,650000.0,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,717040.0,,,,,,,,,,,,,,,,,,,,,,595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
