wyndham_vale,officer_south,strathtulloh,tarneit,mickleham,wangaratta,yarrawonga,clayton,sunbury,shepparton,wollert,cobblebank,broadmeadows,melbourne,narre_warren_north,bundoora,campbellfield,mount_eliza,keysborough,ringwood_east,brooklyn,south_melbourne,docklands,fawkner,richmond,bentleigh,cranbourne_west,beulah,bendigo,east_melbourne,reservoir,berwick,hawthorn,croydon,jan_juc,endeavour_hills,preston,lascelles,glenroy,altona,kew,elsternwick,mccrae,langwarrin,mont_albert,golden_square,heidelberg_heights,mount_evelyn,benalla,keilor_east,hampton,frankston_south,port_melbourne,montmorency,greensborough,dingley_village,ascot_vale,point_cook,carnegie,manor_lakes,millgrove,rockbank,doreen,lake_tyers_beach,fawcett,surrey_hills,grovedale,spotswood,kyneton,blairgowrie,narre_warren_south,morwell,parkdale,crib_point,rosebud,footscray,mount_martha,frankston,kurunjang,gladstone_park,officer,donvale,bell_park,torquay,truganina,saint_albans_park,hastings,beaconsfield,altona_meadows,eaglehawk,drouin,brunswick_west,portarlington,leopold,doncaster_east,clifton_springs,inverloch,maribyrnong,diamond_creek,albanvale,wandin_east,point_lonsdale,clyde_north,ivanhoe,leongatha_south,thomastown,north_warrandyte,mooroolbark,jeparit,mooroopna,brunswick,eltham,newtown,st_kilda_east,strathfieldsaye,eltham_north,taylors_hill,essendon,chittering,rye,glen_iris,cranbourne_east,coburg,tecoma,sunshine_north,st_albans,prahran,mount_clear,summerlands,murrumbeena,clyde,croydon_south,doncaster,southbank,armstrong_creek,scarsdale,tanjil_south,eaglemont,doveton,mambourin,carrum,highett,templestowe,werribee,thalassery,bentleigh_east,portland,junction_village,hamilton,seaford,oak_park,templestowe_lower,thornbury,dandenong,fraser_rise,traralgon,kealba,buxton,pakenham,heywood,ararat,hampton_park,kalkallo,bonnie_brook,boorhaman,toorak,oakleigh_east,fitzroy_north,warrnambool,flora_hill,inglewood,skye,corryong,wy_yung,mornington,cranbourne_north,blackburn,redan,epsom,waurn_ponds,hensley_park,new_york,ballarat_central,mitcham,kangaroo_ground,wendouree,narre_warren,ormond,botanic_ridge,camberwell,jacana,vermont,warrandyte,mount_duneed,kilsyth,elwood,mulgrave,lake_gardens,burwood,williamstown,wallan,kilsyth_south,wodonga,kiewa,brunswick_east,glen_waverley,paynesville,collingwood,cremorne,rosanna,junortoun,corio,golden_beach,marysville,cowes,cheltenham,balaclava,cape_bridgewater,eastwood,burwood_east,carlton_north,cranbourne,lyndhurst,maidstone,bayswater_north,warrenheip,lilydale,wonthaggi,ringwood,mentone,carrum_downs,woodvale,curlewis,safety_beach,beaumaris,wantirna_south,gowangardie,yielima,indented_head,caulfield_south,mckinnon,west_wodonga,hoppers_crossing,balwyn_north,bealiba,mont_albert_north,bulleen,oakleigh_south,blackburn_north,south_morang,beveridge,ballan,ballarat_east,melton_west,wantirna,broadford,black_rock,newport,blackburn_south,brighton,seaholme,caulfield_north,caulfield,melton,patterson_lakes,yarra_glen,highton,springvale,stratford,mernda,south_yarra,bright,kilmore,moe,northcote,batesford,melton_south,scoresby,sunshine_west,avenel,belgrave_heights,wheelers_hill,heathmont,thornhill_park,yarragon,belmont,loch_sport,noble_park,frankston_north,roxburgh_park,tootgarook,healesville,weir_views,croydon_north,bagshot,rochester,altona_north,plumpton,tullamarine,heathcote,smythesdale,yallambie,sandringham,aspendale,panmure,cockatoo,west_bendigo,porepunkah,donnybrook,mount_waverley,ferntree_gully,yarraville,saint_andrews_beach,dallas,riddells_creek,newborough,black_hill,maryborough,lancefield,middle_park,braybrook,kangaroo_flat,tooradin,yambuk,deanside,moorabbin,moonee_ponds,oakleigh,kinglake,otterham,belgrave,invermay_park,kensington,bonshaw,malmsbury,boronia,maldon,tallangatta,horsham,mount_macedon,malvern_east,whittlesea,mansfield,samaria,cranbourne_south,mcmahons_creek,westmeadows,bamawm_extension,korumburra,boorolite,st_kilda,chiltern,imatra,dandenong_north,rainbow,delacombe,dromana,devon_north,south_kingsville,atrani,dinner_plain,murrayville,daylesford,coburg_north,carisbrook,pimpinio,hazeldene,woodend,kalimna,harcourt,cape_woolamai,wandong,mildura,birregurra,lalor,diggers_rest,north_wonthaggi,warragul,lara,sandhurst,stawell,maiden_gully,jackass_flat,edithvale,lakes_entrance,alphington,bayswater,san_francisco,airport_west,gisborne,charlemont,tatura,euroa,craigieburn,pascoe_vale,bonnie_doon,castlemaine,dutton_way,strathdale,buln_buln,attwood,strathmore,plenty,notting_hill,box_hill,bittern,panton_hill,noble_park_north,capel_sound,eskdale,katandra_west,west_melbourne,drumanure,heidelberg,glengarry,tarcombe,niddrie,delahey,harkaway,williamstown_north,maffra,beechworth,kinglake_west,north_bendigo,windsor,longwarry,cardross,coronet_bay,golden_point,teesdale,tawonga_south,drysdale,walkerville,loch,heatherton,arcadia_south,bruthen,numurkah,west_footscray,kerang,pascoe_vale_south
598300.0,611743.0,566455.0,706906.0,735993.0,534993.0,599785.0,749990.0,470159.0,329000.0,525602.0,550000.0,355000.0,800000.0,2047500.0,785000.0,829000.0,2487500.0,795000.0,1102500.0,1050000.0,551250.0,1085000.0,585000.0,510000.0,1100000.0,712500.0,99900.0,375000.0,525000.0,600000.0,812685.0,625000.0,378000.0,1650000.0,735000.0,870000.0,25000.0,765000.0,760000.0,537500.0,945000.0,922500.0,840000.0,2600000.0,472500.0,900000.0,5400000594000.0,200000.0,525000.0,990000.0,890000.0,880000.0,1350000.0,1275000.0,1000000.0,885000.0,559000.0,1525000.0,514440.0,319000.0,445000.0,840000.0,628440.0,544000.0,610000.0,724000.0,1450000.0,407500.0,1240000.0,624750.0,289500.0,407500.0,785000.0,110000.0,335000.0,1327500.0,682500.0,1299000.0,838500.0,987000.0,2300000.0,589000.0,940000.0,630000.0,435000.0,420000.0,985000.0,815000.0,345000.0,340000.0,280.0,705000.0,595000.0,555000.0,674000.0,1150000.0,550000.0,1025000.0,541155.0,1750000.0,1037500.0,535000.0,2250000.0,2000000.0,585000.0,840000.0,945000.0,17500059.0,698000.0,330000.0,1035000.0,1075000.0,892500.0,690000.0,2045000.0,1050000.0,681000.0,615000.0,1300000.0,395000.0,620.0,630000.0,735000.0,775000.0,850000.0,480000.0,335000.0,572.5,650000.0,580000.0,660000.0,504000.0,399000.0,874000.0,774000.0,1050000.0,605000.0,546000.0,620672.0,595000.0,725000.0,12.5,605000.0,670500.0,525000.0,800000.0,598500.0,325000.0,660000.0,670.0,11.5,1312500.0,630000.0,384900.0,365000.0,640000.0,679000.0,695000.0,345000.0,165000.0,510000.0,429990.0,400000.0,39500000.0,600000.0,1300000.0,1350000.0,25.0,510000.0,330000.0,735000.0,349000.0,549000.0,1100000.0,675000.0,875000.0,550000.0,572500.0,972000.0,550000.0,455000.0,499000.0,1200000.0,1875000.0,380000.0,615000.0,2350000.0,909900.0,899000.0,595.0,14.5,1200000.0,1187000.0,840000.0,725000.0,1200000.0,792500.0,1050000.0,875000.0,592000.0,1100000.0,240000.0,715000.0,1675000.0,1715000.0,465000.0,1750000.0,1050000.0,1620000.0,835000.0,470000.0,140000.0,1950000.0,899000.0,380000.0,655000.0,875000.0,540000.0,1300000.0,1250000.0,1495000.0,775000.0,805000.0,890000.0,540000.0,865000.0,395000.0,630000.0,1350000.0,552500.0,905000.0,725000.0,1400000.0,1935000.0,1005000.0,575943.0,542988.0,755000.0,605000.0,800000.0,1050000.0,367500.0,1440000.0,195000.0,1850000.0,12.5,860000.0,1250000.0,632500.0,620000.0,499000.0,287500.0,485000.0,945000.0,440000.0,1450000.0,790000.0,1365000.0,2600000.0,975000.0,675000.0,472500.0,459000.0,1312500.0,650000.0,815000.0,860000.0,415000.0,1150000.0,579000.0,1195000.0,580000.0,690000.0,2150000.0,1447500.0,418500.0,820000.0,665000.0,260000.0,830000.0,1155000.0,1260000.0,424900.0,349000.0,815000.0,602500.0,829500.0,620000.0,525000.0,1340000.0,720000.0,734450.0,900000.0,675000.0,160000.0,775000.0,370000.0,600000.0,315000.0,540000.0,1300000.0,775000.0,1450000.0,250000.0,825000.0,720000.0,840000.0,537800.0,1230000.0,985000.0,945000.0,30000003300000.0,465.0,925000.0,300000.0,620000.0,290000.0,586670.0,1650000.0,525000.0,325000.0,630000.0,197500.0,699511.0,910000.0,1100000.0,560000.0,136000.0,733295.0,740000.0,695190.0,580000.0,520810.0,485000.0,450000.0,614000.0,350000.0,189000.0,1750000.0,673900.0,580000.0,660000.0,395000.0,883390.0,294000.0,554500.0,650000.0,455000.0,945000.0,560000.0,910000.0,555052.0,1320000.0,34000.0,575200.0,1545000.0,675000.0,960.0,653190.0,211239000.0,180000.0,1260000.0,1225000.0,450000.0,567950.0,570000.0,11.0,165000.0,585000.0,655000.0,665000.0,346500.0,380000.0,548600.0,550000.0,349000.0,355000.0,349000.0,955000.0,189000.0,669360.0,795879.0,480000.0,355000.0,630000.0,630000.0,587000.0,925000.0,495000.0,673231.0,270000.0,340000.0,472500.0,645.0,945000.0,975000.0,310000.0,1007500.0,1150000.0,915000.0,922500.0,2310000.0,945000.0,300000.0,620000.0,1025000.0,735000.0,445000.0,525000.0,89000.0,592206.0,608955.0,17.5,980000.0,575000.0,1630000.0,525000.0,7750000.0,1295000.0,349000.0,579000.0,162750.0,560000.0,1250000.0,460000.0,509250.0,845000.0,695000.0,449000.0,1150000.0,565000.0,310000.0,510000.0,1150000.0,596000.0,245000.0,370000.0,625000.0,125000.0,1225000.0
479000.0,557348.0,614076.0,566195.0,738793.0,539880.0,564880.0,998900.0,426293.0,349000.0,870000.0,,,322500.0,,1250000.0,279000.0,1725000.0,840000.0,945000.0,925000.0,1048000.0,3450000.0,700000.0,,1175000.0,562500.0,,625000.0,,525000.0,919581.0,525000.0,2250000.0,,829500.0,1050000.0,,545.0,115.0,2520000.0,670000.0,,850000.0,,345000.0,714000.0,465000.0,148.5,,2200000.0,2079000.0,1499950.0,775000.0,495000.0,815000.0,535000.0,720000.0,892500.0,540790.0,,500000.0,504000.0,,,2075000.0,470000.0,,872000.0,840000.0,925000.0,450000.0,1750000.0,915000.0,770000.0,660000.0,1900000.0,625000.0,484000.0,735.0,585000.0,2100000.0,404000.0,950000.0,942888.0,,580000.0,755000.0,440000.0,,310000.0,575000.0,469000.0,,945000.0,,345000.0,925000.0,610000.0,630000.0,,,820100.0,2450000.0,,395000.0,,13.5,,23990.0,612500.0,1417500.0,815000.0,625000.0,630177.0,13.5,,5000000.0,,940000.0,605000.0,599700.0,475000.0,875000.0,,585000.0,135000.0,650000.0,572.5,840000.0,779500.0,,527000.0,545000.0,790352.0,,,,504000.0,622809.0,475000.0,,1207500.0,786516.0,,1890000.0,240000.0,620000.0,479000.0,1775000.0,,112.0,504000.0,577500.0,384900.0,479000.0,,,517500.0,,,679950.0,795000.0,456000.0,,,545000.0,,15.5,,,802500.0,,,2300000.0,550000.0,587500.0,,,999000.0,,,,767000.0,,455000.0,725000.0,1750000.0,696000.0,499950.0,504000.0,562000.0,1150000.0,722990.0,775000.0,655000.0,,,1875000.0,2600000.0,671000.0,,400000.0,,745000.0,580000.0,,640000.0,,1100000.0,911700.0,,7350000.0,,1100000.0,575000.0,2500000.0,900000.0,785000.0,,,640000.0,774500.0,1035000.0,,,625000.0,1250000.0,710000.0,775000.0,565000.0,,720000.0,955000.0,,,580611.0,540922.0,,1200000.0,,325000.0,552500.0,,250000.0,1550000.0,,,,622500.0,542940.0,,717500.0,,,,,1100000.0,600755.0,549500.0,,,,,880000.0,,630000.0,,,,3520000.0,,543425.0,,2025000.0,,455000.0,,790000.0,150750.0,,,150.0,424900.0,,524000.0,410000.0,787500.0,590000.0,,992500.0,,,12.5,,220000.0,,,514500.0,695000.0,,,1050000.0,,,,,375000.0,588800.0,1150000.0,,925000.0,,510000.0,,,1023750.0,,,,930000.0,412500.0,,,677702.0,,380000.0,560000.0,,,,,855000.0,543000.0,,660000.0,,,450000.0,2800000.0,620000.0,,525000.0,,910959.0,,,,,,310000.0,,,915000.0,,532520.0,1037500.0,,,769190.0,,,,,,,335000.0,,,,,,,,,516000.0,739000.0,710000.0,531528.0,,,675000.0,,,850000.0,590000.0,920000.0,545378.0,,475000.0,535967.0,,600000.0,399000.0,1025000.0,,,330000.0,1007500.0,,,,,,,,,,,,,,,,,,,,,1245000.0,,,,,,,,,,,,,,,,,,,,,
500000.0,583948.0,588280.0,655000.0,676000.0,463172.0,558185.0,960000.0,360000.0,329000.0,600000.0,,,735000.0,,767500.0,,1687500.0,910000.0,,,,810000.0,572500.0,,659000.0,545000.0,,,,525000.0,930000.0,625000.0,630000.0,,,772500.0,,600000.0,,720000.0,,,787500.0,,560000.0,,709500.0,154000.0,,,997500.0,15.5,,1887500.0,747500.0,,773483.0,850000.0,771795.0,,,1015000.0,,,,780000.0,,1250000.0,1417500.0,1200000.0,300000.0,695000.0,932500.0,720000.0,512500.0,,690000.0,559000.0,,704421.0,11.5,,785000.0,760000.0,,995000.0,,,,280000.0,420000.0,,,1415000.0,,995000.0,,,,,,886800.0,,,,,725000.0,,375000.0,990000.0,1155000.0,,,302500.0,,,565000.0,,815000.0,405000.0,525000.0,972.5,,,385000.0,135000.0,,607.5,275000.0,689000.0,,1250000.0,357500.0,665500.0,,,,598500.0,626436.0,,,765000.0,505000.0,,,405000.0,620000.0,375000.0,,,140.0,950000.0,270000290000.0,642177.0,369000.0,,,575000.0,,,630000.0,531400.0,573750.0,,,,,1800000.0,,,,,,1345000.0,500000.0,,,,,,,,1450000.0,,,,,886000.0,399000.0,,,,662513.0,,725000.0,,,,17.0,566000.0,,,,449000.0,,,560000.0,,1075000.0,815900.0,,,,700000.0,605000.0,410000.0,,770000.0,,,487000.0,,430000.0,,,,,547500.0,440000.0,627499.5,,,6250000.0,,,562855.0,,,1890000.0,,,,,,,,,,,521775.0,,,,,,,,,699500.0,,,,,,,,,,,1495000.0,,527445.0,,610000.0,,400000.0,,,148500.0,,,,601000.0,,,,,,,,,,,,,,,,,,,715000.0,,,,,,586300.0,,,,,,,,,,,,,,,,660000.0,,,660000.0,,,,,,,,483000.0,,,,,725000.0,,665000.0,,774596.0,,,,,,,,,,,610049.0,855000.0,,,,,,,,,,,,,,,,,,,590250.0,,,681076.0,,,,,,895000.0,,,,,695000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895000.0,,,,,,,,,,,,,,,,,,,,,
420000.0,687548.0,584162.0,134.0,325000.0,670000.0,599580.0,552900.0,705000.0,364500.0,405000.0,,,465000.0,,,,1115000.0,960000.0,,,,1139000.0,,,,900000.0,,,,735000.0,625000.0,477500.0,840000.0,,,1250000.0,,525000.0,,,,,1200000.0,,,,,550000.0,,,847500.0,545000.0,,1470000.0,950000.0,,804670.0,530000.0,614685.0,,,835000.0,,,,,,,,934500.0,,1720000.0,,,,,480000.0,459000.0,,840000.0,,,780000.0,575000.0,,550000600000.0,,,,340000.0,,,,1050000.0,,,,,,,,895291.0,,,,,,,195000.0,,1350000.0,,,,,,1550000.0,,1207500.0,307500.0,,1155000.0,,,,315000.0,,507.5,1600000.0,558000.0,,10200001120000.0,,464900.0,,,,545000.0,625950.0,,,1974000.0,615000.0,,,140000.0,620000.0,145000.0,,,,,840000.0,559582.0,,,,575000.0,,,765000.0,536600.0,,,,,,1140000.0,,,,,,1350000.0,755000.0,,,,,,,,315000.0,,,,,933300.0,,,,,753621.0,,665000.0,,,,1625000.0,498000.0,,,,395000.0,,,,,657605.0,680419.0,,,,849000.0,1250000.0,,,,,,,,1100000.0,,,,,575000.0,,,,,995000.0,,,,,,1925000.0,,,,,,,,,,,,,,,,,,,,2625000.0,,,,,,,,,,,670000.0,,517108.0,,945000.0,,585000.0,,,,,,,607000.0,,,,,,,,,,,,,,,,,,,1875000.0,,,,,,580200.0,,,,,,,,,,,,,,,,724059.0,,,,,,,,,,,,,,,,450000.0,,,,,,,,,,,,,,,563265.0,660000.0,,,,,,,,,,,,,,,,,,,546200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662500.0,618043.0,620436.0,430950.0,773893.0,520480.0,618980.0,420000.0,492636.0,399000.0,629000.0,,,525000.0,,,,,1015000.0,,,,780000.0,,,,,,,,535000.0,4200000.0,2695000.0,760000.0,,,472500.0,,,,,,,599480.0,,,,,,,,,700000.0,,,,,586100.0,705000.0,581776.0,,,585000.0,,,,,,,,1365000.0,,,,,,,612500.0,,,429950.0,,,,774400.0,,,,,,380000.0,,,,915000.0,,,,,,,,574000.0,,,,,,,200000.0,,1450000.0,,,,,,1575000.0,,2200000.0,,,,,,,,,,,556700.0,,716700.0,,444900.0,,,,735000.0,592595.0,,,,451310.0,,,400000.0,595500.0,,,,,,,640062.0,,,,620000.0,,,620000.0,685100.0,,,,,,,,,,,,525000.0,,,,,,,,,554000.0,,,,,861390.0,,,,,,,,,,,,508000.0,,,,,,,,,1250000.0,,,,,,1350000.0,,,,,,,,630344.0,,,,,775000.0,,,,,622500.0,,,,,,10800000.0,,,,,,,,,,,,,,,,,,,,840000.0,,,,,,,,,,,600000.0,,559858.0,,,,,,,,,,,702500.0,,,,,,,,,,,,,,,,,,,,,,,,,698802.0,,,,,,,,,,,,,,,,630000.0,,,,,,,,,,,,,,,,1060000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750000.0,,567355.0,504000.0,771293.0,540985.0,,408900.0,584596.0,370000.0,659000.0,,,480000.0,,,,,945000.0,,,,407500.0,,,,,,,,,860000.0,430000.0,930000.0,,,590000.0,,,,,,,292500.0,,,,,,,,,779000.0,,,,,800000.0,375000.0,,,,820000.0,,,,,,,,,,,,,,,677000.0,,,567000.0,,,,650700.0,,,,,,,,,,,,,,,,,,794100.0,,,,,,,670000.0,,,,,,,,315000.0,,850000.0,,,,,,,,,,,748391.0,,16500001750000.0,,815000.0,,,,545000.0,542400.0,,,,554495.0,,,,495000.0,,,,,,,710000.0,,,,615000.0,,,,700500.0,,,,,,,,,,,,3675000.0,,,,,,,,,595000.0,,,,,985300.0,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,1365000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883800.0,,644755.0,482995.0,618576.0,453260.0,,1150000.0,760000.0,,749280.0,,,1083000.0,,,,,1400000.0,,,,459000.0,,,,,,,,,755000.0,,700000.0,,,,,,,,,,995000.0,,,,,,,,,,,,,,725000.0,1640000.0,,,,,,,,,,,,,,,,,,,412000.0,,,490000.0,,,,580055.0,,,,,,,,,,,,,,,,,,1032810.0,,,,,,,412260.0,,,,,,,,350000.0,,,,,,,,,,,,,604171.0,,,,444900.0,,,,,627390.0,,,,405000.0,,,,787500.0,,,,,,,523500.0,,,,727500.0,,,,,,,,,,,,,,,,1930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,457000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560000.0,,,819999.0,637425.0,464960.0,,,655000.0,,664185.0,,,445000.0,,,,,975000.0,,,,698000.0,,,,,,,,,899500.0,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,602500.0,,,,,,,,,,,,,,,,,,,870000.0,,,690000.0,,,,631585.0,,,,,,,,,,,,,,,,,,1006010.0,,,,,,,,,,,,,,,389000.0,,,,,,,,,,,,,519814.0,,,,444900.0,,,,,525299.0,,,,474800.0,,,,642820.0,,,,,,,630598.0,,,,681713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550000.0,,,660880.0,,439442.0,,,600000.0,,637661.0,,,1241000.0,,,,,1690000.0,,,,705600.0,,,,,,,,,802515.0,,615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767500.0,,,656500.0,,,,674390.0,,,,,,,,,,,,,,,,,,911980.0,,,,,,,,,,,,,,,301500.0,,,,,,,,,,,,,702900.0,,,,855000.0,,,,,493800.0,,,,477495.0,,,,642460.0,,,,,,,445995.0,,,,566500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,617426.0,,,,,525000.0,,383950.0,,,391500.0,,,,,,,,,870000.0,,,,,,,,,709745.0,,976500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795291.0,,,,753000.0,,,,,,,,,,,,,,,,,,793300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,707900.0,,,,471658.0,,,,,716013.0,,,,418000.0,,,,542600.0,,,,,,,500400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
