mambourin,wollert,docklands,armstrong_creek,clyde_north,mickleham,melbourne,tarneit,whittlesea,clunes,broadmeadows,cranbourne_east,craigieburn,glen_alvie,pakenham,sunbury,torquay,doncaster_east,smythes_creek,keilor_downs,brunswick_east,mernda,hawthorn,keysborough,simpson,canterbury,essendon,carnegie,glenroy,parkville,dandenong,kensington,lower_plenty,melton_south,clayton,mentone,ascot_vale,mitcham,langwarrin,bonbeach,wyndham_vale,caulfield_east,stratford,point_cook,north_melbourne,dingley_village,junortoun,toongabbie,mckinnon,templestowe,patterson_lakes,viewbank,eltham,frankston,brighton_east,doreen,east_melbourne,officer,caulfield_south,jacana,lakes_entrance,rosanna,ivanhoe,darley,castlemaine,lara,mount_martha,croydon,sailors_gully,ringwood_east,mount_waverley,traralgon,elliminyt,blackburn_north,numurkah,rockbank,cobram,plumpton,eppalock,donnybrook,geelong_west,ballarat_east,nunawading,mount_evelyn,thornhill_park,rowville,kalkallo,narre_warren,wallan,glen_iris,box_hill_north,kennington,bairnsdale,beveridge,east_bendigo,watsonia_north,rushworth,white_hills,doveton,truganina,rye,newport,ferntree_gully,burwood,fraser_rise,wendouree,altona,blackburn_south,logan,san_francisco,wangaratta,coburg_north,leopold,cranbourne_north,melton_west,bundoora,campbellfield,paradise_beach,brown_hill,bacchus_marsh,newtown,cranbourne,southbank,moorabbin,south_kingsville,taylors_lakes,doncaster,reservoir,timor,roxburgh_park,melton,gladstone_park,cranbourne_south,colac,carrum_downs,st_kilda_east,panton_hill,belmont,grovedale,highton,essendon_north,mordialloc,mornington,bridgewater_township,leongatha,richmond,montmorency,horsham,kerang,curlewis,wonthaggi,broadford,greensborough,maidstone,elwood,strathfieldsaye,banyan,durham_lead,fitzroy,the_patch,eaglehawk,botanic_ridge,mildura,lysterfield,hawthorn_east,strathtulloh,croydon_hills,narre_warren_south,bulleen,clyde,coronet_bay,hamlyn_heights,alfredton,herne_hill,footscray,hastings,paynesville,loch_sport,ringwood,huntly,croydon_south,rosebud,brunswick_west,templestowe_lower,coburg,oakleigh_east,bentleigh_east,lake_tyers_beach,donvale,charlemont,flemington,burwood_east,werribee,st_kilda,california_gully,terang,mooroopna,parkdale,ocean_grove,neilrex,golden_square,tarrawingee,abbotsford,mount_helen,yarraville,linton,surrey_hills,kalimna,williamstown,dromana,jan_juc,saint_leonards,long_gully,endeavour_hills,somerville,mont_albert,beaumaris,hoppers_crossing,laverton,mount_duneed,meadow_heights,carrum,moonee_ponds,boronia,diggers_rest,caulfield_north,port_melbourne,oakleigh,keilor_east,lalor,elmore,sale,moe,epsom,mooroolbark,bayswater,lovely_banks,cobblebank,sarsfield,harkness,mulgrave,berwick,shepparton,belgrave_south,yinnar_south,preston,warragul,airport_west,ardeer,weir_views,saint_arnaud,noble_park,diamond_creek,cann_river,summerlands,blackburn,yarram,kilmore,silverleaves,maribyrnong,avondale_heights,bell_park,thornbury,sassafras,camberwell,kew,tyabb,echuca_village,forest_hill,chelsea_heights,clifton_springs,lilydale,tullamarine,point_lonsdale,hamilton,mccrae,seaford,west_wodonga,coffeyville,caulfield,frankston_south,kaniva,dandenong_north,samaria,cranbourne_west,edithvale,north_warrandyte,mount_clear,carlton,bridgewater,fitzroy_north,bayswater_north,nerrina,jackass_flat,wodonga,ormond,yarra_junction,beaconsfield,hepburn_springs,moolap,campbelltown,fawkner,corio,kew_east,pascoe_vale_south,warburton,clayton_south,ivanhoe_east,jindivick,nerrena,hillside,malvern_east,west_footscray,wandin_north,irymple,dimboola,st_albans,bendigo,junction_village,safety_beach,the_basin,beaconsfield_upper,eaglemont,ballarat_central,maffra,ballan,south_yarra,riddells_creek,windsor,deanside,beechworth,braybrook,manor_lakes,officer_south,palm_beach,eastwood,lyndhurst,caroline_springs,romsey,hurstbridge,portland,kalorama,macedon,new_gisborne,chelsea,chadstone,stawell,keilor,trentham,mount_egerton,lorne,eltham_north,garfield,frankston_north,nicholson,heyfield,clarinda,flora_hill,kangaroo_flat,lethbridge,glen_waverley,northcote,yarrawonga,mallacoota,golden_beach,lismore,derrinallum,hampton,mirboo_north,herford,girgarre,rippleside,tulloona,yarrambat,murtoa,collingwood,hampton_park,pascoe_vale,altona_meadows,armadale,moonambel,wy_yung,drouin,thomastown,fumina,park_orchards,knoxfield,alphington,everton,elmhurst,brunswick,mansfield,tongala,dalyston,bonnie_doon,murrumbeena,pranjip,chesney_vale,inverloch,connewarre,geelong,inglewood,coleraine,dennington,brighton,boolarra,metung,brookfield,briar_hill,kilmany,bemm_river,kinglake,wantirna_south,gembrook,benalla,corryong,cowes,creswick_north,milawa,murchison,cheltenham,woodstock,yallourn_north,bannockburn,warrnambool,chintin,brooklyn,strathmore,taggerty,crib_point,myrtleford,venus_bay
578100.0,553000.0,459000.0,548285.0,623943.0,527848.0,760350.0,599000.0,2900000.0,200000220000.0,620000.0,585000.0,595000.0,899000.0,665000.0,1015000.0,1450000.0,875000.0,280000.0,315000.0,775000.0,600000.0,736000.0,953000.0,400000.0,840000.0,517500.0,495000.0,570.0,339000.0,407500.0,1150000.0,1890000.0,485000.0,408900.0,1100000.0,385000.0,575000.0,825000.0,647500.0,660000.0,287500.0,250000.0,567500.0,940000.0,997500.0,749000.0,598000.0,500000.0,163.0,550000.0,1200000.0,1515000.0,665000.0,1825000.0,635000.0,825000.0,595000.0,2300000.0,575000.0,200000200000.0,800000.0,549000.0,560685.0,767000.0,550000.0,819000.0,925000.0,307500.0,420000.0,113.0,425000.0,420000.0,905000.0,795000.0,501345.0,434449.0,535891.0,662629.0,676000.0,984000.0,379000.0,630000.0,1250000.0,612000.0,997500.0,525000.0,995000.0,565600.0,2688000.0,1400000.0,799000.0,325000.0,561000.0,685000.0,1312500.0,285000.0,325000.0,680000.0,706000.0,765000.0,1650000.0,890000.0,1350000.0,862000.0,345000.0,995000.0,160.0,249000.0,485000.0,450000.0,840000.0,600000.0,840000.0,829000.0,840000.0,575000.0,90000.0,402500.0,500000.0,1600000.0,514500.0,580000.0,1350000.0,500000.0,920000.0,1200000.0,672500.0,199000.0,605.0,579780.0,700.0,910000.0,495000.0,512500.0,587500.0,1500000.0,644000.0,525000.0,925000.0,349000.0,975000.0,720000.0,470000.0,575000.0,1650000.0,775000.0,659000.0,4700000.0,600000.0,599000.0,640000.0,1060000.0,645000.0,650000.0,650000.0,599500.0,1200000.0,246750.0,599937.0,349500.0,652500.0,525000.0,528800.0,288000.0,469000.0,1200000.0,934500.0,70.5,635900.0,550000.0,717500.0,349900.0,415000.0,287500.0,629000.0,350000.0,499000.0,505000.0,518981.0,945000.0,1450000.0,550.0,130.0,1365000.0,1149000.0,535000.0,397500.0,11.5,662755.0,480000.0,1100000.0,490000.0,510000.0,450000.0,410000.0,320000.0,1325000.0,997500.0,580.0,517000.0,850000.0,420000.0,720000.0,1300000.0,200000.0,880000.0,610000.0,1800000.0,945000.0,925000.0,754000.0,402500.0,805000.0,597500.0,3885000.0,1400000.0,595000.0,510000.0,624000.0,462500.0,907500.0,965000.0,787500.0,590070.0,735000.0,525000.0,649000.0,1550000.0,588000.0,340000.0,960000.0,370000.0,582500.0,1125000.0,540000.0,1740000.0,730000.0,229000.0,606000.0,770000.0,1150000.0,509000.0,810000.0,775000.0,900000.0,1100000.0,910000.0,615000.0,629500.0,585000.0,483000.0,925000.0,539000.0,615.0,660000.0,135000.0,655000.0,1100000.0,480000.0,892500.0,760000.0,1400000.0,2890000.0,532.5,1207500.0,720000.0,715000.0,720000.0,1100000.0,720000.0,765000.0,555000.0,1130000.0,249000.0,825000.0,870000.0,425000.0,850.0,710000.0,915000.0,160000.0,860000.0,395000.0,615000.0,740000.0,1350000.0,365000.0,514500.0,875000.0,1150000.0,825000.0,900000.0,630000.0,545000.0,605000.0,1850000.0,525000.0,895000.0,409000.0,120000.0,745000.0,384000.0,650000.0,1260000.0,1438500.0,955000.0,1290000.0,690.0,895000.0,915000.0,1230000.0,1075000.0,717500.0,169000.0,45000.0,665000.0,1750000.0,738270.0,860000.0,995000.0,7545000.0,3725000.0,1100000.0,305000.0,272600.0,415000.0,1650000.0,485000.0,589308.0,870000.0,825000.0,539900.0,632100.0,866081.0,530000.0,630000.0,930000.0,795000.0,1100000.0,169000.0,1459500.0,3775000.0,870000.0,585000.0,735000.0,549000.0,1125000.0,1025000.0,398000.0,4200000.0,468957.0,425000.0,585000.0,292500.0,479000.0,805000.0,602132.0,684133.0,1244105.0,1260000.0,667685.0,535490.0,725000.0,220000.0,95000.0,159990.0,1175000.0,575000.0,572300.0,562500.0,1170000.0,634281.0,2300000.0,215000.0,1250000.0,570000.0,1350000.0,475000.0,760000.0,495000.0,335000.0,569950.0,372500.0,150000.0,350.0,815000.0,1250000.0,397500.0,160000.0,1050000.0,840000.0,314000.0,477300.0,250000.0,1800000.0,930000.0,1202500.0,1100000.0,1050000.0,558000608000.0,440000.0,250000.0,600000.0,840000.0,220000.0,925000.0,804000.0,915000.0,199000.0,189000.0,1027500.0,460000.0,975000.0,185000.0,512500.0,1015000.0,180000.0,660000.0,365000.0,607500.0,546900.0,390000.0,739000.0,720000.0,1800000.0,840000.0,910000.0,892500.0,525000.0,900000.0,515000.0
,641000.0,698000.0,615000.0,612148.0,572000.0,593600.0,535200.0,787500.0,,,646760.0,525000.0,899000.0,667500.0,631526.0,275000.0,1470000.0,273000.0,,1300000.0,510000.0,650000.0,1205000.0,,,1800000.0,1800000.0,875000.0,1100000.0,625000.0,,640000.0,399000.0,576900.0,3700000.0,915000.0,1400000.0,1245000.0,,522000.0,297500.0,,700000.0,1125000.0,1590000.0,,,,130.0,,960000.0,675000.0,745000.0,1925000.0,518335.0,,680900.0,1750000.0,,415000.0,,200.0,,595000.0,565000.0,2940000.0,925000.0,,,1500000.0,485000.0,895000.0,995000.0,,598744.0,425436.0,528660.0,615412.0,599041.0,,479000.0,825000.0,1230000.0,719500.0,,382500.0,770000.0,563100.0,1719000.0,,440000.0,359000.0,662000.0,,820000.0,,490000.0,577500.0,504500.0,840000.0,1540000.0,945000.0,845000.0,678000.0,355000.0,1450000.0,1100000.0,,,499000.0,,435000.0,705000.0,595000.0,1290000.0,,,405000.0,543880.0,1100000.0,635000.0,642500.0,,,760000.0,14500001550000.0,875000.0,,625000.0,,715.0,,,,325000.0,,745000.0,,645000.0,,1350000.0,550000.0,,470000.0,,,479000.0,,700000.0,729000.0,800000.0,675000.0,,1050000.0,370000.0,,,,558353.0,,892400.0,,799830.0,2695000.0,597000.0,,800000.0,16.5,638462.0,550000.0,664000.0,830000.0,384000.0,670000.0,200000.0,,,570000.0,,,824500.0,499950.0,825000.0,650000.0,,825000.0,,,482803.0,380000.0,,436700.0,710000.0,427500.0,,419360.0,1245000.0,679500.0,580.0,695000.0,,728000.0,,,,,440000.0,960000.0,960000.0,,625000.0,385000.0,,,,,950000.0,535000.0,,,875000.0,1300000.0,660000.0,623860.0,630000.0,485000.0,,1150000.0,350000.0,,570000.0,225000.0,,,920000.0,,,,,,960000.0,400000.0,,,,1042500.0,915000.0,,,70000.0,,,,567.5,1750000.0,,597898.0,,,745000.0,840000.0,,,,,,,,,832500.0,950000.0,,,,,605000.0,506193.0,550.0,,1365000.0,,725000.0,,,,,659000.0,525000.0,,,,,645337.0,629000.0,,,512110.0,1150000.0,700000.0,,850000.0,550000.0,,,925000.0,890000.0,752700.0,,,,525000.0,,,,,,,788270.0,1015000.0,,,,,,,345000.0,,,610000630000.0,,,536741.0,630800.0,,,555000.0,605000.0,755000.0,,395000.0,,,,,,,,,650000.0,,945000.0,,,,,,,603445.0,,883000.0,,,,130000.0,,,,,,,,,,,,610000.0,,,,,529000.0,,,,,,,,,815000.0,1150000.0,,,,,,,995000.0,,420000.0,,49000.0,,,,595000.0,605000.0,,,,,,,,,,,,,,447585.0,,,,,,,,,,
,676000.0,705600.0,539025.0,605000.0,784000.0,516000.0,629850.0,2750000.0,,,567.5,810000.0,,545000.0,725859.0,290000.0,1365000.0,282000.0,,345000.0,472500.0,534000.0,1018500.0,,,1050000.0,1750000.0,735000.0,345000.0,380000.0,,822500.0,564000.0,499900.0,355000.0,965000.0,,,,460000.0,892500.0,,925000.0,220000.0,1150000.0,,,,,,,955000.0,450000.0,,1210000.0,,751800.0,2100000.0,,,,,,1065000.0,624000.0,1500000.0,922500.0,,,,449000.0,,,,559000.0,426582.0,,,652900.0,,,91.5,822500.0,621000.0,,599100.0,940000.0,1475000.0,983000.0,,,330000.0,610020.0,,,,,,805300.0,1005000.0,965000.0,,,735000.0,405000.0,,1300000.0,,,310000.0,,712500.0,715000.0,419000.0,680000.0,,,,290000.0,,469950.0,525000.0,,,824000.0,18800002050000.0,1350000.0,,630000.0,,,,,,650000.0,,589000.0,,505000.0,,622500.0,1432500.0,,430000.0,,,219000.0,,,615000.0,571729.0,875000.0,,795000.0,668948.0,,,,510494.0,,732900.0,,,,581000.0,,724500.0,,682824.0,,335000.0,760000.0,,935000.0,830000.0,,,467000.0,,,760000.0,311000.0,735000.0,350000.0,,1700000.0,,,662755.0,1975000.0,,555000.0,625000.0,,,455885.0,,,580.0,269000.0,,,,,,,,,,,610000.0,,,,,,570000.0,,,,,470000.0,1785000.0,,2900000.0,,,650000.0,350000.0,,599000.0,315000.0,,,395000.0,,,,,,636720.0,400000.0,,,,890000.0,1050000.0,,,,,,,567.5,,,587866.0,,,,,,,,,,,,,775000.0,829500.0,,,,,,549000.0,,,,,499957.0,,,,,,,,,,,,,,,524810.0,,,,,,,,,880000.0,1400000.0,,,,640000.0,,,,,,,767800.0,23.0,,,,,,,2425000.0,,,,,,515135.0,711800.0,,,1050000.0,,,,410000.0,,,,,,,,,,,,,,,,,,,,590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559385.0,,,,,,,,,,
,756000.0,800000.0,416705.0,589000.0,680000.0,515600.0,629271.0,820000.0,,,567.5,,,525000.0,773175.0,275000.0,1550000.0,935000.0,,905000.0,787500.0,380000.0,805000.0,,,3700000.0,1700000.0,675000.0,,560000.0,,,564000.0,530000.0,539000.0,1675000.0,,,,479000.0,,,950000.0,,922500.0,,,,,,,,661500.0,,625000.0,,684874.0,,,,,,,720000.0,,1260000.0,,,,,360000.0,,,,493000.0,423381.0,,,739940.0,,,,,486900.0,,,,890000.0,650000.0,,,,806791.0,,,,,,551000.0,,1005000.0,,,642756.0,,,,,,469000.0,,640000.0,675000.0,,785000.0,,,,,,470000.0,700000.0,,,,1260000.0,905000.0,,,,,,,,890000.0,,,,815000.0,,630000.0,1600000.0,,,,,699000.0,,,539000.0,415000.0,,,,,,,,,,831300.0,,,,760000.0,,1018500.0,,461900.0,,,,,865000.0,,,,447000.0,,,945000.0,,,553000.0,,,,,482803.0,,,740000.0,1417500.0,,,410000.0,,,620.0,,,,,,,,,,,,,,,,,,570000.0,,,,,,,,1890000.0,,,,595100.0,,,,,,,,,,,,915000.0,,,,,,,,,,,,,637.5,,,1060000.0,,,,,,,,,,,,,,619500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519890.0,,,,,,,,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599500.0,670000.0,576000.0,787800.0,710000.0,514400.0,568065.0,775000.0,,,567.5,,,860000.0,646980.0,1217500.0,1320000.0,,,,,,,,,1925000.0,180.0,1150000.0,,397500.0,,,389000.0,,,,,,,485000.0,,,1400000.0,,,,,,,,,,825000.0,,515000.0,,624800.0,,,,,,,,,990000.0,,,,,,,,,616220.0,403037.0,,,642402.0,,,,,476900.0,,,,600000.0,492000.0,,,,678028.0,,,,,,885000.0,,2047500.0,,,618000.0,,,,,,,,,869500.0,,,,,,,,860000.0,624000.0,,,,14.5,745000.0,,,,,,,,665000.0,,,,,,,,,,,,,,,,,,,,,,,,,,850300.0,,,,,,765000.0,,661774.0,,,,,895000.0,,,,437000.0,,,,,,613000.0,,,,,,,,536368.0,395000.0,,,,,,605.0,,,,,,,,,,,,,,,,,,275000.0,,,,,,,,740000.0,,,,624916.0,,,,,,,,,,,,285000.0,,,,,,,,,,,,,607.5,,,650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,782000.0,870000.0,519520.0,644400.0,493110.0,623200.0,662900.0,,,,620.0,,,502500.0,740000.0,1150000.0,,,,,,,,,,,635000.0,,,545000.0,,,662000.0,,,,,,,575000.0,,,515000.0,,,,,,,,,,727500.0,,653900.0,,650800.0,,,,,,,,,1895000.0,,,,,,,,,531000.0,408430.0,,,645010.0,,,,,,,,,425000.0,,,,,559213.0,,,,,,997500.0,,1240000.0,,,691000.0,,,,,,,,,,,,,,,,,,770000.0,,,,,650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834300.0,,,,,,800000.0,,,,,,,560000.0,,,,682500.0,,,,,,,,,,,,,,439500.0,441110.0,,,,,,605.0,,,,,,,,,,,,,,,,,,675000.0,,,,,,,,,,,,,,,,,,,,,,,,280000.0,,,,,,,,,,,,,607.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,835000.0,442500.0,516380.0,1000000.0,,816800.0,752000.0,,,,572.5,,,555000.0,715600.0,,,,,,,,,,,,,,,499000.0,,,540500.0,,,,,,,498500508500.0,,,1215000.0,,,,,,,,,,460000.0,,710000.0,,649690.0,,,,,,,,,727500.0,,,,,,,,,468110.0,340000.0,,,736215.0,,,,,,,,,235000.0,,,,,525000.0,,,,,,580416.0,,,,,678000.0,,,,,,,,,,,,,,,,,,570000.0,,,,,370000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836300.0,,,,,,,,,,,,,295000.0,,,,590000.0,,,,,,,,,,,,,,413924.0,3150000.0,,,,,,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775800.0,,,,,,,,,,,,,607.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,575000.0,780000.0,624000.0,850.0,,748800.0,651000.0,,,,572.5,,,420000.0,825000.0,,,,,,,,,,,,,,,735000.0,,,530500.0,,,,,,,520500570200.0,,,699000.0,,,,,,,,,,577500.0,,700000.0,,705325.0,,,,,,,,,,,,,,,,,,388510.0,,,,584972.0,,,,,,,,,563300.0,,,,,645000.0,,,,,,512500.0,,,,,611000.0,,,,,,,,,,,,,,,,,,588000.0,,,,,514500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312500.0,,,,,,,,,,,,,,,,,690000.0,,,,,,,,,,,,,,464437.0,620000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,590000.0,,665000.0,696498.0,,915000.0,652344.0,,,,620000.0,,,661500.0,590050.0,,,,,,,,,,,,,,,370000.0,,,508700.0,,,,,,,515000.0,,,727500.0,,,,,,,,,,,,,,691875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569300.0,,,,,,,,,,,490836.0,,,,,591000.0,,,,,,,,,,,,,,,,,,1050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873041.0,,,,,,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,819690.0,,444900.0,585948.0,,290000.0,325000.0,,,,719000.0,,,680000.0,585162.0,,,,,,,,,,,,,,,,,,609000.0,,,,,,,579400.0,,,,,,,,,,,,,,,,,719155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571700.0,,,,,693000.0,,,,,,,,,,,,,,,,,,1677000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
