mickleham,werribee,mill_park,dandenong_north,braybrook,melton,point_cook,clyde,bairnsdale,strathtulloh,kilmore,seaford,bentleigh_east,coronet_bay,hurstbridge,south_melbourne,broadford,hampton_park,whittlesea,glenroy,bendigo,docklands,blackburn,corinella,doncaster,lakes_entrance,clayton,waldara,golden_square,berwick,frankston,frankston_south,fawkner,mount_martha,hampton,armstrong_creek,ocean_grove,ashwood,nunawading,prahran,caulfield_north,wattle_bank,mansfield,doncaster_east,st_albans,fitzroy,clyde_north,blairgowrie,langwarrin,box_hill,mount_eliza,aberfeldie,melbourne,lower_plenty,sunbury,traralgon,burwood_east,cockatoo,essendon,greensborough,albion,somers,greenvale,carlton,narre_warren_south,diamond_creek,carnegie,keilor_park,sandringham,wantirna_south,hawthorn_east,bundoora,southbank,eltham,strathfieldsaye,paradise_beach,warrnambool,north_warrandyte,spring_gully,box_hill_south,tarneit,cranbourne_west,heathcote_junction,drouin,north_melbourne,torquay,iona,portarlington,narre_warren,altona,leopold,cranbourne_east,cape_town,quarry_hill,chewton,coburg,epsom,irymple,mentone,brunswick,officer,parkdale,hawthorn,rhyll,rowville,heathmont,mornington,california_gully,wangaratta,golden_point,ivanhoe,longwarry,doreen,wandiligong,canadian,dandenong,pascoe_vale,pakenham,highton,eaglemont,ballarat_central,wonthaggi,abbotsford,rockbank,balaclava,chelsea,craigieburn,endeavour_hills,tatura,clifton_springs,inverloch,keysborough,highett,croydon,templestowe_lower,mulgrave,blackburn_north,woodside,glengarry,port_albert,newtown,north_bendigo,cheltenham,swan_reach,mordialloc,meadow_heights,cape_bridgewater,hastings,portland,sydenham,belgrave_south,rochford,aspendale,bayswater,cranbourne_north,manor_lakes,keilor_east,noble_park,cranbourne,chanute,brunswick_west,wallan,maldon,northcote,warragul,kevington,the_patch,leongatha,warranwood,carlton_north,woodend,kangaroo_flat,warrandyte,breakwater,darley,hamlyn_heights,doveton,olinda,st_kilda_east,malvern_east,indigo_valley,footscray,east_melbourne,winton,williamstown,watsonia,rye,boronia,bacchus_marsh,glen_iris,hampton_east,castlemaine,elmore,montrose,williams_landing,cranbourne_south,corio,ringwood,south_yarra,junction_village,wedderburn,taylors_lakes,hallam,bentleigh,mernda,croydon_south,the_basin,metung,gowanbrae,heathcote,mortlake,bonnie_doon,harrietville,ferntree_gully,woolenook,wodonga,trentham,mildura,altona_meadows,deer_park,eaglehawk,caroline_springs,west_melbourne,hoppers_crossing,rosanna,nagambie,benalla,newbury,maribyrnong,ormond,melton_south,lysterfield,junortoun,kallista,broadmeadows,springfield,kew_east,kingsbury,frankston_north,ballan,heath_hill,westmeadows,drysdale,caulfield_south,elsternwick,sale,sebastopol,kensington,reservoir,albert_park,balwyn,lynbrook,narre_warren_north,port_melbourne,san_remo,mooroopna,west_footscray,cowes,glen_huntly,thornbury,oakleigh_south,ashburton,briar_hill,gordon,marshall,vermont,mount_waverley,healesville,lucas,killingworth,somerville,heidelberg_west,altona_north,dandenong_south,mooroolbark,wheelers_hill,kilcunda,lancefield,morwell,maryborough,pascoe_vale_south,anglesea,blackburn_south,ringwood_north,balwyn_north,cheshunt,tyntynder,croydon_north,rosebud,carrum_downs,roxburgh_park,surf_beach,haven,armadale,shepparton,bayswater_north,horsham,yallourn_north,crib_point,delacombe,topeka,burwood,indented_head,burnside,heidelberg,kilsyth,christmas_hills,corryong,lilydale,st_kilda,sandhurst,skye,laverton,kurunjang,ventnor,fraser_rise,the_honeysuckles,heidelberg_heights,melton_west,wye_river,deanside,wollert,jeeralang_junction,hamilton,pheasant_creek,kinglake,belmont,cambrian_hill,beveridge,seymour,seaholme,loch_sport,mitcham,thomastown,plumpton,kennett_river,maidstone,springvale,truganina,keilor_downs,strathdale,golden_beach,yarraville,tolmie,brunswick_east,bridge_creek,south_kingsville,riddells_creek,diggers_rest,officer_south,flemington,kew,botanic_ridge,cottles_bridge,beechworth,cape_schanck,thorpdale,mambourin,parkville,kerang,tarraville,clayton_south,ardeer,stonyford,eagle_point,atrani,glen_waverley,dookie,gladstone_park,upotipotpon,houston,hotham_heights,vite_vite_north,donnybrook,burramine,yanakie,neerim,mccrae,cobram,kyabram,dallas,monegeetta,tatong,new_gisborne,dingley_village,brighton_east,avondale_heights,maffra,noorat,mont_albert,nicholson,huntly,paynesville,yarram,chadstone,richmond,lyndhurst,toorak,lima_east,gisborne,south_morang,heatherton,hadfield,stawell,korumburra,wyndham_vale,digby,alfredton,bonang,halls_gap,tongala,epping,selby,red_lion,gembrook,walmer,oak_park,ballarat_north,maddingley,huntingdale,gorae,wantirna,barongarook_west,templestowe,ringwood_east,niddrie,viewbank,lethbridge,invermay_park,hughesdale,beaufort,jackass_flat,lascelles,hazelwood_north,mount_pleasant,lamplough,ararat,cape_paterson,barwon_heads,carpendeit,bonbeach,ascot_vale,daylesford,airport_west,numurkah,kardella_south,ironbark,moonee_ponds,cape_woolamai,bulleen,dunolly,monbulk,mia_mia,portland_west,safety_beach,yarrawonga,stratford,beaumaris,bass,forest_hill,eumemmerring,preston,elwood,alphington,bealiba
599260.0,490005.0,517.5,660000.0,820000.0,600900.0,726900.0,689900.0,595000.0,365000.0,635000.0,765000.0,1625000.0,560000616000.0,1200000.0,511500.0,875000.0,827500.0,1800000.0,600000.0,455000.0,460000.0,1200000.0,660000680000.0,395000.0,1200000.0,408900.0,850000.0,352500.0,575000.0,717500.0,1337500.0,675000.0,3937500.0,815000.0,71250000.0,3775000.0,1650000.0,875000.0,660000.0,1825000.0,750000.0,775000.0,1470000.0,672500.0,550000.0,885000.0,1240000.0,735000.0,420000.0,2100000.0,500000.0,714000.0,4400000.0,445000.0,309000.0,1029000.0,832500.0,1575000.0,765000.0,627000.0,1925000.0,810.0,370000.0,885000.0,730000.0,2850000.0,404500.0,650000.0,1150000.0,540000.0,680000.0,404000.0,1500000.0,722500.0,550000.0,600000.0,1050000.0,855000.0,1400000.0,612500.0,600000.0,550000.0,845000.0,1400000.0,1175000.0,2000000.0,965000.0,624750.0,1005000.0,507500.0,729750.0,525058.0,555000.0,890000.0,1215000.0,517500.0,335000.0,1150000.0,810000.0,655000.0,1110000.0,300000.0,775000.0,892500.0,815000.0,1445000.0,705000.0,225000.0,752500.0,1770000.0,565000.0,660000.0,1490000.0,407500.0,979000.0,775000.0,788982.0,820000.0,729000.0,970000.0,699000.0,724500.0,737303.0,2050000.0,622500.0,585.0,525000.0,450000.0,819000.0,1200000.0,672500.0,812500.0,840000.0,590000.0,770000.0,570000.0,290000.0,715000.0,449000.0,745000.0,407500.0,685000.0,795000.0,575000.0,364000.0,1500000.0,1300000.0,440000.0,510000.0,934500.0,892500.0,1075000.0,945000.0,1015000.0,510203.0,1197500.0,735000.0,555000.0,1100000.0,975000.0,390000.0,515000.0,420000.0,528639.0,365000.0,595209.0,580000.0,120.0,420000.0,900000.0,345000.0,12.5,504000.0,624000.0,710000.0,450000.0,890000.0,480000.0,145000.0,762500.0,470000.0,950000.0,529000.0,1575000.0,840000.0,1470000.0,325000.0,605000.0,1260000.0,1175000.0,750000.0,285000.0,855000.0,625000.0,819930.0,490000.0,997500.0,340000.0,615000.0,449000.0,910000.0,600000.0,1810000.0,800000.0,1100000.0,925000.0,350000.0,675000.0,360000.0,340000.0,572500.0,2730000.0,892500.0,469000.0,425000.0,1295000.0,550000.0,660000.0,650000.0,392500.0,605000.0,575000.0,2300000.0,1085000.0,400000.0,195000.0,740000.0,350000.0,1575000.0,414000.0,1050000.0,1195000.0,997500.0,525.0,2000000.0,1974000.0,755000.0,628500.0,380000.0,1450000.0,650000.0,790000.0,840000.0,840000.0,465000.0,385000.0,875000.0,510000.0,1150000.0,2782500.0,563900.0,2325000.0,790000.0,635000.0,150000.0,595000.0,899000.0,1250000.0,890000.0,800000.0,775000.0,1050000.0,890000.0,705000.0,630000.0,1134000.0,525000.0,754000.0,1245000.0,795000.0,645000.0,820000.0,195000.0,1315000.0,640000.0,1375000.0,352500.0,449000.0,345000.0,1900000.0,1350000.0,735000.0,995000.0,6250000.0,390000.0,790000.0,714000.0,720000.0,615000.0,435000.0,699000.0,919000.0,710000.0,280000.0,605000.0,469000.0,255000.0,932500.0,573900.0,355000.0,1050000.0,722500.0,590000.0,645000.0,690000.0,1050000.0,650000.0,58000000.0,1995000.0,800000.0,575000.0,600000.0,420000.0,699000.0,682950.0,572500.0,1055000.0,500000.0,2150000.0,639950.0,585000.0,925000.0,300000.0,1600000.0,670000.0,605000.0,930000.0,613848.0,423068.0,1150000.0,390000.0,1400000.0,660990.0,572490.0,1250000.0,805000.0,611500.0,630000.0,630000.0,562500.0,220000.0,720000.0,1050000.0,565000.0,945000.0,760000.0,720000.0,277500.0,455000.0,1130000.0,575000.0,550000.0,800000.0,749000.0,1387500.0,810000.0,524700.0,1100000.0,285000.0,695000.0,890000.0,565000.0,160000.0,899000.0,617863.0,1260000.0,450000.0,735.0,850000.0,605000.0,295000.0,460400.0,573102.0,656014.0,15.0,779000.0,862500.0,725000.0,623950.0,808500.0,900000.0,795000.0,1400000.0,619026.0,360000.0,840000.0,415000.0,365000.0,2205000.0,234500.0,509990.0,329000.0,520000.0,518000.0,945000.0,880000.0,5650000.0,630000.0,495000.0,720.0,416500.0,780000.0,465000.0,430000.0,282500.0,720000.0,715000.0,150000.0,595000.0,229000.0,663100.0,1100000.0,180000.0,650000.0,895000.0,13.5,560000.0,299000.0,405000.0,630000.0,378000.0,820000.0,1050000.0,892500.0,1347500.0,1550000.0,930000.0,955000.0,1352500.0,257500.0,495000.0,49000.0,825000.0,717500.0,350000385000.0,199950.0,1250000.0,1900000.0,380000.0,690000.0,1450000.0,995000.0,1050000.0,312000.0,930000.0,472500.0,1525000.0,1100000.0,130.0,39000.0,829500.0,500000.0,595000.0,54.5,520000.0,570000.0,2750000.0,1100000.0,1550000.0,580000.0,440000.0,785000.0,1575000.0,240000.0
542500.0,870000.0,399000.0,715000.0,690000.0,450000.0,724900.0,707900.0,459000.0,,,812500.0,1575000.0,495000.0,755000.0,595000.0,415000.0,609000.0,750000.0,405000.0,410000.0,682500.0,1675000.0,,997500.0,360000.0,576900.0,1250000.0,,550000.0,765000.0,,,1150000.0,1440000.0,464900.0,924000.0,,860000.0,,2250000.0,850000.0,2300000.0,85.0,1450000.0,,672500.0,1050000.0,495000.0,278000.0,2625000.0,,550000.0,830000.0,775000.0,550000.0,,766500.0,1950000.0,925000.0,1035000.0,,1060000.0,1300000.0,882000.0,925000.0,1550000.0,,,1071000.0,525000.0,1350000.0,440000.0,970000.0,,350000.0,,1350000.0,757500.0,,840120.0,630000.0,985000.0,745000.0,1450000.0,860000.0,,1500000.0,647477.0,1015000.0,869000.0,572.5,523404.0,,845000.0,385000.0,,,2050000.0,414500.0,660000.0,2100000.0,5988000.0,1300000.0,945000.0,960000.0,829500.0,,305000.0,,750000.0,,895000.0,,,395000.0,625000.0,405000.0,695000.0,,,749000.0,805000.0,558829.0,480000.0,1680000.0,510000.0,,375000.0,675000.0,3500000.0,785000.0,813750.0,714000.0,150.0,823500.0,,,,,315000.0,555000.0,1190000.0,,1300000.0,525000.0,1925000.0,756000.0,640000.0,670000.0,,,,815000.0,690000.0,559796.0,1050000.0,829500.0,615000.0,1250000.0,995000.0,650000.0,,1200000.0,539224.0,,,,,,19.0,335000.0,,,664000.0,497500.0,,1417500.0,517500.0,420000.0,,775000.0,,,3.0,695000.0,892500.0,450000.0,899000.0,2100000.0,550000.0,1250000.0,,,,707000.0,525000.0,1312500.0,350000.0,615000.0,,825000.0,385000.0,,755000.0,,,,,,,525000.0,,475700.0,,699000.0,,838500.0,925000.0,,517500.0,,405000.0,604500.0,1210000.0,,180000.0,,500000.0,1575000.0,,,,,515000.0,,,,,,,675000.0,724000.0,1625000.0,530000.0,367000.0,209500.0,,925000.0,,4990000.0,628000.0,2000000.0,2650000.0,635000.0,,,1150000.0,,620000.0,,,,,,,1155000.0,700000.0,,,820000.0,,910000.0,,825000.0,2850000.0,,,330000.0,,,,,640000.0,,,,,1050000.0,528000.0,529061.0,,,,470000.0,,549000.0,,1035000.0,605400.0,,,,,,,,,970000.0,377500.0,,,,,,608399.0,,,,,686000.0,,,720000.0,,,,,690990.0,,237900.0,175000.0,523585.0,,,,800000.0,,499640.0,,,220000.0,,430000.0,650000.0,1700000.0,,,719500.0,455000.0,,,638814.0,,,,,,,,,880000.0,,,,,883000.0,,675.0,,,,,434900.0,,,,,550000.0,436950.0,,,,,,,,,,1040000.0,,503512.0,,,1042500.0,,,,,,,,,,,,,500000.0,,,,,,,,,,,540000.0,,,1250000.0,,153.0,,,,1050000.0,,,,540000.0,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,
505000.0,468415.0,724.5,660000.0,775000.0,379000.0,681900.0,570949.0,,,,720000.0,1290000.0,,,675000.0,,,570000.0,750000.0,,1100000.0,517500.0,,84.0,,499900.0,,,624750.0,525000.0,,,692500.0,,842848.0,1245000.0,,,,1950000.0,,1925000.0,1470000.0,619562.0,,572500.0,1354500.0,882500.0,570000.0,2300000.0,,525000.0,,699239.0,425000.0,,,915000.0,787500.0,,,950000.0,150000.0,729750.0,449000.0,1320000.0,,,,685000.0,440000.0,700000.0,,,,,1150000.0,,,725879.0,625000.0,,,2350000.0,950000.0,,980000.0,559841.0,,560000.0,840000.0,480005.0,,,1400000.0,,,,1890000.0,765920.0,925000.0,,,1200000.0,1450000.0,1207500.0,,,,,,595000.0,,,979000.0,610000.0,960000.0,505000.0,,,575000.0,,549500.0,,1350000.0,539900.0,,,479800.0,,1025000.0,480000.0,,1750001.0,,,,,,,430000.0,875000.0,,1225000.0,,,279000.0,,495000.0,,,,,605000.0,647080.0,1200000.0,693000.0,,,,1000000.0,,1050000.0,475000.0,,,,,,940000.0,660000.0,,,1412500.0,,,,1207500.0,,,1150000.0,,,,,10500001150000.0,825000.0,565000.0,,,749000.0,,,,741000.0,510000.0,1100000.0,1800000.0,803700.0,,,,,,,,,,,,,,834500.0,,385000.0,,,,,,,486000.0,,,,185000.0,,,,,,,,400000.0,,,,,,,,,420000.0,399750.0,413025.0,242000.0,,705000.0,,,,1400000.0,,1475000.0,,,365000.0,,,,,,,,,1600000.0,,,,560000.0,,840000.0,,,,,,430000.0,,,,,,,,,,1195000.0,722500.0,609763.0,,,,370000.0,,449000.0,,,536788.0,,,,,,,,,,675000.0,,,,,,677950.0,,,,,674950.0,,,,,,,,259000.0,,338000.0,140000.0,522085.0,,,,525000.0,,546900.0,,,195000.0,,,577500.0,,,,625000.0,,,,723268.0,,,,,,,,,915000.0,,,,,590000.0,,,,,,,429900.0,,,,,530000.0,444850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589360.0,605000.0,,755000.0,755000.0,450000.0,910900.0,630000.0,,,,,1312500.0,,,660000.0,,,600000.0,750.0,,1625000.0,1622250.0,,1450000.0,,530000.0,,,639882.0,840000.0,,,1135000.0,,735307.0,,,,,1950000.0,,1150000.0,1330000.0,587041.0,,633900.0,390000.0,575000.0,437500.0,712500.0,,200000.0,,628518.0,645000.0,,,1925000.0,,,,815000.0,310000.0,560000.0,887500.0,1150000.0,,,,577500.0,375000.0,624000.0,,,,,,,,528446.0,,,,,,,2200000.0,546754.0,,1095000.0,615330.0,,,,,,,,472500.0,760620.0,,,,,945000.0,1725000.0,,,,,,367.5,,,460000.0,,585000.0,369000.0,,,,,461824.0,,,592000.0,,,965000.0,,660000.0,480000.0,,153.0,,,,,,,,1350000.0,,,,,,,,,,,,,589498.0,,332850.0,,,,290000.0,,,580300.0,,,,,,,578755.0,,,,,,,,,,560000.0,,,,,491357.0,,514000.0,,,,,,,,565000.0,1100000.0,,701300.0,,,,,,,,,,,,,,,,,,,,,,,678000.0,,,,458000.0,,,,,,,,,,,,,,,,,1300000.0,,443706.0,285500.0,,745000.0,,,,,,814500.0,,,954000.0,,,,,,,,,,,,,,,890000.0,,,,,,285000.0,,,,,,,,,,1450000.0,480000.0,,,,,325000.0,,,,,578100.0,,,,,,,,,,,,,,,,,,,,,564950.0,,,,,,,,538281.0,,,290000.0,650000.0,,,,1200000.0,,,,,450000.0,,,,,,,,,,,,,,,,,,,,755000.0,,,,,,,,,,,,,,,,,,405450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779900.0,615000.0,,915000.0,,,705000.0,494000.0,,,,,1085000.0,,,450000.0,,,,600.0,,800000.0,,,,,865000.0,,,930555.0,924000.0,,,1260000.0,,662185.0,,,,,555000.0,,,525000.0,632026.0,,586400.0,2300000.0,752500.0,,1725000.0,,260000.0,,603978.0,509000.0,,,930000.0,,,,875000.0,,,,720000.0,,,,522500.0,,770000.0,,,,,,,,523546.0,,,,,,,,815000.0,,,470400.0,,,,,,,,,760275.0,,,,,,890000.0,,,,,,,,,252000.0,,585000.0,,,,,,533829.0,,,,,,,,790000.0,475000.0,,,,,,,,,,1625000.0,,,,,,,,,,,,,715860.0,,210000.0,,,,290000.0,,,572100.0,,,,,,,,,,,,,,,,,,,,,,872500.0,,414000.0,,,,,,,,,650000.0,,646644.0,,,,,,,,,,,,,,,,,,,,,,,1980000.0,,,,672500.0,,,,,,,,,,,,,,,,,1695000.0,,471103.0,,,650000.0,,,,,,639000.0,,,429000.0,,,,,,,,,,,,,,,995000.0,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,507485.0,,,,,,,,,,,,,,,,,,,,,655555.0,,,,,,,,,,,485000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739900.0,420000.0,,,,,1230000.0,575000.0,,,,,,,,,,,,635.0,,442500.0,,,,,,,,,749000.0,,,895000.0,,685490.0,,,,,1890000.0,,,15.5,315000.0,,794000.0,3200000.0,735000.0,,1575000.0,,240000.0,,742650.0,,,,525000.0,,,,744000.0,,,,,,,,1289000.0,,570000.0,,,,,,,,575000.0,,,,,,,,,,,529700.0,,,,,,,,,590020.0,,,,,,,,,,,,,,,241500.0,,665000.0,,,,,,517829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561017.0,,,,,,650000.0,,,550257.0,,,,,,,,,,,,,,,,,,,,,,2637500.0,,,,,,,,,,,690000.0,,767230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,185000.0,,,,,,,,,,,,,,,,,,,485952.0,,,120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745000.0,,,,,541488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000.0,726286.0,,,,,630000.0,684052.0,,,,,,,,,,,,515000.0,,472500.0,,,,,,,,,840000.0,,,892500.0,,618585.0,,,,,,,,,,,622000.0,2950000.0,725000.0,,1925000.0,,335000.0,,539667.0,,,,2085000.0,,,,925000.0,,,,,,,,510000.0,,588000.0,,,,,,,,619300.0,,,,,,,,,,,400000.0,,,,,,,,,475000.0,,,,,,,,,,,,,,,480000.0,,515000.0,,,,,,291000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551669.0,,,,,,1300000.0,,,465000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000.0,,,,,,,,,,,,,,,,,,,463428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370000.0,,,,,503488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,872195.0,,,,,625000.0,765000.0,,,,,,,,,,,,270000.0,,,,,,,,,,,682500.0,,,,,650385.0,,,,,,,,,,,646000.0,,512500.0,,2100000.0,,470000.0,,685000.0,,,,,,,,1340000.0,,,,,,,,,,1050000.0,,,,,,,,648579.0,,,,,,,,,,,528900.0,,,,,,,,,439000.0,,,,,,,,,,,,,,,735000.0,,514500.0,,,,,,370900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537860.0,,,,,,,,,599100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490000.0,,,,,626590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,505000.0,618000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727500.0,,729750.0,,,,440000.0,,525000.0,,,,,,,,945000.0,,,,,,,,,,1677000.0,,,,,,,,589599.0,,,,,,,,,,,413000.0,,,,,,,,,439000.0,,,,,,,,,,,,,,,,,915000.0,,,,,,408700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744081.0,,,,,,175000.0,,596372.0,,,,,,,,,,,,,,,,,,3541500.0,,,,,,,,610000.0,,,,,,,,,,,365000.0,,,,,,,,,,,,,,,,,,,,,,,,,,670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
