tarneit,mount_duneed,sunbury,mckinnon,truganina,west_melbourne,malvern,footscray,melbourne,carnegie,malvern_east,clyde,officer,berwick,botanic_ridge,warragul,preston,south_yarra,sebastopol,ashburton,chewton,the_patch,box_hill,burwood,surrey_hills,junction_village,hoppers_crossing,cranbourne_south,clyde_north,ascot_vale,wollert,balaclava,docklands,rainbow,greenvale,bentleigh,jan_juc,kilmore,pakenham,blackburn,sale,endeavour_hills,drysdale,saint_leonards,langwarrin,ivanhoe,caulfield_south,ringwood,bendigo,leopold,warrnambool,frankston,doncaster_east,charlemont,wendouree,newington,mansfield,traralgon,newport,chanute,windsor,edithvale,werribee,alfredton,doncaster,maribyrnong,mooroolbark,eltham,bannockburn,rosebud,frankston_south,torquay,grovedale,richmond,mornington,north_bendigo,cheltenham,hastings,eaglehawk,garfield,seaholme,collingwood,essendon,noble_park,braybrook,chelsea,doreen,pascoe_vale,niddrie,cape_paterson,lilydale,shepparton,wangaratta,rawson,coburg,airport_west,tynong,sandringham,hampton_east,bell_park,dandenong_north,heidelberg_west,kennington,hillside,kangaroo_flat,barwon_heads,north_warrandyte,greensborough,skye,carrum_downs,toorak,glen_huntly,boronia,rosanna,upwey,highett,vermont,elsternwick,ferntree_gully,st_kilda,melton,kallista,thornbury,lara,craigieburn,reservoir,attwood,heathcote,mount_eliza,fairfield,balwyn_north,sydenham,fraser_rise,whittlesea,bentleigh_east,hallam,st_albans,croydon_hills,north_shore,wantirna_south,eltham_north,brunswick_east,keilor_east,croydon_south,golden_beach,seddon,kalkallo,cranbourne,essendon_north,dandenong,sunshine,lorne,cranbourne_east,bayswater,norlane,strathmore,yarraville,epping,watsonia,bundoora,coldstream,hawthorn,box_hill_north,blackburn_south,tootgarook,soldiers_hill,ardeer,port_melbourne,curlewis,san_francisco,dunolly,heathmont,kingsville,highton,bacchus_marsh,myrniong,mickleham,kew,caulfield,lucas,beaumaris,elwood,yarram,glen_waverley,benalla,west_footscray,westmeadows,heathcote_junction,golden_point,bunyip,cranbourne_west,bayswater_north,mernda,templestowe,donvale,melton_west,wyndham_vale,kyneton,rowville,clayton,koo_wee_rup,croydon,southbank,moonee_ponds,thomastown,north_melbourne,clunes,ballan,diamond_creek,scoresby,tullamarine,chirnside_park,caulfield_north,wallan,point_cook,kilmore_east,camberwell,armstrong_creek,glenroy,st_kilda_east,altona,north_geelong,carlton,wodonga,box_hill_south,hamlyn_heights,taylors_lakes,maidstone,mount_waverley,blackburn_north,belmont,moorabbin,kensington,lyndhurst,bonbeach,south_melbourne,parkdale,maiden_gully,blairgowrie,cranbourne_north,macleod,newry,dalyston,castlemaine,chiltern,marlo,mount_evelyn,prahran,narre_warren_south,oaklands_junction,pascoe_vale_south,toora,deanside,barongarook,fitzroy_north,moyarra,montmorency,loch_sport,yarrawonga,batesford,strathdale,springvale_south,vermont_south,mont_albert,coffeyville,altona_meadows,rockbank,narre_warren,brunswick_west,olinda,mildura,rochester,williamstown,sandhurst,mooroopna,avondale_heights,morwell,ormond,mordialloc,wahgunyah,templestowe_lower,clayton_south,paynesville,portland,oak_park,inverloch,ocean_grove,mitcham,meadow_heights,coolaroo,kevington,koorlong,eynesbury,carrajung_lower,darnum,heyfield,pearcedale,bairnsdale,warburton,cowes,ballarat_central,broadford,mambourin,fawkner,altona_north,ringwood_north,lower_plenty,somers,lethbridge,newborough,beveridge,nunawading,atrani,delacombe,otterham,strathtulloh,beaconsfield,donnybrook,huntly,taminick,pimpinio,axedale,ballarat_east,williams_landing,alphington,drouin,coronet_bay,baromi,woomelang,foster,strathfieldsaye,lake_tyers_beach,point_lonsdale,lynbrook,queenscliff,dromana,beechworth,rye,venus_bay,longwarry,mont_albert_north,parkville,clarinda,kongwak,tongala,numurkah,mill_park,yea,balwyn,mirboo_north,roxburgh_park,tandarook,kardella,lancefield,mount_martha,swan_hill,horsham,kerang,new_york,lakes_entrance,plumpton,wonthaggi,walmer,elevated_plains,winton,hamilton,melton_south,seaford,apollo_bay,macedon,caroline_springs,burwood_east,kalimna,yinnar_south,launceston,bright,ashwood,kingsbury,marong,oakleigh,callignee,marysville,barwite,sawmill_settlement,hampton_park,borung,abbotsford,chelsea_heights,cape_woolamai,croydon_north,port_albert,brunswick,buchan,golden_square,campbells_creek,coburg_north,gembrook,cockatoo,kurunjang,tresco,cobram,euroa,flemington,alexandra,allendale,darley,traralgon_east,snake_valley,mortlake,eaglemont,murrindindi,hepburn_springs,mckenzie_hill,arthurs_creek,wy_yung,bowenvale,mentone,doveton,newhaven,indented_head,cannons_creek,orbost,peterborough,deer_park,north_wonthaggi,bellbrae,fitzroy,yarroweyah,keysborough
526500.0,644185.0,543055.0,460795.0,522500.0,486000.0,465000.0,755000.0,1083000.0,1320000.0,1286000.0,762750.0,650300.0,637050.0,871700.0,578300.0,880000.0,3520000.0,210000.0,690000.0,685000.0,235000.0,900000.0,775000.0,920000.0,615.0,450000.0,703.0,700.0,995000.0,383950.0,1700000.0,1085000.0,39500.0,620000.0,3450000.0,1225000.0,680000.0,595.0,945000.0,300000.0,655000.0,1575000.0,2300000.0,1160000.0,1440000.0,1155000.0,472500.0,1350000.0,785000.0,460000.0,724500.0,1312500.0,745000.0,500000.0,302500.0,950000.0,240000.0,622500.0,664500.0,680000.0,1015000.0,755000.0,700000.0,1200000.0,542500.0,905000.0,1250000.0,764000.0,805000.0,460506.0,1365000.0,619000.0,1050000.0,1150000.0,570000.0,555000.0,572500.0,237500.0,680000.0,1075000.0,451500.0,1550000.0,682500.0,825000.0,1525000.0,682500.0,13.5,1700000.0,500000.0,840000.0,300000.0,525000.0,285000.0,945000.0,622500.0,425000.0,640000.0,1375000.0,700000.0,675000.0,526000.0,349000.0,640000.0,407500.0,1545000.0,1890000.0,925000.0,769000.0,787500.0,550000.0,570000.0,597500.0,840000.0,945000.0,930000.0,1150000.0,1417500.0,622500.0,184500.0,513450.0,850000.0,1015000.0,544000.0,536500.0,690000.0,695000.0,415000.0,16.5,1250000.0,1700000.0,350000.0,589307.0,500000.0,920000.0,560000.0,1260000.0,1100000.0,1900000.0,1125000.0,1550000.0,970000.0,315000.0,840000.0,205000.0,520000.0,360000.0,540000.0,402500.0,725000.0,760000.0,850000.0,735000.0,572500.0,504000.0,1050000.0,940000.0,387500.0,800000.0,1312500.0,770000.0,425000.0,1250000.0,1250000.0,765000.0,720000.0,650000.0,600000.0,610000.0,587000.0,157500.0,795000.0,1100000.0,1000000.0,754000.0,1314000.0,872500.0,2400000.0,1260000.0,605000.0,2425000.0,2100000.0,475000.0,1312500.0,299000.0,720000.0,500000.0,1115000.0,365000.0,1400000.0,670000.0,840000.0,420000.0,170.0,6.0,445000.0,515000.0,775000.0,577500.0,915000.0,710000.0,619500.0,320000.0,1050000.0,575000.0,580000.0,550000.0,499000.0,1350000.0,675000.0,755000.0,820000.0,1575000.0,945000.0,480000.0,660000.0,470000.0,625000.0,515000.0,500000.0,1725000.0,239500.0,1200000.0,475000.0,2450000.0,495000.0,850000.0,925000.0,1050000.0,1230000.0,745000.0,1225000.0,1250000.0,750000.0,1050000.0,840000.0,1449000.0,385000.0,1650000.0,617500.0,1100000.0,695000.0,250000.0,1195000.0,420000.0,1150000.0,930000.0,1260000.0,1102500.0,1200000.0,500000.0,240000.0,628560.0,875000.0,570000.0,65000000.0,1725000.0,610000.0,350000.0,1675000.0,650000.0,685000.0,1400000.0,1150000.0,655000.0,665000.0,597522.0,805000.0,1250000.0,472500.0,472500.0,1100000.0,2350000.0,1180000.0,725000.0,1187500.0,420000.0,975000.0,1215000.0,350000.0,987500.0,725000.0,490000.0,445000.0,819.0,1250000.0,815000.0,1250000.0,700000.0,545000.0,595000.0,660000.0,581723.0,4200.0,800000.0,240000.0,827500.0,380000.0,85000.0,775000.0,495000.0,280000.0,473910.0,650000.0,855000.0,1100000.0,1100000.0,1725000.0,975348.0,521983.0,463495.0,58.0,888700.0,736100.0,734800.0,703500.0,675000.0,630500.0,620100.0,592700.0,576600.0,435000.0,375000.0,565000.0,518984.0,659380.0,915400.0,655000.0,220000.0,640000.0,715000.0,845000.0,2200000.0,668000.0,840000.0,1012500.0,605000.0,1100000.0,655000.0,460000.0,677526.0,1100000.0,1170000.0,2395000.0,418147.0,427432.0,737937.0,670000.0,1025000.0,295000.0,765000.0,2500000.0,895000.0,414200.0,2500000.0,299000.0,229000.0,295000.0,1050000.0,1200000.0,702155.0,649000.0,565000.0,3300000.0,827500.0,309000.0,340000.0,910000.0,890000.0,1700000.0,680000.0,1365000.0,529000.0,850000.0,339000.0,399000.0,915000.0,710000.0,576365.0,560000.0,299000.0,895000.0,1312500.0,255000.0,655000.0,307500.0,617400.0,809000.0,990000.0,1100000.0,520000.0,2200000.0,250000.0,440000.0,277000.0,710000.0,787500.0,755000.0,429000.0,349000.0,475000.0,730000.0,945000.0,615000.0,1500000.0,470000.0,728000.0,210000.0,410000.0,2100000.0,3250000.0,869000.0,765000.0,1500000.0,435000.0,99000.0,1415000.0,509000.0,900000.0,780000.0,912500.0,350000.0,577901.0,630000.0,290000.0,1100000.0,535000.0,435000.0,939000.0
317000.0,623085.0,672875.0,600000.0,512000.0,775000.0,1775000.0,449000.0,545900.0,1150000.0,725000.0,775500.0,635000.0,615500.0,910700.0,806550.0,800000.0,837500.0,417000.0,,1700000.0,,432500.0,1365000.0,1220000.0,615.0,400000.0,678.0,639.0,885000.0,383950.0,935000.0,3450000.0,,525000.0,1450000.0,,875000.0,735000.0,815000.0,295000.0,812500.0,1050000.0,877190.0,1950000.0,1225000.0,1150000.0,1155000.0,625000.0,645000.0,400000.0,1600000.0,160.0,300000.0,360000.0,,1725000.0,425000.0,825000.0,,,930000.0,472500.0,359900.0,2300000.0,1155000.0,2150000.0,1020000.0,,607500.0,1050000.0,1335000.0,659000.0,1490000.0,515000.0,549000.0,495000.0,450000.0,380000.0,,,1200000.0,1150000.0,714000.0,682500.0,787500.0,560000.0,,,,945000.0,185000.0,950000.0,,1600000.0,945000.0,,1875000.0,,,3885000.0,775000.0,192300.0,725000.0,495000.0,,1700000.0,712500.0,780000.0,574500.0,,840000.0,820000.0,997500.0,741900.0,1525000.0,1312500.0,575000.0,860000.0,885000.0,401000.0,,375000.0,685000.0,865.0,1250000.0,,,3600000.0,,2250000.0,,705579.0,785000.0,2150000.0,925000.0,620000.0,,,575000.0,,1450000.0,1150000.0,,,,,,,630000.0,725000.0,1700000.0,,670000.0,435000.0,,715000.0,,545000.0,945000.0,,565000.0,360000.0,997500.0,,,,,755000.0,545378.0,157500.0,925000.0,1050000.0,,,,537187.0,,997500.0,,1800000.0,,150000.0,1260000.0,185000.0,,594500.0,,,262500.0,567500.0,,426500.0,,,629000.0,485000.0,,975000.0,410000.0,,575000.0,618000.0,365000.0,,,,764000.0,920000.0,619000.0,825000.0,710000.0,600000.0,575000.0,965000.0,,2815000.0,670000.0,504000.0,525000.0,1100000.0,570000.0,775000.0,625000.0,,635000.0,,1200000.0,,,525000.0,,750000.0,1245000.0,,585000.0,645000.0,,1720000.0,545000.0,695000.0,595000.0,,980000.0,,,,,622500.0,,1300000.0,449000.0,642000.0,,609000.0,1500000.0,,,498400.0,,462500.0,725000.0,,,,565000.0,529417.0,735000.0,420000.0,,570000.0,,1725000.0,,,460000.0,245000.0,,,,12.5,890000.0,549000.0,75000.0,,1250000.0,840000.0,975000.0,560000.0,,,,,,,,,890000.0,,890000.0,,445000.0,460951.0,,,,,,1244105.0,434378.0,512785.0,,,605500.0,,646200.0,,662726.0,935000.0,,,,,,497484.0,760000.0,969000.0,,,1300000.0,,,,601000.0,,,,1050000.0,,,,,,,390932.0,440038.0,669181.0,,,,560000.0,,,446300.0,,,,,,619500.0,575000.0,1695000.0,595000.0,,,320000.0,,,645000.0,,,,,749000.0,,,,,530000.0,,,,,,,,,,800000.0,,,,,,,,,,,,530000.0,,,,,,,,,2787500.0,,,,,,,,,,,,,,,,,,,
317000.0,625585.0,416217.0,,554500.0,,695000.0,618613.0,335000.0,720000.0,620000.0,613000.0,635000.0,945000.0,,599900.0,1365000.0,1455000.0,441032.0,,,,125000.0,975000.0,825000.0,560.0,620000.0,753000.0,622.0,770000.0,472025.0,1440000.0,810000.0,,610000.0,605000.0,,570000.0,690000.0,2250000.0,390000.0,,,470000.0,820000.0,,1575000.0,514500.0,,,576000.0,840000.0,150.0,569600.0,,,500000.0,310000.0,1850000.0,,,,460000.0,,855000.0,700000.0,711590.0,945000.0,,1985000.0,1675000.0,915000.0,650000.0,,707500.0,,1350000.0,622500.0,,,,,385000.0,930000.0,,,780000.0,,,,,240000.0,1200000.0,,997500.0,,,,,,661500.0,,605000.0,740000.0,,,,1015000.0,,724950.0,,,,1385000.0,,945000.0,1350000.0,575000.0,820000.0,1500000.0,,,1575000.0,1400000.0,715000.0,630000.0,,,2500000.0,,2625000.0,,561016.0,,1350000.0,,665000.0,,,,,630000.0,,,,,,,,472500.0,,1800000.0,,,435000.0,,,,,892500.0,,445000.0,535000.0,1540000.0,,,,,,,200000.0,,750000.0,,,,679100.0,,,,2050000.0,,,883000.0,180000.0,,,,,,420000.0,,,,,574000.0,717500.0,,995000.0,,,1400000.0,588000.0,555000.0,,,,,2625000.0,945000.0,705.0,710000.0,,620000.0,600000.0,,1850000.0,649885.0,500000550000.0,1785000.0,495000.0,,,595000.0,,470000.0,,460000.0,,,560362.0,,1325000.0,,,595000.0,,,,,,760000.0,,,,,,,1450000.0,,1575000.0,,679555.0,,,,,,793650.0,,,,,,,740000.0,541758.0,,1225000.0,,550000.0,,495.0,,,,498000.0,,,,,880000.0,,75000.0,,2800000.0,3750000.0,,,,,,,,,,,,,745000.0,,610000.0,428151.0,,,,,,1072373.0,490100.0,475900.0,,,573900.0,,,,670695.0,,,,,,,559500.0,745000.0,,,,,,,,,,,,3750000.0,,,,,,,,406844.0,,,,,,,,,,,,,,,637500.0,,,,,,,,945000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665000.0,749985.0,874357.0,,870000.0,,2405000.0,624394.0,732500.0,1890000.0,1070000.0,,650000.0,650000.0,,583650.0,875000.0,670000.0,,,,,1400000.0,1550000.0,800000.0,649900.0,525000.0,789000.0,555.0,262500.0,504542.0,1925000.0,1139000.0,,1150000.0,,,590000.0,510000.0,692500.0,,,,795000.0,505000.0,,1940000.0,1615000.0,,,,682500.0,12.0,506100.0,,,675000.0,395000.0,,,,,1035000.0,,865000.0,579000.0,,1800000.0,,,1330000.0,628100.0,,,3250000.0,,595000.0,,,,,,1365000.0,905000.0,,,575000.0,,,,,430000.0,390000.0,,1250000.0,,,,,,590000.0,,475000.0,,,,,,,825000.0,,,,1415000.0,,,,,,420000.0,,,1850000.0,714500.0,525000.0,525000.0,,,,,,,590122.0,,1475000.0,,585000.0,,,,,,,,,,,,,630000.0,,,,,525000.0,,,,,840000.0,,3800000.0,,,,,,,,,120000.0,,,,,,,,,,2000000.0,,,590000.0,175000.0,,,,,,,,,,,,,,1230000.0,,,775000.0,1050000.0,1050000.0,,,,,,,,,,,670000.0,,,529000.0,630000.0,735.0,495000.0,,,,,,,410000.0,,,561389.0,,1150000.0,,,511500.0,,,,,,600000.0,,,,,,,590000.0,,,,636700.0,,,,,,775244.0,,,,,,,,537460.0,,,,,,,,,,,,,,,,,822500.0,,740000.0,1700000.0,,,,,,,,,,,,,810000.0,,1190000.0,397524.0,,,,,,989228.0,510500.0,,,,295000.0,,,,,,,,,,,547800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605000.0,,780030.0,,525000.0,,,821927.0,1025000.0,630000.0,640000.0,,634.0,890000.0,,534550.0,680000.0,399000.0,,,,,,4650000.0,,924800.0,,,568.0,,750000.0,675000.0,780000.0,,784000.0,,,,850000.0,1200000.0,,,,750000.0,932500.0,,1675000.0,965000.0,,,,790000.0,3100000.0,530300.0,,,,260000.0,,,,,800000.0,,,,,,,,,1000000.0,,,1207500.0,,865000.0,,,,,,1600000.0,,,,,,,,,412500.0,550000.0,,1350000.0,,,,,,,,,,,,,,,525000.0,,,,1785000.0,,,,,,405000.0,,,,,497500.0,745000.0,,,,,,,720000.0,,545000.0,,680000.0,,,,,,,,,,,,,603750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000.0,,,,,,,,,,,,,,550000.0,,,1450000.0,1677000.0,,,,,,,,,,,,11.0,,,555000.0,615000.0,,,,,,,,,575000.0,,,546453.0,,,,,,,,,,,,,,,,,,705000.0,,,,638400.0,,,,,,,,,,,,,,630900.0,,,,,,,,,,,,,,,,,,,,990000.0,,,,,,,,,,,,,,,,364724.0,,,,,,,,,,,,,,,,,,,,,,435678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569500.0,,774495.0,,639900.0,,,787238.0,748400.0,1570000.0,,,634.0,960000.0,,407500.0,,500000.0,,,,,,1150000.0,,,,,607.0,,540000.0,1750000.0,459000.0,,869000.0,,,,815000.0,,,,,975000.0,615000.0,,,427500.0,,,,409500.0,1575000.0,,,,,582660.0,,,,,625000.0,,,,,,,,,,,,850000.0,,,,,,,,,,,,,,,,,,480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,765000.0,,,,,579400.0,650000.0,,,,,,,690000.0,,1475000.0,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000.0,,,,,,,,,,,,,,,,,1050000.0,3541500.0,,,,,,,,,,,,,,,480000.0,,,,,,,,,,615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581549.0,,,,,,,,,,,,,,,,,,,,1335000.0,,,,,,,,,,,,,,,,325500.0,,,,,,,,,,,,,,,,,,,,,,495900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496999.0,,615900.0,,574500.0,,,529964.0,878000.0,575000.0,,,617.0,,,1225000.0,,810000.0,,,,,,1732500.0,,,,,607.0,,639900.0,720000.0,698000.0,,,,,,514943.0,,,,,,787500.0,,,925000.0,,,,840000.0,532500.0,,,,,564860.0,,,,,610000.0,,,,,,,,,,,,1150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000.0,,,,,749000.0,672500.0,,,,,,,621049.0,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835000.0,,,,,,,,,,,,,,,612073.0,,,,,,,,,,460000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505454.0,,446144.0,,615000.0,,,411840.0,940000.0,292500.0,,,649.0,,,915000.0,,,,,,,,,,,,,590.0,,,,705600.0,,,,,,607498.0,,,,,,922500.0,,,650000.0,,,,,1260000.0,,,,,597903.0,,,,,,,,,,,,,,,,,2310000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945000.0,,,,,,720000.0,,,,,,,419260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336650.0,,,,,,,,,,,,,,,682500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562500.0,,575000.0,,,,,404040.0,1781000.0,615000.0,,,664.0,,,543700.0,,,,,,,,,,,,,706740.0,,,,800000.0,,,,,,504148.0,,,,,,,,,690000.0,,,,,,,,,,564603.0,,,,,,,,,,,,,,,,,1470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472500.0,,,,,,,,,,,,,670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772800.0,,,,,,,,,,,,,,,683800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562500.0,,608490.0,,,,,405480.0,595300.0,713100.0,,,635.0,,,846050.0,,,,,,,,,,,,,902800.0,,,,670000.0,,,,,,476948.0,,,,,,,,,590000.0,,,,,,,,,,547404.0,,,,,,,,,,,,,,,,,1250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577500.0,,,,,,,,,,,,,630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
