tarneit,san_francisco,docklands,point_cook,melbourne,mirboo_north,south_yarra,sunbury,castlemaine,lyndhurst,truganina,kurunjang,surrey_hills,diggers_rest,yarra_junction,patchewollock,seaford,glenroy,mooroolbark,templestowe_lower,campbells_creek,red_cliffs,altona_meadows,yarraville,shepparton,noble_park,melton_west,drouin,waldara,hughesdale,caulfield_south,beaumaris,bentleigh_east,darley,saint_albans_park,eynesbury,doreen,glen_waverley,richmond,rosebud,ocean_grove,langwarrin,werribee,torquay,narre_warren_south,nunawading,rainbow,romsey,greenvale,california_gully,kensington,frankston_south,cranbourne_west,newtown,carrum,southbank,bonbeach,reservoir,tootgarook,patterson_lakes,belmont,cheltenham,broadmeadows,pakenham,wandana_heights,berwick,murrumbeena,pascoe_vale,armstrong_creek,heidelberg_west,travancore,melton,doveton,inglewood,ringwood,wandong,ferntree_gully,ashburton,keysborough,wodonga,weir_views,preston,chadstone,delahey,lorne,geelong_west,montrose,south_melbourne,kalorama,brookfield,ballarat_east,north_melbourne,cranbourne_south,east_geelong,werribee_south,paradise_beach,nilma_north,dromana,melton_south,portarlington,nowa_nowa,beveridge,ashwood,woodend,huntly,bell_park,corio,taylors_lakes,frankston,sunshine_west,delacombe,clyde_north,crib_point,healesville,wooragee,cranbourne_north,bruthen,clarinda,bumberrah,chanute,templestowe,cranbourne_east,moonee_ponds,elphinstone,brunswick_west,kilsyth,windsor,bairnsdale,coburg_north,horsham,ardeer,marlo,sebastopol,clyde,scoresby,fawkner,clayton_south,herne_hill,inverloch,albanvale,saint_kilda_west,ballarat_central,croydon,katunga,aspendale_gardens,hampton_east,fitzroy_north,mount_waverley,cobram,rowville,thornbury,ascot_vale,niddrie,greensborough,junction_village,grovedale,mitcham,doncaster,blackburn,heathmont,box_hill,baxter,middle_park,smythes_creek,brunswick_east,officer,bellbrae,sale,thomson,junortoun,woori_yallock,whittlesea,epsom,clayton,box_hill_south,yallourn_north,hastings,hampton_park,viewbank,maribyrnong,cowes,essendon,williamstown,heyfield,bendigo,bacchus_marsh,woodstock,wyndham_vale,carrum_downs,pimpinio,coburg,wollert,benalla,jacana,cranbourne,bakery_hill,cockatoo,panton_hill,new_gisborne,glen_huntly,marysville,mornington,ivanhoe,warragul,lancefield,aspendale,st_kilda,balaclava,saint_leonards,airport_west,mont_albert,capel_sound,strathtulloh,rutherglen,mambourin,highton,deanside,rye,coimadai,hoppers_crossing,mordialloc,endeavour_hills,strathdale,st_kilda_east,traralgon,monbulk,ringwood_north,kilmore,mernda,maffra,mentone,hotham_heights,beechworth,korumburra,hamilton,altona_north,forest_hill,toora,fraser_rise,bentleigh,myrtleford,croydon_south,chelsea,black_rock,port_albert,elsternwick,kotta,donald,nambrok,ormond,yarroweyah,north_bendigo,wallan,koondrook,west_footscray,lang_lang,carlton,balwyn_north,heidelberg,yea,safety_beach,seddon,sunshine_north,sunshine,burnside_heights,broadford,east_melbourne,beaconsfield,wangaratta,newcomb,avondale_heights,nyora,aberfeldie,armadale,glen_iris,hamlyn_heights,rochester,watsonia,toolern_vale,malmsbury,thomastown,carnegie,tecoma,dutton_way,botanic_ridge,epping,wurruk,glenburn,st_albans,north_wonthaggi,craigieburn,wantirna_south,dandenong,south_kingsville,beeac,portland,fern_hill,manifold_heights,taylors_hill,hillside,fairfield,bayswater,donvale,bittern,mandurang_south,sydenham,malvern,geelong,spring_gully,hampton,malvern_east,hadfield,bundoora,lilydale,tarwin_lower,cape_paterson,rushworth,narre_warren,maldon,plumpton,derrimut,caulfield_north,leopold,stony_creek,wonthaggi,mount_eliza,bayswater_north,dimboola,mickleham,altona,caulfield,marshall,caroline_springs,mcloughlins_beach,kealba,mount_martha,highett,west_wodonga,prahran,blackburn_south,west_melbourne,fitzroy,peterborough,port_fairy,mildura,murchison,seymour,myrniong,charlemont,wonga_park,mckinnon,baranduda,doncaster_east,kalkallo,footscray,venus_bay,mooroopna,donnybrook,macs_cove,rockbank,mount_duneed,gladstone_park,cotswold,noble_park_north,keilor_east,upwey,dallas,interlaken,port_melbourne,leongatha,rhyll,emerald,longlea,koo_wee_rup,fingal,williams_landing,blairgowrie,maiden_gully,mckenzie_hill,macedon,mount_evelyn,clifton_springs,sterling_heights,cape_woolamai,manor_lakes,churchill,curlewis,heidelberg_heights,dandenong_north,sandringham,aintree,ringwood_east,springvale,toongabbie,dennington,mulgrave,abbotsford,kangaroo_flat,lynbrook,devon_north,jackass_flat,newborough,collingwood,wheatsheaf,darraweit_guim,gooram,tulloona,scotsburn,mansfield,bulleen,flora_hill,black_hill,jamieson,deer_park,narrawong,heathcote,kerang,cape_bridgewater,korong_vale,meadow_heights,parkville,seville_east,yapeen,barwon_heads,ferny_creek,northcote,lethbridge,briar_hill,hazeldene,flemington,ballan,invermay_park,indented_head,eltham_north,echuca,jeparit,toora_north,newport,gisborne,rippleside,grantville
543705.0,587000.0,442500.0,724900.0,748400.0,965000.0,3520000.0,922500.0,595000.0,610000.0,614000.0,585380.0,920000.0,478069.0,765000.0,85000.0,525000.0,655000.0,815000.0,695000.0,545000.0,399000.0,1035000.0,875000.0,370000.0,1050000.0,530000.0,415000.0,320000.0,1915000.0,1995000.0,1942500.0,1450000.0,480000.0,635000.0,378000.0,472.5,1260000.0,405000.0,412500.0,1775000.0,885000.0,560000.0,1425000.0,834750.0,705000.0,99900.0,820000.0,870.0,535000.0,419000.0,1437500.0,604500.0,890000.0,1320000.0,960000.0,1925000.0,605000.0,1070000.0,622500.0,720000.0,1125000.0,2620000.0,767500.0,1175000.0,735000.0,2150000.0,945000.0,865000.0,690000.0,1650000.0,507500.0,545000.0,350000.0,650000.0,226.5,925000.0,1150000.0,1025000.0,560000.0,459200.0,615000.0,1400000.0,608000.0,4350000.0,724000.0,730000.0,575000.0,440000.0,404000.0,730000.0,625000.0,782500.0,942500.0,1185000.0,799000.0,1680000.0,630000.0,439000.0,850000930000.0,850000.0,585876.0,1450000.0,850000.0,532592.0,580000.0,482500.0,800000.0,992500.0,705000.0,605000.0,630000.0,588000.0,1500000.0,1310000.0,630000.0,200000.0,800000.0,785000.0,800000.0,6.0,509950.0,2800000.0,850000.0,499000.0,405000.0,707500.0,419000.0,955000.0,529000.0,725000.0,659000.0,410000.0,648090.0,997500.0,550000.0,870000.0,735000.0,1020000.0,600000.0,675000.0,465000.0,995000.0,500000.0,1075000.0,1375000.0,1200000.0,1490000.0,230000.0,820000.0,1575000.0,2400000.0,840000.0,755000.0,693700.0,597500.0,472500.0,815000.0,1687500.0,724500.0,500000.0,294000.0,505000.0,350000.0,592500.0,589800.0,4150000.0,450000.0,565000.0,550000.0,825000.0,625000.0,679000.0,345000.0,1180000.0,195000.0,575000.0,623000.0,1430000.0,520000.0,649000.0,1137500.0,1900000.0,289000.0,479826.0,564000.0,541928.0,316000.0,510000.0,304000.0,490000.0,630000.0,475000.0,610000.0,650000.0,950000.0,765000.0,855000.0,745880.0,575000.0,295000.0,890000.0,1450000.0,1625000.0,645000.0,1300000.0,1522500.0,1470000.0,630000.0,945000.0,1675000.0,830000.0,748900.0,355000.0,669494.0,820000.0,730658.0,1250000.0,1440000.0,690000.0,725000.0,630000.0,722500.0,405000.0,375000.0,470000.0,935000.0,735000.0,805000.0,335000.0,860000.0,675000.0,665000.0,649000.0,248000.0,870000.0,1150000.0,880000.0,583800.0,1260000.0,520000.0,900000.0,575000.0,1950000.0,295000.0,1837500.0,620000.0,67500.0,1200000.0,1995000.0,165000000.0,235000.0,540731.0,300000.0,1200000.0,499000.0,336000.0,1837500.0,1412500.0,460000.0,860000.0,1290000.0,670000.0,625000.0,630000.0,660000.0,770000.0,595000.0,360000.0,575000.0,1150000.0,1050000.0,1600000.0,512500.0,2490000.0,700000.0,390000.0,1250000.0,2700000.0,795000.0,840000.0,615000.0,605000.0,315000.0,1224000.0,610000.0,685000.0,1200000.0,672500.0,400000.0,560000.0,1050000.0,640000.0,825000.0,750000.0,405000.0,1540000.0,484000.0,815000.0,735000.0,520000.0,612500.0,1500000.0,1732500.0,890000.0,460000.0,860000.0,619000.0,642500.0,2150000.0,420000.0,800000.0,755000.0,585000.0,245000.0,355000.0,172500.0,700000.0,1875000.0,676741.0,700000.0,1785000.0,735000.0,1050000.0,549000.0,2450000.0,722500.0,38000.0,625941.0,945000.0,1417500.0,710000.0,610000.0,285000.0,429500.0,2100000.0,1470000.0,680000.0,597500.0,1230000.0,490000539000.0,1450000.0,555085.0,1390000.0,607780.0,560000.0,390000.0,1200000.0,442274.0,875590.0,600000.0,640000.0,1280000.0,466969.0,618613.0,369000.0,480788.0,588512.0,420000.0,527500.0,632450.0,360950.0,319900.0,905000.0,860000.0,715000.0,525000.0,455400.0,595000.0,1100000.0,1375000.0,1625000.0,1107500.0,610000.0,2400000.0,450000.0,1670000.0,549000.0,700000.0,1350000.0,670000.0,1350000.0,135.0,890000.0,468274.0,459000.0,704000.0,715000.0,360000.0,1400000.0,683949.0,1200000.0,725000.0,500000.0,615000.0,1100000.0,605000.0,735000.0,630000.0,680000.0,330000.0,470000.0,435000.0,735000.0,1029000.0,895000.0,693837.0,280000.0,1650000.0,3670000.0,450000.0,492000.0,485000.0,525000.0,600000.0,320000.0,140000.0,615000.0,212500.0,362000.0,1100000.0,770000.0,795000.0,1400000.0,997500.0,1550000.0,485000.0,1340000.0,310000.0,1550000.0,604000.0,786500.0,1500000.0,463055.0,295000.0,175000.0,385000.0,1950000.0,1250000.0,389000.0,550000.0
637685.0,545378.0,1085000.0,722500.0,545000.0,,837500.0,450017.0,365000.0,,449000.0,504000.0,1220000.0,580306.0,,,,860000.0,590000.0,,,,695000.0,715000.0,395000.0,577500.0,624000.0,655000.0,340000.0,,1417500.0,,1900000.0,350000.0,,375000.0,630000.0,883000.0,,820000.0,1050000.0,1165000.0,560000.0,1365000.0,708750.0,850000.0,,525000.0,,,997500.0,745500.0,605000.0,,,588000.0,,1200000.0,,,695000.0,625000.0,445.0,787500.0,,930000.0,1550000.0,925000.0,738333.0,,,,735000.0,600000.0,690000.0,935000.0,595000.0,1225000.0,935000.0,470000.0,535000.0,609000.0,,,,,690000.0,69.0,,519000.0,362500.0,663563.0,722500.0,,,440000.0,,995000.0,390000.0,522670.6666666667,,539800.0,620000.0,985000.0,495090.0,,500000.0,,735000.0,675000.0,494900.0,757900.0,,900000.0,769000.0,375000.0,,,,795000.0,12.5,740.0,1640000.0,,765000.0,1100000.0,,389000.0,945000.0,849900.0,,,456955.0,534600.0,675000.0,815000.0,,635000.0,815000.0,,,390000.0,615000.0,,1075000.0,,,1566000.0,,1050000.0,1250000.0,459000.0,545000.0,855000.0,624900.0,685000.0,1100000.0,11.5,1350000.0,775000.0,,615000.0,,,,617400.0,,710000.0,,,,675000.0,,180000.0,1400000.0,,2400000.0,625000.0,,490000.0,730000.0,310000.0,1200000.0,,500414.0,339000.0,,526600.0,700000.0,540785.0,1470000.0,830000880000.0,990000.0,561500.0,874000.0,,,,584150.0,,295000.0,880000.0,1325000.0,1015000.0,,,1365000.0,1187500.0,,,,525000.0,666900.0,,491206.0,1187500.0,720005.0,667500.0,,595000.0,,675000.0,,605000.0,,,995000.0,575000.0,450000.0,,460000.0,,1250000.0,,479000.0,995000.0,,475000.0,589800.0,,,,620000.0,,,707500.0,,,,,,230000.0,622671.0,,385000.0,,,1575000.0,1275000.0,,,,640000.0,,,540000.0,,,597500.0,,1015000.0,,,,,780000.0,440000.0,,,,,555000.0,,,,,,,,679000.0,515000.0,,,,,385000.0,,,,630000.0,,,519619.0,,,,,,,,1286000.0,871500.0,,540000.0,,,,480000.0,620000.0,676859.0,,740000.0,,,530000.0,,512500.0,279000.0,561841.0,,,,,,,880000.0,,330000.0,,,,,519085.0,690000.0,,315000.0,425000.0,,442274.0,,,,1500000.0,592915.0,624394.0,,,632533.0,,335000.0,627026.0,,349900.0,,,,,444900.0,490000.0,547000.0,,588461.0,,,,,,,,1700000.0,,,135.0,,,589000.0,,875000.0,525000.0,1935000.0,,,724500.0,,,,,,,,330000.0,,,,,,625268.0,,,,,,,,,,,,,,,,,,,,485000.0,,,,,,,493530.0,,,,,,,
491695.0,,3450000.0,700000.0,460000.0,,1455000.0,744127.0,,,517900.0,,825000.0,599533.0,,,,610000.0,760000.0,,,,600000.0,1300000.0,330000.0,819000.0,,335000.0,340000.0,,,,1285000.0,655000.0,,,700000.0,590000.0,,787500.0,1700000.0,825000.0,590000.0,1065000.0,661500.0,,,755000.0,,,,829500.0,650000.0,,,1050000.0,,860000.0,,,,595000.0,605000.0,619500.0,,766500.0,,1275000.0,628354.0,,,,,,590000.0,,787500.0,,965000.0,,494000.0,607500.0,,,,,735000.0,467500.0,,,430000.0,367500.0,,,,,,775000.0,536139.0,820000.0,,672700.0,,,553399.0,,500000.0,,765000.0,760000.0,482160.0,822900.0,,,,409500.0,,,,850000.0,15.5,555.0,1225000.0,,420000.0,,,,995000.0,769000.0,,,471289.0,453784.0,619000.0,360000.0,,,,,,,710000.0,,,,,,,,,1400000.0,,,670500.0,309000.0,735000.0,13500001450000.0,2400000.0,1230000.0,,,,,,812700.0,,,,,,947500.0,,800000.0,1450000.0,,560900.0,682500.0,,814500.0,840000.0,,1400000.0,,,769000.0,,550954.0,,,1022500.0,478784.0,,462000.0,774000.0,,,,765000.0,,,912500.0,,1230000.0,,,514500.0,,,,,725000.0,605000.0,,625685.0,1029478.0,733122.0,,,575000.0,,714000.0,,315000.0,,,697500.0,1200000.0,,,,,,,,840000.0,,,498758.0,,,,1150000.0,,,2875000.0,,,,,,,604420.0,,,,,,,,,,,,,,,,169000.0,,,,,,,,,,,,,713100.0,,,,,,,,,,,,,,,,,,,,,1430000.0,,,,,,,,,,,,,,,,,,,994500.0,,,,,,,580185.0,,,,,,,,,,,,,,554685.0,,,,199000.0,,626000.0,,,,,,821927.0,,,597915.0,,574500.0,627026.0,,,,,,,434900.0,1125000.0,,,571813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583022.0,,810000.0,785000.0,320000.0,,670000.0,599000.0,,,415500.0,,800000.0,765500.0,,,,550000.0,985000.0,,,,,1550000.0,517500.0,724500.0,,995000.0,340000.0,,,,415000.0,,,,675000.0,2688888.0,,,1150000.0,,630000.0,1485000.0,995000.0,,,,,,,,,,,1677000.0,,945.0,,,,1100000.0,445.0,577000.0,,555000.0,,1815000.0,727384.0,,,,,,720000.0,,,,703500.0,,,600000.0,,,,,,511500.0,,,457000.0,915000.0,,,,,,902500.0,614000.0,,,616980.0,,,468901.0,,565615.0,,588000.0,755000.0,,1300000.0,,,,425000.0,,,,2650000.0,80.5,740.0,350000.0,,1200000.0,,,,,,,,242000.0,700000.0,,,,,,,,,930000.0,,,,,,,,,462500.0,,,701090.0,,,1155000.0,,,,,,,,640400.0,,,,,,,,915000.0,,,,727500.0,,,820000.0,,517500.0,,,,,651400.0,,,,645495.0,,,630000.0,,,,,,,535000.0,,656900.0,,,284000.0,,,,,,,,,,676400.0,,,510000.0,,,,480000.0,,,,220000.0,,,,,,,,,,,502424.0,,,,,,,,,,,,,,515855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,,,,,507206.0,,,,,,,,,,,,,,550948.0,,,,,,,,,,,,787238.0,,,,,455000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583022.0,,1139000.0,1000000.0,878000.0,,1950000.0,600000.0,,,449900.0,,,624935.0,,,,580000.0,840000.0,,,,,505000.0,,,,,,,,,1500000.0,,,,695000.0,,,,960000.0,,624000.0,1475000.0,,,,,,,,,,,,3541500.0,,375000.0,,,,,472500.0,640000.0,,725000.0,,840000.0,364000.0,,,,,,6.0,,,,,,,880000.0,,,,,,647500.0,,,,1170000.0,,,,,,,,,,466906.0,,,580000.0,,,,620000.0,755000.0,,686500.0,,,,660900.0,,,,,,645.0,342500.0,,,,,,,,,,284500.0,604000.0,,,,,,,,,890000.0,,,,,,,,,,,,877090.0,,,,,,,,,,,685400.0,,,,,,,,787500.0,,,,755000.0,,,1850000.0,,,,,,,462500.0,,,,525000.0,,,730000.0,,,,,,,,,612500.0,,,,,,,,,,,,,597302.0,,,,,,,1240000.0,,,,497674.0,,,,,,,,,,,527591.0,,,,,,,,,,,,,,589040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497277.0,,,,,,,,,,,,,,,,,,,,,,,,,,529964.0,,,,,597625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715000.0,,780000.0,664842.0,940000.0,,335000.0,560000.0,,,411500.0,,,,,,,130.0,,,,,,,,,,,,,,,2350000.0,,,,320000.0,,,,760000.0,,525000.0,1137500.0,,,,,,,,,,,,1835000.0,,,,,,,,617500.0,,700000.0,,,789400.0,,,,,,785000.0,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,565512.0,,,605293.0,,,,892500.0,,,990000.0,,,,,,,,,,645.0,315000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739235.0,,,,,,,,,,,,,,,,,,,,,,745000.0,,,,511187.0,,,345000.0,,,,,,,,,473.0,,,,,,,,,,,,,,,,,,,,510000.0,,,,471247.0,,,,,,,,,,,485858.0,,,,,,,,,,,,,,579021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562319.0,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612388.0,,459000.0,662809.0,1781000.0,,625000.0,750000.0,,,655000.0,,,,,,,492500.0,,,,,,,,,,,,,,,,,,,585000.0,,,,1575000.0,,647500.0,1075000.0,,,,,,,,,,,,585000.0,,,,,,,,555000.0,,1680000.0,,,622250.0,,,,,,460000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,574915.0,,,500713.0,,,,,,,615000.0,,,,,,,,,,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672850.0,,,,,,,,,,,,,,,,,,,,,,548585.0,,,,484576.0,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,,,,,,1675000.0,,,,,,,,,,,,,,,527046.0,,,,,,,,,,,,,,568431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631251.0,,698000.0,676518.0,595300.0,,628500.0,635000.0,,,608565.0,,,,,,,609000.0,,,,,,,,,,,,,,,,,,,637000647000.0,,,,,,400000.0,1365000.0,,,,,,,,,,,,1336650.0,,,,,,,,575000.0,,682500.0,,,175000.0,,,,,,905000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,548856.0,,,500281.0,,,,,,,650000.0,,,,,,,,,,645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679912.0,,,,,,,,,,,,,,,,,,,,,,637000.0,,,,491667.0,,,,,,,,,,,,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623146.0,,,,,,,,,,,,,,555130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534182.0,,705600.0,654018.0,578000.0,,535000.0,610000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627000.0,1100000.0,,,,,,,,,,,,772800.0,,,,,,,,577243.0,,920000.0,,,535536.0,,,,,,550000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,549950.0,,,526306.0,,,,,,,650000.0,,,,,,,,,,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703054.0,,,,,,,,,,,,,,,,,,,,,,586285.0,,,,598063.0,,,,,,,,,,,,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576206.0,,,,,,,,,,,,,,545995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325000.0,,800000.0,644843.0,1180000.0,,312000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000.0,1115000.0,,,,,,,,,,,,1173900.0,,,,,,,,646698.0,,1230000.0,,,474722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469950.0,,,,,,,,,,650000.0,,,,,,,,,,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390000.0,,,,,,,,,,,,,,,,,,,,,,594000604000.0,,,,516953.0,,,,,,,,,,,,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595768.0,,,,,,,,,,,,,,632533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
