weir_views,huntly,beveridge,gisborne,epsom,werribee,armstrong_creek,traralgon,delacombe,lara,berwick,officer,bentleigh_east,mulgrave,whittlesea,cranbourne_north,warragul,strathtulloh,north_melbourne,cranbourne_east,truganina,glen_waverley,mount_waverley,altona_meadows,carnegie,tarneit,shepparton,lockwood,point_cook,malvern_east,preston,endeavour_hills,clayton,clyde_north,scoresby,clayton_south,reservoir,wollert,melbourne,docklands,westmeadows,prahran,ormond,hillside,richmond,charlemont,lower_plenty,delahey,melton_west,clyde,kensington,highton,mount_eliza,south_yarra,burwood,mornington,braybrook,alphington,grovedale,cranbourne,coonooer_bridge,springvale,mentone,bayles,keysborough,wendouree,ferntree_gully,essendon,belmont,dandenong,langwarrin,seaford,elwood,winchelsea,ashburton,craigieburn,mooroolbark,yarraville,box_hill_north,doncaster,balwyn_north,mickleham,mitcham,caulfield,essendon_north,broadford,diamond_creek,bayswater,moonee_ponds,drouin,dingley_village,briar_hill,fraser_rise,box_hill_south,drysdale,orbost,hawthorn_east,forest_hill,ocean_grove,heidelberg_heights,kilmore,altona,narre_warren_south,southbank,muckleford,port_melbourne,avondale_heights,maryborough,frankston,frankston_north,kennington,carlton,kangaroo_flat,coburg,croydon_north,brookfield,mount_evelyn,fitzroy,bacchus_marsh,caulfield_north,portland,avenel,rosebud,myrtleford,ringwood,doncaster_east,brunswick_west,watsonia,west_melbourne,yea,mansfield,mcloughlins_beach,mallacoota,footscray,st_kilda_east,narre_warren,keilor_downs,nicholson,ascot_vale,wantirna_south,aintree,batesford,taylors_hill,belgrave_south,williamstown,carrum,rowville,lorne,greensborough,yarra_glen,clifton_hill,saint_leonards,pakenham,cheltenham,croydon_south,fawkner,loch_sport,colac,wallington,box_hill,lilydale,hawthorn,boronia,upwey,herne_hill,lyndhurst,catani,newborough,spotswood,panton_hill,safety_beach,middle_park,thomastown,melton_south,windsor,rockbank,nambrok,camperdown,st_albans,korumburra,caulfield_south,glenrowan_west,kangaroo_ground,niddrie,cape_clear,west_footscray,eltham,leongatha,northcote,california_gully,dandenong_north,avonsleigh,caulfield_east,north_geelong,sunshine,blackburn_north,harcourt,cottles_bridge,crib_point,werribee_south,springvale_south,bendigo,wyndham_vale,st_kilda,doveton,maribyrnong,hoppers_crossing,kalkallo,newport,murrumbeena,west_wodonga,mildura,torquay,brighton,nyora,south_melbourne,edithvale,sandringham,roxburgh_park,parkdale,pascoe_vale,sunbury,bentleigh,cobblebank,norlane,north_bendigo,mount_martha,cowes,tootgarook,hastings,bright,somerville,dalmore,cannons_creek,strathdale,ringwood_north,bundoora,horsham,burwood_east,belgrave,nagambie,vermont,corio,edenhope,seddon,seville_east,moorabbin,bullengarook,kialla,blackburn,strathmore,hepburn,wantirna,leopold,sunshine_north,strathfieldsaye,oakleigh,paynesville,beaconsfield_upper,brooklyn,brunswick,wallan,hamlyn_heights,emerald,surrey_hills,croydon,maiden_gully,aberfeldie,apollo_bay,cranbourne_west,hampton,south_kingsville,bulleen,eaglehawk,geelong_west,diggers_rest,venus_bay,noble_park,longwarry,somers,patterson_lakes,redan,cobden,hopetoun_park,elsternwick,rye,kingsville,tawonga,churchill,abbotsford,baranduda,thornhill_park,bannockburn,riddells_creek,badger_creek,altona_north,pascoe_vale_south,sandhurst,ballarat_east,sailors_gully,dalyston,warracknabeal,glen_huntly,saint_kilda_west,dromana,morwell,coldstream,thornbury,strath_creek,doreen,gunbower,epping,healesville,lysterfield,wyuna,warranwood,carrum_downs,caroline_springs,keilor_east,wandin_north,newtown,cranbourne_south,glenrowan,dunolly,camberwell,donnybrook,macleod,woodend,williams_landing,sydenham,smythesdale,saint_albans_park,deer_park,natimuk,armadale,seymour,san_pedro_garza_garcía,maffra,mernda,chelsea,middleham,hamilton,noble_park_north,nunawading,gormandale,notting_hill,gordon,manor_lakes,wy_yung,portarlington,yarram,tarraville,jackass_flat,ashwood,kurunjang,kew,seaholme,eildon,mount_duneed,peterborough,officer_south,plumpton,inverloch,spring_gully,bonnie_doon,waurn_ponds,cressy,wattle_glen,echuca,cape_paterson,samaria,glengarry_west,tallarook,vite_vite,greendale,heywood,maldon,yallourn_north,wallangarra,marengo,golden_beach,mirboo_north,nelson,north_wonthaggi,daisy_hill,castlemaine,hazeldene,heathmont,ringwood_east,heidelberg,berringa,heathcote,girgarre,lardner,mortlake,capel_sound,tyabb,clifton_springs,launching_place,point_lonsdale,south_morang,bairnsdale,nullawarre,geelong,buninyong,metung,wangaratta,eltham_north,ventnor,sale,lismore,marshall,beaconsfield,malvern,chanute,hampton_park,branxholme,brunswick_east,mambourin,benalla,daylesford,canterbury,smythes_creek,numurkah,moe,oakleigh_south,kerang,wonthaggi,elmore,cockatoo,curlewis,christmas_hills,nar_nar_goon_north,the_basin,rokeby,greenvale,traralgon_east,chelsea_heights,lakes_entrance,wodonga,mccrae,skye,montmorency,traralgon_south,gisborne_south,beaumaris,rushworth,coffeyville
573185.0,470681.0,611185.0,778585.0,972885.0,602885.0,572785.0,489785.0,545785.0,583885.0,630000.0,724400.0,1450000.0,1100000.0,770000.0,660900.0,500000.0,549900.0,1170000.0,865000.0,549900.0,2688888.0,1566000.0,720000.0,1320000.0,370000.0,312000.0,944500.0,840000.0,1286000.0,880000.0,832500.0,915000.0,650000.0,675000.0,880000.0,745000.0,724900.0,615000.0,830000.0,705000.0,729500.0,480000.0,490000.0,660000.0,595000.0,483000.0,609000.0,667500.0,660000.0,1050000.0,789000.0,2450000.0,672500.0,337500.0,1225000.0,691000.0,1365000.0,679000.0,915000.0,55000.0,2735000.0,310500.0,1550000.0,789360.0,460000.0,892500.0,1725000.0,545000.0,575000.0,530000.0,575000.0,945000.0,804000.0,2100000.0,560000.0,925000.0,725000.0,860000.0,667500.0,1250000.0,555000.0,1470000.0,1470000.0,525000.0,940000.0,765000.0,945000.0,488000.0,895000.0,1375000.0,755000.0,643900.0,2250000.0,1200000.0,225000.0,609000.0,1312500.0,2100000.0,617500.0,445000.0,467500.0,882000.0,1812500.0,1050000.0,420000.0,945000.0,345000.0,720000.0,587500.0,610000.0,699000.0,730000.0,1275000.0,682500.0,500000.0,899950.0,3125000.0,799000.0,375000.0,169500.0,225000.0,810000.0,970000.0,525000.0,1554000.0,555000.0,910000.0,619500.0,472500.0,565000.0,395000.0,480000.0,560000.0,1805000.0,480000.0,760000.0,85000.0,1350000.0,455000.0,729000.0,920000.0,945000.0,1300000.0,735000.0,825000.0,735000.0,200000.0,1200000.0,1750000.0,1100000.0,489000.0,546000.0,677500.0,825000.0,615000.0,525000.0,437000.0,1400000.0,3525000.0,1050000.0,675000.0,910000.0,819000.0,810000.0,680000.0,450000.0,445249.0,765000.0,2100000.0,920000.0,3700000.0,850000.0,605000.0,675000.0,466046.0,648000.0,525000.0,575000.0,420000.0,840000.0,750000.0,2975000.0,1877500.0,550000.0,472500.0,1650000.0,590000.0,575000.0,470000.0,405000.0,855000.0,3150000.0,560000.0,709900.0,1050000.0,770000.0,1630000.0,560000.0,432500.0,945000.0,880000.0,555000.0,310000.0,460000.0,553990.0,472500.0,626990.0,1250000.0,1470000.0,409000.0,2500000.0,1300000.0,850000.0,506056.0,479000.0,960000.0,1650000.0,525000.0,785000.0,540000.0,585680.0,2025000.0,399000.0,540000.0,580000.0,2625000.0,600000.0,872500.0,840000.0,1890000.0,945000.0,653722.0,575000.0,805000.0,1150000.0,1150000.0,469000.0,1400000.0,787500.0,585000.0,890000.0,405000.0,249500.0,2650000.0,625000.0,1275000.0,1700000.0,599300.0,682500.0,1100000.0,695000.0,1100000.0,850000.0,628000.0,850000.0,1825000.0,210000.0,915000.0,720000.0,315000.0,677500.0,1225000.0,1300000.0,775000.0,875000.0,615000.0,1750000.0,1100000.0,584000.0,875000.0,1295000.0,1900000.0,712500.0,980000.0,275000.0,549000.0,702500.0,1325000.0,1050000.0,1080000.0,525000.0,325000.0,1149000.0,1340000.0,1032500.0,285000.0,990000.0,362500.0,350000.0,559000.0,650000.0,484000.0,1037500.0,1260000.0,1050000.0,1470000.0,1012500.0,600000.0,455000.0,250000.0,295000.0,405000.0,875000.0,402500.0,315000.0,2100000.0,345000.0,310000.0,610000.0,89000.0,640000.0,1500000.0,1218000.0,237500.0,1750000.0,517500.0,940000.0,630000.0,715000.0,674000.0,695000.0,945000.0,250000.0,1775000.0,583785.0,1000000.0,895000.0,400000.0,460000.0,499000.0,435000.0,542500.0,249000.0,840000.0,620000.0,1285000.0,2300000.0,709425.0,770000.0,608758.0,349000.0,775000.0,1150000.0,460000.0,1250000.0,5160000.0,568750.0,750000.0,395000.0,490000.0,1200000.0,844375.0,1500000.0,360000.0,1100000.0,1150000.0,220500.0,860000.0,533090.0,557700.0,671165.0,1325000.0,84000.0,600000.0,819000.0,402500.0,995000.0,350000.0,1140000.0,395000.0,990000.0,710000.0,310000.0,2600000.0,220000.0,1100000.0,440000.0,463710.0,900000.0,450000.0,350000.0,354000.0,609000.0,600000.0,925000.0,177500.0,1150000.0,787500.0,775000.0,307500.0,965000.0,549000.0,3450000.0,130000.0,399000.0,934500.0,670000.0,1450000.0,1850000.0,700000.0,330000.0,770000.0,4725000.0,815000.0,950000.0,889000.0,510290.0,885000.0,1200000.0,240000.0,550000.0,920000.0,465000.0,1050000.0,622500.0,579000.0,1050000.0,638329.0,815000.0,679000.0,4700000.0,285000.0,431800.0,210000.0,499950.0,165000.0,729000.0,270000.0,703500.0,715000.0,625000.0,1150000.0,735000.0,1462000.0,815000.0,855000.0,955000.0,100000.0,737500.0,1044500.0,710000.0,840000.0,825000.0,2782500.0,1950000.0,650000.0,650000.0
584785.0,457581.0,609900.0,887895.0,925885.0,440000.0,585000.0,455556.0,539385.0,745000.0,1050000.0,727900.0,450000.0,,,550000.0,1400000.0,,528000.0,,585000.0,1350000.0,855000.0,720000.0,1150000.0,510000.0,660000.0,,745000.0,945000.0,800000.0,700000.0,545000.0,775000.0,619000.0,535000.0,650000.0,504000.0,1232500.0,1065000.0,,,1850000.0,825000.0,1350000.0,,,765000.0,60500.0,750886.0,480000.0,750000.0,2300000.0,462500.0,1365000.0,727500.0,597500.0,512694.0,615000.0,926700.0,,860000.0,905000.0,,777920.0,525000.0,705000.0,1925000.0,625000.0,340000.0,490000.0,870000.0,625000.0,515000.0,,700000.0,950000.0,,1850000.0,1312500.0,1459500.0,638990.0,960000.0,1725000.0,610000.0,,,917500.0,455000.0,749000.0,1025000.0,885000.0,583900.0,1575000.0,610000.0,,490000.0,,590000.0,409500.0,500000.0,1000000.0,615000.0,409500.0,,1250000.0,700000.0,,945000.0,598500.0,870000.0,1300000.0,465000.0,1300000.0,1250000.0,,,,402000.0,892500.0,537500.0,,785000.0,,970000.0,365000.0,295000.0,,480000.0,,,,,1015000.0,1600000.0,775000.0,599162.0,,1740000.0,399000.0,,970000.0,870000.0,,82000000.0,1460000.0,975000.0,,,,2100000.0,899000.0,590000.0,525000.0,,,135000.0,367500.0,,2625000.0,1200000.0,,805000.0,774500.0,,1029000.0,2600000.0,476192.0,,,470000.0,,420000.0,414000.0,630000.0,483411.0,,,700000.0,,1270000.0,,259000.0,1650000.0,,272500.0,1250000.0,450000.0,840000.0,512500.0,655000.0,,,624000.0,650000.0,1450000.0,,,597500.0,,502500.0,815000.0,570595.0,605000.0,519500.0,,555000.0,,1150000.0,820000.0,409000.0,523950.0,1025000.0,885000.0,,511500.0,,22500038.0,575000.0,,605000.0,580435.0,,399000.0,450000.0,,1872500.0,520000.0,832500.0,785000.0,,,653722.0,,840000.0,,945000.0,23900056.0,630000.0,,,460000.0,374000.0,,,,525000.0,,680000.0,1890000.0,700000.0,,,,775000.0,636300.0,589800.0,,,,2300000.0,275000.0,719000.0,,920000.0,1144500.0,,,,622500.0,2525000.0,,,650000.0,,,,585000.0,1325000.0,,,,,,997500.0,1540000.0,,,,525000.0,,683455.0,,,,,,,,,1400000.0,,569327.0,,,545000.0,,1700000.0,,1050000.0,,,700000.0,600000.0,,,,630000.0,660000.0,845000.0,,754850.0,,,,720818.0,1100000.0,915000.0,,357500.0,,,,,,895000.0,,595000.0,614485.0,,,,775000.0,,,1155000.0,,568750.0,,,,,609264.0,,,1160000.0,,,,470419.0,,,,,,750000.0,,,,,,,2200000.0,,,,,,463710.0,,,,,735000.0,,,,,,,,,,,,,,,,,,,,,,659000.0,799000.0,586904.0,,,,,997500.0,,,,,,,,,,,,170000.0,,,,270000.0,840000.0,,,,,,,,,,,,,,,,,,
623985.0,525040.0,720000.0,906429.0,720000.0,567477.0,661162.0,285000.0,527485.0,564085.0,820000.0,621783.0,1450000.0,,,670000.0,1650000.0,,,,585000.0,,980000.0,467250.0,1500000.0,697140.0,344000.0,,870000.0,,682500.0,,416000.0,657100.0,849000.0,585000.0,825000.0,678885.0,1002500.0,365000.0,,,,735000.0,1350000.0,,,,459000.0,537600.0,535000.0,874000.0,1722500.0,624750.0,,1207500.0,547500.0,1650000.0,649000.0,680000.0,,,860000.0,,777920.0,,824000.0,,775000.0,735000.0,808500.0,610000.0,,,,675000.0,950000.0,,,600000.0,2850000.0,598990.0,729750.0,,300000.0,,,840000.0,735000.0,1200000.0,,,645000.0,945000.0,,,2450000.0,,1837500.0,,555000.0,,650000.0,375000.0,,,1295000.0,,892500.0,,,,515000.0,575000.0,,,,,,760000.0,410000.0,,605000.0,,507500.0,495000.0,499000.0,,,,,,,1200000.0,395000.0,725000.0,,,875000.0,,,,,,589000.0,,945000.0,,,,,650000.0,720000.0,1400000.0,,,,325000.0,,487500.0,,,,820000.0,,1050000.0,,,,,5750000.0,,,,,580000.0,,,,,1750000.0,,,1237500.0,,,,,,,619500.0,,,,675000.0,840000.0,,,,,795000.0,485000.0,655000.0,510000.0,,,795000.0,,,,,,1732500.0,1575000.0,,665000.0,,,,,,580435.0,,,,,1680000.0,1150000.0,,,,,798543.0,,,,825000.0,,,,,,,,,,,,,,,,,,,,560000.0,,,,,450000.0,,,1220000.0,650000.0,,,,,2445000.0,,,415000.0,,,,786000.0,,,,,,,,1540000.0,,,,,,681755.0,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,,,,,,754940.0,,,,290000.0,,,,,,620000.0,,,582225.0,,,,,,,,,,,,,,626135.0,,,750000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496695.0,,612900.0,821928.0,,554901.0,703008.0,449000.0,,633660.0,735000.0,631806.0,2625000.0,,,1030000.0,630000.0,,,,565000.0,,,795000.0,720000.0,653742.0,390450.0,,555000.0,,735000.0,,819000.0,598500.0,,605000.0,,649585.0,838750.0,51500000.0,,,,,682500.0,,,,619000.0,670757.0,,,,612500.0,,1150000.0,,855000.0,,922266.0,,,475000.0,,794560.0,,,,575000.0,365000.0,628500.0,500000.0,,,,,560000.0,,,495000.0,1400000.0,450000.0,,,,,,787500.0,,490000.0,,,619080.0,,,,808000.0,,4995000.0,,530423.0,,614000.0,460000.0,,,,,717500.0,,,,1035000.0,1050000.0,,,,,,,475000.0,,685000.0,,682500.0,1470000.0,525000.0,,,,,,,411840.0,735000.0,720000.0,,,840000.0,,,,,,1050000.0,,,,,,,995000.0,575000.0,2225000.0,,,,,,,,,,,,,,,,,,,,,,483411.0,,,,,,,,997500.0,,,,,,,756000.0,,,,997500.0,1075000.0,,,,,,,,500000.0,,,,,,,,,940000.0,,,,,,,,,770000.0,,,,,1732500.0,805000.0,,,,,690850.0,,,,580000.0,,,,,,,,,,,,,,,,,,,,660000.0,,,,,,,,825000.0,,,,,,,,,,,,,785000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,587085.0,673685.0,,412500.0,456503.0,484985.0,,571601.0,,654609.0,,,,,695000.0,,,,528000.0,,,500000.0,660000.0,625776.0,185000.0,,803357.0,,705000.0,,,679000.0,,1250000.0,,383950.0,773750.0,442500.0,,,,,,,,,,535000.0,,,,,,,,,,700000.0,,,,,759200.0,,,,765000.0,,545000.0,649500.0,,,,,,,,560000.0,1775000.0,,,,,,,,,434500.0,,,645641.0,,,,767000.0,,,,,,735000.0,339500.0,,,,,835000.0,,,,,595000.0,,,,,,,,,849000.0,,650000.0,,,,,,,,,404040.0,1675000.0,747500.0,,,1100000.0,,,,,,728000.0,,,,,,,,570000.0,,,,,,,,,,,,,,,,,,,,,,,466046.0,,,,,,,,,,,,,,,703500.0,,,,,1130000.0,,,,,,,,3150000.0,,,,,,,,,1460000.0,,,,,,,,,590680.0,,,,,,815000.0,,,,,750027.0,,,,735000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,627611.0,733565.0,,505000.0,569500.0,548125.0,,544708.0,,659169.0,,,,,568977.0,,,,636000.0,,,,525000.0,527944.0,204000.0,,794357.0,,529000.0,,,646300.0,,,,606295.0,1078500.0,,,,,,,,,,,574000.0,,,,,,,,,,450000.0,,,,,759200.0,,,,656618.0,,,,,,,,,,,1890000.0,1890000.0,,,,,,,,,502500.0,,,482710.0,,,,856000.0,,,,,,,470000.0,,,,,575000.0,,,,,,,,,,,,,,,,,,,,,,,,,405480.0,1850000.0,615000.0,,,535000.0,,,,,,,,,,,,,,720000.0,,,,,,,,,,,,,,,,,,,,,,,839000.0,,,,,,,,,,,,,,,675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,662785.0,650000.0,,344000.0,474312.0,502285.0,,,,892500.0,,,,,960000.0,,,,585000.0,,,,560000.0,446141.0,300000.0,,1290000.0,,1200000.0,,,825000.0,,,,612485.0,597600.0,,,,,,,,,,,,,,,,,,,,,,,,,,785200.0,,,,559992.0,,,,,,,,,,,880000.0,,,,,,,,,,890000.0,,,689773.0,,,,477250.0,,,,,,,700000.0,,,,,915000.0,,,,,,,,,,,,,,,,,,,,,,,,,514800.0,880000.0,517500.0,,,,,,,,,,,,,,,,,440000.0,,,,,,,,,,,,,,,,,,,,,,,389990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,549950.0,,,575085.0,560185.0,499000.0,,,,500000.0,,,,,710000.0,,,,595000.0,,,,675000.0,699030.0,362500.0,,624500.0,,697500.0,,,774300.0,,,,560000.0,1123750.0,,,,,,,,,,,,,,,,,,,,,,,,,,713000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,571803.0,,,,685000.0,,,,,,,624000.0,,,,,724500.0,,,,,,,,,,,,,,,,,,,,,,,,,796200.0,,,,,,,,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,,,,,,,594900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516888.0,689745.0,649000.0,,,,598620.0,,,,,865000.0,,,,690000.0,,,,635000.0,624091.0,535000.0,,,,840000.0,,,760400.0,,,,485000.0,1220000.0,,,,,,,,,,,,,,,,,,,,,,,,,,725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,571803.0,,,,,,,,,,,770000.0,,,,,812500.0,,,,,,,,,,,,,,,,,,,,,,,,,792000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505485.0,631573.0,565595.0,,,,696900.0,,,,,,,,,585000.0,,,,,655111.0,500000.0,,,,,,,718300.0,,,,,816800.0,,,,,,,,,,,,,,,,,,,,,,,,,,865000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,427010.0,,,,,,,,,,,570000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
