warragul,bentleigh_east,mulgrave,cranbourne_north,donnybrook,clyde,armstrong_creek,marong,sunbury,mooroopna,rockbank,north_melbourne,glen_waverley,mount_waverley,carnegie,malvern_east,preston,scoresby,capel_sound,reservoir,nyora,tarneit,bundoora,dandenong_north,norlane,drouin,keysborough,craigieburn,kensington,sunshine,eaglemont,rye,berwick,endeavour_hills,langwarrin,cheltenham,parkdale,highton,doreen,oakleigh_south,mirboo_north,pakenham,dingley_village,safety_beach,werribee,heatherton,clyde_north,frankston,warrnambool,plumpton,prahran,northcote,footscray,chirnside_park,ocean_grove,melbourne,sunshine_west,hampton_park,dandenong,camberwell,carlton_north,wantirna,carrum_downs,scarsdale,noble_park,armadale,goomalibee,saint_albans_park,kilmore,mentone,rosebud,williamstown,hastings,ballan,mount_martha,aspendale,south_yarra,altona,glenroy,sale,essendon,st_kilda,lilydale,wallan,diamond_creek,chelsea,mordialloc,nar_nar_goon_north,abbotsford,frankston_south,point_cook,mernda,nicholson,oak_park,bairnsdale,barwon_heads,corio,croydon,baltimore,hawthorn_east,rippleside,bright,wyndham_vale,altona_meadows,east_geelong,grovedale,kingston,cobram,bayswater_north,carlton,pascoe_vale,traralgon,st_albans,brighton,forest_hill,pascoe_vale_south,paynesville,ferntree_gully,keilor_east,narre_warren_south,grantville,maidstone,greensborough,kew,hampton,officer,fawkner,montmorency,tatura,san_remo,hillside,ivanhoe_east,melton,edenhope,brunswick_east,altona_north,falls_creek,kilsyth,north_geelong,yarraville,alfredton,loch_sport,mitcham,mambourin,balwyn_north,mount_eliza,ringwood,shepparton,burnside_heights,fyansford,mildura,lakes_entrance,black_rock,tanjil_south,doveton,weir_views,boolarra,coburg,balwyn,kings_park,doncaster,sandringham,cranbourne,alexandra,docklands,balaclava,blind_bight,beulah,fraser_rise,broadmeadows,bundalong,maiden_gully,bacchus_marsh,elwood,cowwarr,darley,knoxfield,narre_warren_north,highett,mornington,thomastown,somerville,truganina,romsey,yarra_glen,essendon_north,thomson,seymour,albanvale,williams_landing,botanic_ridge,narre_warren,murrayville,melton_west,north_wonthaggi,eltham,newcomb,geelong_west,hamlyn_heights,westmeadows,ardeer,maribyrnong,caulfield_south,bass,cairnlea,heidelberg_west,tawonga,trentham,ascot_vale,baxter,rowville,emu_creek,cowes,frankston_north,wonga_park,deanside,dromana,cocoroc,monbulk,junction_village,lalor,lower_plenty,richmond,moonee_ponds,mandurang_south,hadfield,deer_park,corinella,greenvale,kyneton,flora_hill,myrtleford,lara,hazelwood_north,miners_rest,koo_wee_rup,waterways,montrose,cranbourne_east,caroline_springs,clifton_hill,yarragon_south,saint_kilda_west,eltham_north,princes_hill,saint_andrews,donvale,seaford,murrumbeena,brunswick,maryborough,box_hill,selby,west_footscray,mooroolbark,heathmont,pearcedale,belmont,broadford,blackburn,caulfield_north,big_hill,beaconsfield,yarragon,mount_helen,forrest,kalkallo,mill_park,wallington,newhaven,marshall,sydenham,croydon_south,mount_evelyn,morwell,williamstown_north,arthurs_creek,braybrook,travancore,kurunjang,brown_hill,south_morang,malvern,box_hill_south,briar_hill,sunshine_north,mount_clear,burwood,daylesford,brighton_east,new_gisborne,officer_south,coleraine,southbank,horsham,epsom,kinypanial,winchelsea,windsor,cranbourne_west,delacombe,moolap,ouyen,healesville,sebastopol,little_river,newborough,north_shore,blackburn_north,hawthorn,eden_park,whittington,st_kilda_east,beveridge,elsternwick,wollert,baddaginnie,epping,roxburgh_park,lang_lang,bayswater,harkness,jeparit,charlton,mansfield,boronia,merton,springvale,kangaroo_flat,goughs_bay,beechworth,kirkstall,ecklin_south,nyah_west,cranbourne_south,axedale,wangaratta,avenel,surrey_hills,doncaster_east,thornhill_park,inverloch,south_melbourne,saint_leonards,long_gully,box_hill_north,jacana,lancefield,eppalock,bittern,benalla,foster,bendigo,flowerdale,maddingley,oakleigh_east,sandhurst,goldie,leongatha,hurstbridge,meeniyan,portland,devils_river,bunyip,fryerstown,melton_south,mickleham,burwood_east,kingsbury,cape_woolamai,hallam,bonnie_brook,christmas_hills,nelson,templestowe,garfield,newington,kerang,hamilton,venus_bay,seabrook,jamieson,strathtulloh,seaholme,charlemont,traralgon_south,chanute,fingal,fitzroy,clunes,fitzroy_north,yarrawonga,maldon,strathdale,castlemaine,kalorama,clifton_springs,whittlesea,dadswells_bridge,glenrowan,guildford,golden_square,templestowe_lower,campbellfield,grahamvale,lyndhurst,torquay,wonthaggi,allansford,strathfieldsaye,yarram,werribee_south,lucknow,seddon,moe,somers,cockatoo,attwood,wallace,ventnor,ringwood_east,hoppers_crossing,ringwood_north,skye,oakleigh,taylors_hill,mount_burnett,huntly,golden_point,airport_west,inglewood,brunswick_west,jackass_flat,steels_creek,dartmoor,clayton
580500.0,1450000.0,1100000.0,660900.0,663595.0,624085.0,632585.0,497691.0,563085.0,461460.0,486600.0,1170000.0,2688888.0,1566000.0,1320000.0,1286000.0,880000.0,675000.0,825000.0,745000.0,561775.0,540000.0,580000.0,870000.0,399000.0,414950.0,1200000.0,330750.0,1070000.0,815000.0,1775000.0,1175000.0,975000.0,760000.0,980000.0,1187500.0,1225000.0,674000.0,575000.0,1250000.0,850000.0,775000.0,900000.0,715000.0,320000.0,2400000.0,760000.0,852500.0,599900.0,830000.0,655000.0,695000.0,1150000.0,600000.0,540000.0,700000.0,650000.0,622500.0,402500.0,657500.0,1200000.0,645000.0,690000.0,765000.0,262500.0,451500.0,715000.0,635000.0,676500.0,1850000.0,1150000.0,1350000.0,810000.0,814000.0,1190000.0,1725000.0,315000.0,945000.0,635000.0,559000.0,1400000.0,525000.0,910000.0,585000.0,950000.0,725000.0,925000.0,1050000.0,557500.0,1365000.0,740000.0,710000.0,500000.0,555000.0,450000.0,430000.0,555000.0,1400000.0,675000.0,1675000.0,535000.0,1390000.0,528000.0,575000.0,374000.0,765000.0,875000.0,299000.0,575000.0,412500.0,885000.0,565000.0,624500.0,1050000.0,682500.0,1365000.0,489000.0,809000.0,680000.0,798000.0,595000.0,830000.0,945000.0,945000.0,2150000.0,823600.0,747500.0,805000.0,630000.0,650000.0,775000.0,1797500.0,322000.0,129000.0,935000.0,890000.0,425000.0,735000.0,825000.0,1200000.0,340000.0,145000.0,556750.0,614300.0,787500.0,475000.5,1650000.0,335000.0,640000.0,935000.0,550000.0,379000.0,3450000.0,675000.0,777000.0,282000.0,270000.0,340000.0,440000.0,435000.0,945000.0,3300000.0,775000.0,365000.0,1150000.0,1350000.0,672500.0,270000.0,597500.0,472500.0,519000.0,795000.0,614000.0,607500.0,450000.0,474000.0,1192250.0,1350000.0,555000.0,1050000.0,575000.0,790000.0,465888.0,540000.0,670000.0,385000.0,525000.0,579000.0,590000.0,805000.0,853200.0,740000.0,40000.0,395000.0,845000.0,725000.0,554000.0,825000.0,775000.0,560000.0,470000.0,405000.0,1575000.0,669000.0,860100.0,560000.0,960000.0,450000.0,1210000.0,775000.0,1020700.0,1825000.0,799000.0,575000.0,880000.0,610075.0,810000.0,925885.0,1615000.0,753800.0,890000.0,1050000.0,445000.0,1200000.0,905000.0,415000.0,480000.0,940000.0,820000.0,870000.0,415000.0,980000.0,1550000.0,985000.0,1340000.0,682500.0,1300000.0,1335000.0,815000.0,523950.0,1650000.0,1625000.0,435000.0,1050000.0,1350000.0,1300000.0,665000.0,922500.0,545000.0,825000.0,490000.0,2520000.0,735000.0,600000.0,915000.0,1430000.0,915000.0,622500.0,600000.0,575000.0,1995000.0,525000.0,420000.0,535000.0,885000.0,1700000.0,502833.0,3475000.0,1550000.0,1550000.0,618860.0,460000.0,870000.0,1380000.0,375000.0,1050000.0,1890000.0,885000.0,500000.0,1004000.0,972500.0,346000.0,1650000.0,1200000.0,575000.0,775000.0,440000.0,1250000.0,910000.0,1680000.0,830000.0,465000.0,35000.0,520000.0,354000.0,700000.0,250000.0,1325000.0,597500.0,600000.0,687500.0,1785000.0,210000.0,910000.0,349000.0,1500000.0,382500.0,520000.0,1145000.0,365000.0,1700000.0,435000.0,535000.0,510500.0,570000.0,455000.0,1300000.0,735000.0,490000.0,735000.0,525000.0,480000.0,95000.0,75000.0,1417500.0,787500.0,945000.0,370000.0,480000.0,655000.0,755000.0,993200.0,815000.0,37999.0,724800.0,860000.0,440000.0,570000.0,920000.0,1200000.0,235000.0,600000.0,679000.0,875000.0,405000.0,1050000.0,483000.0,435000.0,500000.0,724500.0,460000.0,1450000.0,415000.0,150000.0,535000.0,775000.0,1027500.0,1377500.0,689000.0,1850000.0,1200000.0,375000.0,681850.0,460000.0,1027500.0,440000.0,770185.0,595000.0,795000.0,824000.0,785000.0,624900.0,2500000.0,114000.0,3000000.0,1175000.0,300000.0,305000.0,319000.0,849000.0,560000.0,600000.0,616000.0,1130000.0,580000.0,699000.0,892500.0,1670000.0,2400000.0,565000.0,700000.0,599200.0,489000.0,525000.0,1045000.0,787500.0,625000.0,1850000.0,1050000.0,489000.0,425000.0,477500.0,1300000.0,599000.0,820000.0,705000.0,765000.0,525000.0,550000.0,700000.0,429000.0,920000.0,2225000.0,515000.0,415000.0,1925000.0,682500.0,1050000.0,974000.0,2300000.0,1150000.0,620000.0,840000.0,700000.0,470000.0,895000.0,905000.0,534740.0,385000.0,765000.0,240000.0,400000.0,594782.0,1350000.0,751500.0,528900.0
617400.0,1900000.0,820000.0,760000.0,614395.0,787500.0,694500.0,509681.0,580000.0,451050.0,620000.0,440000.0,1365000.0,1150000.0,1150000.0,682500.0,800000.0,619000.0,760000.0,650000.0,549200.0,615000.0,735000.0,575000.0,477500.0,414950.0,570000.0,402500.0,2750000.0,,2287500.0,675000.0,815000.0,800000.0,820000.0,1225000.0,1400000.0,620000.0,825000.0,,,785000.0,1015000.0,970000.0,405000.0,370000.0,742050.0,699500.0,,,372500.0,960000.0,890000.0,,900000.0,840000.0,674000.0,691300.0,870000.0,3550000.0,1650000.0,997500.0,420000.0,,725000.0,18950000.0,,554000.0,608500.0,570000.0,2325000.0,1200000.0,895000.0,260000.0,1575000.0,1350000.0,997500.0,1030000.0,875000.0,412500.0,535000.0,612500.0,1050000.0,603385.0,1522500.0,510000.0,822500.0,,900000.0,1837500.0,595000.0,575000.0,,,435000.0,,345000.0,755000.0,,525000.0,,,585000.0,772500.0,724000.0,,,,840000.0,1450000.0,525000.0,795000.0,270000.0,2750000.0,1239000.0,710000.0,565000.0,,1050000.0,850000.0,610000.0,1150000.0,1150000.0,1675000.0,1550000.0,812700.0,725000.0,1150000.0,385000.0,519000.0,375000.0,2350000.0,,,695000.0,1130000.0,,830000.0,293000.0,1250000.0,300000.0,140000.0,1300000.0,,2350000.0,1500000.0,1020000.0,629000.0,,,,,,,495000.0,350000.0,300000.0,755000.0,,,,,,,1085000.0,1440000.0,,119000.0,566463.0,580000.0,7900000.0,440000.0,595000.0,1155000.0,,,,2250000.0,555800.0,650000.0,,840000.0,380000.0,892500.0,,,724000.0,410000.0,,,640000.0,810000.0,,824000.0,,1300000.0,,835000.0,480000.0,,715000.0,,,,,,,,2520000.0,,927300.0,,1195000.0,,,,1045500.0,,890000.0,611700.0,475000.0,,1237500.0,6900000.0,,,525000.0,1030000.0,865000.0,,,1750000.0,390000.0,,720000.0,,,,385000.0,555000.0,,,,514800.0,,,,,1412500.0,925000.0,519500.0,480000.0,1155000.0,,590000.0,675000.0,,995000.0,660000.0,550000.0,1025000.0,,420000.0,,,,683606.0,,,,,,905000.0,690000.0,299000.0,,,710000.0,,600000.0,,,1970000.0,1095000.0,,705000.0,,,,,,692853.0,35000.0,2395000.0,425000.0,,,720000.0,388500.0,,,,,600000.0,,,,,,460000.0,,,282500.0,503130.0,2100000.0,717626.0,,597500.0,625000.0,,,,,,1200000.0,,,,,,605000.0,,,,,,499000.0,,1220000.0,430000.0,499000.0,,709000.0,824000.0,,1385000.0,,518000.0,,735000.0,575000.0,1450000.0,,,,,,,,1048950.0,,169500.0,,,,,795418.0,,,,700000.0,,,,585000.0,,,,489000.0,750000.0,,,,,,,,,775000.0,,,,,615000.0,,,,,,,,,,,,,1687500.0,,,,,,,,,,,,,,997500.0,,,,,,,,,,,,,,,
573900.0,840000.0,,575000.0,645000.0,664768.0,768100.0,496091.0,575000.0,418850.0,550500.0,,1260000.0,945000.0,945000.0,,500000.0,,550000.0,780000.0,521150.0,641500.0,770000.0,840000.0,510000.0,490000.0,945000.0,385000.0,975000.0,,,,787500.0,985000.0,1100000.0,1005000.0,,514000.0,725000.0,,,335000.0,,,230000.0,,854350.0,840000.0,,,910000.0,2400000.0,360000.0,,2975000.0,1083000.0,,,335000.0,,,997500.0,505000.0,,598500.0,492500.0,,,555100.0,,930000.0,,,,1050000.0,,392500.0,960000.0,650000.0,840000.0,3650000.0,630000.0,700000.0,607500.0,1425000.0,,,,662500.0,,565000.0,,,,,,638217.0,595000.0,,808000.0,,,724000.0,750000.0,,,,,495000.0,1050000.0,,399000.0,260000.0,1900000.0,1340000.0,,,,825000.0,824000.0,,,710000.0,1025000.0,1250000.0,372000.0,840000.0,,620000.0,428900.0,510000.0,,,,1385000.0,1150000.0,,,500000.0,1250000.0,,,1417500.0,,,3150000.0,650000.0,360000.0,,,,,,,,345000.0,270000.0,840000.0,,,,,,,3450000.0,,,,441990.0,,,,,1650000.0,,,,1700000.0,560000.0,997500.0,,790000.0,272500.0,,,,,,,,,785000.0,,690000.0,,1150000.0,,,,,,,,,,,,,,,1400000.0,,799000.0,,,,,,,618500.0,665000.0,,1250000.0,,,,,,,,,,405000.0,,,,,,699500.0,850000.0,,,,517500.0,,,,,,,,,,,715000.0,,,,505000.0,1150000.0,,,454000.0,,,,825000.0,,,,,,,,429000.0,,,,,521890.0,,,465000.0,,,,,,,,,676427.0,290000.0,588000.0,,,,,,,,,,,,,,,,397500.0,,,350000.0,,,623590.0,,630000.0,,,,,,,600000.0,,,,,,850000.0,,,,,,,,825000.0,,505500.0,,504000.0,605000.0,,,,503000.0,,1150000.0,649000.0,,,,,,,,,,,,,,,,667364.0,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598400.0,920000.0,,670000.0,,640900.0,661000.0,549635.0,550000.0,339000.0,,,883000.0,,1200000.0,,450000.0,,1420000.0,575000.0,668745.0,690000.0,860000.0,397950.0,405000.0,695000.0,548000.0,500000.0,,,,,595000.0,1150000.0,515000.0,685000.0,,570000.0,715000.0,,,650000.0,,,500000.0,,828800.0,840000.0,,,1360000.0,,2100000.0,,1825000.0,1840000.0,,,756000.0,,,,,,725000.0,,,,682100.0,,729500.0,,,,,,3520000.0,875000.0,875000.0,1260000.0,625000.0,472500.0,,567585.0,,,,,,,635000.0,,,,,,484000.0,840000.0,,767000.0,,,399500.0,,,,,,,1500000.0,,,,,695000.0,,,,,,,,,,,492000.0,,,,,,,,,,,,,,1250000.0,,,,,,,690000.0,,,,,,,,,343000.0,270000.0,420000.0,,,,,,,810000.0,,,,761428.0,,,,,500000.0,,,,1785000.0,599900.0,665000.0,,,454900.0,,,,,,,,,,,413950.0,,1027500.0,,,,,,,,,,,,,,,1350000.0,,1495000.0,,,,,,,693498.0,,,,,,,,,,,,,330000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454000.0,,,,,,,,,,,,325000.0,,,,,,,,1200000.0,,,,,,,,,682518.0,35000.0,1050000.0,,,,,,,,,,,,,,,,512500.0,,,,,,451500.0,,700000.0,,,,,,,,,,,,,595000.0,,,,,,,,800000.0,,577014.0,,,,,,,611000.0,,,358000.0,,,,,,,,,,,,,,,,823787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550200.0,1400000.0,,,,593885.0,609485.0,,920000.0,,,,590000.0,,,,1765000.0,,775000.0,840000.0,271725.0,605900.0,1200000.0,,,1150000.0,,630000.0,,,,,250000.0,966000.0,1870000.0,695000.0,,619000.0,,,,795000.0,,,618199.0,,575000.0,805000.0,,,470000.0,,562450.0,,1250000.0,1513000.0,,,665000.0,,,,,,,,,,585600.0,,,,,,,,837500.0,,880000.0,885000.0,,735000.0,,290000.0,,,,,,,650000.0,,,,,,574000.0,840000.0,,856000.0,,,471050.0,,,,,,,,,,,,,,,,,,,,,,,448000.0,,,,,,,,,,,,,,,,,,,,,590000.0,,,,,,,,,343000.0,260000.0,,,,,,,,1139000.0,,,,,,,,,3500000.0,,,,,555000.0,955000.0,,,,,,,,,,,,,,,,945000.0,,,,,,,,,,,,,,,,,479000.0,,,,,,,,,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692003.0,,1677000.0,,,,,,,,,,,,,,,,,,,,,,559438.0,,,,,,,,,,,,,,,,,,,,,,,,,431028.0,,,,,,,,,,,,,,,,,,,,,,,,,,672592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547150.0,,,,,569510.0,745488.0,,475000.0,,,,,,,,1300000.0,,,755000.0,280225.0,564950.0,,,,735000.0,,569000.0,,,,,931077.0,,,595000.0,,,,,,614000.0,,,575485.0,,599900.0,829500.0,,,350000.0,,567000.0,,1300000.0,934230.0,,,315000.0,,,,,,,,,,528500.0,,,,,,,,1455000.0,,725000.0,299500.0,,407500.0,,,,,,,,,840000.0,,,,,,,,,477250.0,,,555000.0,,,,,,,,,,,,,,,,,,,,,,,454000.0,,,,,,,,,,,,,,,,,,,,,920000.0,,,,,,,,,350000.0,,,,,,,,,780000.0,,,,,,,,,,,,,,441000.0,1680000.0,,,,,,,,,,,,,,,,615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3541500.0,,,,,,,,,,,,,,,,,,,,,,629900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750000.0,,,,,618800.0,596054.0,,645000.0,,,,,,,,,,,1275000.0,269500.0,541400.0,,,,,,,,,,,289000.0,,,755000.0,,,,,,576379.0,,,578785.0,,564843.0,,,,,,1575000.0,,,269000.0,,,,,,,,,,,,,607800.0,,,,,,,,670000.0,,,468000.0,,430000.0,,,,,,,,,855000.0,,,,,,,,,401000.0,,,,,,,,,,,,,,,,,,,,,,,,,,420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,,,,,,,,,459000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890000.0,,,,,675800.0,920000.0,,870000.0,,,,,,,,,,,,266000.0,687600.0,,,,,,,,,,,995000.0,,,1025000.0,,,,,,497500.0,,,,,828395.0,,,,,,,,,940000.0,,,,,,,,,,,,,707700.0,,,,,,,,,,,680000.0,,595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,,,,,,,,,705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265000.0,,,,,640800.0,905000.0,,565000.0,,,,,,,,,,,,284725.0,582404.0,,,,,,,,,,,829500.0,,,825000.0,,,,,,402500.0,,,,,775000.0,,,,,,,,,1781000.0,,,,,,,,,,,,,525000.0,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,,,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730000.0,,,,,705050.0,677850.0,,562485.0,,,,,,,,,,,,270725.0,330000.0,,,,,,,,,,,1050000.0,,,,,,,,,,,,,,679785.0,,,,,,,,,595300.0,,,,,,,,,,,,,595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328000.0,,,,,,,,,670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
